Name,LiI-6707,OI-7771,OI-7774,OI-7775,NaI-5682,NaI-5688,NaI-5889,NaI-5895,KI-7664,KI-7698
CS 30312-044,0.12,,,,,,,,,
CS 30312-059,0.1,-0.07,-0.07,,,,,,,
CS 30312-062,0.01,-0.45,-0.43,,,,,,,
CS 30312-100,0.05,-0.09,-0.09,,,,-0.51,,-0.39,
CS 30314-067,0.18,-0.05,-0.05,-0.05,,,,,-0.3,-0.26
CS 30339-015,-0.03,-0.28,-0.28,-0.27,,,,,,-0.25
CS 30339-046,0.01,-0.48,-0.46,,,,,,,
CS 30339-052,0.03,-0.15,-0.15,-0.14,,,,,,
CS 30339-069,-0.02,,,,,,,,,
CS 30339-073,0.09,,,,,,-0.09,-0.03,,
CS 30492-001,-0.03,-0.18,-0.18,-0.17,,,,-0.27,,
CS 30492-016,-0.02,-0.15,-0.15,-0.15,,,,,,
CS 30492-110,0.13,-0.06,-0.06,-0.06,,,,,,-0.24
CS 30493-071,-0.02,-0.17,-0.17,,,,,-0.27,,
CS 30494-003,0.07,-0.08,-0.08,-0.08,,,,,-0.28,
CS 31082-001,0.13,,,,,,-0.39,,,
BD-20 6008,0.14,-0.06,-0.06,-0.06,,,,,,-0.27
BD-18 5550,0.13,-0.06,-0.06,-0.06,,,,,,
BD-15 5781,0.14,-0.05,-0.05,-0.05,,,,,,-0.3
BD-01 2582,0.08,,,,-0.06,-0.06,,,,-0.4
BD+10 2495,0.08,-0.09,-0.09,-0.08,,-0.06,,,,
