Name,Species,lambda,chi,loggf,EW,logepsX
TucIII-J235550,Fe I,5709.38,3.369,-1.010,40.21,5.217
TucIII-J235550,Fe I,6065.48,2.610,-1.530,39.73,4.799
TucIII-J235550,Fe I,6137.69,2.590,-1.400,46.26,4.770
TucIII-J235550,Fe I,6219.28,2.196,-2.450,25.98,4.920
TucIII-J235550,Fe I,6230.72,2.560,-1.280,52.16,4.723
TucIII-J235550,Fe I,6246.32,3.600,-0.770,16.31,4.654
TucIII-J235550,Fe I,6252.56,2.400,-1.690,46.95,4.837
TucIII-J235550,Fe I,6335.33,2.196,-2.180,25.48,4.632
TucIII-J235550,Fe I,6393.60,2.430,-1.580,58.25,4.978
TucIII-J235550,Fe I,6400.00,3.603,-0.270,36.36,4.642
TucIII-J235550,Fe I,6411.65,3.651,-0.590,24.53,4.757
TucIII-J235550,Fe I,6421.35,2.277,-2.010,37.60,4.816
TucIII-J235550,Fe I,6430.85,2.174,-1.950,41.14,4.697
TucIII-J235550,Fe I,6494.98,2.400,-1.270,72.05,4.914
TucIII-J235550,Fe I,6546.24,2.759,-1.536,47.97,5.120
TucIII-J235550,Fe I,6592.91,2.730,-1.470,27.94,4.609
TucIII-J235550,Fe I,6677.99,2.690,-1.420,43.69,4.830
TucIII-J235550,Fe II,4489.18,2.828,-2.971,22.40,4.914
TucIII-J235550,Fe II,4508.29,2.860,-2.250,51.16,4.872
TucIII-J235550,Fe II,4515.34,2.840,-2.360,45.41,4.835
TucIII-J235550,Fe II,4520.22,2.810,-2.600,32.06,4.753
TucIII-J235550,Fe II,4522.63,2.840,-1.990,66.05,4.930
TucIII-J235550,Fe II,4555.89,2.830,-2.250,43.40,4.667
TucIII-J235550,Fe II,4576.34,2.840,-2.920,19.45,4.789
TucIII-J235550,Fe II,4583.84,2.810,-1.740,67.95,4.680
TucIII-J235550,Fe II,4620.52,2.830,-3.190,13.18,4.836
TucIII-J235550,Fe II,4923.93,2.890,-1.210,93.66,4.823
TucIII-J235550,Fe II,5197.58,3.230,-2.050,36.97,4.753
TucIII-J235550,Fe II,5234.63,3.220,-2.180,37.90,4.896
TucIII-J235550,Fe II,5276.00,3.200,-1.900,46.29,4.753
TucIII-J235738,Fe I,4067.98,3.209,-0.530,49.02,4.950
TucIII-J235738,Fe I,4132.90,2.840,-0.920,32.61,4.497
TucIII-J235738,Fe I,4139.93,0.989,-3.510,30.43,4.830
TucIII-J235738,Fe I,4147.67,1.484,-2.070,78.97,5.351
TucIII-J235738,Fe I,4153.90,3.397,-0.280,55.62,5.080
TucIII-J235738,Fe I,4154.50,2.830,-0.690,49.26,4.660
TucIII-J235738,Fe I,4156.80,2.830,-0.810,56.01,4.975
TucIII-J235738,Fe I,4157.78,3.420,-0.400,37.49,4.775
TucIII-J235738,Fe I,4175.64,2.850,-0.830,38.18,4.551
TucIII-J235738,Fe I,4184.89,2.830,-0.870,40.61,4.626
TucIII-J235738,Fe I,4187.04,2.450,-0.560,77.28,4.867
TucIII-J235738,Fe I,4187.80,2.420,-0.550,76.76,4.807
TucIII-J235738,Fe I,4199.10,3.050,0.160,73.85,4.824
TucIII-J235738,Fe I,4222.21,2.450,-0.970,73.24,5.151
TucIII-J235738,Fe I,4233.60,2.482,-0.600,81.98,5.066
TucIII-J235738,Fe I,4238.81,3.400,-0.230,46.57,4.789
TucIII-J235738,Fe I,4282.40,2.174,-0.780,78.83,4.877
TucIII-J235738,Fe I,4408.41,2.196,-1.770,40.03,4.724
TucIII-J235738,Fe I,4430.61,2.221,-1.730,52.21,4.999
TucIII-J235738,Fe I,4442.34,2.196,-1.230,72.59,5.012
TucIII-J235738,Fe I,4447.72,2.221,-1.340,72.95,5.160
TucIII-J235738,Fe I,4466.55,2.830,-0.600,67.43,5.050
TucIII-J235738,Fe I,4484.22,3.600,-0.640,34.00,5.110
TucIII-J235738,Fe I,4489.74,0.121,-3.900,71.88,5.195
TucIII-J235738,Fe I,4494.56,2.196,-1.140,70.82,4.862
TucIII-J235738,Fe I,4592.65,1.556,-2.460,53.25,4.942
TucIII-J235738,Fe I,4678.85,3.600,-0.680,21.16,4.811
TucIII-J235738,Fe I,4707.27,3.241,-0.960,44.80,5.239
TucIII-J235738,Fe I,4733.59,1.484,-2.990,24.38,4.694
TucIII-J235738,Fe I,4736.77,3.209,-0.670,50.90,5.054
TucIII-J235738,Fe I,4871.32,2.865,-0.340,68.52,4.745
TucIII-J235738,Fe I,4872.14,2.880,-0.570,58.63,4.735
TucIII-J235738,Fe I,4890.76,2.876,-0.380,74.23,4.948
TucIII-J235738,Fe I,4891.49,2.850,-0.110,76.80,4.716
TucIII-J235738,Fe I,4903.31,2.882,-0.890,41.42,4.645
TucIII-J235738,Fe I,4918.99,2.860,-0.340,71.88,4.822
TucIII-J235738,Fe I,4938.81,2.880,-1.080,43.59,4.881
TucIII-J235738,Fe I,4939.69,0.858,-3.250,56.44,4.919
TucIII-J235738,Fe I,4966.09,3.329,-0.790,39.81,5.037
TucIII-J235738,Fe I,5049.82,2.277,-1.350,57.14,4.741
TucIII-J235738,Fe I,5068.77,2.940,-1.040,33.84,4.684
TucIII-J235738,Fe I,5083.34,0.957,-2.840,82.46,5.335
TucIII-J235738,Fe I,5098.70,2.174,-2.030,49.52,5.116
TucIII-J235738,Fe I,5110.41,0.000,-3.760,91.96,5.351
TucIII-J235738,Fe I,5123.72,1.010,-3.060,60.88,5.002
TucIII-J235738,Fe I,5127.36,0.914,-3.250,58.25,5.008
TucIII-J235738,Fe I,5133.69,4.175,0.360,32.29,4.701
TucIII-J235738,Fe I,5142.93,0.957,-3.070,75.10,5.328
TucIII-J235738,Fe I,5150.84,0.989,-3.040,56.30,4.839
TucIII-J235738,Fe I,5191.45,3.040,-0.550,57.52,4.844
TucIII-J235738,Fe I,5192.34,3.000,-0.420,71.94,5.030
TucIII-J235738,Fe I,5194.94,1.556,-2.020,79.20,5.134
TucIII-J235738,Fe I,5198.71,2.221,-2.090,47.69,5.172
TucIII-J235738,Fe I,5202.34,2.174,-1.870,48.54,4.913
TucIII-J235738,Fe I,5215.18,3.263,-0.860,44.67,5.119
TucIII-J235738,Fe I,5216.27,1.607,-2.080,65.90,4.872
TucIII-J235738,Fe I,5229.85,3.283,-0.967,21.83,4.711
TucIII-J235738,Fe I,5232.94,2.940,-0.060,80.58,4.815
TucIII-J235738,Fe I,5250.65,2.196,-2.180,42.99,5.124
TucIII-J235738,Fe I,5254.96,0.110,-4.760,37.85,5.060
TucIII-J235738,Fe I,5266.56,3.000,-0.390,57.87,4.637
TucIII-J235738,Fe I,5281.79,3.040,-0.830,40.37,4.722
TucIII-J235738,Fe I,5283.62,3.239,-0.450,51.82,4.839
TucIII-J235738,Fe I,5324.18,3.211,-0.110,79.95,5.161
TucIII-J235738,Fe I,5332.90,1.556,-2.780,33.41,4.734
TucIII-J235738,Fe I,5339.93,3.263,-0.630,39.69,4.769
TucIII-J235738,Fe I,5341.02,1.607,-1.950,81.66,5.169
TucIII-J235738,Fe I,5367.47,4.420,0.440,27.60,4.783
TucIII-J235738,Fe I,5383.37,4.310,0.650,49.69,4.955
TucIII-J235738,Fe I,5393.17,3.241,-0.720,50.64,5.076
TucIII-J235738,Fe I,5415.20,4.390,0.640,31.22,4.634
TucIII-J235738,Fe I,5424.07,4.320,0.520,47.47,5.043
TucIII-J235738,Fe I,5497.52,1.010,-2.830,84.69,5.371
TucIII-J235738,Fe I,5501.47,0.957,-3.050,73.74,5.218
TucIII-J235738,Fe I,5506.78,0.989,-2.790,77.43,5.097
TucIII-J235738,Fe I,5572.84,3.394,-0.280,58.23,4.981
TucIII-J235738,Fe I,5586.76,3.366,-0.110,62.12,4.869
TucIII-J235738,Fe I,5615.64,3.332,0.040,69.60,4.860
TucIII-J235738,Fe I,5624.54,3.414,-0.760,34.65,4.950
TucIII-J235738,Fe I,6065.48,2.610,-1.530,43.01,4.917
TucIII-J235738,Fe I,6137.69,2.590,-1.400,52.20,4.959
TucIII-J235738,Fe I,6191.56,2.430,-1.420,50.88,4.751
TucIII-J235738,Fe I,6213.43,2.221,-2.480,25.51,4.998
TucIII-J235738,Fe I,6219.28,2.196,-2.450,31.53,5.077
TucIII-J235738,Fe I,6230.72,2.560,-1.280,63.22,5.050
TucIII-J235738,Fe I,6246.32,3.600,-0.770,13.85,4.585
TucIII-J235738,Fe I,6252.56,2.400,-1.690,49.86,4.957
TucIII-J235738,Fe I,6265.13,2.174,-2.540,11.46,4.555
TucIII-J235738,Fe I,6335.33,2.196,-2.180,41.93,5.024
TucIII-J235738,Fe I,6393.60,2.430,-1.580,46.23,4.797
TucIII-J235738,Fe I,6400.00,3.603,-0.270,45.05,4.872
TucIII-J235738,Fe I,6411.65,3.651,-0.590,16.75,4.560
TucIII-J235738,Fe I,6421.35,2.277,-2.010,36.76,4.840
TucIII-J235738,Fe I,6430.85,2.174,-1.950,52.44,4.985
TucIII-J235738,Fe I,6494.98,2.400,-1.270,74.93,5.108
TucIII-J235738,Fe I,6546.24,2.759,-1.536,34.63,4.893
TucIII-J235738,Fe I,6592.91,2.730,-1.470,30.93,4.707
TucIII-J235738,Fe I,6593.87,2.430,-2.420,13.69,4.816
TucIII-J235738,Fe I,6677.99,2.690,-1.420,46.47,4.939
TucIII-J235738,Fe I,6978.85,2.480,-2.500,16.71,5.042
TucIII-J235738,Fe I,7495.07,4.220,-0.100,29.54,5.024
TucIII-J235738,Fe I,7511.02,4.175,0.120,34.60,4.839
TucIII-J235738,Fe I,8220.38,4.317,0.300,45.25,5.053
TucIII-J235738,Fe II,4416.83,2.780,-2.410,43.22,4.765
TucIII-J235738,Fe II,4489.18,2.828,-2.971,25.02,4.942
TucIII-J235738,Fe II,4508.29,2.860,-2.250,56.65,5.021
TucIII-J235738,Fe II,4515.34,2.840,-2.360,38.03,4.658
TucIII-J235738,Fe II,4520.22,2.810,-2.600,43.27,4.983
TucIII-J235738,Fe II,4541.52,2.860,-2.790,25.70,4.812
TucIII-J235738,Fe II,4555.89,2.830,-2.250,52.08,4.867
TucIII-J235738,Fe II,4583.84,2.810,-1.740,66.68,4.707
TucIII-J235738,Fe II,4923.93,2.890,-1.210,97.71,5.020
TucIII-J235738,Fe II,5197.58,3.230,-2.050,38.15,4.750
TucIII-J235738,Fe II,5234.63,3.220,-2.180,47.49,5.091
TucIII-J235738,Fe II,5276.00,3.200,-1.900,56.13,4.958
TucIII-J235738,Fe II,5316.62,3.150,-1.780,67.87,5.089
TucIII-J235738,Fe II,5362.87,3.199,-2.616,25.36,4.982
TucIII-J235738,Fe II,5534.85,3.245,-2.865,15.22,4.976
