Found, Query_ID           , RA_input   , DEC_input   , MAIN_ID                , RA           , DEC          , RA_PREC, DEC_PREC, COO_ERR_MAJA, COO_ERR_MINA, COO_ERR_ANGLE, COO_QUAL, COO_WAVELENGTH, COO_BIBCODE        , FLUX_U, FLUX_B, FLUX_V, FLUX_R, FLUX_I, FLUX_J, FLUX_H, FLUX_K, OTYPE    , SP_TYPE, RA_2         , DEC_2        , PMRA  , PMDEC , PLX_VALUE, RV_VALUE   , SCRIPT_NUMBER_ID
True , [CSF2018] 10-8-3723, 00:59:59.92, -33:51:11.79, EV* SclG V0310         , 00 59 59.9320, -33 51 11.581,      14,       14,       0.2383,       0.1312,            90, A       , O             , 2020yCat.1350....0G,       ,       ,       ,       ,       ,       ,       ,       , Variable*,        , 00 59 59.9320, -33 51 11.581, 0.044 , -0.071,    0.153 ,            ,                1
True , [CSF2018] 10-8-3751, 00:59:59.33, -33:44:24.34, SCMS  595              , 00 59 59.3470, -33 44 24.335,      14,       14,       0.1825,       0.092 ,            90, A       , O             , 2020yCat.1350....0G,       , 20.13 , 19.54 ,       , 18.44 ,       ,       ,       , ChemPec* ,        , 00 59 59.3470, -33 44 24.335, 0.25  , -0.08 ,    0.0242, 105.7      ,                1
True , [CSF2018] 10-8-3804, 00:59:58.91, -33:50:53.61, [CSF2018] 10-8-3804    , 00 59 58.9261, -33 50 53.523,      14,       14,       0.115 ,       0.0611,            90, A       , O             , 2020yCat.1350....0G,       ,       ,       ,       ,       , 17.25 , 16.79 , 16.74 , ChemPec* , CEMP-s , 00 59 58.9261, -33 50 53.523, 0.095 , -0.127,    0.0887,            ,                1
True , [CSF2018] 10-8-3926, 00:59:56.73, -33:39:37.54, SCMS  306              , 00 59 56.7478, -33 39 37.580,      14,       14,       0.1863,       0.0897,            90, A       , O             , 2020yCat.1350....0G,       , 20.61 , 19.52 ,       ,       , 17.6  , 17.14 , 17.16 , ChemPec* , CEMP-s , 00 59 56.7478, -33 39 37.580, -0.273, -0.036,          ,            ,                1
True , [CSF2018] 10-8-3963, 00:59:56.17, -33:43:04.89, 2MASS J00595618-3343047, 00 59 56.1813, -33 43 04.898,      14,       14,       0.0993,       0.0521,            90, A       , O             , 2020yCat.1350....0G,       , 20.06 , 18.76 ,       ,       , 16.36 , 15.73 , 15.37 , ChemPec* , CEMP-s , 00 59 56.1813, -33 43 04.898, 0.154 , -0.089,    0.1684,            ,                1
True , [CSF2018] 10-8-4014, 00:59:55.48, -33:45:51.48, SCMS  204              , 00 59 55.5042, -33 45 51.685,      14,       14,       0.2985,       0.1671,            90, A       , O             , 2020yCat.1350....0G,       , 19.57 , 19.2  ,       ,       ,       ,       ,       , ChemPec* ,        , 00 59 55.5042, -33 45 51.685, -0.25 , 0.673 ,          ,            ,                1
True , [CSF2018] 10-8-4020, 00:59:55.22, -33:42:11.34, 2MASS J00595519-3342108, 00 59 55.2322, -33 42 11.398,      14,       14,       0.2108,       0.1059,            90, A       , O             , 2020yCat.1350....0G,       , 19.27 , 18.5  ,       , 17.33 , 16.61 , 16.07 , 15.92 , ChemPec* ,        , 00 59 55.2322, -33 42 11.398, 2.084 , 2.319 ,    1.203 , 108.6      ,                1
True , [CSF2018] 10-8-4247, 00:59:51.56, -33:45:07.76, SCMS  229              , 00 59 51.5775, -33 45 07.781,      14,       14,       0.1199,       0.0625,            90, A       , O             , 2020yCat.1350....0G,       , 19.13 , 18.69 ,       ,       ,       ,       ,       , ChemPec* ,        , 00 59 51.5775, -33 45 07.781, 0.089 , -0.057,    0.208 ,            ,                1
True , [CSF2018] 10-8-4250, 00:59:51.51, -33:44:02.67, 2MASS J00595152-3344018, 00 59 51.5333, -33 44 02.712,      14,       14,       0.0966,       0.0479,            90, A       , O             , 2020yCat.1350....0G,       , 19.29 , 18.414,       , 17.314, 16.39 , 15.77 , 15.37 , RGB*     ,        , 00 59 51.5333, -33 44 02.712, 0.169 , -0.257,          , 133.63     ,                1
True , [CSF2018] 10-8-436 , 01:01:14.95, -33:47:21.34, [CSF2018] 10-8-436     , 01 01 14.9557, -33 47 21.363,      14,       14,       0.2689,       0.1307,            90, A       , O             , 2020yCat.1350....0G,       ,       ,       ,       ,       ,       ,       ,       , ChemPec* ,        , 01 01 14.9557, -33 47 21.363, -0.154, -0.206,          ,            ,                1
