JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
7416,,ROE10c,Roederer+2010c,G040-008,BD+25 1858,,,,,,,,SB,08:08:54.4479,+24:37:26.270,,,,,,10.33,,9.3,,8.195,7.793,7.72,,,-0.97,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,,,,,,,,,Yelland
7417,,ROE10c,Roederer+2010c,G058-025,HD 94028,,,,,,,,,10:51:28.1256,+20:16:38.965,,,,,8.51,8.69,8.22,7.82,7.54,7.13,6.854,6.832,,,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,0.76,,,,,,,,,,,,-0.03,,,,,-0.66,,,,,,,,,,,,,,,,1.29,,,,,,,,,,Yelland
7418,,ROE10c,Roederer+2010c,G059-001,BD+22 2442,,,,,,,,,12:08:54.6643,+21:47:19.441,,,,,,,,9.0,,8.144,7.788,7.697,,,-0.95,,,,,,,,,,,,,,,,,,,,,,,,,4.04,,,,,,,1.23,,,,,,,,,,,,0.13,,,,,-0.29,,,,,,,,,,,,,,,,1.64,,,,,,,,,,Yelland
7419,,ROE10c,Roederer+2010c,G063-046,BD+13 2698,,,,,,,,,13:39:59.5727,+12:35:21.683,,,,,,9.914,9.384,9.355,,8.187,7.9,7.844,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,3.86,,,,,,,1.26,,,,,,,,,,,,0.27,,,,,-0.05,,,,,,,,,,,,,,,,<1.65,,,,,,,,,,Yelland
7420,,ROE10c,Roederer+2010c,G068-003,BD+20 5292,,,,,,,,,23:13:17.1485,+20:56:33.928,,,,,,,,9.4,,8.199,7.826,7.711,,,-0.76,,,,,,,,,,,,,,,,,,,,,,,,,4.12,,,,,,,1.35,,,,,,,,,,,,0.49,,,,,0.16,,,,,,,,,,,,,,,,1.19,,,,,,,,,,Yelland
7421,,ROE10c,Roederer+2010c,G074-005,BD+29 366,,,,,,,,,02:10:24.5274,+29:48:23.663,,,,,9.27,9.35,8.77,8.24,7.85,7.572,7.28,7.216,,,-1.05,,,,,,,,,,,,,,,,,,,,,,,,,3.56,,,,,,,0.92,,,,,,,,,,,,0.11,,,,,-0.23,,,,,,,,,,,,,,,,<1.35,,,,,,,,,,Yelland
7422,,ROE10c,Roederer+2010c,G090-025,HD 64090,,,,,,,,,07:53:33.1208,+30:36:18.256,,,,,8.75,8.86,8.25,7.7,7.3,6.956,6.611,6.537,,,-1.78,,,,,,,,,,,,,,,,,,,,,,,,,2.83,,,,,,,0.11,,,,,,,,,,,,-0.51,,,,,-0.97,,,,,,,,,,,,,,,,<0.9,,,,,,,,,,Yelland
7423,,ROE10c,Roederer+2010c,G095-057A,HD 23439A,,,,,,,,SB,03:47:02.1135,+41:25:38.103,,,,,,8.89,8.12,7.7,,6.618,6.192,6.12,,,-1.22,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,1.34,,,,,,,,,,,,0.43,,,,,-0.23,,,,,,,,,,,,,,,,1.14,,,,,,,,,,Yelland
7424,,ROE10c,Roederer+2010c,G095-057B,HD 23439B,,,,,,,,SB,03:47:02.6340,+41:25:42.236,,,,,,11.72,10.96,8.2,,6.949,6.481,6.347,,,-1.06,,,,,,,,,,,,,,,,,,,,,,,,,3.74,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,,,,,,,,,,Yelland
7425,,ROE10c,Roederer+2010c,G102-020,HD 246132,,,,,,,,SB,05:40:09.7460,+12:10:41.058,,,,,,,,9.8,,8.805,8.407,8.325,,,-1.25,,,,,,,,,,,,,,,,,,,,,,,,,3.47,,,,,,,0.78,,,,,,,,,,,,-0.02,,,,,-0.32,,,,,,,,,,,,,,,,0.79,,,,,,,,,,Yelland
7426,,ROE10c,Roederer+2010c,G102-027,HD 247297,,,,,,,,,05:45:40.3823,+14:41:20.113,,,,,,,,8.7,,7.708,7.374,7.281,,,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,4.36,,,,,,,1.62,,,,,,,,,,,,0.69,,,,,0.4,,,,,,,,,,,,,,,,1.64,,,,,,,,,,Yelland
7427,,ROE10c,Roederer+2010c,G113-022,BD+00 2245,,,,,,,,,08:16:57.7754,+00:01:03.593,,,,,,10.36,9.76,9.55,,8.45,8.104,8.088,,,-1.18,,,,,,,,,,,,,,,,,,,,,,,,,3.64,,,,,,,1.38,,,,,,,,,,,,0.42,,,,,-0.13,,,,,,,,,,,,,,,,1.19,,,,,,,,,,Yelland
7428,,ROE10c,Roederer+2010c,G122-051,HD 103095,,,,,,,,,11:52:58.7673,+37:43:07.254,,,,,7.38,7.2,6.45,5.8,5.35,4.937,4.5,4.373,,,-1.43,,,,,,,,,,,,,,,,,,,,,,,,,3.26,,,,,,,0.58,,,,,,,,,,,,-0.1,,,,,-0.27,,,,,,,,,,,,,,,,0.34,,,,,,,,,,Yelland
7429,,ROE10c,Roederer+2010c,G123-009,HD 105861,,,,,,,,,12:10:55.3590,+44:00:11.823,,,,,,,,9.9,,9.193,8.88,8.759,,,-1.25,,,,,,,,,,,,,,,,,,,,,,,,,3.45,,,,,,,1.15,,,,,,,,,,,,0.21,,,,,-0.21,,,,,,,,,,,,,,,,1.13,,,,,,,,,,Yelland
7430,,ROE10c,Roederer+2010c,G126-036,BD+19 4788,,,,,,,,,21:48:19.2876,+19:58:30.634,,,,,,,,9.6,,8.723,8.402,8.352,,,-1.06,,,,,,,,,,,,,,,,,,,,,,,,,3.76,,,,,,,1.59,,,,,,,,,,,,0.87,,,,,0.04,,,,,,,,,,,,,,,,1.67,,,,,,,,,,Yelland
7431,,ROE10c,Roederer+2010c,G126-062,BD+17 4708,,,,,,,,SB,22:11:31.3756,+18:05:34.177,,,,,9.73,9.91,9.46,9.03,8.7,8.435,8.108,8.075,,,-1.59,,,,,,,,,,,,,,,,,,,,,,,,,2.86,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1.55,,,,,,,,,,Yelland
