Title: High-Resolution Spectroscopic Study of Extremely Metal-Poor Star 
       Candidates from the SkyMapper Survey
Authors: Jacobson H.R., Keller S., Frebel A., Casey A.R., Asplund M., 
         Bessell M.S., Da Costa G.S., Lind K., Marino A.F., Norris J.E., 
         Pena J.M., Schmidt B.P., Tisserand P., Walsh J.M., Yong D., Yu Q. 
Table: Corrected Carbon Abundances
================================================================================
Byte-by-byte Description of file: apj512602t7_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1- 24 A24    ---     ID       Star identifier
      26 A1     ---   l_[C/Fe]o  Limit flag on [C/Fe]o
  27- 32 F6.2   [-]     [C/Fe]o  ? Original log C/Fe abundance
  34- 37 F4.2   [-]     Cor      ? Correction for log C/Fe
      39 A1     ---   l_[C/Fe]c  Limit flag on [C/Fe]c
  40- 44 F5.2   [-]     [C/Fe]c  ? Corrected log C/Fe abundance
--------------------------------------------------------------------------------
SMSS~J031556.09-473442.1    0.19 0.02   0.21   
SMSS~J032132.29-363123.6   -0.13 0.75   0.62   
SMSS~J033005.90-681352.5    0.65 0.43   1.08   
SMSS~J034249.53-284216.0   -0.50 0.42  -0.08   
SMSS~J040148.04-743537.3    0.35 0.05   0.40   
SMSS~J041957.56-493818.3   -0.26 0.74   0.48   
SMSS~J051008.62-372019.8    0.56 0.01   0.57   
SMSS~J055746.51-575057.4    0.51 0.01   0.52   
SMSS~J061725.30-600740.6    0.22 0.53   0.75   
SMSS~J062609.83-590503.2    0.27 0.20   0.47   
SMSS~J063447.15-622355.0    0.08 0.75   0.83   
SMSS~J064349.43-653038.6   -0.07 0.65   0.58   
SMSS~J065014.40-614328.0   -0.18 0.75   0.58   
SMSS~J070257.95-600422.4    0.42 0.45   0.87   
SMSS~J080050.54-724620.6   -0.37 0.62   0.26   
SMSS~J085924.06-120104.9   -0.20 0.72   0.52   
SMSS~J090247.43-122755.0    0.20 0.32   0.52   
SMSS~J091210.40-064427.9    0.26 0.01   0.27   
SMSS~J093209.41-003435.8    0.21 0.01   0.22   
2MASS~J09380777-0600392  <  1.00 0.02 < 1.02   
SMSS~J093829.27-070520.9    0.37 0.01   0.38   
SMSS~J094029.05-060935.0   -0.12 0.58   0.46   
SMSS~J094755.04-102724.7    0.19 0.01   0.20   
SMSS~J095120.49-401431.3   -0.15 0.24   0.09   
SMSS~J100251.13-000152.1    0.34 0.02   0.36   
2MASS~J10242264-2904203    -0.05 0.58   0.53   
2MASS~J10275895-3006391                        
2MASS~J10283035-2951115                        
2MASS~J10294248-0103238    -0.34 0.70   0.36   
SMSS~J105320.99-435300.1    0.09 0.04   0.13   
SMSS~J105438.86-435819.9    0.10 0.04   0.14   
