Name,lambda,Species,chi,loggf,EW,f_EW,e_EW,l_logeps,logeps,sigma,sigmaStat,sigmaSys,sigmaTeff,sigmalogg,sigmaVmic,sigma[M/H],sigmacont
CarII-4704,4443.8,22.1,1.08,-0.71,112.3,,7.8,,2.36,0.3,0.2,0.23,0.07,0.1,-0.19,-0.01,0.2
CarII-4704,4444.55,22.1,1.11,-2.2,43.6,,7.0,,2.52,0.17,0.12,0.12,0.06,0.1,-0.03,0.0,0.06
CarII-4704,4450.48,22.1,1.08,-1.52,88.8,,7.6,,2.62,0.23,0.16,0.17,0.07,0.09,-0.13,-0.01,0.16
CarII-4704,4454.78,20.0,1.9,0.26,103.0,,0.2,,4.26,0.31,0.21,0.23,0.16,-0.07,-0.15,-0.02,0.17
CarII-4704,4455.89,20.0,1.9,-0.52,72.3,,8.2,,4.41,0.23,0.16,0.16,0.14,-0.04,-0.08,-0.01,0.11
CarII-4704,4464.45,22.1,1.16,-2.08,83.0,,8.6,,3.15,0.24,0.18,0.16,0.06,0.09,-0.12,-0.01,0.16
CarII-4704,4468.49,22.1,1.13,-0.63,127.5,,9.5,,2.7,0.36,0.24,0.27,0.08,0.08,-0.24,-0.01,0.31
CarII-4704,4470.86,22.1,1.16,-2.28,58.1,,9.7,,2.89,0.21,0.17,0.12,0.06,0.1,-0.05,-0.0,0.1
CarII-4704,4494.56,26.0,2.2,-1.14,96.8,,7.3,,5.07,0.31,0.16,0.26,0.21,-0.05,-0.15,-0.02,0.16
CarII-4704,4501.27,22.1,1.11,-0.77,117.4,,6.8,,2.56,0.3,0.17,0.25,0.08,0.08,-0.22,-0.01,0.21
CarII-4704,4508.28,26.1,2.86,-2.44,85.5,,6.5,,5.53,0.21,0.14,0.15,-0.0,0.09,-0.12,-0.01,0.14
CarII-4704,4515.34,26.1,2.84,-2.6,72.0,,8.3,,5.4,0.21,0.17,0.13,-0.0,0.1,-0.09,-0.01,0.12
CarII-4704,4520.22,26.1,2.81,-2.65,76.5,,8.3,,5.49,0.22,0.17,0.14,0.0,0.1,-0.1,-0.01,0.14
CarII-4704,4529.48,22.1,1.57,-1.75,76.6,,0.0,,3.18,0.24,0.2,0.14,0.05,0.1,-0.09,-0.01,0.14
CarII-4704,4531.15,26.0,1.48,-2.1,111.0,,9.8,,5.53,0.4,0.22,0.33,0.25,-0.06,-0.2,-0.03,0.24
CarII-4704,4534.78,22.0,0.83,0.35,48.0,,1.1,,2.38,0.28,0.18,0.21,0.2,-0.03,-0.04,-0.01,0.07
CarII-4704,4555.89,26.1,2.83,-2.4,78.9,,0.2,,5.31,0.26,0.21,0.14,0.0,0.1,-0.11,-0.01,0.11
CarII-4704,4563.76,22.1,1.22,-0.96,102.2,,6.3,,2.5,0.25,0.14,0.2,0.07,0.09,-0.17,-0.01,0.16
CarII-4704,4571.1,12.0,0.0,-5.69,98.6,,8.3,,5.8,0.34,0.16,0.3,0.28,-0.05,-0.1,-0.02,0.14
CarII-4704,4571.97,22.1,1.57,-0.31,125.1,,7.1,,2.83,0.31,0.17,0.25,0.05,0.07,-0.24,-0.01,0.22
CarII-4704,4576.34,26.1,2.84,-2.95,49.9,,9.1,,5.33,0.2,0.16,0.11,-0.0,0.1,-0.04,-0.0,0.07
CarII-4704,4580.05,24.0,0.94,-1.66,48.5,,8.0,,3.71,0.24,0.14,0.2,0.2,-0.03,-0.03,-0.0,0.07
CarII-4704,4583.84,26.1,2.81,-1.93,90.8,,8.0,,5.05,0.23,0.17,0.16,0.0,0.09,-0.14,-0.01,0.16
CarII-4704,4589.96,22.1,1.24,-1.79,52.2,,6.5,,2.38,0.16,0.11,0.12,0.06,0.1,-0.04,0.0,0.07
CarII-4704,4592.65,26.0,1.56,-2.46,90.6,,7.9,,5.49,0.33,0.18,0.28,0.23,-0.05,-0.14,-0.02,0.18
CarII-4704,4600.75,24.0,1.0,-1.25,43.5,,8.9,,3.29,0.24,0.15,0.19,0.19,-0.03,-0.03,-0.0,0.06
CarII-4704,4602.94,26.0,1.48,-2.21,108.2,,7.4,,5.58,0.38,0.18,0.34,0.26,-0.05,-0.2,-0.03,0.2
CarII-4704,4620.52,26.1,2.83,-3.21,40.0,,6.8,,5.4,0.16,0.12,0.11,-0.0,0.11,-0.03,-0.0,0.05
CarII-4704,4626.17,24.0,0.97,-1.33,35.4,,7.7,,3.18,0.24,0.14,0.2,0.19,-0.03,-0.02,-0.0,0.04
CarII-4704,4630.12,26.0,2.28,-2.59,41.1,,9.1,,5.55,0.24,0.16,0.19,0.18,-0.03,-0.03,-0.0,0.05
CarII-4704,4646.16,24.0,1.03,-0.74,78.8,,9.5,,3.44,0.31,0.2,0.23,0.2,-0.05,-0.1,-0.01,0.13
CarII-4704,4647.43,26.0,2.95,-1.31,51.8,,7.4,,5.25,0.22,0.14,0.17,0.16,-0.03,-0.04,-0.01,0.07
CarII-4704,4648.65,28.0,3.42,-0.09,36.8,,9.2,,4.02,0.21,0.17,0.13,0.13,-0.02,-0.02,-0.0,0.06
CarII-4704,4652.16,24.0,1.0,-1.04,45.1,,8.9,,3.1,0.25,0.15,0.2,0.2,-0.03,-0.03,-0.01,0.06
CarII-4704,4668.13,26.0,3.26,-1.08,44.1,,6.8,,5.26,0.19,0.12,0.15,0.15,-0.03,-0.04,-0.0,0.05
CarII-4704,4678.85,26.0,3.6,-0.68,47.8,,6.7,,5.32,0.18,0.12,0.14,0.14,-0.03,-0.04,-0.01,0.05
CarII-4704,4681.91,22.0,0.05,-1.07,48.3,,8.5,,2.84,0.27,0.14,0.24,0.23,-0.04,-0.04,-0.01,0.05
CarII-4704,4691.41,26.0,2.99,-1.45,48.7,,6.1,,5.38,0.2,0.1,0.16,0.16,-0.03,-0.04,-0.01,0.06
CarII-4704,4702.99,12.0,4.33,-0.38,53.2,,5.9,,4.87,0.14,0.09,0.1,0.1,-0.03,-0.03,-0.01,0.06
CarII-4704,4707.27,26.0,3.24,-0.96,52.6,,6.7,,5.25,0.2,0.12,0.16,0.15,-0.03,-0.05,-0.01,0.07
CarII-4704,4708.66,22.1,1.24,-2.35,29.0,,6.9,,2.52,0.18,0.13,0.12,0.06,0.1,-0.01,0.0,0.04
CarII-4704,4731.44,26.1,2.89,-3.1,28.6,,6.5,,5.13,0.17,0.13,0.11,-0.0,0.11,-0.02,0.0,0.04
CarII-4704,4733.59,26.0,1.48,-2.99,62.1,,5.0,,5.35,0.25,0.09,0.23,0.22,-0.04,-0.06,-0.01,0.07
CarII-4704,4736.77,26.0,3.21,-0.67,52.9,,6.7,,4.93,0.2,0.12,0.16,0.15,-0.03,-0.04,-0.01,0.06
CarII-4704,4798.53,22.1,1.08,-2.66,31.7,,5.9,,2.69,0.16,0.11,0.12,0.06,0.1,-0.02,0.0,0.04
CarII-4704,4805.09,22.1,2.06,-1.1,44.9,,6.0,,2.53,0.15,0.1,0.11,0.03,0.1,-0.03,0.0,0.05
CarII-4704,4859.74,26.0,2.87,-0.85,62.1,,8.3,,4.86,0.23,0.15,0.18,0.17,-0.03,-0.06,-0.01,0.08
CarII-4704,4871.32,26.0,2.87,-0.34,97.3,,7.1,,5.03,0.29,0.15,0.25,0.19,-0.06,-0.15,-0.02,0.13
CarII-4704,4872.14,26.0,2.88,-0.6,96.5,,7.2,,5.29,0.29,0.15,0.25,0.19,-0.06,-0.14,-0.02,0.13
CarII-4704,4889.0,26.0,2.2,-2.55,42.0,,9.9,,5.41,0.26,0.17,0.19,0.19,-0.03,-0.03,-0.01,0.05
CarII-4704,4890.76,26.0,2.88,-0.38,100.7,,7.5,,5.15,0.3,0.16,0.26,0.2,-0.06,-0.15,-0.02,0.15
CarII-4704,4891.49,26.0,2.85,-0.14,106.3,,9.1,,4.99,0.33,0.18,0.27,0.2,-0.07,-0.17,-0.02,0.16
CarII-4704,4903.31,26.0,2.88,-0.89,76.1,,9.7,,5.16,0.28,0.19,0.2,0.17,-0.04,-0.09,-0.01,0.13
CarII-4704,4910.02,26.0,3.39,-1.28,36.4,,8.2,,5.46,0.21,0.15,0.14,0.14,-0.02,-0.02,-0.0,0.06
CarII-4704,4918.99,26.0,2.85,-0.34,112.4,,8.9,,5.31,0.33,0.18,0.28,0.21,-0.07,-0.17,-0.02,0.18
CarII-4704,4924.77,26.0,2.28,-2.11,53.7,,7.1,,5.26,0.23,0.12,0.2,0.19,-0.03,-0.04,-0.01,0.07
CarII-4704,4938.81,26.0,2.87,-1.08,82.8,,8.9,,5.46,0.28,0.18,0.22,0.18,-0.05,-0.11,-0.01,0.12
CarII-4704,4939.69,26.0,0.86,-3.25,91.9,,7.1,,5.38,0.35,0.16,0.31,0.27,-0.05,-0.14,-0.02,0.15
CarII-4704,4946.39,26.0,3.37,-1.11,46.4,,8.4,,5.43,0.21,0.14,0.15,0.14,-0.03,-0.03,-0.01,0.06
CarII-4704,4966.09,26.0,3.33,-0.79,45.7,,8.9,,5.05,0.22,0.15,0.15,0.15,-0.03,-0.03,-0.01,0.07
CarII-4704,4991.07,22.0,0.83,0.45,70.0,,0.6,,2.6,0.3,0.19,0.23,0.21,-0.04,-0.07,-0.01,0.12
CarII-4704,4994.13,26.0,0.91,-2.97,108.5,,0.0,,5.53,0.41,0.23,0.35,0.29,-0.05,-0.18,-0.03,0.23
CarII-4704,4999.5,22.0,0.82,0.32,64.8,,0.6,,2.63,0.29,0.18,0.22,0.21,-0.04,-0.06,-0.01,0.1
CarII-4704,5001.86,26.0,3.88,-0.01,50.7,,1.0,,5.01,0.23,0.19,0.14,0.13,-0.03,-0.04,-0.01,0.08
CarII-4704,5006.12,26.0,2.83,-0.61,95.3,,9.5,,5.19,0.32,0.2,0.25,0.2,-0.06,-0.14,-0.02,0.17
CarII-4704,5007.21,22.0,0.82,0.17,66.4,,9.7,,2.79,0.28,0.17,0.23,0.21,-0.04,-0.07,-0.01,0.1
CarII-4704,5014.94,26.0,3.94,-0.18,63.6,,3.4,,5.47,0.29,0.25,0.15,0.13,-0.03,-0.07,-0.01,0.1
CarII-4704,5022.24,26.0,3.98,-0.33,54.8,,1.0,,5.52,0.24,0.2,0.14,0.13,-0.03,-0.05,-0.01,0.09
CarII-4704,5035.36,28.0,3.63,0.29,51.5,,2.7,,4.13,0.26,0.22,0.14,0.13,-0.02,-0.04,-0.01,0.1
CarII-4704,5051.64,26.0,0.91,-2.76,90.1,,5.4,,4.91,0.45,0.33,0.3,0.27,-0.05,-0.13,-0.02,0.24
CarII-4704,5068.77,26.0,2.94,-1.23,74.5,,7.5,,5.52,0.39,0.34,0.2,0.17,-0.04,-0.09,-0.01,0.19
CarII-4704,5079.74,26.0,0.99,-3.25,91.7,,2.0,,5.51,0.4,0.26,0.3,0.27,-0.05,-0.13,-0.02,0.26
CarII-4704,5083.34,26.0,0.96,-2.84,83.9,,4.8,,4.91,0.42,0.31,0.29,0.26,-0.04,-0.11,-0.02,0.22
CarII-4704,5123.72,26.0,1.01,-3.06,92.6,,2.4,,5.36,0.41,0.27,0.3,0.27,-0.05,-0.13,-0.02,0.19
CarII-4704,5127.36,26.0,0.91,-3.25,79.4,,0.0,,5.17,0.34,0.19,0.28,0.26,-0.04,-0.1,-0.02,0.14
CarII-4704,5129.16,22.1,1.89,-1.34,79.5,,2.8,,3.13,0.28,0.24,0.14,0.03,0.1,-0.09,-0.01,0.14
CarII-4704,5150.84,26.0,0.99,-3.04,101.5,,4.6,,5.5,0.46,0.32,0.33,0.28,-0.05,-0.17,-0.03,0.23
CarII-4704,5151.91,26.0,1.01,-3.32,88.6,,3.4,,5.54,0.41,0.28,0.3,0.27,-0.04,-0.12,-0.02,0.2
CarII-4704,5162.27,26.0,4.17,0.02,43.9,,9.6,,5.19,0.21,0.17,0.12,0.12,-0.02,-0.03,-0.01,0.08
CarII-4704,5171.6,26.0,1.48,-1.72,121.8,,1.3,,5.24,0.44,0.25,0.37,0.28,-0.06,-0.22,-0.03,0.26
CarII-4704,5172.68,12.0,2.71,-0.39,208.2,,4.6,,5.28,0.31,0.12,0.29,0.23,-0.14,-0.09,-0.01,0.16
CarII-4704,5183.6,12.0,2.72,-0.17,258.2,,5.4,,5.4,0.3,0.08,0.29,0.24,-0.15,-0.06,-0.01,0.12
CarII-4704,5185.9,22.1,1.89,-1.41,56.9,,3.1,,2.81,0.25,0.22,0.12,0.04,0.1,-0.04,-0.0,0.08
CarII-4704,5188.68,22.1,1.58,-1.21,100.9,,4.9,,3.02,0.36,0.32,0.18,0.05,0.09,-0.14,-0.01,0.18
CarII-4704,5191.45,26.0,3.04,-0.55,97.9,,1.8,,5.4,0.34,0.24,0.25,0.19,-0.06,-0.14,-0.02,0.17
CarII-4704,5192.34,26.0,3.0,-0.42,78.6,,3.3,,4.84,0.33,0.26,0.21,0.18,-0.04,-0.09,-0.01,0.13
CarII-4704,5194.94,26.0,1.56,-2.02,90.3,,9.0,,4.94,0.34,0.19,0.28,0.24,-0.05,-0.13,-0.02,0.16
CarII-4704,5197.58,26.1,3.23,-2.22,66.3,,2.0,,5.28,0.24,0.2,0.12,-0.01,0.1,-0.06,-0.0,0.09
CarII-4704,5198.71,26.0,2.22,-2.09,66.2,,9.4,,5.36,0.27,0.17,0.21,0.2,-0.04,-0.06,-0.01,0.09
CarII-4704,5202.34,26.0,2.17,-1.87,61.9,,0.0,,5.0,0.27,0.17,0.21,0.2,-0.03,-0.06,-0.01,0.08
CarII-4704,5206.02,24.0,0.94,0.02,101.0,,0.4,,2.94,0.37,0.23,0.29,0.23,-0.05,-0.16,-0.02,0.18
CarII-4704,5215.18,26.0,3.26,-0.86,65.6,,1.3,,5.36,0.27,0.2,0.17,0.16,-0.04,-0.07,-0.01,0.1
CarII-4704,5216.27,26.0,1.61,-2.08,119.4,,1.5,,5.69,0.44,0.26,0.35,0.28,-0.06,-0.21,-0.03,0.22
CarII-4704,5232.94,26.0,2.94,-0.19,131.3,,0.2,,5.56,0.35,0.17,0.3,0.23,-0.09,-0.18,-0.02,0.19
CarII-4704,5234.63,26.1,3.22,-2.18,81.1,,9.1,,5.52,0.22,0.17,0.14,-0.01,0.1,-0.1,-0.01,0.13
CarII-4704,5250.65,26.0,2.2,-2.18,58.8,,0.8,,5.29,0.28,0.18,0.21,0.2,-0.03,-0.05,-0.01,0.08
CarII-4704,5263.31,26.0,3.26,-0.87,79.6,,0.0,,5.62,0.28,0.19,0.2,0.17,-0.04,-0.1,-0.01,0.11
CarII-4704,5266.56,26.0,3.0,-0.49,85.2,,8.2,,5.03,0.27,0.16,0.22,0.18,-0.05,-0.11,-0.02,0.12
CarII-4704,5283.62,26.0,3.24,-0.45,84.6,,8.6,,5.27,0.27,0.17,0.21,0.17,-0.05,-0.11,-0.02,0.11
CarII-4704,5302.3,26.0,3.28,-0.73,66.7,,1.3,,5.27,0.27,0.2,0.18,0.16,-0.04,-0.07,-0.01,0.09
CarII-4704,5307.36,26.0,1.61,-2.91,64.3,,1.2,,5.39,0.3,0.2,0.23,0.22,-0.04,-0.06,-0.01,0.09
CarII-4704,5324.18,26.0,3.21,-0.11,94.0,,1.3,,5.08,0.33,0.23,0.23,0.19,-0.06,-0.13,-0.02,0.15
CarII-4704,5328.53,26.0,1.56,-1.85,124.5,,0.5,,5.48,0.43,0.23,0.37,0.29,-0.06,-0.22,-0.03,0.21
CarII-4704,5332.9,26.0,1.56,-2.78,82.9,,0.0,,5.53,0.33,0.2,0.27,0.24,-0.04,-0.1,-0.02,0.12
CarII-4704,5336.79,22.1,1.58,-1.6,72.4,,3.8,,2.86,0.29,0.25,0.14,0.06,0.11,-0.07,-0.0,0.09
CarII-4704,5339.93,26.0,3.26,-0.63,59.8,,1.6,,5.02,0.26,0.2,0.17,0.16,-0.03,-0.05,-0.01,0.07
CarII-4704,5341.02,26.0,1.61,-1.95,120.6,,8.5,,5.55,0.4,0.19,0.35,0.28,-0.06,-0.21,-0.03,0.19
CarII-4704,5345.8,24.0,1.0,-0.95,45.9,,9.6,,2.96,0.26,0.15,0.2,0.2,-0.03,-0.03,-0.01,0.05
CarII-4704,5367.47,26.0,4.41,0.35,49.2,,8.9,,5.22,0.2,0.15,0.12,0.11,-0.03,-0.04,-0.01,0.06
CarII-4704,5369.96,26.0,4.37,0.35,54.6,,2.2,,5.26,0.25,0.21,0.13,0.11,-0.03,-0.05,-0.01,0.06
CarII-4704,5393.17,26.0,3.24,-0.72,71.3,,9.1,,5.28,0.25,0.17,0.19,0.17,-0.04,-0.08,-0.01,0.1
CarII-4704,5409.78,24.0,1.03,-0.67,66.1,,0.3,,3.04,0.28,0.18,0.22,0.21,-0.04,-0.07,-0.01,0.09
CarII-4704,5415.2,26.0,4.38,0.5,55.5,,7.2,,5.14,0.18,0.12,0.13,0.11,-0.03,-0.05,-0.01,0.07
CarII-4704,5424.07,26.0,4.32,0.52,74.6,,9.1,,5.38,0.23,0.17,0.16,0.13,-0.04,-0.08,-0.01,0.1
CarII-4704,5497.52,26.0,1.01,-2.83,107.0,,7.5,,5.37,0.38,0.16,0.34,0.29,-0.05,-0.17,-0.03,0.15
CarII-4704,5501.47,26.0,0.96,-3.05,112.9,,8.6,,5.64,0.4,0.18,0.36,0.3,-0.05,-0.18,-0.03,0.16
CarII-4704,5506.78,26.0,0.99,-2.79,110.7,,8.2,,5.38,0.39,0.17,0.35,0.3,-0.05,-0.17,-0.03,0.14
CarII-4704,5528.4,12.0,4.35,-0.5,56.0,,7.2,,5.02,0.15,0.11,0.11,0.1,-0.03,-0.03,-0.01,0.05
CarII-4704,5534.83,26.1,3.25,-2.75,30.4,,5.9,,5.2,0.16,0.11,0.11,-0.01,0.11,-0.02,-0.0,0.03
CarII-4704,5569.62,26.0,3.41,-0.52,81.4,,8.9,,5.46,0.26,0.17,0.2,0.17,-0.04,-0.1,-0.01,0.09
CarII-4704,5572.84,26.0,3.39,-0.28,79.1,,7.6,,5.15,0.24,0.14,0.2,0.17,-0.04,-0.09,-0.01,0.09
CarII-4704,5586.76,26.0,3.37,-0.11,80.4,,7.9,,4.97,0.25,0.15,0.2,0.17,-0.04,-0.09,-0.01,0.09
CarII-4704,5615.64,26.0,3.33,0.04,112.8,,6.2,,5.4,0.29,0.12,0.27,0.2,-0.07,-0.16,-0.02,0.1
CarII-4704,5624.54,26.0,3.41,-0.76,50.9,,5.7,,5.17,0.18,0.09,0.16,0.15,-0.03,-0.04,-0.01,0.04
CarII-4704,5658.82,26.0,3.39,-0.76,58.8,,6.0,,5.27,0.19,0.1,0.17,0.16,-0.03,-0.05,-0.01,0.05
CarII-4704,5662.52,26.0,4.17,-0.41,25.2,,5.5,,5.23,0.17,0.12,0.12,0.12,-0.02,-0.01,-0.0,0.03
CarII-4704,5701.54,26.0,2.56,-2.22,43.2,,7.3,,5.47,0.22,0.12,0.19,0.18,-0.03,-0.03,-0.01,0.03
CarII-4704,5889.95,11.0,0.0,0.11,161.6,,5.4,,3.61,0.31,0.08,0.3,0.24,-0.08,-0.15,-0.03,0.1
CarII-4704,5895.92,11.0,0.0,-0.19,131.6,,5.2,,3.41,0.28,0.09,0.27,0.22,-0.06,-0.13,-0.03,0.1
CarII-4704,5956.69,26.0,0.86,-4.5,39.4,,5.7,,5.61,0.27,0.09,0.25,0.25,-0.03,-0.02,-0.01,0.03
CarII-4704,6065.48,26.0,2.61,-1.53,70.3,,5.5,,5.26,0.23,0.09,0.21,0.2,-0.03,-0.07,-0.01,0.05
CarII-4704,6102.72,20.0,1.88,-0.79,58.3,,7.3,,4.29,0.19,0.12,0.16,0.15,-0.03,-0.04,-0.01,0.04
CarII-4704,6122.22,20.0,1.89,-0.32,75.0,,4.9,,4.09,0.19,0.08,0.18,0.16,-0.04,-0.07,-0.01,0.04
CarII-4704,6136.61,26.0,2.45,-1.4,101.5,,4.4,,5.51,0.29,0.09,0.27,0.23,-0.04,-0.14,-0.02,0.07
CarII-4704,6137.69,26.0,2.59,-1.4,85.4,,4.6,,5.37,0.25,0.09,0.24,0.21,-0.03,-0.1,-0.02,0.06
CarII-4704,6162.17,20.0,1.9,-0.09,99.1,,5.2,,4.29,0.23,0.09,0.22,0.18,-0.06,-0.11,-0.02,0.06
CarII-4704,6169.56,20.0,2.53,-0.48,17.1,,3.8,,3.94,0.16,0.11,0.11,0.11,-0.02,-0.01,-0.0,0.02
CarII-4704,6191.56,26.0,2.43,-1.6,87.7,,5.7,,5.41,0.27,0.11,0.25,0.22,-0.03,-0.1,-0.02,0.06
CarII-4704,6200.31,26.0,2.61,-2.44,21.8,,4.7,,5.3,0.21,0.11,0.18,0.18,-0.02,-0.01,-0.0,0.02
CarII-4704,6213.43,26.0,2.22,-2.48,43.8,,5.1,,5.3,0.22,0.08,0.2,0.2,-0.03,-0.03,-0.01,0.03
CarII-4704,6219.28,26.0,2.2,-2.45,41.7,,5.0,,5.21,0.22,0.08,0.2,0.2,-0.03,-0.03,-0.01,0.02
CarII-4704,6230.72,26.0,2.56,-1.28,94.4,,5.5,,5.37,0.28,0.1,0.26,0.22,-0.04,-0.12,-0.02,0.06
CarII-4704,6240.65,26.0,2.22,-3.17,21.0,,3.9,,5.54,0.21,0.09,0.19,0.19,-0.02,-0.01,-0.0,0.02
CarII-4704,6246.32,26.0,3.6,-0.77,49.2,,5.9,,5.34,0.18,0.1,0.15,0.15,-0.03,-0.04,-0.01,0.03
CarII-4704,6247.55,26.1,3.89,-2.3,17.5,,4.0,,5.16,0.16,0.11,0.12,-0.03,0.11,-0.01,-0.0,0.02
CarII-4704,6252.56,26.0,2.4,-1.69,82.2,,5.2,,5.36,0.26,0.09,0.24,0.22,-0.04,-0.09,-0.02,0.05
CarII-4704,6254.26,26.0,2.28,-2.43,56.5,,4.8,,5.52,0.22,0.07,0.21,0.2,-0.03,-0.04,-0.01,0.03
CarII-4704,6297.79,26.0,2.22,-2.64,29.0,,4.5,,5.19,0.22,0.09,0.2,0.2,-0.03,-0.01,-0.0,0.02
CarII-4704,6322.69,26.0,2.59,-2.43,34.9,,7.3,,5.53,0.23,0.13,0.18,0.18,-0.03,-0.02,-0.01,0.02
CarII-4704,6335.33,26.0,2.2,-2.18,62.6,,5.5,,5.27,0.23,0.09,0.22,0.21,-0.03,-0.05,-0.01,0.03
CarII-4704,6336.82,26.0,3.68,-0.85,32.3,,4.4,,5.21,0.16,0.08,0.14,0.14,-0.02,-0.02,-0.0,0.02
CarII-4704,6344.15,26.0,2.43,-2.92,19.4,,4.5,,5.5,0.22,0.11,0.19,0.18,-0.02,-0.01,-0.0,0.02
CarII-4704,6393.6,26.0,2.43,-1.62,96.3,,4.7,,5.57,0.28,0.09,0.27,0.23,-0.04,-0.13,-0.02,0.06
CarII-4704,6400.0,26.0,3.6,-0.27,65.3,,5.9,,5.1,0.2,0.1,0.17,0.16,-0.03,-0.06,-0.01,0.04
CarII-4704,6411.65,26.0,3.65,-0.59,51.3,,4.5,,5.24,0.17,0.07,0.16,0.15,-0.03,-0.04,-0.01,0.03
CarII-4704,6421.35,26.0,2.28,-2.01,66.8,,4.5,,5.26,0.23,0.07,0.22,0.21,-0.03,-0.06,-0.02,0.04
CarII-4704,6430.85,26.0,2.17,-1.95,80.9,,4.3,,5.3,0.25,0.07,0.24,0.22,-0.03,-0.09,-0.02,0.04
CarII-4704,6432.68,26.1,2.89,-3.57,20.8,,3.9,,5.33,0.15,0.09,0.11,0.0,0.11,-0.01,0.0,0.02
CarII-4704,6439.07,20.0,2.52,0.47,71.0,,4.6,,4.0,0.17,0.08,0.15,0.13,-0.03,-0.06,-0.01,0.04
CarII-4704,6449.81,20.0,2.52,-0.5,25.6,,4.7,,4.17,0.15,0.1,0.12,0.11,-0.02,-0.01,-0.01,0.02
CarII-4704,6456.38,26.1,3.9,-2.05,38.4,,4.3,,5.38,0.14,0.08,0.12,-0.03,0.11,-0.03,-0.0,0.02
CarII-4704,6494.98,26.0,2.4,-1.27,109.2,,4.9,,5.42,0.31,0.09,0.29,0.25,-0.04,-0.15,-0.03,0.06
CarII-4704,6499.65,20.0,2.52,-0.82,16.7,,3.2,,4.26,0.15,0.09,0.11,0.11,-0.02,-0.01,-0.0,0.01
CarII-4704,6592.91,26.0,2.73,-1.6,61.3,,4.4,,5.29,0.21,0.07,0.2,0.19,-0.03,-0.05,-0.01,0.03
CarII-4704,6593.87,26.0,2.43,-2.42,31.1,,3.4,,5.25,0.2,0.06,0.19,0.19,-0.03,-0.02,-0.01,0.02
CarII-4704,6663.44,26.0,2.42,-2.48,45.7,,5.2,,5.55,0.22,0.09,0.2,0.19,-0.02,-0.03,-0.01,0.03
CarII-4704,6677.98,26.0,2.69,-1.47,86.0,,5.8,,5.53,0.26,0.11,0.24,0.21,-0.03,-0.1,-0.02,0.05
CarII-4704,6717.68,20.0,2.71,-0.52,23.4,,3.8,,4.35,0.14,0.09,0.11,0.11,-0.02,-0.01,-0.0,0.01
CarII-4704,6750.15,26.0,2.42,-2.62,36.9,,4.7,,5.54,0.21,0.08,0.19,0.19,-0.02,-0.02,-0.01,0.02
CarII-4704,6767.77,28.0,1.82,-2.14,45.4,,4.5,,4.19,0.22,0.07,0.21,0.21,-0.02,-0.03,-0.01,0.02
CarII-4704,7698.97,19.0,0.0,-0.17,47.7,,4.6,,2.96,0.17,0.07,0.16,0.15,-0.03,-0.03,-0.01,0.02
CarII-4704,4310.0,6.0,,,,,,,5.69,0.35,0.05,0.34,0.33,-0.1,0.01,0.01,
CarII-4704,4323.0,6.0,,,,,,,5.59,0.29,0.07,0.28,0.26,-0.09,0.01,0.02,
CarII-4704,3944.0,13.0,0.0,-0.62,,,,,2.48,2.78,1.44,2.38,2.36,-0.29,0.04,0.02,0.41
CarII-4704,3905.5,14.0,0.0,-0.62,,,,,3.96,0.81,0.74,0.34,0.34,-0.04,-0.04,-0.04,0.75
CarII-4704,4077.7,38.1,0.0,0.17,,,,,1.74,0.52,0.49,0.17,-0.04,0.12,-0.11,-0.01,0.28
CarII-4704,4215.5,38.1,0.0,-0.17,,,,,1.62,0.51,0.48,0.17,0.05,0.15,-0.06,-0.0,0.21
CarII-4704,4554.0,56.1,0.0,0.16,,,,,2.15,0.17,0.12,0.13,0.08,0.09,-0.01,0.0,0.08
CarII-4704,4934.1,56.1,0.0,-0.16,,,,,2.0,0.25,0.17,0.18,0.15,0.09,-0.01,-0.0,0.06
CarII-4704,3995.3,27.0,0.92,-0.22,,,,,3.0,0.41,0.34,0.22,0.2,0.05,0.05,0.05,0.46
CarII-4704,4030.8,25.0,0.0,-0.48,,,,,2.41,0.39,0.36,0.17,0.15,-0.04,-0.07,-0.03,0.5
CarII-4704,4033.1,25.0,0.0,-0.62,,,,,2.52,0.38,0.34,0.19,0.18,-0.05,-0.04,-0.01,0.48
CarII-4704,4034.5,25.0,0.0,-0.81,,,,,2.61,0.43,0.35,0.25,0.25,-0.05,-0.04,-0.0,0.46
CarII-4704,4041.4,25.0,2.11,0.28,,,,,2.44,0.38,0.36,0.13,0.13,0.0,0.0,0.0,0.14
CarII-4704,4110.5,27.0,1.05,-1.08,,,,,2.73,0.4,0.35,0.2,0.18,-0.02,-0.04,-0.05,0.15
CarII-4704,4118.8,27.0,1.05,-0.49,,,,,2.45,0.44,0.36,0.26,0.24,-0.04,-0.07,-0.01,0.29
CarII-4704,4121.3,27.0,0.92,-0.32,,,,,2.56,0.42,0.39,0.18,0.11,-0.03,-0.09,-0.09,0.38
CarII-4704,4246.8,21.1,0.32,0.24,,,,,0.95,0.53,0.42,0.32,-0.15,0.18,-0.21,-0.02,0.4
CarII-4704,4314.1,21.1,0.62,-0.1,,,,,1.05,0.54,0.48,0.25,-0.08,0.17,-0.16,-0.04,0.38
CarII-4704,4325.0,21.1,0.59,-0.44,,,,,0.64,0.28,0.21,0.18,-0.0,0.14,-0.12,-0.01,0.2
