Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,R,H,I,V,B,J,K,U,otype,plx_value,pmdec,rvz_nature,rvz_qual,pmra,sp_qual,sp_bibcode,sp_type
True,,BL173,02:39:14.36,-34:34:42.3,GB07 Fnx26,39.80992814683,-34.57851051245,0.0586,0.0809,90,O,2020yCat.1350....0G,,15.182999610900879,17.110000610351562,18.756999969482422,,15.914999961853027,15.336000442504883,,RG*,0.033,-0.515,s,A,0.294,,,
True,,BL180,02:39:33.38,-34:33:58.4,2MASS J02393340-3433584,39.88920930798,-34.56624675031,0.0498,0.0678,90,O,2020yCat.1350....0G,,15.119000434875488,16.760000228881836,18.149999618530273,,15.802000045776367,14.765999794006348,,RG*,0.0647,-0.49,s,A,0.328,,,
True,,BL181,02:39:16.76,-34:34:49.9,2MASS J02391678-3434501,39.81994929731,-34.58059247063001,0.0566,0.0761,90,O,2020yCat.1350....0G,17.656999588012695,15.01200008392334,16.899999618530273,18.459999084472656,20.070999145507812,15.781999588012695,15.02299976348877,,RG*,,-0.146,s,A,0.422,,,
True,,BL183,02:39:47.94,-34:26:43.4,[WMO2009] For-0951,39.94983848615001,-34.44551979728,0.0502,0.0692,90,O,2020yCat.1350....0G,,15.187999725341797,16.739999771118164,18.15999984741211,,16.125,14.864999771118164,,*,0.8758,9.668,s,A,9.971,,,
True,,BL185,02:39:27.67,-34:37:48.5,GB07 Fnx33,39.86537693694,-34.63021984520999,0.0473,0.0619,90,O,2020yCat.1350....0G,17.447999954223633,14.878000259399414,,18.347000122070312,19.82900047302246,15.664999961853027,14.67300033569336,,RG*,0.0442,-0.474,s,A,0.383,,,
True,,BL189,02:39:38.24,-34:31:20.3,[LHT2010] BL189,39.909460509043335,-34.522340332611385,0.0584,0.0748,90,O,2020yCat.1350....0G,,,,,,,,,RG*,0.176,-0.462,s,A,0.508,,,
True,,BL190,02:39:17.80,-34:30:56.8,GB07 Fnx17,39.82428445737,-34.51584440568,0.0626,0.0805,90,O,2020yCat.1350....0G,,15.1850004196167,16.979999542236328,18.70199966430664,,15.755000114440918,14.74899959564209,,RG*,0.0962,-0.321,s,A,0.36,,,
True,,BL195,02:39:20.21,-34:31:57.0,GB07 Fnx18,39.83432437757,-34.5325779723,0.0544,0.072,90,O,2020yCat.1350....0G,,15.553000450134277,16.989999771118164,18.533000946044922,,15.95199966430664,15.406999588012695,,RG*,,-0.398,s,A,0.488,,,
True,,BL196,02:39:34.07,-34:33:33.2,2MASS J02393411-3433333,39.89209516702001,-34.55924104693,0.0508,0.0691,90,O,2020yCat.1350....0G,,15.178000450134277,,18.464000701904297,,15.85200023651123,14.845999717712402,,RG*,,-0.301,s,A,0.284,,,
True,,BL197,02:39:29.33,-34:26:35.5,2MASS J02392937-3426359,39.87233863801,-34.44330821069,0.0493,0.0652,90,O,2020yCat.1350....0G,17.51300048828125,14.892000198364258,16.760000228881836,18.41699981689453,20.023000717163086,15.607000350952148,14.609999656677246,,RG*,,-0.255,s,A,0.344,,,
