Seq,Name,[Fe/H],Species,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_[X/H],Nlines
9,BS 17569-049,-2.88,Mn I,,2.09,,-3.3,,-0.43,0.05,3
9,BS 17569-049,-2.88,Fe I,,4.65,,-2.85,,0.03,0.17,147
9,BS 17569-049,-2.88,Fe II,,4.6,,-2.9,,-0.03,0.1,18
9,BS 17569-049,-2.88,Co I,,2.37,,-2.55,,0.33,0.09,4
9,BS 17569-049,-2.88,Ni I,,3.41,,-2.84,,0.04,0.07,3
9,BS 17569-049,-2.88,Zn I,,1.95,,-2.65,,0.23,,1
10,CS 22169-035,-3.04,C-H,,5.2,,-3.32,,0.28,,
10,CS 22169-035,-3.04,C-N,,,,,,,,
10,CS 22169-035,-3.04,O I,,,,,,,,
10,CS 22169-035,-3.04,Na I,,,,,,,,0
10,CS 22169-035,-3.04,Mg I,,4.63,,-2.95,,0.09,0.11,8
10,CS 22169-035,-3.04,Al I,,2.56,,-3.91,,-0.87,,2
10,CS 22169-035,-3.04,Si I,,4.8,,-2.75,,0.29,,1
10,CS 22169-035,-3.04,K I,,2.5,,-2.62,,0.42,,1
10,CS 22169-035,-3.04,Ca I,,3.45,,-2.91,,0.13,0.1,16
10,CS 22169-035,-3.04,Sc II,,-0.05,,-3.22,,-0.18,0.11,7
10,CS 22169-035,-3.04,Ti I,,1.94,,-3.08,,-0.04,0.02,11
10,CS 22169-035,-3.04,Ti II,,1.88,,-3.14,,-0.1,0.14,31
10,CS 22169-035,-3.04,Cr I,,2.2,,-3.47,,-0.43,0.18,7
10,CS 22169-035,-3.04,Mn I,,2.06,,-3.33,,-0.29,0.05,3
10,CS 22169-035,-3.04,Fe I,,4.46,,-3.04,,0.0,0.19,149
10,CS 22169-035,-3.04,Fe II,,4.46,,-3.04,,0.0,0.13,19
10,CS 22169-035,-3.04,Co I,,1.78,,-3.14,,-0.1,0.13,4
10,CS 22169-035,-3.04,Ni I,,2.93,,-3.32,,-0.28,0.17,3
10,CS 22169-035,-3.04,Zn I,,1.66,,-2.94,,0.1,,1
11,CS 22172-002,-3.86,C-H,,4.63,,-3.89,,-0.03,,
11,CS 22172-002,-3.86,C-N,,,,,,,,
11,CS 22172-002,-3.86,O I,<,5.95,<,-2.82,<,1.04,,
11,CS 22172-002,-3.86,Na I,,2.12,,-4.21,,-0.35,,2
