Name,Teff,logg,log_L,[Fe/H],[N/Fe]_ul,[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,[Sr/Fe]_ul,[Sr/Fe],[Ba/Fe]_ul,[Ba/Fe],I/O,Reference,Ref,MP_key,Ncap_key,C_key
HE 1247-2114,5012,2.08,2.02,-2.61,,,0.28,0.02,0.3,,0.46,,-0.48,1,Barklem+2005,BAR05,VMP,,
HE 1248-1800,5288,2.92,1.27,-2.89,,,0.49,0.0,0.49,,-0.16,,-0.18,1,Barklem+2005,BAR05,VMP,,
HE 1249-2932,4718,1.52,2.47,-2.65,,,-0.45,0.45,0.0,,-0.78,,-1.26,1,Barklem+2005,BAR05,VMP,,
HE 1249-3121,5373,3.4,0.82,-3.23,,,1.82,0.0,1.82,,-0.88,,,1,Barklem+2005,BAR05,EMP,,CE
HE 1251-0104,5084,2.32,1.8,-2.73,,,0.21,0.01,0.22,,-0.12,,-0.42,1,Barklem+2005,BAR05,VMP,,
HE 1252+0044,5296,2.98,1.21,-3.28,,,0.5,0.0,0.5,,0.8,,-0.62,1,Barklem+2005,BAR05,EMP,,
HE 1252-0117,4847,1.67,2.37,-2.86,,,-0.2,0.27,0.07,,-0.89,,-1.7,1,Barklem+2005,BAR05,VMP,,
HE 1254+0009,4865,1.86,2.18,-2.95,,,-0.15,0.08,-0.07,,-0.24,,-0.9,1,Barklem+2005,BAR05,VMP,,
HE 1256-0228,4860,1.83,2.21,-2.08,,,-0.08,0.19,0.11,,0.1,,0.07,1,Barklem+2005,BAR05,VMP,,
HE 1256-0651,6137,4.05,0.4,-2.36,,,0.52,0.0,0.52,,-0.25,,-0.36,1,Barklem+2005,BAR05,VMP,,
HE 1258-1317,5175,2.5,1.65,-2.9,,,0.17,0.01,0.18,,,,-0.99,1,Cohen+2013,COH13,VMP,,
HE 1259-0621,5787,3.68,0.67,-2.64,,,0.37,0.0,0.37,,0.17,,-0.02,1,Barklem+2005,BAR05,VMP,,
HE 1300+0157,5529,3.25,1.02,-3.75,0.71,,1.31,0.0,1.31,,-1.73,-0.85,,1,Yong+2013,YON13,EMP,,NO
HE 1300-0641,5308,2.96,1.24,-3.14,,,1.2,0.01,1.21,,-0.5,,-0.86,1,Barklem+2005,BAR05,EMP,,NO
HE 1300-0642,5173,2.68,1.47,-3.02,,,0.3,0.01,0.31,,-0.12,,-0.43,1,Barklem+2005,BAR05,EMP,,
HE 1300-2201,6332,4.64,-0.14,-2.61,,,0.92,0.0,0.92,,0.38,,-0.13,1,Barklem+2005,BAR05,VMP,,NO
HE 1300-2431,5029,1.96,2.14,-3.25,,,-0.2,0.01,-0.19,,-0.29,,-0.5,1,Barklem+2005,BAR05,EMP,,
HE 1305+0007,4750,2.0,2.0,-2.08,,,1.85,0.05,1.9,,0.96,,2.4,0,Goswami+2006,GOS06,VMP,RS,CE
HE 1305-0331,6081,4.22,0.21,-3.26,,,1.09,0.0,1.09,,-0.07,,,1,Barklem+2005,BAR05,EMP,,CE
HE 1310-0536,4975,1.92,2.16,-4.15,1.2,,2.45,0.08,2.53,,,,-0.49,1,Hansen+2014,HAN14,UMP,,NO
HE 1311-0131,4825,1.5,2.53,-3.15,,,0.33,0.4,0.73,,,,-0.62,1,Hollek+2011,HOL11,EMP,,NO
HE 1311-1412,4796,1.5,2.52,-2.88,,,-0.19,0.44,0.25,,0.04,,-0.11,1,Barklem+2005,BAR05,VMP,,
HE 1314-3036,4757,1.54,2.47,-2.98,,,-0.17,0.39,0.22,,-0.02,,-0.1,1,Barklem+2005,BAR05,VMP,,
HE 1317-0407,4725,0.3,3.69,-3.1,,,-0.52,0.74,0.22,,,,-0.35,1,Hollek+2011,HOL11,EMP,,
HE 1319-1935,4691,1.27,2.71,-2.22,,0.46,1.45,0.15,1.6,,,,1.68,0,Yong+2013,YON13,VMP,RS,CE
HE 1320+0139,6500,3.7,0.85,-3.38,,,0.35,0.0,0.35,,,,-1.32,1,Cohen+2013,COH13,EMP,,
HE 1320-1339,4935,1.69,2.38,-2.78,,,-0.55,0.27,-0.28,,0.33,,-0.48,1,Barklem+2005,BAR05,VMP,,
HE 1327-2326,6180,4.5,-0.04,-5.65,,4.23,3.9,0.0,3.9,,1.27,1.42,,1,Masseron+2012,MAS12,HMP,,NO
HE 1330-0354,6257,4.13,0.35,-2.29,,,0.96,0.0,0.96,,0.11,,-0.56,1,Barklem+2005,BAR05,VMP,,NO
HE 1330-0607,5094,2.3,1.82,-2.33,,,0.17,0.01,0.18,,-0.35,,-0.81,1,Barklem+2005,BAR05,VMP,,
HE 1332-0309,5125,2.4,1.73,-2.46,,,0.17,0.01,0.18,,0.4,,,1,Barklem+2005,BAR05,VMP,,
HE 1333-0340,6053,4.18,0.24,-2.64,,,0.38,0.0,0.38,,0.37,,,1,Zhang+2011,ZHA11,VMP,,
HE 1335+0135,5246,2.94,1.24,-2.47,,,0.09,0.01,0.1,,0.14,,-0.82,1,Barklem+2005,BAR05,VMP,,
HE 1337+0012,6390,4.38,0.14,-3.25,,1.57,0.5,0.0,0.5,,0.28,,-0.25,1,Aoki+2006,AOK06,EMP,,
HE 1337-0453,5938,3.56,0.83,-2.34,,,0.08,0.0,0.08,,0.25,,-0.29,1,Barklem+2005,BAR05,VMP,,
HE 1338-0052,5856,3.7,0.67,-3.0,,,1.32,0.0,1.32,,,,-0.02,1,Cohen+2013,COH13,EMP,,NO
HE 1345-0206,5006,2.22,1.87,-2.82,,,0.3,0.01,0.31,,-0.33,,-1.15,1,Barklem+2005,BAR05,VMP,,
HE 1347-1025,5206,2.52,1.64,-3.71,,,0.15,0.01,0.16,,-1.05,,-0.5,1,Yong+2013,YON13,EMP,,
HE 1351-1049,5204,2.85,1.31,-3.46,,,1.46,0.01,1.47,,0.13,,0.05,1,Barklem+2005,BAR05,EMP,,CE
HE 1357-0123,4600,1.0,2.95,-3.8,,,-0.29,0.69,0.4,,,,-1.69,1,Cohen+2013,COH13,EMP,,
HE 1405-0822,5220,1.7,2.47,-2.4,,1.34,1.97,0.08,2.05,,,,1.95,0,Cui+2013,CUI13,VMP,RS,CE
HE 1405-2512,5602,3.3,0.99,-2.8,,,0.52,0.0,0.52,,,,-1.15,1,Cohen+2013,COH13,VMP,,
