Name,Teff,logg,log_L,[Fe/H],[N/Fe]_ul,[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,[Sr/Fe]_ul,[Sr/Fe],[Ba/Fe]_ul,[Ba/Fe],I/O,Reference,Ref,MP_key,Ncap_key,C_key
HE 2341-2029,6500,4.4,0.15,-2.53,,1.1,1.05,0.0,1.05,,-0.01,,-0.42,1,Cohen+2013,COH13,VMP,,NO
HE 2345-1919,5617,4.46,-0.17,-2.46,,,0.2,0.0,0.2,,-0.18,,-0.51,1,Barklem+2005,BAR05,VMP,,
HE 2347-1334,4453,0.95,2.94,-2.56,,,-0.54,0.75,0.21,,-0.11,,-0.83,1,Barklem+2005,BAR05,VMP,,
HE 2347-1448,6162,3.98,0.47,-2.31,,,0.46,0.0,0.46,,0.18,,-0.21,1,Barklem+2005,BAR05,VMP,,
HE 2356-0410,5170,2.45,1.7,-3.19,,1.75,2.27,0.02,2.29,,-0.9,,-0.8,1,Yong+2013,YON13,EMP,,NO
HE 2357-0701,5142,2.4,1.74,-3.17,,0.87,0.26,0.01,0.27,,,,-1.34,1,Cohen+2013,COH13,EMP,,
HK17435-00532,5200,2.15,2.01,-2.23,,,0.77,0.01,0.78,,0.41,,0.86,0,Roederer+2008b,ROE8b,VMP,,CE
LP625-44,5500,2.8,1.46,-2.71,,1.0,2.1,0.02,2.12,,1.22,,2.74,0,Masseron+2012,MAS12,VMP,RS,CE
LP 815-43,6533,4.25,0.31,-2.67,,,0.22,0.0,0.22,,-0.01,,,1,Akerman+2004,AKE04,VMP,,
SDSS J0002+29,6150,4.0,0.45,-3.26,,,2.63,0.0,2.63,,,,1.84,0,Aoki+2013,AOK13,EMP,RS,CE
SDSS J0018-09,4600,5.0,-1.05,-2.65,,,-0.88,0.0,-0.88,,,,,1,Aoki+2013,AOK13,VMP,,
SDSS J0036-10,6479,4.31,0.23,-2.6,,,2.32,0.0,2.32,,,,0.4,1,Yong+2013,YON13,VMP,,CE
SDSS J0126+06,6900,4.0,0.65,-3.01,,,3.08,0.0,3.08,,,,3.2,0,Aoki+2013,AOK13,EMP,RS,CE
SDSS J0140+23,5703,3.36,0.96,-4.09,,,1.57,0.0,1.57,,,-0.04,,1,Yong+2013,YON13,UMP,,NO
SDSS J0259+00,4550,5.0,-1.07,-3.31,,,-0.02,0.0,-0.02,,,,,1,Aoki+2013,AOK13,EMP,,
SDSS J0308+05,5950,4.0,0.39,-2.19,,,2.36,0.0,2.36,,,,,1,Aoki+2013,AOK13,VMP,,CE
SDSS J0351+10,5450,3.6,0.64,-3.18,,,1.55,0.0,1.55,,,,,1,Aoki+2013,AOK13,EMP,,NO
SDSS J0629+83,5550,4.0,0.27,-2.82,,,2.09,0.0,2.09,,,,,1,Aoki+2013,AOK13,VMP,,CE
SDSS J0711+67,5350,3.0,1.21,-2.91,,,1.98,0.01,1.99,,,,0.82,0,Aoki+2013,AOK13,VMP,,CE
SDSS J0723+36,5150,2.2,1.94,-3.32,,,1.79,0.02,1.81,,,,,1,Aoki+2013,AOK13,EMP,,NO
SDSS J0741+67,5200,2.5,1.66,-2.87,,,0.74,0.01,0.75,,,,0.26,1,Aoki+2013,AOK13,VMP,,CE
SDSS J0817+26,6300,4.0,0.49,-3.16,,,2.41,0.0,2.41,,,,0.77,0,Aoki+2008,AOK08,EMP,,CE
SDSS J0858+35,5200,2.5,1.66,-2.53,,,0.3,0.01,0.31,,,,-0.02,1,Aoki+2013,AOK13,VMP,,
SDSS J0912+02,6500,4.5,0.05,-2.5,,1.75,2.17,0.0,2.17,,,,1.49,0,Masseron+2012,MAS12,VMP,RS,CE
