Reference,Ref,Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Teff,logg,M/H,Vmic,e_Teff,e_logg,e_M/H,e_Vmic,UT-DATE,BINNING,EXPTIME,SLITSIZE,[C/Fe],e_[C/Fe],[C/H],e_[C/H],[Fe/H],[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[Sc/H],[TiII/H],[Cr/H],[CrII/H],[Mn/H],[Co/H],[Ni/H],[Zn/H],[Sr/H],[Y/H],[Zr/H],[Ba/H],[La/H],[Eu/H],[Dy/H],e_[Fe/H],e_[Na/H],e_[Mg/H],e_[Al/H],e_[Si/H],e_[Ca/H],e_[Sc/H],e_[TiII/H],e_[Cr/H],e_[CrII/H],e_[Mn/H],e_[Co/H],e_[Ni/H],e_[Zn/H],e_[Sr/H],e_[Y/H],e_[Zr/H],e_[Ba/H],e_[La/H],e_[Eu/H],e_[Dy/H],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[Ca/Fe],[Sc/Fe],[TiII/Fe],[Cr/Fe],[CrII/Fe],[Mn/Fe],[Co/Fe],[Ni/Fe],[Zn/Fe],[Sr/Fe],[Y/Fe],[Zr/Fe],[Ba/Fe],[La/Fe],[Eu/Fe],[Dy/Fe],e_[Na/Fe],e_[Mg/Fe],e_[Al/Fe],e_[Si/Fe],e_[Ca/Fe],e_[Sc/Fe],e_[TiII/Fe],e_[Cr/Fe],e_[CrII/Fe],e_[Mn/Fe],e_[Co/Fe],e_[Ni/Fe],e_[Zn/Fe],e_[Sr/Fe],e_[Y/Fe],e_[Zr/Fe],e_[Ba/Fe],e_[La/Fe],e_[Eu/Fe],e_[Dy/Fe],[Eu/Mg],[Eu/FeII],[Sr/Ba],[Sr/Mg],[Eu/Ba],e_[Eu/Mg],e_[Eu/FeII],e_[Sr/Ba],e_[Sr/Mg],e_[Eu/Ba]
Ou+2024c,OU24c,Gaia DR3 4045622011959470464,Gaia DR3 4045622011959470464,DW,Gaia-Sausage/Enceladus,18:20:20.18,-32:18:14.08,275.084083,-32.30391,4598,1.69,-1.31,1.58,124,0.21,0.21,0.24,2021-10-10,2x2,1200,0.70x5.00,-0.3,0.25,-1.61,0.19,-1.3,-1.26,-0.96,-2.1,-0.95,-0.93,-1.0,-0.92,-1.29,-1.26,-1.56,-1.53,-1.32,-1.26,-1.16,-1.41,-1.17,-1.03,-1.05,-0.6,-0.7,0.2,0.1,0.13,0.29,0.06,0.18,0.18,0.15,0.28,0.17,0.14,0.23,0.14,0.12,0.12,0.15,0.09,0.19,0.11,0.13,0.07,0.05,0.35,-0.8,0.36,0.37,0.28,0.36,0.02,0.02,-0.26,-0.23,-0.02,0.04,0.12,-0.13,0.11,0.25,0.24,0.68,0.58,0.13,0.14,0.2,0.2,0.04,0.11,0.09,0.1,0.12,0.09,0.21,0.08,0.22,0.17,0.14,0.11,0.13,0.1,0.13,0.1,0.36,0.68,-0.13,-0.21,0.44,0.21,0.13,0.16,0.15,0.19
Ou+2024c,OU24c,Gaia DR3 4081038754562022528,Gaia DR3 4081038754562022528,DW,Gaia-Sausage/Enceladus,19:14:46.24,-22:11:37.79,288.692667,-22.19383,4253,1.18,-1.22,1.83,122,0.21,0.22,0.24,2021-09-09,2x2,1800,0.70x5.00,-0.8,0.28,-2.0,0.22,-1.21,-1.21,-0.98,-2.26,-0.77,-0.86,-0.82,-0.87,-1.26,-1.35,-1.59,-1.65,-1.27,-1.18,-1.16,-1.24,,-0.97,-0.86,-0.45,-0.7,0.18,0.13,0.14,0.24,0.09,0.22,0.2,0.17,0.36,0.16,0.15,0.24,0.14,0.17,0.09,0.2,,0.18,0.15,0.13,0.02,0.0,0.23,-1.05,0.44,0.35,0.33,0.28,-0.06,-0.2,-0.38,-0.44,-0.06,0.03,-0.02,-0.09,,0.18,0.29,0.7,0.44,0.1,0.12,0.16,0.19,0.09,0.2,0.14,0.2,0.06,0.1,0.25,0.08,0.22,0.2,0.26,,0.16,0.2,0.13,0.21,0.53,0.7,-0.19,-0.19,0.52,0.21,0.13,0.15,0.14,0.15
Ou+2024c,OU24c,Gaia DR3 4227203402244069120,Gaia DR3 4227203402244069120,DW,Gaia-Sausage/Enceladus,20:55:15.30,-00:54:16.09,313.81375,-0.90447,4220,1.15,-1.18,1.73,122,0.21,0.22,0.23,2021-07-29,2x1,1659,0.50x5.00,-0.8,0.29,-1.99,0.23,-1.19,-0.88,-1.0,-2.26,-0.84,-0.86,-0.7,-0.71,-1.12,-1.31,-1.46,-1.33,-1.23,-1.23,-1.08,-1.17,-1.09,-0.88,-0.67,-0.61,-0.84,0.17,0.14,0.14,0.24,0.09,0.22,0.24,0.17,0.34,0.16,0.2,0.11,0.15,0.15,0.2,0.19,0.0,0.2,0.12,0.13,0.06,0.3,0.18,-1.07,0.35,0.32,0.48,0.48,0.07,-0.12,-0.27,-0.14,-0.04,-0.04,0.11,0.02,0.1,0.3,0.52,0.58,0.35,0.09,0.12,0.16,0.18,0.1,0.22,0.14,0.19,0.06,0.1,0.13,0.08,0.2,0.24,0.25,0.22,0.19,0.18,0.14,0.22,0.4,0.58,-0.2,-0.08,0.28,0.2,0.14,0.23,0.22,0.18
Ou+2024c,OU24c,Gaia DR3 4377687545785813248,Gaia DR3 4377687545785813248,DW,Gaia-Sausage/Enceladus,16:57:51.44,-03:33:20.52,254.464333,-3.5557,4367,1.18,-1.45,1.78,122,0.21,0.21,0.23,2021-09-08,2x2,1800,0.70x5.00,-0.6,0.26,-2.04,0.19,-1.44,-1.35,-1.03,-2.83,-0.93,-0.89,-1.13,-0.96,-1.46,-1.51,-1.78,-2.14,-1.48,-1.43,-1.18,-1.36,-1.16,-1.27,-1.38,-1.22,-1.59,0.19,0.11,0.13,0.52,0.05,0.2,0.19,0.15,0.32,0.14,0.16,0.22,0.14,0.12,0.11,0.17,0.14,0.18,0.13,0.1,0.06,0.09,0.4,-1.39,0.51,0.55,0.39,0.55,-0.02,0.01,-0.34,-0.71,-0.04,0.01,0.34,0.16,0.36,0.24,0.13,0.3,-0.08,0.11,0.11,0.53,0.19,0.05,0.15,0.11,0.14,0.05,0.11,0.16,0.08,0.23,0.18,0.21,0.14,0.15,0.14,0.11,0.14,-0.18,0.3,0.1,-0.14,0.05,0.2,0.11,0.16,0.16,0.17
Ou+2024c,OU24c,Gaia DR3 4420695900880776576,Gaia DR3 4420695900880776576,DW,Gaia-Sausage/Enceladus,15:18:57.69,+01:34:48.29,229.740375,1.58008,4290,1.25,-1.21,1.71,122,0.21,0.22,0.24,2021-07-28,2x1,900,0.50x5.00,-0.71,0.28,-1.91,0.2,-1.19,-1.14,-0.92,-2.1,-0.83,-0.76,-0.87,-0.79,-1.0,-1.34,-1.5,-1.56,-1.23,-1.21,-1.05,-1.18,,-1.01,-1.16,-0.68,-0.74,0.19,0.13,0.16,0.25,0.07,0.23,0.19,0.17,0.34,0.14,0.19,0.19,0.16,0.15,0.12,0.2,,0.2,0.12,0.12,0.06,0.05,0.27,-0.91,0.36,0.43,0.4,0.48,0.2,-0.07,-0.31,-0.37,-0.03,-0.02,0.22,0.09,,0.26,0.1,0.58,0.53,0.1,0.13,0.15,0.19,0.08,0.16,0.14,0.17,0.06,0.07,0.2,0.08,0.21,0.18,0.24,,0.16,0.18,0.13,0.19,0.24,0.58,-0.04,-0.13,0.32,0.21,0.13,0.16,0.17,0.17
Ou+2024c,OU24c,Gaia DR3 4675852078212908416,Gaia DR3 4675852078212908416,DW,Gaia-Sausage/Enceladus,04:25:15.23,-62:13:20.86,66.313458,-62.22246,4899,1.79,-2.29,2.15,122,0.2,0.22,0.24,2021-12-23,2x2,1200,0.70x5.00,-0.06,0.15,-2.32,0.25,-2.26,-2.11,-1.89,-3.11,-1.83,-1.92,-2.22,-1.94,-2.37,-2.2,-2.68,-2.11,-2.25,-2.13,-2.35,-2.44,-2.17,-2.3,-1.96,-1.73,-1.67,0.15,0.22,0.11,0.32,0.18,0.09,0.1,0.08,0.15,0.08,0.1,0.15,0.11,0.07,0.2,0.07,0.08,0.1,0.08,0.06,0.07,0.16,0.38,-0.84,0.44,0.34,0.02,0.3,-0.1,0.04,-0.42,0.15,0.01,0.13,-0.11,-0.2,0.07,-0.06,0.28,0.5,0.57,0.12,0.1,0.2,0.15,0.06,0.06,0.06,0.05,0.06,0.07,0.1,0.06,0.11,0.18,0.06,0.05,0.08,0.07,0.06,0.05,0.15,0.5,-0.06,-0.46,0.56,0.13,0.06,0.14,0.19,0.09
Ou+2024c,OU24c,Gaia DR3 4750826882756774784,Gaia DR3 4750826882756774784,DW,Gaia-Sausage/Enceladus,03:10:38.91,-47:17:25.44,47.662125,-47.2904,4904,1.87,-1.9,1.83,122,0.2,0.27,0.22,2021-12-24,2x2,1200,0.70x5.00,-0.19,0.2,-2.06,0.26,-1.87,-1.74,-1.64,-2.93,-1.6,-1.66,-2.02,-1.68,-2.05,-2.04,-2.37,-1.94,-2.01,-1.95,-1.85,-2.23,-1.94,-1.95,-1.85,-1.54,-1.43,0.18,0.22,0.15,0.39,0.17,0.12,0.1,0.11,0.17,0.09,0.1,0.17,0.12,0.07,0.14,0.1,0.1,0.14,0.09,0.11,0.11,0.13,0.23,-1.06,0.26,0.21,-0.12,0.21,-0.18,-0.15,-0.5,-0.07,-0.14,-0.08,0.04,-0.34,-0.04,-0.06,0.04,0.35,0.46,0.08,0.13,0.26,0.11,0.07,0.05,0.06,0.06,0.06,0.11,0.12,0.09,0.14,0.13,0.06,0.06,0.08,0.07,0.08,0.09,0.1,0.35,0.1,-0.21,0.41,0.17,0.08,0.09,0.16,0.11
Ou+2024c,OU24c,Gaia DR3 4757975288886077184,Gaia DR3 4757975288886077184,DW,Gaia-Sausage/Enceladus,05:29:03.47,-61:05:44.59,82.264458,-61.09572,4622,1.07,-2.53,2.49,122,0.2,0.22,0.25,2021-12-23,2x2,1200,0.70x5.00,-0.38,0.21,-2.9,0.43,-2.52,-2.44,-2.09,-3.41,-1.76,-2.22,-2.55,-2.21,-2.64,-2.55,-2.86,-2.42,-2.44,-2.31,-3.26,-3.22,-2.88,-3.36,-3.25,-2.9,,0.29,0.42,0.19,0.38,0.18,0.19,0.27,0.13,0.29,0.18,0.2,0.26,0.22,0.09,0.31,0.14,0.25,0.14,0.22,0.21,,0.07,0.43,-0.89,0.76,0.3,0.02,0.36,-0.13,0.02,-0.35,0.1,0.08,0.2,-0.69,-0.65,-0.31,-0.79,-0.68,-0.33,,0.17,0.13,0.16,0.11,0.1,0.11,0.08,0.05,0.06,0.1,0.14,0.09,0.32,0.18,0.07,0.1,0.08,0.11,0.09,,-0.81,-0.33,0.1,-1.17,0.46,0.38,0.09,0.22,0.45,0.11
Ou+2024c,OU24c,Gaia DR3 4777636927611794432,Gaia DR3 4777636927611794432,DW,Gaia-Sausage/Enceladus,04:35:43.16,-53:55:09.48,68.929833,-53.9193,4793,1.6,-2.17,2.22,122,0.2,0.22,0.24,2021-12-23,2x2,1200,0.70x5.00,-0.66,0.15,-2.8,0.22,-2.14,-1.98,-1.85,-3.02,-1.65,-1.87,-2.04,-1.82,-2.31,-2.07,-2.59,-2.1,-2.2,-2.06,-2.22,-2.45,-2.13,-2.37,-2.2,-1.87,-1.85,0.17,0.24,0.12,0.25,0.14,0.12,0.1,0.08,0.16,0.08,0.1,0.18,0.12,0.07,0.15,0.07,0.08,0.1,0.07,0.08,0.08,0.16,0.29,-0.88,0.49,0.27,-0.01,0.21,-0.16,-0.04,-0.45,0.04,-0.06,0.08,-0.19,-0.42,-0.1,-0.34,-0.17,0.16,0.18,0.1,0.08,0.1,0.08,0.06,0.05,0.05,0.04,0.04,0.08,0.12,0.06,0.13,0.14,0.05,0.04,0.07,0.06,0.07,0.05,-0.02,0.16,0.15,-0.37,0.5,0.13,0.07,0.08,0.12,0.08
Ou+2024c,OU24c,Gaia DR3 4780985799511960576,Gaia DR3 4780985799511960576,DW,Gaia-Sausage/Enceladus,04:21:29.24,-52:19:57.86,65.371833,-52.33274,4580,1.2,-2.07,2.16,122,0.2,0.21,0.24,2021-12-24,2x2,1200,0.70x5.00,-0.48,0.19,-2.54,0.21,-2.06,-1.95,-1.66,-2.83,-1.43,-1.69,-1.94,-1.67,-2.18,-2.03,-2.48,-1.99,-2.09,-1.98,-2.09,-2.29,-1.99,-1.99,-1.84,-1.55,-1.51,0.2,0.2,0.14,0.0,0.13,0.14,0.12,0.1,0.21,0.09,0.12,0.23,0.15,0.07,0.14,0.11,0.11,0.14,0.1,0.11,0.12,0.1,0.4,-0.77,0.63,0.37,0.12,0.39,-0.12,0.03,-0.42,0.06,-0.03,0.08,-0.04,-0.24,0.07,0.06,0.22,0.5,0.55,0.05,0.11,0.2,0.15,0.07,0.07,0.06,0.05,0.04,0.1,0.18,0.08,0.2,0.13,0.06,0.05,0.08,0.06,0.08,0.06,0.11,0.5,-0.1,-0.44,0.44,0.21,0.08,0.07,0.14,0.12
Ou+2024c,OU24c,Gaia DR3 4786174291804662528,Gaia DR3 4786174291804662528,DW,Gaia-Sausage/Enceladus,05:00:17.56,-47:06:59.54,75.073167,-47.11654,4605,1.19,-2.18,2.23,122,0.2,0.22,0.25,2021-12-24,2x2,2346,0.70x5.00,-0.33,0.15,-2.48,0.23,-2.16,-2.1,-1.82,-3.04,-1.59,-1.82,-2.16,-1.86,-2.32,-2.1,-2.52,-2.15,-2.16,-2.04,-2.03,-2.36,-2.1,-2.54,-2.35,-2.01,-2.09,0.2,0.27,0.13,0.0,0.14,0.14,0.14,0.11,0.2,0.11,0.12,0.2,0.16,0.09,0.13,0.1,0.12,0.14,0.11,0.1,0.16,0.05,0.34,-0.88,0.57,0.33,-0.0,0.29,-0.16,0.05,-0.36,0.01,-0.0,0.12,0.13,-0.21,0.05,-0.38,-0.19,0.14,0.06,0.08,0.1,0.2,0.08,0.08,0.08,0.06,0.05,0.07,0.1,0.13,0.08,0.19,0.11,0.06,0.05,0.07,0.09,0.07,0.08,-0.2,0.14,0.51,-0.21,0.53,0.16,0.07,0.08,0.11,0.09
Ou+2024c,OU24c,Gaia DR3 4816836269489019904,Gaia DR3 4816836269489019904,DW,Gaia-Sausage/Enceladus,04:52:59.14,-40:08:57.01,73.246417,-40.14917,4732,1.4,-2.33,2.21,122,0.2,0.22,0.24,2021-12-23,2x2,1200,0.70x5.00,-0.27,0.16,-2.59,0.26,-2.33,-2.1,-1.86,-3.19,-1.62,-1.91,-2.26,-1.97,-2.47,-2.38,-2.85,-2.17,-2.32,-2.21,-2.35,-2.52,-2.16,-2.42,-2.08,-1.75,-1.74,0.17,0.24,0.12,0.3,0.13,0.11,0.09,0.1,0.17,0.08,0.11,0.2,0.13,0.07,0.23,0.09,0.09,0.12,0.1,0.1,0.08,0.23,0.46,-0.87,0.7,0.41,0.1,0.38,-0.15,-0.03,-0.52,0.15,0.01,0.11,-0.0,-0.17,0.19,-0.06,0.27,0.6,0.61,0.11,0.1,0.17,0.06,0.06,0.05,0.06,0.05,0.04,0.08,0.14,0.07,0.13,0.21,0.06,0.04,0.08,0.07,0.06,0.04,0.11,0.6,0.06,-0.5,0.67,0.15,0.06,0.14,0.2,0.09
Ou+2024c,OU24c,Gaia DR3 4892850490479845120,Gaia DR3 4892850490479845120,DW,Gaia-Sausage/Enceladus,04:32:28.44,-25:44:48.73,68.1185,-25.74687,4953,2.1,-1.76,1.72,122,0.2,0.21,0.23,2021-12-23,2x2,1200,0.70x5.00,-0.12,0.16,-1.88,0.2,-1.76,-1.89,-1.46,-2.43,-1.42,-1.37,-1.57,-1.36,-1.83,-1.72,-2.18,-1.69,-1.77,-1.73,-1.59,-1.87,-1.6,-1.66,-1.51,-1.24,-1.19,0.18,0.07,0.13,0.03,0.14,0.13,0.14,0.11,0.18,0.1,0.1,0.16,0.13,0.07,0.13,0.11,0.11,0.16,0.1,0.1,0.1,-0.13,0.3,-0.66,0.34,0.39,0.21,0.42,-0.07,0.06,-0.42,0.07,-0.01,0.03,0.19,-0.09,0.18,0.12,0.27,0.55,0.6,0.12,0.1,0.16,0.11,0.05,0.08,0.05,0.04,0.04,0.11,0.11,0.08,0.16,0.11,0.03,0.06,0.09,0.06,0.05,0.04,0.23,0.55,0.07,-0.13,0.43,0.18,0.05,0.07,0.13,0.12
Ou+2024c,OU24c,Gaia DR3 4930039787661776896,Gaia DR3 4930039787661776896,DW,Gaia-Sausage/Enceladus,01:31:18.44,-48:45:35.32,22.826833,-48.75981,4895,1.81,-2.16,2.74,122,0.2,0.24,0.29,2021-12-23,2x2,1200,0.70x5.00,-0.39,0.16,-2.55,0.23,-2.17,-1.66,-1.82,-3.12,-1.48,-1.8,-1.86,-1.63,-2.36,-1.86,-2.72,-2.02,-2.09,-1.92,-1.61,-1.84,-1.55,-0.99,-1.2,-1.4,-1.46,0.16,0.24,0.14,0.42,0.13,0.11,0.09,0.08,0.16,0.1,0.11,0.24,0.13,0.06,0.17,0.09,0.08,0.2,0.07,0.11,0.1,0.51,0.35,-0.95,0.69,0.36,-0.02,0.21,-0.2,-0.02,-0.56,0.14,0.08,0.25,0.22,-0.01,0.28,0.85,0.64,0.44,0.38,0.12,0.1,0.34,0.07,0.06,0.07,0.06,0.05,0.09,0.09,0.19,0.06,0.12,0.18,0.06,0.04,0.18,0.06,0.11,0.08,0.42,0.44,-0.62,0.2,-0.41,0.18,0.11,0.14,0.11,0.22
Ou+2024c,OU24c,Gaia DR3 4940475493039087872,Gaia DR3 4940475493039087872,DW,Gaia-Sausage/Enceladus,01:51:29.13,-50:49:12.65,27.871375,-50.82018,4756,1.51,-2.17,2.25,122,0.2,0.22,0.24,2021-12-23,2x2,1200,0.70x5.00,-0.25,0.16,-2.43,0.26,-2.18,-2.2,-1.79,-2.87,-1.56,-1.8,-2.02,-1.81,-2.3,-2.16,-2.56,-2.07,-2.12,-2.17,-2.95,-2.86,-2.59,-2.76,-2.53,-2.16,-2.13,0.18,0.24,0.13,0.1,0.13,0.12,0.12,0.1,0.17,0.08,0.1,0.18,0.13,0.06,0.22,0.08,0.08,0.1,0.12,0.08,0.09,-0.02,0.4,-0.69,0.63,0.38,0.16,0.37,-0.12,0.02,-0.38,0.11,0.06,0.01,-0.76,-0.68,-0.4,-0.58,-0.35,0.02,0.05,0.08,0.1,0.14,0.06,0.07,0.08,0.06,0.05,0.05,0.09,0.13,0.07,0.14,0.18,0.06,0.05,0.06,0.11,0.06,0.03,-0.37,0.02,-0.19,-1.16,0.6,0.15,0.06,0.18,0.23,0.06
Ou+2024c,OU24c,Gaia DR3 4953772814866348928,Gaia DR3 4953772814866348928,DW,Gaia-Sausage/Enceladus,02:32:40.43,-37:08:11.04,38.168458,-37.1364,4661,1.21,-2.38,2.25,122,0.2,0.21,0.23,2021-12-23,2x2,1200,0.70x5.00,-0.33,0.16,-2.73,0.27,-2.4,-2.29,-2.06,-3.17,-1.88,-2.07,-2.34,-2.12,-2.58,-2.37,-2.8,-2.3,-2.36,-2.31,-3.08,-2.96,-2.6,-2.7,-2.31,-1.96,-1.92,0.17,0.24,0.11,0.3,0.16,0.11,0.12,0.11,0.17,0.11,0.11,0.17,0.14,0.1,0.23,0.12,0.1,0.13,0.12,0.11,0.1,0.11,0.34,-0.77,0.51,0.32,0.08,0.3,-0.18,0.06,-0.4,0.09,0.04,0.09,-0.65,-0.54,-0.17,-0.28,0.12,0.47,0.51,0.1,0.1,0.18,0.12,0.07,0.07,0.06,0.06,0.07,0.08,0.11,0.07,0.16,0.19,0.07,0.04,0.08,0.07,0.06,0.03,0.1,0.47,-0.38,-1.02,0.75,0.16,0.06,0.17,0.24,0.08
Ou+2024c,OU24c,Gaia DR3 5152929864265512448,Gaia DR3 5152929864265512448,DW,Gaia-Sausage/Enceladus,03:08:52.10,-16:49:16.32,47.217083,-16.8212,4902,1.97,-1.8,1.9,122,0.21,0.23,0.28,2021-11-08,2x2,1200,0.70x5.00,-0.18,0.18,-1.97,0.23,-1.79,-1.81,-1.5,-2.65,-1.61,-1.4,-1.66,-1.51,-1.92,-1.96,-2.28,-1.74,-1.83,-1.74,-1.82,-2.05,-1.61,-1.65,-1.6,-1.34,-1.13,0.2,0.18,0.14,0.4,0.16,0.14,0.16,0.14,0.2,0.12,0.12,0.17,0.14,0.14,0.16,0.13,0.12,0.18,0.11,0.11,0.17,-0.02,0.3,-0.86,0.19,0.39,0.18,0.32,-0.12,-0.12,-0.48,0.06,-0.04,0.05,0.02,-0.21,0.23,0.19,0.24,0.5,0.71,0.05,0.11,0.23,0.12,0.08,0.11,0.07,0.08,0.08,0.12,0.11,0.1,0.2,0.12,0.06,0.07,0.1,0.09,0.08,0.07,0.16,0.5,-0.17,-0.32,0.31,0.18,0.08,0.06,0.16,0.14
Ou+2024c,OU24c,Gaia DR3 5208594251034223872,Gaia DR3 5208594251034223872,DW,Gaia-Sausage/Enceladus,08:26:31.48,-79:55:13.08,126.631167,-79.9203,4900,1.8,-2.24,2.15,122,0.2,0.22,0.25,2021-12-23,2x2,1200,0.70x5.00,-0.03,0.1,-2.27,0.2,-2.24,-2.04,-1.9,-3.14,-1.52,-1.96,-2.24,-1.9,-2.36,-2.19,-2.67,-2.17,-2.26,-2.16,-2.22,-2.36,-2.01,-2.34,-2.1,-1.89,-1.69,0.16,0.24,0.12,0.38,0.14,0.11,0.11,0.08,0.16,0.14,0.1,0.17,0.13,0.06,0.18,0.08,0.09,0.1,0.07,0.08,0.08,0.2,0.34,-0.91,0.71,0.27,0.01,0.35,-0.13,0.06,-0.43,0.07,-0.03,0.08,0.03,-0.1,0.24,-0.09,0.15,0.36,0.56,0.1,0.1,0.23,0.08,0.06,0.06,0.06,0.05,0.13,0.08,0.11,0.07,0.13,0.15,0.06,0.05,0.06,0.06,0.07,0.04,0.0,0.36,0.13,-0.32,0.45,0.14,0.07,0.11,0.17,0.08
Ou+2024c,OU24c,Gaia DR3 5221522416131163392,Gaia DR3 5221522416131163392,DW,Gaia-Sausage/Enceladus,08:38:29.78,-71:14:40.85,129.624083,-71.24468,4860,1.78,-2.07,1.85,123,0.2,0.22,0.24,2021-12-23,2x2,1200,0.70x5.00,-0.18,0.14,-2.22,0.22,-2.04,-1.87,-1.73,-2.54,-1.43,-1.7,-2.0,-1.75,-2.22,-2.04,-2.59,-1.98,-2.18,-2.06,-2.0,-2.26,-1.91,-2.08,-1.96,-1.8,-1.75,0.18,0.26,0.12,0.09,0.14,0.12,0.13,0.1,0.17,0.1,0.1,0.17,0.13,0.1,0.14,0.09,0.11,0.13,0.09,0.09,0.09,0.17,0.31,-0.5,0.61,0.34,0.06,0.3,-0.18,0.02,-0.55,0.06,-0.14,-0.02,0.06,-0.21,0.14,-0.02,0.1,0.25,0.31,0.13,0.08,0.1,0.08,0.07,0.07,0.05,0.05,0.06,0.1,0.1,0.08,0.16,0.11,0.05,0.05,0.07,0.07,0.07,0.04,-0.07,0.25,0.08,-0.27,0.28,0.14,0.07,0.04,0.11,0.1
Ou+2024c,OU24c,Gaia DR3 5548763464834134400,Gaia DR3 5548763464834134400,DW,Gaia-Sausage/Enceladus,06:07:08.18,-52:45:59.90,91.784083,-52.76664,4811,1.84,-1.7,1.65,122,0.2,0.21,0.23,2021-12-24,2x2,1200,0.70x5.00,-0.36,0.21,-2.04,0.2,-1.67,-1.75,-1.42,-3.06,-1.26,-1.34,-1.54,-1.39,-1.8,-1.62,-2.08,-1.72,-1.75,-1.69,-1.63,-1.88,-1.61,-1.55,-1.48,-1.16,-1.11,0.21,0.17,0.14,0.45,0.14,0.15,0.13,0.12,0.21,0.12,0.12,0.18,0.14,0.09,0.1,0.12,0.12,0.17,0.12,0.11,0.14,-0.08,0.25,-1.39,0.42,0.34,0.17,0.32,-0.13,0.1,-0.41,-0.05,-0.08,-0.02,0.08,-0.16,0.11,0.17,0.24,0.55,0.61,0.09,0.11,0.34,0.1,0.07,0.06,0.05,0.04,0.06,0.13,0.14,0.09,0.2,0.1,0.05,0.07,0.09,0.07,0.07,0.09,0.26,0.55,-0.08,-0.21,0.38,0.2,0.07,0.09,0.13,0.14
Ou+2024c,OU24c,Gaia DR3 6243816407441434752,Gaia DR3 6243816407441434752,DW,Gaia-Sausage/Enceladus,16:07:06.21,-20:50:00.24,241.775875,-20.8334,4463,1.45,-1.05,1.74,123,0.22,0.22,0.27,2021-09-08,2x2,1800,0.70x5.00,-0.66,0.28,-1.7,0.21,-1.04,-1.04,-0.9,-1.9,-0.79,-0.66,-0.69,-0.78,-0.91,-1.23,-1.34,-1.5,-1.14,-1.25,-0.97,-1.07,,-0.84,-0.76,-0.4,-0.39,0.2,0.13,0.14,0.26,0.06,0.22,0.22,0.18,0.37,0.14,0.17,0.23,0.17,0.14,0.12,0.22,,0.21,0.18,0.13,0.11,-0.0,0.14,-0.86,0.25,0.38,0.58,0.48,0.13,0.03,-0.3,-0.46,-0.1,-0.21,0.29,0.19,,0.42,0.5,0.86,0.88,0.1,0.13,0.18,0.19,0.06,0.2,0.12,0.18,0.04,0.1,0.23,0.08,0.21,0.16,0.23,,0.15,0.18,0.1,0.22,0.5,0.86,-0.13,-0.07,0.44,0.22,0.1,0.17,0.16,0.18
Ou+2024c,OU24c,Gaia DR3 6782821815106683008,Gaia DR3 6782821815106683008,DW,Gaia-Sausage/Enceladus,21:20:13.52,-33:54:02.99,320.056333,-33.90083,4816,1.51,-2.52,2.22,122,0.2,0.22,0.24,2021-10-25,2x2,1200,0.70x5.00,-0.14,0.17,-2.64,0.28,-2.5,-2.3,-2.12,-3.39,-1.89,-2.12,-2.57,-2.22,-2.68,-2.64,-3.04,-2.4,-2.54,-2.41,-2.78,-2.77,-2.47,-2.86,-2.57,-2.25,-2.1,0.15,0.22,0.09,0.06,0.19,0.09,0.09,0.08,0.15,0.07,0.09,0.17,0.12,0.07,0.22,0.08,0.07,0.11,0.07,0.09,0.08,0.2,0.38,-0.89,0.61,0.38,-0.06,0.28,-0.19,-0.13,-0.54,0.1,-0.04,0.09,-0.28,-0.27,0.04,-0.35,-0.07,0.25,0.41,0.1,0.08,0.14,0.12,0.06,0.05,0.06,0.04,0.04,0.07,0.11,0.06,0.1,0.19,0.06,0.04,0.08,0.06,0.06,0.05,-0.13,0.25,0.07,-0.66,0.6,0.1,0.06,0.18,0.21,0.07
