ID,Wave,Species,ExPot,log(gf),EW,f_EW,logX
SMSS~J000113.96-363337.9,4435.69,20.0,1.89,-0.519,58.7,,4.25
SMSS~J000113.96-363337.9,4441.731,22.1,1.18,-2.41,48.7,,3.08
SMSS~J000113.96-363337.9,4442.339,26.0,2.2,-1.228,89.7,,5.28
SMSS~J000113.96-363337.9,4443.194,26.0,2.86,-1.043,54.2,,5.05
SMSS~J000113.96-363337.9,4443.801,22.1,1.08,-0.72,122.8,,2.96
SMSS~J000113.96-363337.9,4444.554,22.1,1.12,-2.24,55.0,,2.97
SMSS~J000113.96-363337.9,4447.717,26.0,2.22,-1.339,76.6,,5.09
SMSS~J000113.96-363337.9,4450.482,22.1,1.08,-1.52,93.7,,3.06
SMSS~J000113.96-363337.9,4454.381,26.0,2.83,-1.3,48.1,,5.15
SMSS~J000113.96-363337.9,4454.78,20.0,1.9,0.26,101.8,,4.42
SMSS~J000113.96-363337.9,4464.448,22.1,1.16,-1.81,75.1,,3.0
SMSS~J000113.96-363337.9,4468.517,22.1,1.13,-0.6,129.5,,3.03
SMSS~J000113.96-363337.9,4470.853,22.1,1.17,-2.02,61.8,,2.93
SMSS~J000113.96-363337.9,4484.22,26.0,3.6,-0.86,27.4,,5.17
SMSS~J000113.96-363337.9,4489.185,26.1,2.83,-2.97,33.2,,5.2
SMSS~J000113.96-363337.9,4489.739,26.0,0.12,-3.899,86.3,,5.32
SMSS~J000113.96-363337.9,4491.41,26.1,2.86,-2.71,40.1,,5.13
SMSS~J000113.96-363337.9,4493.522,22.1,1.08,-3.02,25.8,,3.11
SMSS~J000113.96-363337.9,4494.563,26.0,2.2,-1.143,91.7,,5.23
SMSS~J000113.96-363337.9,4501.27,22.1,1.12,-0.77,121.3,,3.0
SMSS~J000113.96-363337.9,4508.283,26.1,2.86,-2.58,58.4,,5.38
SMSS~J000113.96-363337.9,4512.73,22.0,0.84,-0.424,28.8,,2.86
SMSS~J000113.96-363337.9,4515.34,26.1,2.84,-2.6,53.7,,5.27
SMSS~J000113.96-363337.9,4518.02,22.0,0.83,-0.269,29.0,,2.7
SMSS~J000113.96-363337.9,4520.224,26.1,2.81,-2.6,55.3,,5.27
SMSS~J000113.96-363337.9,4531.148,26.0,1.48,-2.101,92.6,,5.34
SMSS~J000113.96-363337.9,4533.249,22.0,0.85,0.532,64.2,,2.63
SMSS~J000113.96-363337.9,4533.96,22.1,1.24,-0.53,131.9,,3.12
