Ion,lambda,EP,loggf,EW1,f_EW1,e_EW1,l_logeps1,logeps1,e_logeps1,EW2,f_EW2,e_EW2,l_logeps2,logeps2,e_logeps2,EW3,f_EW3,e_EW3,l_logeps3,logeps3,e_logeps3,EW4,f_EW4,e_EW4,l_logeps4,logeps4,e_logeps4
Fe I,5415.2,4.39,0.64,40.9,,11.7,,4.53,0.21,,,,,,,,,,,,,,,,,,
Fe I,5424.07,4.32,0.52,55.0,,13.5,,4.78,0.21,62.1,,14.3,,5.0,0.22,26.3,,6.7,,4.48,0.16,97.0,,27.4,,6.0,0.46
Fe I,5429.7,0.96,-1.88,,,,,,,,,,,,,118.5,,19.6,,4.3,0.37,,,,,,
Fe I,5434.52,1.01,-2.13,,,,,,,171.2,,28.3,,5.37,0.48,102.2,,18.9,,4.33,0.32,,,,,,
Fe I,5446.92,0.99,-1.91,,,,,,,,,,,,,123.3,,19.2,,4.46,0.35,,,,,,
Fe I,5455.61,1.01,-2.09,,,,,,,,,,,,,124.2,,20.7,,4.68,0.37,,,,,,
Fe I,5497.52,1.01,-2.83,157.3,,26.1,,5.32,0.39,111.3,,22.2,,5.04,0.38,65.7,,12.1,,4.49,0.17,89.3,,29.1,,5.59,0.58
Fe I,5501.47,0.96,-3.05,126.4,,19.6,,5.02,0.29,117.3,,23.5,,5.29,0.4,52.5,,10.0,,4.47,0.15,,,,,,
Fe I,5506.78,0.99,-2.79,138.1,,20.1,,4.97,0.29,120.8,,22.1,,5.12,0.39,74.5,,12.9,,4.55,0.18,,,,,,
Fe I,5569.62,3.42,-0.54,58.6,,12.7,,4.76,0.18,56.7,,12.2,,4.89,0.18,,,,,,,,,,,,
Fe I,5572.84,3.4,-0.28,86.2,,15.4,,4.84,0.21,72.1,,15.1,,4.83,0.22,,,,,,,,,,,,
Fe I,5576.09,3.43,-1.0,39.1,,9.4,,4.95,0.16,,,,,,,,,,,,,,,,,,
Fe I,5586.76,3.37,-0.14,84.1,,15.2,,4.63,0.22,71.5,,13.8,,4.64,0.2,,,,,,,,,,,,
Fe I,5615.64,3.33,0.05,113.7,,18.7,,4.82,0.29,79.0,,16.5,,4.51,0.25,84.9,,16.3,,4.67,0.26,,,,,,
Fe I,5624.54,3.42,-0.76,55.7,,10.2,,4.93,0.14,44.1,,10.6,,4.93,0.17,30.2,,7.1,,4.77,0.14,,,,,,
Fe I,5658.82,3.4,-0.79,45.2,,11.0,,4.79,0.17,29.9,,8.4,,4.69,0.17,25.8,,6.2,,4.69,0.15,,,,,,
Fe I,5701.54,2.56,-2.14,33.9,,8.5,,4.9,0.16,,,,,,,,,,,,,,,,,,
Fe I,6065.48,2.61,-1.41,86.3,,13.6,,4.92,0.18,64.9,,11.4,,4.86,0.16,43.0,,9.1,,4.65,0.15,,,,,,
Fe I,6136.61,2.45,-1.41,104.0,,15.0,,4.94,0.21,98.7,,15.6,,5.14,0.25,56.5,,9.5,,4.65,0.14,87.7,,21.1,,5.71,0.39
Fe I,6137.69,2.59,-1.35,100.1,,14.9,,5.01,0.2,80.6,,13.4,,4.99,0.2,35.5,,6.7,,4.44,0.12,71.6,,19.7,,5.51,0.36
Fe I,6191.56,2.43,-1.42,113.4,,16.4,,5.05,0.24,85.1,,13.8,,4.92,0.21,58.0,,10.1,,4.65,0.14,,,,,,
Fe I,6200.31,2.61,-2.44,,,,,,,22.6,,6.0,,5.2,0.16,,,,,,,,,,,,
Fe I,6213.43,2.22,-2.48,60.5,,10.2,,5.15,0.13,34.2,,7.4,,4.99,0.14,,,,,,,,,,,,
Fe I,6219.28,2.2,-2.45,58.8,,10.1,,5.07,0.13,52.7,,9.1,,5.22,0.13,,,,,,,,,,,,
Fe I,6230.72,2.56,-1.28,94.1,,13.7,,4.81,0.19,81.6,,13.3,,4.89,0.2,43.8,,9.0,,4.46,0.14,72.0,,25.5,,5.41,0.46
Fe I,6246.32,3.6,-0.88,46.4,,9.6,,5.11,0.15,35.1,,6.9,,5.09,0.12,,,,,,,,,,,,
Fe I,6252.56,2.4,-1.69,103.3,,15.8,,5.13,0.22,82.5,,12.5,,5.11,0.18,36.4,,7.1,,4.56,0.13,,,,,,
Fe I,6254.26,2.28,-2.44,56.6,,10.4,,5.14,0.14,45.7,,9.2,,5.21,0.14,,,,,,,,,,,,
Fe I,6265.13,2.18,-2.54,62.5,,9.6,,5.18,0.12,42.0,,8.6,,5.13,0.14,,,,,,,,,,,,
Fe I,6301.5,3.65,-0.72,47.9,,10.2,,5.03,0.16,47.5,,12.9,,5.18,0.21,26.9,,5.6,,4.91,0.12,,,,,,
Fe I,6335.33,2.2,-2.18,64.6,,11.1,,4.87,0.14,,,,,,,,,,,,,,,,,,
Fe I,6336.84,3.69,-1.05,,,,,,,21.4,,5.6,,5.08,0.15,,,,,,,,,,,,
Fe I,6393.6,2.43,-1.58,97.7,,13.2,,4.97,0.19,79.9,,12.4,,4.99,0.18,35.5,,7.2,,4.46,0.13,,,,,,
Fe I,6400.0,3.6,-0.29,,,,,,,70.7,,11.7,,5.01,0.17,34.9,,10.5,,4.56,0.2,,,,,,
Fe I,6411.65,3.65,-0.59,,,,,,,47.4,,9.2,,5.04,0.14,,,,,,,,,,,,
Fe I,6421.35,2.28,-2.01,86.0,,12.2,,5.06,0.15,72.9,,12.1,,5.14,0.17,19.2,,4.1,,4.38,0.12,52.0,,13.9,,5.48,0.24
Fe I,6430.85,2.18,-1.95,71.1,,10.5,,4.68,0.13,92.7,,13.6,,5.23,0.2,46.8,,7.5,,4.7,0.11,52.1,,13.9,,5.31,0.24
Fe I,6494.98,2.4,-1.24,121.2,,18.2,,4.9,0.25,112.8,,17.1,,5.1,0.27,59.8,,9.1,,4.44,0.13,96.8,,18.9,,5.63,0.35
Fe I,6498.94,0.96,-4.7,,,,,,,25.8,,6.9,,5.48,0.16,,,,,,,,,,,,
Fe I,6592.91,2.73,-1.47,71.2,,11.1,,4.9,0.14,56.1,,9.4,,4.92,0.13,33.4,,8.4,,4.67,0.16,75.1,,21.2,,5.83,0.39
Fe I,6593.87,2.44,-2.37,46.3,,8.8,,5.11,0.13,24.6,,6.0,,4.95,0.15,16.7,,5.0,,4.85,0.18,,,,,,
Fe I,6663.44,2.42,-2.48,35.0,,6.6,,5.02,0.12,34.8,,7.6,,5.22,0.14,,,,,,,,,,,,
Fe I,6677.99,2.69,-1.42,91.3,,12.8,,5.04,0.17,70.7,,11.5,,5.01,0.16,28.6,,5.7,,4.48,0.12,62.3,,15.0,,5.51,0.26
Fe I,6750.15,2.42,-2.58,31.1,,7.2,,5.05,0.14,,,,,,,,,,,,,,,,,,
Fe I,6978.85,2.48,-2.45,29.1,,6.0,,4.94,0.12,25.9,,6.8,,5.08,0.16,,,,,,,,,,,,
Fe II,4233.17,2.58,-1.97,115.3,,28.5,,4.99,0.58,,,,,,,,,,,,,,,,,,
Fe II,4508.28,2.86,-2.58,69.8,,14.2,,5.09,0.22,74.2,,16.5,,5.4,0.28,,,,,,,,,,,,
Fe II,4515.34,2.84,-2.6,77.6,,17.3,,5.2,0.29,,,,,,,,,,,,,,,,,,
Fe II,4520.22,2.81,-2.6,75.0,,17.8,,5.12,0.29,60.0,,17.9,,5.14,0.28,,,,,,,,,,,,
Fe II,4522.63,2.84,-2.25,71.3,,17.5,,4.75,0.28,,,,,,,,,,,,,,,,,,
Fe II,4555.89,2.83,-2.4,,,,,,,71.8,,17.7,,5.14,0.29,,,,,,,,,,,,
Fe II,4583.84,2.81,-1.93,82.7,,16.9,,4.57,0.28,71.9,,15.6,,4.65,0.26,,,,,,,,,,,,
Fe II,4923.93,2.89,-1.32,122.9,,27.4,,4.68,0.51,121.5,,24.1,,4.96,0.46,94.2,,18.8,,4.34,0.33,,,,,,
Fe II,5018.45,2.89,-1.22,127.2,,32.2,,4.65,0.59,115.4,,33.2,,4.72,0.63,84.7,,17.7,,4.08,0.29,,,,,,
Fe II,5169.03,2.89,-1.0,,,,,,,,,,,,,,,,,,,164.0,,50.2,,5.98,0.82
Fe II,5197.58,3.23,-2.22,,,,,,,,,,,,,36.9,,9.7,,4.76,0.18,,,,,,
Fe II,5234.63,3.22,-2.18,,,,,,,,,,,,,43.4,,11.0,,4.81,0.18,,,,,,
Fe II,5276.0,3.2,-2.01,96.9,,18.5,,5.27,0.29,63.6,,15.1,,5.03,0.23,53.9,,10.9,,4.77,0.16,,,,,,
Fe II,6456.38,3.9,-2.08,23.9,,6.3,,5.0,0.16,,,,,,,,,,,,,,,,,,
Co I,3995.31,0.92,-0.22,135.7,,39.3,,2.66,0.76,,,,,,,,,,,,,,,,,,
Co I,4118.77,1.05,-0.49,126.6,,38.1,,2.87,0.71,,,,,,,,,,,,,,,,,,
Co I,4121.32,0.92,-0.32,138.8,,33.8,,2.75,0.63,123.4,,35.6,,2.86,0.74,,,,,,,,,,,,
Ni I,4714.42,3.38,0.23,52.0,,11.9,,3.63,0.18,52.6,,13.0,,3.79,0.2,,,,,,,,,,,,
Ni I,5137.07,1.68,-1.99,67.1,,18.0,,3.88,0.24,,,,,,,40.0,,9.0,,3.83,0.15,,,,,,
Ni I,5476.9,1.83,-0.89,151.8,,23.7,,4.19,0.38,115.2,,23.1,,3.93,0.43,84.9,,18.3,,3.53,0.3,,,,,,
Ni I,5754.68,1.94,-2.33,30.4,,7.5,,3.97,0.15,,,,,,,,,,,,,,,,,,
Ni I,6108.12,1.68,-2.45,35.2,,7.6,,3.82,0.14,28.7,,6.4,,3.93,0.13,,,,,,,,,,,,
Ni I,6643.64,1.68,-2.3,65.4,,10.4,,4.04,0.13,45.5,,7.9,,4.02,0.12,29.9,,5.4,,3.88,0.11,,syn,,<,5.36,
Ni I,6767.77,1.83,-2.17,52.2,,7.9,,3.92,0.11,43.4,,8.0,,4.04,0.12,,,,,,,,,,,,
Zn I,4810.53,4.08,-0.14,22.7,,6.8,,1.95,0.18,,,,,,,,,,,,,,,,,,
Sr II,4077.71,0.0,0.15,,syn,,,1.85,0.5,,syn,,,1.75,0.5,,,,,,,,,,,,
Sr II,4215.52,0.0,-0.18,,syn,,,1.45,0.5,,syn,,,1.55,0.5,,,,,,,,,,,,
Ba II,4554.03,0.0,0.16,,syn,,,2.22,0.2,,syn,,,1.05,0.3,,syn,,<,1.29,,,,,,,
Ba II,4934.09,0.0,-0.16,,syn,,,2.45,0.2,,syn,,,1.4,0.25,,syn,,<,2.22,,,,,,,
Ba II,6141.71,0.7,-0.08,,syn,,,1.76,0.1,,syn,,,1.22,0.2,,syn,,<,1.89,,,syn,,<,0.06,
Ba II,6496.9,0.6,-0.37,,syn,,,1.81,0.15,,syn,,,1.21,0.15,,syn,,<,1.75,,,syn,,<,0.02,
Eu II,4129.72,0.0,0.22,,syn,,,1.68,,,syn,,,1.2,,,,,,,,,,,,,
Eu II,6645.06,1.38,0.12,,,,,,,,,,,,,,syn,,<,0.89,,,syn,,<,0.5,
