ref_number,bibcode,author,year,citation_key,comments
428,2007ApJ...659L..17C,Cole et al.,2007,Cole+2007,
429,2006MNRAS.373..715M,McConnachie et al.,2006,McConnachie+2006,
430,2009A&A...499..121F,Fraternali et al.,2009,Fraternali+2009,
431,2002A&A...384..393M,Momany et al.,2002,Momany+2002,
432,2011A&A...527A..58B,Bellazzini et al.,2011,Bellazzini+2011,
433,2008AJ....136.2332H,Hidalgo et al.,2008,Hidalgo+2008,
434,1997AJ....114.1447A,Aparicio et al.,1997,Aparicio+1997,
435,1996ApJ...461..713S,Sakai et al.,1996,Sakai+1996,
436,2008MNRAS.384.1544S,Sharina et al.,2008,Sharina+2008,Cat. J/MNRAS/384/1544
437,2000AJ....119.2183A,Aparicio & Tikhonov,2000,Aparicio+2000,
