Name,Tel,Obs,Exp,Obs.Y,Obs.M,Obs.D,Obs.h,Obs.s,HJD,RVel
BPS CS 22942-002,Magellan-Clay/MIKE,IBT,3600,2004,Sep,24,05,40,2453272.741,-160.3
BPS CS 22942-002,Magellan-Clay/MIKE,IUR,3300,2012,Aug,25,07,09,2456164.803,-160.2
BPS CS 22942-011,Magellan-Clay/MIKE,IUR,1200,2012,Aug,27,06,55,2456166.793,+10.7
BPS CS 22942-035,Magellan-Clay/MIKE,GWP,4200,2009,Sep,05,08,54,2455079.876,-94.5
BPS CS 22942-035,Magellan-Clay/MIKE,IBT,3300,2009,Oct,28,01,14,2455132.556,-94.0
BPS CS 22943-059,Magellan-Clay/MIKE,GWP,4400,2004,Aug,12,02,18,2453229.601,+239.5
BPS CS 22943-095,Magellan-Clay/MIKE,GWP,400,2006,Aug,04,01,57,2453951.586,-149.4
BPS CS 22943-132,Magellan-Clay/MIKE,GWP,1400,2006,Aug,03,02,19,2453950.602,+18.9
BPS CS 22943-137,Magellan-Baade/MIKE,SAS,3600,2003,Jun,23,05,37,2452813.739,-30.3
BPS CS 22943-137,Magellan-Clay/MIKE,IBT,1400,2009,May,15,10,10,2454966.926,-31.8
BPS CS 22943-201,Magellan-Clay/MIKE,GWP,2200,2005,Aug,21,01,26,2453603.564,+37.2
BPS CS 22943-201,Magellan-Clay/MIKE,IBT,5100,2006,Jun,12,05,54,2453898.750,+37.6
BPS CS 22943-201,Magellan-Clay/MIKE,IBT,1500,2007,Aug,03,06,22,2454315.771,+35.4
BPS CS 22943-201,Magellan-Clay/MIKE,IBT,1800,2007,Aug,04,04,04,2454316.675,+36.4
BPS CS 22944-014,Magellan-Clay/MIKE,GWP,2100,2005,Aug,21,05,09,2453603.720,-381.2
BPS CS 22944-032,Magellan-Clay/MIKE,GWP,4400,2004,Jun,30,09,51,2453186.915,+19.3
BPS CS 22944-032,Magellan-Clay/MIKE,GWP,800,2007,Aug,22,03,12,2454334.639,+18.5
BPS CS 22944-032,Magellan-Clay/MIKE,GWP,2000,2007,Aug,23,02,35,2454335.613,+19.1
BPS CS 22944-061,Magellan-Clay/MIKE,GWP,3000,2006,Aug,05,05,51,2453952.749,+157.3
BPS CS 22945-017,Magellan-Clay/MIKE,GWP,3400,2008,Sep,11,02,58,2454720.627,+101.8
BPS CS 22945-024,Magellan-Clay/MIKE,GWP,5400,2007,Aug,21,06,25,2454333.771,+148.2
BPS CS 22945-028,Magellan-Clay/MIKE,IUR,5200,2012,Aug,27,05,57,2456166.751,+389.0
BPS CS 22945-031,Magellan-Clay/MIKE,GWP,4400,2005,Aug,25,06,12,2453607.761,+196.4
BPS CS 22945-056,Magellan-Clay/MIKE,GWP,3200,2005,Aug,25,08,31,2453607.858,+222.5
BPS CS 22945-058,Magellan-Clay/MIKE,GWP,5400,2008,Sep,11,04,28,2454720.689,+23.1
BPS CS 22945-058,Magellan-Clay/MIKE,IBT,1550,2009,Jul,26,10,29,2455038.940,+23.7
BPS CS 22945-063,Magellan-Clay/MIKE,SAS,5000,2010,Jul,26,08,36,2455403.861,+167.8
BPS CS 22947-187,Magellan-Clay/MIKE,GWP,1200,2006,Aug,03,01,07,2453950.551,-251.2
BPS CS 22948-066,Magellan-Clay/MIKE,GWP,1500,2007,Aug,22,02,48,2454334.622,-171.2
BPS CS 22948-066,Magellan-Clay/MIKE,IBT,900,2009,May,15,10,32,2454966.940,-170.8
BPS CS 22948-093,Magellan-Clay/MIKE,GWP,1400,2006,Aug,03,04,07,2453950.677,+367.9
BPS CS 22948-093,Magellan-Clay/MIKE,GWP,6000,2006,Aug,04,03,10,2453951.637,+368.0
BPS CS 22948-093,Magellan-Clay/MIKE,GWP,2000,2006,Aug,06,04,41,2453953.700,+366.0
BPS CS 22948-093,Magellan-Clay/MIKE,IBT,900,2009,Oct,26,02,42,2455130.614,+360.4
BPS CS 22949-008,Magellan-Clay/MIKE,IBT,1200,2007,Aug,04,06,07,2454316.760,-135.8
BPS CS 22949-008,Magellan-Clay/MIKE,GWP,2700,2008,Sep,10,03,39,2454719.658,-151.2
BPS CS 22949-008,Magellan-Clay/MIKE,IBT,1050,2009,Jul,25,07,39,2455037.823,-147.0
BPS CS 22949-008,Magellan-Clay/MIKE,IBT,1200,2009,Jul,26,08,27,2455038.856,-147.2
BPS CS 22949-030,Magellan-Clay/MIKE,GWP,2800,2008,Sep,12,05,38,2454721.741,-85.6
BPS CS 22949-037,Magellan-Clay/MIKE,GWP,5000,2006,Aug,06,08,32,2453953.860,-125.4
BPS CS 22949-037,Magellan-Clay/MIKE,IBT,1350,2009,Jul,25,08,04,2455037.840,-125.3
BPS CS 22949-048,Magellan-Clay/MIKE,GWP,2600,2006,Aug,06,07,23,2453953.812,-160.8
BPS CS 22950-046,Magellan-Clay/MIKE,GWP,4800,2006,Aug,06,03,44,2453953.661,+108.8
BPS CS 22951-005,Magellan-Clay/MIKE,GWP,4300,2005,Aug,24,03,06,2453606.634,+232.2
BPS CS 22951-005,Magellan-Clay/MIKE,GWP,3050,2005,Aug,25,01,53,2453607.583,+231.7
BPS CS 22951-059,Magellan-Clay/MIKE,GWP,7400,2007,Aug,23,00,37,2454335.531,+88.1
BPS CS 22951-059,Magellan-Clay/MIKE,IBT,1800,2009,Jul,26,04,41,2455038.700,+88.3
BPS CS 22951-077,Magellan-Baade/MIKE,GWP,3200,2003,Jun,14,06,18,2452804.766,+109.1
BPS CS 22951-077,Magellan-Clay/MIKE,GWP,3600,2003,Oct,13,02,20,2452925.599,+108.7
BPS CS 22952-015,Magellan-Clay/MIKE,GWP,1800,2006,Aug,04,09,06,2453951.884,-17.9
BPS CS 22953-003,Magellan-Clay/MIKE,GWP,2000,2006,Aug,03,09,46,2453950.910,+208.3
BPS CS 22953-037,Magellan-Clay/MIKE,IBT,3600,2003,Nov,02,04,00,2452945.668,-162.9
BPS CS 22953-037,Magellan-Clay/MIKE,IUR,4000,2012,Aug,26,04,32,2456165.692,-162.2
BPS CS 22954-004,Magellan-Clay/MIKE,IBT,2400,2004,Sep,26,07,23,2453274.812,-10.5
BPS CS 22954-015,Magellan-Clay/MIKE,GWP,1400,2008,Sep,10,08,40,2454719.865,-50.0
BPS CS 22955-110,Magellan-Clay/MIKE,GWP,1800,2004,Jun,29,04,03,2453185.674,+4.1
BPS CS 22955-174,Magellan-Baade/MIKE,GWP,4400,2003,Jun,12,04,42,2452802.700,-9.2
BPS CS 22955-174,Magellan-Clay/MIKE,GWP,6000,2003,Oct,09,01,27,2452921.563,-9.7
BPS CS 22955-174,Magellan-Clay/MIKE,IBT,4400,2010,Sep,17,23,18,2455457.475,-9.1
BPS CS 22956-015,Magellan-Clay/MIKE,GWP,2000,2005,Aug,21,06,33,2453603.776,-33.6
BPS CS 22956-021,Magellan-Clay/MIKE,GWP,3600,2006,Aug,05,04,48,2453952.704,+40.0
BPS CS 22956-050,Magellan-Clay/MIKE,GWP,3700,2007,Aug,21,03,27,2454333.647,+0.1
BPS CS 22956-050,Magellan-Clay/MIKE,GWP,1900,2009,Sep,05,01,17,2455079.556,+0.4
BPS CS 22956-062,Magellan-Clay/MIKE,GWP,3600,2008,Sep,11,00,48,2454720.536,+187.9
