Name,Simbad_Identifier,RA_hms,DEC_dms,Tel,Obs,Exp,Obs.Y,Obs.M,Obs.D,Obs.h,Obs.s,HJD,RVel
CS 22894-019,BPS CS 22894-0019,23:39:19.0698,+00:03:41.750,Magellan-Clay/MIKE,GWP,3400,2004,Aug,12,07,47,2453229.829,+30.9
CS 22894-023,BPS CS 22952-0011,23:37:18.5684,-02:08:27.841,Magellan-Clay/MIKE,GWP,2800,2004,Aug,12,06,49,2453229.789,-328.1
CS 22894-049,BPS CS 22894-0049,23:49:52.8032,-01:57:50.500,Magellan-Clay/MIKE,IBT,3600,2010,Sep,20,02,59,2455459.630,-5.6
CS 22896-015,BPS CS 22896-0015,19:18:45.3480,-55:24:45.028,Magellan-Clay/MIKE,IUR,3900,2012,Aug,25,23,44,2456165.492,+53.1
CS 22896-055,BPS CS 22896-0055,19:29:43.8919,-53:59:29.149,Magellan-Baade/MIKE,GWP,3800,2003,Jun,14,03,15,2452804.640,-72.9
CS 22896-055,BPS CS 22896-0055,19:29:43.8919,-53:59:29.149,Magellan-Clay/MIKE,IBT,1500,2009,May,16,09,01,2454967.879,-74.0
CS 22896-110,BPS CS 22896-0110,19:35:48.0058,-53:26:16.461,Magellan-Clay/MIKE,GWP,3600,2007,Aug,24,00,03,2454336.506,+84.1
CS 22896-110,BPS CS 22896-0110,19:35:48.0058,-53:26:16.461,Magellan-Clay/MIKE,IBT,2700,2009,Jul,26,03,31,2455038.651,+84.5
CS 22896-115,BPS CS 22896-0115,19:35:05.0712,-52:47:11.700,Magellan-Clay/MIKE,IBT,6000,2004,Jul,15,04,51,2453201.707,+7.1
CS 22896-115,BPS CS 22896-0115,19:35:05.0712,-52:47:11.700,Magellan-Clay/MIKE,GWP,3000,2004,Aug,12,01,06,2453229.550,+7.0
CS 22896-136,BPS CS 22896-0136,19:39:53.2258,-54:10:24.142,Magellan-Clay/MIKE,GWP,4000,2004,Aug,13,01,40,2453230.574,-17.2
CS 22896-136,BPS CS 22896-0136,19:39:53.2258,-54:10:24.142,Magellan-Clay/MIKE,GWP,2900,2005,Aug,21,02,32,2453603.609,-17.6
CS 22896-136,BPS CS 22896-0136,19:39:53.2258,-54:10:24.142,Magellan-Clay/MIKE,IBT,1200,2006,Jun,07,06,58,2453893.795,-17.2
CS 22896-136,BPS CS 22896-0136,19:39:53.2258,-54:10:24.142,Magellan-Clay/MIKE,IBT,2000,2006,Jul,19,05,42,2453935.742,-16.4
CS 22896-136,BPS CS 22896-0136,19:39:53.2258,-54:10:24.142,Magellan-Clay/MIKE,IBT,1200,2007,Aug,01,03,42,2454313.659,-16.9
CS 22896-136,BPS CS 22896-0136,19:39:53.2258,-54:10:24.142,Magellan-Clay/MIKE,IBT,1800,2007,Aug,02,05,19,2454314.726,-19.8
CS 22897-008,BPS CS 22897-0008,21:03:11.8565,-65:05:08.852,Magellan-Clay/MIKE,GWP,2900,2007,Aug,22,00,59,2454334.544,+266.5
CS 22898-043,BPS CS 22898-0043,21:10:36.7674,-21:44:51.797,Magellan-Baade/MIKE,GWP,4000,2003,Jun,12,06,19,2452802.767,+112.7
CS 22898-043,BPS CS 22898-0043,21:10:36.7674,-21:44:51.797,Magellan-Clay/MIKE,GWP,3600,2003,Oct,12,03,14,2452924.637,+111.8
CS 22898-043,BPS CS 22898-0043,21:10:36.7674,-21:44:51.797,Magellan-Clay/MIKE,IBT,5400,2010,Sep,19,02,07,2455458.592,+115.2
CS 22898-047,BPS CS 22898-0047,21:05:59.6482,-21:06:56.608,Magellan-Clay/MIKE,GWP,3600,2004,Jun,30,04,18,2453186.684,-37.8
CS 22898-047,BPS CS 22898-0047,21:05:59.6482,-21:06:56.608,Magellan-Clay/MIKE,GWP,9300,2007,Aug,21,02,17,2454333.601,-40.3
CS 22937-072,BPS CS 29501-0051,21:14:40.6179,-37:24:51.771,Magellan-Baade/MIKE,SAS,3600,2003,May,23,09,24,2452782.894,-143.7
CS 22937-072,BPS CS 29501-0051,21:14:40.6179,-37:24:51.771,Magellan-Baade/MIKE,SAS,3600,2003,May,24,09,48,2452783.911,-143.9
CS 22940-070,BPS CS 22940-0070,20:42:39.2494,-61:40:39.106,Magellan-Baade/MIKE,SAS,9000,2003,May,24,07,52,2452783.830,+78.5
CS 22940-077,BPS CS 22940-0077,20:41:33.7241,-59:50:35.206,Magellan-Baade/MIKE,IBT,1000,2003,Apr,09,08,14,2452738.843,
CS 22940-121,BPS CS 22940-0121,20:55:10.8821,-58:00:55.150,Magellan-Baade/MIKE,GWP,4000,2003,Jun,14,04,50,2452804.705,-13.1
CS 22940-121,BPS CS 22940-0121,20:55:10.8821,-58:00:55.150,Magellan-Clay/MIKE,GWP,4800,2003,Oct,12,00,34,2452924.524,-13.2
CS 22941-017,BPS CS 22941-0017,23:32:50.1815,-33:59:25.571,Magellan-Clay/MIKE,IUR,6400,2012,Aug,27,04,21,2456166.686,+106.9
CS 22941-027,BPS CS 22941-0027,23:34:58.0940,-36:52:05.640,Magellan-Baade/MIKE,GWP,4600,2003,Jun,14,07,35,2452804.817,-93.4
CS 22941-027,BPS CS 22941-0027,23:34:58.0940,-36:52:05.640,Magellan-Clay/MIKE,GWP,4700,2003,Oct,12,05,27,2452924.731,-93.7
CS 22942-002,HE 0044-2459,00:46:35.8758,-24:43:02.290,Magellan-Clay/MIKE,IBT,3600,2004,Sep,24,05,40,2453272.741,-160.3
CS 22942-002,HE 0044-2459,00:46:35.8758,-24:43:02.290,Magellan-Clay/MIKE,IUR,3300,2012,Aug,25,07,09,2456164.803,-160.2
CS 22942-011,BPS CS 22942-0011,00:54:13.0064,-25:04:33.821,Magellan-Clay/MIKE,IUR,1200,2012,Aug,27,06,55,2456166.793,+10.7
CS 22942-035,BPS CS 22942-0035,01:03:57.4766,-23:52:45.274,Magellan-Clay/MIKE,GWP,4200,2009,Sep,05,08,54,2455079.876,-94.5
CS 22942-035,BPS CS 22942-0035,01:03:57.4766,-23:52:45.274,Magellan-Clay/MIKE,IBT,3300,2009,Oct,28,01,14,2455132.556,-94.0
CS 22943-059,BPS CS 22943-0059,20:19:00.6498,-43:17:22.856,Magellan-Clay/MIKE,GWP,4400,2004,Aug,12,02,18,2453229.601,+239.5
CS 22943-095,BPS CS 22943-0095,20:27:29.9870,-46:50:56.315,Magellan-Clay/MIKE,GWP,400,2006,Aug,04,01,57,2453951.586,-149.4
CS 22943-132,BPS CS 22943-0132,20:22:50.9179,-43:13:39.444,Magellan-Clay/MIKE,GWP,1400,2006,Aug,03,02,19,2453950.602,+18.9
