Name,Species,l_logepsX,logepsX,e_logepsX,N,l_[X/Fe],[X/Fe],s_[X/Fe],e_[X/Fe]
CC10318,Nd II,,0.16,0.19,1,,0.33,0.09,0.21
CC10318,Eu II,,,,,,,,
CC10414,Fe I,,6.15,0.03,57,,-1.35,0.14,0.14
CC10414,O I,,7.91,0.22,1,,0.57,0.13,0.26
CC10414,Na I,,4.13,0.22,1,,-0.76,0.1,0.24
CC10414,Mg I,,6.35,0.25,2,,0.1,0.05,0.25
CC10414,Al I,,,,,,,,
CC10414,Si I,,6.45,0.06,2,,0.29,0.13,0.14
CC10414,Ca I,,5.2,0.07,18,,0.12,0.02,0.07
CC10414,Sc II,,1.8,0.14,4,,0.0,0.11,0.18
CC10414,Ti I,,3.67,0.03,3,,0.08,0.08,0.09
CC10414,Ti II,,3.64,0.07,3,,0.04,0.1,0.12
CC10414,V I,,2.53,0.33,3,,-0.04,0.09,0.34
CC10414,Cr I,,4.07,0.17,4,,-0.22,0.06,0.18
CC10414,Mn I,,3.76,0.14,5,,-0.32,0.06,0.15
CC10414,Fe II,,6.26,0.06,8,,0.11,0.16,0.17
CC10414,Co I,,,,,,,,
CC10414,Ni I,,4.73,0.07,8,,-0.13,0.05,0.09
CC10414,Cu I,,2.52,0.22,1,,-0.32,0.08,0.23
CC10414,Ba II,,0.56,0.19,3,,-0.26,0.08,0.21
CC10414,La II,,0.09,0.22,1,,0.34,0.11,0.25
CC10414,Nd II,,0.43,0.22,1,,0.36,0.09,0.24
CC10414,Eu II,,-0.21,0.22,1,,0.62,0.12,0.25
CC10686,Fe I,,5.82,0.02,75,,-1.68,0.13,0.13
CC10686,O I,,7.57,0.17,1,,0.56,0.13,0.21
CC10686,Na I,,4.35,0.17,1,,-0.21,0.08,0.19
CC10686,Mg I,,6.22,0.19,2,,0.3,0.04,0.19
CC10686,Al I,<,5.29,0.17,1,<,0.52,0.09,0.19
CC10686,Si I,,6.07,0.17,1,,0.24,0.13,0.21
CC10686,Ca I,,4.82,0.02,17,,0.07,0.02,0.03
CC10686,Sc II,,1.6,0.09,6,,0.13,0.11,0.14
CC10686,Ti I,,3.37,0.05,6,,0.1,0.08,0.09
CC10686,Ti II,,3.58,0.12,3,,0.32,0.11,0.16
CC10686,V I,,1.95,0.11,4,,-0.29,0.1,0.15
CC10686,Cr I,,3.76,0.02,4,,-0.19,0.08,0.08
CC10686,Mn I,,3.19,0.09,3,,-0.56,0.06,0.11
CC10686,Fe II,,5.98,0.04,8,,0.17,0.16,0.16
CC10686,Co I,,3.38,0.17,1,,0.07,0.08,0.19
CC10686,Ni I,,4.47,0.04,8,,-0.06,0.04,0.06
CC10686,Cu I,,1.87,0.17,1,,-0.64,0.09,0.19
CC10686,Ba II,,0.77,0.06,3,,0.27,0.1,0.12
CC10686,La II,,-0.2,0.1,2,,0.38,0.11,0.15
CC10686,Nd II,,,,,,,,
CC10686,Eu II,,-0.72,0.17,1,,0.44,0.13,0.21
CC10690,Fe I,,5.54,0.02,55,,-1.96,0.14,0.14
CC10690,O I,<,7.37,0.18,1,<,0.64,0.11,0.21
CC10690,Na I,<,4.15,0.18,1,<,-0.13,0.09,0.2
CC10690,Mg I,,5.22,0.18,1,,-0.42,0.06,0.19
CC10690,Al I,<,5.54,0.18,1,<,1.05,0.08,0.2
CC10690,Si I,,,,,,,,
CC10690,Ca I,,4.22,0.05,14,,-0.24,0.05,0.07
CC10690,Sc II,,0.92,0.18,1,,-0.27,0.1,0.21
CC10690,Ti I,,,,,,,,
CC10690,Ti II,,3.28,0.28,3,,0.3,0.1,0.3
CC10690,V I,,,,,,,,
CC10690,Cr I,,3.29,0.12,3,,-0.39,0.03,0.12
CC10690,Mn I,,,,,,,,
CC10690,Fe II,,5.87,0.06,6,,0.34,0.14,0.15
CC10690,Co I,,,,,,,,
CC10690,Ni I,,3.89,0.12,3,,-0.37,0.05,0.13
CC10690,Cu I,,,,,,,,
CC10690,Ba II,,0.0,0.06,3,,-0.22,0.09,0.11
CC10690,La II,,,,,,,,
CC10690,Nd II,,,,,,,,
CC10690,Eu II,,,,,,,,
CC10802,Fe I,,6.23,0.03,48,,-1.27,0.14,0.14
CC10802,O I,,,,,,,,
CC10802,Na I,,4.47,0.22,1,,-0.5,0.1,0.24
CC10802,Mg I,,6.28,0.43,2,,-0.05,0.06,0.43
CC10802,Al I,<,5.78,0.22,1,<,0.6,0.1,0.24
CC10802,Si I,,6.69,0.22,1,,0.45,0.12,0.25
CC10802,Ca I,,5.29,0.13,12,,0.13,0.03,0.13
CC10802,Sc II,,1.79,0.06,3,,-0.09,0.12,0.13
CC10802,Ti I,,4.31,0.35,3,,0.63,0.07,0.36
CC10802,Ti II,,3.99,0.22,1,,0.31,0.11,0.25
CC10802,V I,,2.51,0.04,2,,-0.16,0.1,0.11
CC10802,Cr I,,4.46,0.19,3,,0.09,0.07,0.2
CC10802,Mn I,,3.86,0.22,1,,-0.3,0.04,0.22
CC10802,Fe II,,6.65,0.13,4,,0.42,0.15,0.2
CC10802,Co I,,4.14,0.22,1,,0.42,0.08,0.23
CC10802,Ni I,,4.84,0.16,5,,-0.11,0.05,0.17
CC10802,Cu I,,,,,,,,
CC10802,Ba II,,1.1,0.23,3,,0.19,0.1,0.25
CC10802,La II,,,,,,,,
CC10802,Nd II,,,,,,,,
CC10802,Eu II,,,,,,,,
CC10944,Fe I,,5.61,0.03,62,,-1.89,0.12,0.12
CC10944,O I,,,,,,,,
CC10944,Na I,,,,,,,,
CC10944,Mg I,,5.97,0.12,2,,0.26,0.05,0.13
CC10944,Al I,<,5.62,0.21,1,<,1.06,0.08,0.22
CC10944,Si I,,6.06,0.21,1,,0.44,0.11,0.24
CC10944,Ca I,,4.59,0.04,19,,0.06,0.04,0.06
CC10944,Sc II,,1.25,0.11,4,,-0.01,0.12,0.16
CC10944,Ti I,,3.49,0.21,1,,0.43,0.06,0.22
CC10944,Ti II,,3.27,0.18,3,,0.21,0.12,0.22
CC10944,V I,,2.31,0.33,2,,0.27,0.07,0.34
CC10944,Cr I,,3.68,0.05,3,,-0.06,0.07,0.09
CC10944,Mn I,,3.07,0.07,2,,-0.47,0.06,0.09
CC10944,Fe II,,5.91,0.04,8,,0.3,0.16,0.16
CC10944,Co I,,,,,,,,
CC10944,Ni I,,4.32,0.05,6,,-0.01,0.04,0.06
CC10944,Cu I,,,,,,,,
CC10944,Ba II,,0.49,0.03,3,,0.2,0.12,0.12
CC10944,La II,,,,,,,,
CC10944,Nd II,,,,,,,,
CC10944,Eu II,,,,,,,,
CC11217,Fe I,,6.22,0.02,72,,-1.28,0.14,0.14
CC11217,O I,,7.69,0.16,1,,0.28,0.13,0.21
CC11217,Na I,,4.73,0.16,1,,-0.23,0.07,0.17
CC11217,Mg I,,6.41,0.12,2,,0.09,0.03,0.12
CC11217,Al I,<,5.37,0.16,1,<,0.2,0.09,0.18
CC11217,Si I,,6.34,0.08,3,,0.11,0.13,0.15
CC11217,Ca I,,5.19,0.03,19,,0.04,0.02,0.04
CC11217,Sc II,,1.83,0.08,6,,-0.04,0.11,0.14
CC11217,Ti I,,3.79,0.03,9,,0.12,0.1,0.1
CC11217,Ti II,,4.03,0.06,3,,0.36,0.09,0.11
CC11217,V I,,2.52,0.07,9,,-0.13,0.11,0.13
CC11217,Cr I,,4.24,0.09,4,,-0.12,0.08,0.12
CC11217,Mn I,,3.84,0.05,6,,-0.31,0.04,0.06
CC11217,Fe II,,6.36,0.04,8,,0.14,0.16,0.16
CC11217,Co I,,3.3,0.16,1,,-0.41,0.08,0.18
CC11217,Ni I,,4.82,0.06,9,,-0.11,0.04,0.07
CC11217,Cu I,,,,,,,,
CC11217,Ba II,,0.97,0.06,3,,0.07,0.09,0.11
CC11217,La II,,-0.06,0.06,4,,0.12,0.11,0.13
CC11217,Nd II,,,,,,,,
CC11217,Eu II,,-0.32,0.16,1,,0.44,0.12,0.2
CC11388,Fe I,,5.98,0.05,23,,-1.52,0.13,0.14
CC11388,O I,,,,,,,,
CC11388,Na I,,,,,,,,
CC11388,Mg I,,6.6,0.25,1,,0.52,0.05,0.25
CC11388,Al I,<,5.5,0.25,1,<,0.57,0.09,0.27
CC11388,Si I,,,,,,,,
CC11388,Ca I,,4.99,0.15,6,,0.08,0.02,0.15
CC11388,Sc II,,,,,,,,
CC11388,Ti I,,,,,,,,
CC11388,Ti II,,,,,,,,
CC11388,V I,,,,,,,,
CC11388,Cr I,,,,,,,,
CC11388,Mn I,,,,,,,,
CC11388,Fe II,,,,,,,,
CC11388,Co I,,,,,,,,
CC11388,Ni I,,4.66,0.25,1,,-0.04,0.02,0.25
CC11388,Cu I,,,,,,,,
CC11388,Ba II,,0.68,0.08,2,,0.02,0.11,0.14
CC11388,La II,,,,,,,,
CC11388,Nd II,,,,,,,,
CC11388,Eu II,,,,,,,,
CC11560,Fe I,,5.9,0.03,60,,-1.6,0.14,0.14
CC11560,O I,,7.67,0.2,1,,0.58,0.13,0.24
CC11560,Na I,,4.89,0.2,1,,0.25,0.06,0.21
CC11560,Mg I,,6.03,0.1,2,,0.03,0.04,0.11
CC11560,Al I,,,,,,,,
CC11560,Si I,,,,,,,,
CC11560,Ca I,,4.97,0.04,15,,0.15,0.02,0.04
CC11560,Sc II,,1.7,0.13,4,,0.16,0.12,0.18
CC11560,Ti I,,3.99,0.18,3,,0.65,0.07,0.19
CC11560,Ti II,,3.4,0.02,2,,0.05,0.1,0.1
CC11560,V I,,2.66,0.38,2,,0.33,0.07,0.39
CC11560,Cr I,,3.84,0.13,4,,-0.2,0.04,0.14
CC11560,Mn I,,3.63,0.23,2,,-0.19,0.07,0.24
CC11560,Fe II,,6.26,0.07,5,,0.37,0.15,0.17
CC11560,Co I,,,,,,,,
CC11560,Ni I,,4.55,0.17,4,,-0.06,0.03,0.17
CC11560,Cu I,,,,,,,,
CC11560,Ba II,,0.91,0.21,3,,0.33,0.11,0.24
CC11560,La II,,0.39,0.2,1,,0.89,0.11,0.23
CC11560,Nd II,,,,,,,,
CC11560,Eu II,,,,,,,,
CC12038,Fe I,,6.01,0.03,51,,-1.49,0.15,0.15
CC12038,O I,,,,,,,,
CC12038,Na I,,4.5,0.22,1,,-0.25,0.1,0.24
CC12038,Mg I,,6.53,0.22,1,,0.42,0.06,0.23
CC12038,Al I,,,,,,,,
CC12038,Si I,,6.57,0.42,2,,0.55,0.13,0.44
CC12038,Ca I,,5.09,0.07,15,,0.15,0.03,0.08
CC12038,Sc II,,1.56,0.07,3,,-0.1,0.11,0.13
CC12038,Ti I,,3.75,0.2,3,,0.29,0.09,0.22
CC12038,Ti II,,4.03,0.23,2,,0.57,0.11,0.25
CC12038,V I,,,,,,,,
CC12038,Cr I,,3.91,0.25,4,,-0.24,0.04,0.25
CC12038,Mn I,,3.69,0.22,2,,-0.25,0.09,0.24
CC12038,Fe II,,6.21,0.08,6,,0.2,0.16,0.18
CC12038,Co I,,,,,,,,
CC12038,Ni I,,4.57,0.08,6,,-0.16,0.05,0.09
CC12038,Cu I,,,,,,,,
CC12038,Ba II,,1.2,0.14,3,,0.51,0.11,0.18
CC12038,La II,,0.2,0.22,1,,0.59,0.12,0.25
CC12038,Nd II,,,,,,,,
CC12038,Eu II,,,,,,,,
CC12039,Fe I,,5.89,0.02,73,,-1.61,0.12,0.12
CC12039,O I,,7.58,0.16,1,,0.5,0.13,0.21
CC12039,Na I,,4.46,0.16,1,,-0.17,0.08,0.18
CC12039,Mg I,,6.32,0.14,2,,0.34,0.04,0.15
CC12039,Al I,<,5.37,0.16,1,<,0.53,0.09,0.18
CC12039,Si I,,6.11,0.16,1,,0.21,0.12,0.2
CC12039,Ca I,,4.86,0.05,18,,0.04,0.02,0.05
CC12039,Sc II,,1.66,0.05,6,,0.12,0.12,0.13
CC12039,Ti I,,3.5,0.06,4,,0.16,0.08,0.1
CC12039,Ti II,,3.63,0.11,3,,0.29,0.12,0.16
CC12039,V I,,2.16,0.17,3,,-0.16,0.08,0.19
CC12039,Cr I,,3.93,0.06,4,,-0.1,0.08,0.1
CC12039,Mn I,,3.52,0.04,4,,-0.3,0.07,0.08
CC12039,Fe II,,6.01,0.05,7,,0.12,0.16,0.17
CC12039,Co I,,,,,,,,
CC12039,Ni I,,4.55,0.06,9,,-0.05,0.04,0.07
CC12039,Cu I,,,,,,,,
CC12039,Ba II,,0.72,0.03,3,,0.15,0.11,0.11
CC12039,La II,,,,,,,,
CC12039,Nd II,,,,,,,,
CC12039,Eu II,,-0.57,0.16,1,,0.52,0.12,0.2
