ID,Name,Simbad_Identifier,Member,System,RA_hms,DEC_dms,gmag,imag,Xpix,Ypix,Rad,Vel
# 198,Seg1-198,[NWG2010] Seg1 198,n,,10:04:42.58,+15:56:47.9,17.25,16.50,-34.0,-8.1,34.9,11
# 201,Seg1-201,[NWG2010] Seg1 201,n,,10:05:20.71,+16:06:36.7,18.03,17.07,-24.8,1.7,24.9,95
# 210,Seg1-210,[NWG2010] Seg1 210,n,,10:06:14.87,+16:08:58.7,20.10,19.33,-11.8,4.1,12.5,45
# 211,Seg1-211,[NWG2010] Seg1 211,n,,10:06:47.73,+16:04:25.2,17.98,17.03,-3.9,-0.5,3.9,34
# 214,Seg1-214,[NWG2010] Seg1 214,n,,10:06:33.62,+16:09:08.9,19.47,18.78,-7.3,4.2,8.4,7
# 217,Seg1-217,[NWG2010] Seg1 217,n,,10:06:00.16,+16:05:18.6,20.20,19.51,-15.3,0.4,15.3,242
# 222,Seg1-222,[NWG2010] Seg1 222,n,,10:05:17.23,+16:20:35.6,18.08,17.43,-25.6,15.7,30.0,105
# 231,Seg1-231,[NWG2010] Seg1 231,n,,10:05:20.36,+16:24:39.6,17.47,16.50,-24.9,19.8,31.8,-14
# 237,Seg1-237,[NWG2010] Seg1 237,n,,10:06:57.78,+16:07:35.8,18.73,17.96,-1.5,2.7,3.1,86
# 238,Seg1-238,[NWG2010] Seg1 238,n,,10:06:06.74,+16:16:48.6,19.66,18.89,-13.7,11.9,18.2,9
# 240,Seg1-240,[NWG2010] Seg1 240,n,,10:06:18.00,+16:12:20.9,20.14,19.45,-11.0,7.4,13.3,146
# 241,Seg1-241,[NWG2010] Seg1 241,n,,10:06:38.68,+16:09:42.5,18.66,17.79,-6.1,4.8,7.7,75
# 242,Seg1-242,[NWG2010] Seg1 242,n,,10:06:08.75,+16:12:52.2,18.57,17.91,-13.3,8.0,15.5,69
# 247,Seg1-247,[NWG2010] Seg1 247,n,,10:05:51.62,+16:12:54.3,18.21,17.30,-17.4,8.0,19.1,73
# 251,Seg1-251,[NWG2010] Seg1 251,n,,10:06:29.98,+16:20:12.2,18.14,17.45,-8.2,15.3,17.3,35
# 258,Seg1-258,[NWG2010] Seg1 258,n,,10:06:23.61,+16:17:59.6,17.66,16.94,-9.7,13.1,16.3,123
# 259,Seg1-259,[NWG2010] Seg1 259,n,,10:06:13.78,+16:16:58.6,19.62,18.84,-12.1,12.1,17.1,21
# 265,Seg1-265,[NWG2010] Seg1 265,n,,10:05:44.53,+16:36:11.1,18.69,18.10,-19.0,31.3,36.6,-62
# 273,Seg1-273,[NWG2010] Seg1 273,n,,10:05:44.64,+16:37:37.8,17.56,16.74,-19.0,32.7,37.8,46
# 274,Seg1-274,[NWG2010] Seg1 274,n,,10:06:28.54,+16:16:33.6,17.78,16.93,-8.5,11.6,14.4,-44
# 275,Seg1-275,[NWG2010] Seg1 275,n,,10:05:40.52,+16:38:55.1,17.97,17.21,-20.0,34.0,39.5,71
# 276,Seg1-276,[NWG2010] Seg1 276,n,,10:06:28.86,+16:35:06.3,18.74,18.13,-8.4,30.2,31.3,91
# 278,Seg1-278,[NWG2010] Seg1 278,n,,10:06:26.25,+16:29:45.9,18.34,17.70,-9.0,24.9,26.4,46
# 280,Seg1-280,[NWG2010] Seg1 280,n,,10:06:11.70,+16:24:58.6,18.87,18.12,-12.5,20.1,23.7,-37
# 295,Seg1-295,[NWG2010] Seg1 295,n,,10:07:07.58,+16:38:49.6,17.89,17.03,0.9,33.9,33.9,-9
# 299,Seg1-299,[NWG2010] Seg1 299,n,,10:06:58.49,+16:20:45.6,19.84,19.20,-1.3,15.8,15.9,295
# 302,Seg1-302,[NWG2010] Seg1 302,n,,10:06:38.05,+16:42:45.2,17.73,16.77,-6.2,37.8,38.3,-46
# 311,Seg1-311,[NWG2010] Seg1 311,n,,10:07:07.57,+16:43:48.2,17.76,16.81,0.9,38.9,38.9,10
# 312,Seg1-312,[NWG2010] Seg1 312,n,,10:07:39.91,+16:29:21.3,18.71,17.84,8.6,24.4,25.9,141
# 325,Seg1-325,[NWG2010] Seg1 325,n,,10:07:29.83,+16:29:50.7,17.59,16.60,6.2,24.9,25.7,35
# 326,Seg1-326,[NWG2010] Seg1 326,n,,10:07:39.36,+16:18:19.4,18.05,17.30,8.5,13.4,15.9,105
# 327,Seg1-327,[NWG2010] Seg1 327,n,,10:08:20.61,+16:34:51.7,18.26,17.48,18.4,30.0,35.1,-5
# 331,Seg1-331,[NWG2010] Seg1 331,n,,10:07:43.47,+16:22:59.3,18.28,17.41,9.5,18.1,20.4,42
# 333,Seg1-333,[NWG2010] Seg1 333,n,,10:08:19.15,+16:23:46.8,19.08,18.45,18.0,18.9,26.1,16
# 335,Seg1-335,[NWG2010] Seg1 335,n,,10:07:30.00,+16:20:11.8,17.37,16.56,6.2,15.3,16.5,64
# 338,Seg1-338,[NWG2010] Seg1 338,n,,10:08:39.66,+16:28:26.7,19.16,18.58,22.9,23.6,32.9,288
# 340,Seg1-340,[NWG2010] Seg1 340,n,,10:08:11.98,+16:38:15.2,17.82,16.99,16.3,33.3,37.1,4
# 342,Seg1-342,[NWG2010] Seg1 342,n,,10:08:01.37,+16:22:17.3,18.54,17.82,13.8,17.4,22.2,37
# 343,Seg1-343,[NWG2010] Seg1 343,n,,10:08:33.19,+16:37:52.3,19.10,18.50,21.4,33.0,39.3,144
# 345,Seg1-345,[NWG2010] Seg1 345,n,,10:08:46.20,+16:29:27.8,17.69,16.83,24.5,24.6,34.7,-20
# 346,Seg1-346,[NWG2010] Seg1 346,n,,10:08:11.13,+16:23:09.1,19.50,18.94,16.1,18.2,24.3,98
# 352,Seg1-352,[NWG2010] Seg1 352,n,,10:08:16.68,+16:31:38.9,17.76,17.00,17.4,26.7,31.9,102
# 355,Seg1-355,[NWG2010] Seg1 355,n,,10:08:25.17,+16:16:51.2,19.18,18.48,19.5,12.0,22.9,24
# 356,Seg1-356,[NWG2010] Seg1 356,n,,10:07:22.63,+16:08:47.3,18.83,18.10,4.5,3.9,5.9,-12
# 358,Seg1-358,[NWG2010] Seg1 358,n,,10:09:07.00,+16:27:52.9,19.39,18.76,29.5,23.0,37.4,133
# 358,Seg1-358,[NWG2010] Seg1 358,n,,10:09:07.00,+16:27:52.9,19.39,18.76,29.5,23.0,37.4,145
# 370,Seg1-370,[NWG2010] Seg1 370,n,,10:08:20.27,+16:17:32.4,17.70,16.75,18.3,12.6,22.2,-23
# 371,Seg1-371,[NWG2010] Seg1 371,n,,10:08:10.23,+16:11:32.0,18.41,17.75,15.9,6.6,17.2,22
# 372,Seg1-372,[NWG2010] Seg1 372,n,,10:08:08.44,+16:21:54.5,19.07,18.27,15.5,17.0,23.0,102
# 382,Seg1-382,[NWG2010] Seg1 382,n,,10:07:47.17,+16:08:37.8,18.42,17.62,10.4,3.7,11.0,-60
# 387,Seg1-387,[NWG2010] Seg1 387,n,,10:08:28.30,+16:09:12.8,19.34,18.74,20.2,4.3,20.7,14
# 388,Seg1-388,[NWG2010] Seg1 388,n,,10:08:22.51,+16:05:14.2,17.97,17.23,18.9,0.3,18.9,-14
# 388,Seg1-388,[NWG2010] Seg1 388,n,,10:08:22.51,+16:05:14.2,17.97,17.23,18.9,0.3,18.9,-7
# 390,Seg1-390,[NWG2010] Seg1 390,n,,10:08:52.27,+16:07:45.7,18.22,17.37,26.0,2.9,26.2,35
# 391,Seg1-391,[NWG2010] Seg1 391,n,,10:08:50.08,+16:01:52.3,17.89,17.03,25.5,-3.0,25.7,-13
