ID,Name,Species,N,l_logepsX,logepsX,e_logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe]
I,DES J033454-540558,Mg I,2,,5.00,0.13,,-2.59,,0.17
I,DES J033454-540558,Al I,1,<,3.76,,<,-2.69,<,0.08
I,DES J033454-540558,Si I,1,<,7.27,,<,-0.24,<,2.53
I,DES J033454-540558,Ca I,3,,3.99,0.07,,-2.35,,0.42
I,DES J033454-540558,Sc II,1,,0.54,0.50,,-2.61,,0.16
I,DES J033454-540558,Ti II,9,,2.63,0.28,,-2.32,,0.45
I,DES J033454-540558,Cr I,1,,2.37,0.00,,-3.27,,-0.50
I,DES J033454-540558,Mn I,1,<,4.17,,<,-1.26,<,1.51
I,DES J033454-540558,Fe I,31,,4.73,0.22,,-2.77,,-0.00
I,DES J033454-540558,Fe II,,,,,,,,
I,DES J033454-540558,Co I,1,<,3.84,,<,-1.15,<,1.62
I,DES J033454-540558,Ni I,1,<,5.01,,<,-1.21,<,1.56
I,DES J033454-540558,Sr II,1,,0.40,0.50,,-2.47,,0.30
I,DES J033454-540558,Y II,,,,,,,,
I,DES J033454-540558,Ba II,4,,0.81,0.42,,-1.37,,1.40
I,DES J033454-540558,Ce II,,,,,,,,
I,DES J033454-540558,Nd II,,,,,,,,
I,DES J033454-540558,Eu II,2,,-0.14,0.38,,-0.66,,2.11
I,DES J033454-540558,Dy II,,,,,,,,
