5379.57 Fe I  3.69 -1.51 17
5383.37 Fe I  4.31 +0.65 17
5397.13 Fe I  0.92 -1.99 17
5405.77 Fe I  0.99 -1.84 17
5410.91 Fe I  4.47 +0.40 17
5415.20 Fe I  4.39 +0.64 17
5429.70 Fe I  0.96 -1.88 17
5434.52 Fe I  1.01 -2.12 17
5497.52 Fe I  1.01 -2.85 17
5501.47 Fe I  0.96 -3.05 17
5506.78 Fe I  0.99 -2.80 17
5586.76 Fe I  3.37 -0.14 17
5662.52 Fe I  4.18 -0.57 17
5701.54 Fe I  2.56 -2.22 17
5753.12 Fe I  4.26 -0.69 17
5816.37 Fe I  4.55 -0.60 17
6065.48 Fe I  2.61 -1.53 17
6136.61 Fe I  2.45 -1.40 17
6137.69 Fe I  2.59 -1.40 17
6151.62 Fe I  2.18 -3.30 17
6191.56 Fe I  2.43 -1.42 17
6213.43 Fe I  2.22 -2.48 17
6219.28 Fe I  2.20 -2.43 17
6230.72 Fe I  2.56 -1.28 17
6240.65 Fe I  2.22 -3.17 17
6246.32 Fe I  3.60 -0.88 17
6265.13 Fe I  2.18 -2.55 17
6297.79 Fe I  2.22 -2.74 17
6322.69 Fe I  2.59 -2.43 17
6344.15 Fe I  2.43 -2.92 17
6355.03 Fe I  2.84 -2.29 17
6393.60 Fe I  2.43 -1.58 17
6421.35 Fe I  2.28 -2.03 17
6430.85 Fe I  2.18 -2.01 17
6494.98 Fe I  2.40 -1.27 17
6592.91 Fe I  2.73 -1.47 17
6593.87 Fe I  2.43 -2.42 17
6609.11 Fe I  2.56 -2.69 17
6677.99 Fe I  2.69 -1.42 17
6750.15 Fe I  2.42 -2.62 17
6978.85 Fe I  2.48 -2.50 17
4178.86 Fe II 2.58 -2.51 18
4233.17 Fe II 2.58 -1.97 18
4491.41 Fe II 2.86 -2.71 18
4515.34 Fe II 2.84 -2.60 18
4522.63 Fe II 2.84 -2.25 18
4555.89 Fe II 2.83 -2.40 18
4576.34 Fe II 2.84 -2.95 18
4583.84 Fe II 2.81 -1.93 18
4620.52 Fe II 2.83 -3.21 18
5197.58 Fe II 3.23 -2.22 18
5234.63 Fe II 3.22 -2.18 18
5276.00 Fe II 3.20 -2.01 18
5325.55 Fe II 3.22 -3.16 18
5414.07 Fe II 3.22 -3.58 18
3409.18 Co I  0.51 -0.23 19
3412.34 Co I  0.51 +0.03 19
3412.63 Co I  0.00 -0.78 19
3449.44 Co I  0.43 -0.44 20
3502.28 Co I  0.43 +0.11 20
3502.63 Co I  0.17 -1.24 19
3518.34 Co I  1.05 +0.07 19
3521.57 Co I  0.43 -0.74 20
3523.42 Co I  0.63 -0.44 19
3529.03 Co I  0.17 -0.90 20
3529.81 Co I  0.51 -0.03 20
3842.05 Co I  0.92 -0.77 19
3845.47 Co I  0.92 +0.01 19
3894.08 Co I  1.05 +0.09 20
4121.32 Co I  0.92 -0.30 20
3423.71 Ni I  0.21 -0.76  4
3433.56 Ni I  0.03 -0.68  4
3437.28 Ni I  0.00 -1.15  4
3452.89 Ni I  0.11 -0.91  4
3472.54 Ni I  0.11 -0.82  4
3483.77 Ni I  0.27 -1.12  4
3492.96 Ni I  0.11 -0.27  4
3500.85 Ni I  0.17 -1.37  4
3519.77 Ni I  0.27 -1.42  4
