Name,Ion,Species,l_logepsX,logepsX
G028-043,La II,57.1,,-0.22
G028-043,Eu II,63.1,,-0.53
G028-043,Pb I,82.0,,0.69
G029-025,Fe I,26.0,,-8.59
G029-025,Zn I,30.0,,3.81
G029-025,Y II,39.1,,1.14
G029-025,La II,57.1,,0.19
G029-025,Eu II,63.1,,-0.23
G029-025,Pb I,82.0,,0.8
G040-008,Fe I,26.0,,-8.47
G040-008,Zn I,30.0,,3.9
G040-008,Y II,39.1,,1.05
G040-008,La II,57.1,,
G040-008,Eu II,63.1,,
G040-008,Pb I,82.0,,1.13
G058-025,Fe I,26.0,,-8.9
G058-025,Zn I,30.0,,3.2
G058-025,Y II,39.1,,0.76
G058-025,La II,57.1,,-0.03
G058-025,Eu II,63.1,,-0.66
G058-025,Pb I,82.0,,1.29
G059-001,Fe I,26.0,,-8.45
G059-001,Zn I,30.0,,4.04
G059-001,Y II,39.1,,1.23
G059-001,La II,57.1,,0.13
G059-001,Eu II,63.1,,-0.29
G059-001,Pb I,82.0,,1.64
G063-046,Fe I,26.0,,-8.4
G063-046,Zn I,30.0,,3.86
G063-046,Y II,39.1,,1.26
G063-046,La II,57.1,,0.27
G063-046,Eu II,63.1,,-0.05
G063-046,Pb I,82.0,<,1.65
G068-003,Fe I,26.0,,-8.26
G068-003,Zn I,30.0,,4.12
G068-003,Y II,39.1,,1.35
G068-003,La II,57.1,,0.49
G068-003,Eu II,63.1,,0.16
G068-003,Pb I,82.0,,1.19
G074-005,Fe I,26.0,,-8.55
G074-005,Zn I,30.0,,3.56
G074-005,Y II,39.1,,0.92
G074-005,La II,57.1,,0.11
G074-005,Eu II,63.1,,-0.23
G074-005,Pb I,82.0,<,1.35
G090-025,Fe I,26.0,,-9.28
G090-025,Zn I,30.0,,2.83
G090-025,Y II,39.1,,0.11
G090-025,La II,57.1,,-0.51
G090-025,Eu II,63.1,,-0.97
G090-025,Pb I,82.0,<,0.9
G095-057A,Fe I,26.0,,-8.72
G095-057A,Zn I,30.0,,3.7
G095-057A,Y II,39.1,,1.34
G095-057A,La II,57.1,,0.43
G095-057A,Eu II,63.1,,-0.23
G095-057A,Pb I,82.0,,1.14
G095-057B,Fe I,26.0,,-8.56
G095-057B,Zn I,30.0,,3.74
G095-057B,Y II,39.1,,1.3
G095-057B,La II,57.1,,
G095-057B,Eu II,63.1,,
G095-057B,Pb I,82.0,,1.39
G102-020,Fe I,26.0,,-8.75
G102-020,Zn I,30.0,,3.47
G102-020,Y II,39.1,,0.78
G102-020,La II,57.1,,-0.02
G102-020,Eu II,63.1,,-0.32
G102-020,Pb I,82.0,,0.79
G102-027,Fe I,26.0,,-8.09
G102-027,Zn I,30.0,,4.36
