Name,I/O,Simbad_Identifier,Loc,System,Slit,Reference,Ref,Instrument,Ncap_key,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,logg,Teff,ulc,epsc,e_c,ll[Fe/H],[Fe/H],e_[Fe/H],ul[C/Fe],[C/Fe],e_[C/Fe],[C/Fe]c,ul[C/Fe]f,[C/Fe]f,e_[C/Fe]f,[Ba/H]
10_8_3926,1,[CSF2018] 10-8-3926,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,S,CEMP-s,00:59:56.73,-33:39:37.54,14.986375,-33.660428,1.36,4626,,,,-3.76,,,,,,,,,,
10_8_3963,1,[CSF2018] 10-8-3963,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,S,CEMP-s,00:59:56.17,-33:43:04.89,14.984042,-33.718025,1.09,4488,,,,-3.09,,,,,,,,,,
10_8_4014,1,[CSF2018] 10-8-4014,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,Blueward_of_RGB,00:59:55.48,-33:45:51.48,14.981167,-33.7643,2.88,5244,,,,,-2.99,0.42,,0.64,0.51,0.01,,0.65,,
10_8_4020,1,[CSF2018] 10-8-4020,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:55.22,-33:42:11.34,14.980083,-33.70315,1.4,4624,,,,,-3.05,0.21,,-0.07,0.36,0.51,,0.44,,
10_8_4247,1,[CSF2018] 10-8-4247,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,Blueward_of_RGB,00:59:51.56,-33:45:07.76,14.964833,-33.752156,3.32,5419,,,,,-2.84,0.39,0.40,,,0.0,0.40,,,
10_8_4250,1,[CSF2018] 10-8-4250,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:51.51,-33:44:02.67,14.964625,-33.734075,1.29,4573,,,,,-2.73,0.22,,-0.75,0.40,0.63,,-0.12,,
10_8_436,1,[CSF2018] 10-8-436,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,Blueward_of_RGB,01:01:14.95,-33:47:21.34,15.312292,-33.789261,3.35,5404,,,,,-1.42,0.83,,-0.47,0.57,0.0,,-0.47,,
10_8_437,1,[CSF2018] 10-8-437,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,S,CEMP-s,01:01:15.05,-33:50:02.63,15.312708,-33.834064,1.24,4553,,,,-3.20,,,,,,,,,,
10_8_440,1,[CSF2018] 10-8-440,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,Blueward_of_RGB,01:01:14.29,-33:39:27.82,15.309542,-33.657728,3.59,5493,,,,,-1.65,0.2,,-0.45,0.31,0.0,,-0.45,,
10_8_462,1,[CSF2018] 10-8-462,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:01:13.19,-33:43:20.56,15.304958,-33.722378,1.53,4681,,,,,-3.06,0.22,,0.28,0.36,0.38,,0.66,,
10_8_577,1,[CSF2018] 10-8-577,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:01:06.92,-33:46:13.15,15.278833,-33.770319,1.74,4773,,,,,-3.23,0.27,,0.61,0.39,0.17,,0.78,,
10_8_61,1,[CSF2018] 10-8-61,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:01:47.52,-33:47:27.64,15.448,-33.791011,1.6,4713,,,,,-3.15,0.25,0.75,,,0.3,1.05,,,
10_8_758,1,[CSF2018] 10-8-758,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:57.56,-33:39:39.74,15.239833,-33.661039,1.64,4746,,,,,-2.50,0.28,,0.00,0.38,0.32,,0.32,,
10_8_798,1,[CSF2018] 10-8-798,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:56.41,-33:49:47.18,15.235042,-33.829772,1.37,4609,,,,,-2.74,0.23,,-0.34,0.37,0.55,,0.21,,
11_1_2583,1,[CSF2018] 11-1-2583,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:57.59,-33:38:32.54,14.989958,-33.642372,1.35,4539,,,,,-1.78,0.78,,-0.78,0.61,0.56,,-0.22,,
11_1_3246,1,[CSF2018] 11-1-3246,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:51.19,-33:44:51.82,14.963292,-33.747728,1.36,4546,,,,,-1.83,0.58,,-1.05,0.53,0.58,,-0.47,,
11_1_3334,1,[CSF2018] 11-1-3334,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,S,CEMP-s,00:59:49.62,-33:40:41.78,14.95675,-33.678272,1.62,4721,,,,-3.24,,,,,,,,,,
11_1_3513,1,[CSF2018] 11-1-3513,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:48.19,-33:46:50.01,14.950792,-33.780558,1.59,4724,,,,,-2.62,0.27,,0.18,0.39,0.37,,0.55,,
11_1_3646,1,[CSF2018] 11-1-3646,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:46.67,-33:47:19.71,14.944458,-33.788808,1.72,4764,,,,,-3.05,0.24,,0.55,0.38,0.2,,0.75,,
11_1_3738,1,[CSF2018] 11-1-3738,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:45.30,-33:43:53.83,14.93875,-33.731619,1.79,4756,,,,,-1.92,0.35,,-1.01,0.37,0.26,,-0.75,,
11_1_3743,1,[CSF2018] 11-1-3743,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:45.37,-33:45:34.19,14.939042,-33.759497,1.66,4740,,,,,-2.97,0.23,,0.53,0.36,0.26,,0.79,,
11_1_4121,1,[CSF2018] 11-1-4121,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,S,CEMP-s,00:59:41.05,-33:45:25.28,14.921042,-33.757022,1.25,4554,,,,-3.12,,,,,,,,,,
11_1_4122,1,[CSF2018] 11-1-4122,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:41.24,-33:48:03.56,14.921833,-33.800989,1.2,4467,,,,,-2.01,0.2,,-0.88,0.24,0.67,,-0.21,,
11_1_4277,1,[CSF2018] 11-1-4277,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:38.42,-33:40:11.57,14.910083,-33.669881,1.81,4805,,,,,-2.94,0.25,0.00,,,0.12,0.12,,,
11_1_4296,1,[CSF2018] 11-1-4296,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:38.75,-33:46:14.58,14.911458,-33.770717,1.55,4697,,,,,-3.33,0.22,,0.25,0.32,0.34,,0.59,,
11_1_4422,1,[CSF2018] 11-1-4422,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:36.61,-33:40:38.51,14.902542,-33.677364,1.76,4783,,,,,-3.04,0.25,,0.74,0.34,0.16,,0.90,,
