Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Imag,Date,Obs,S/N
J111447.8-405219,HIP 54918,,,11:14:47.7798,-40:52:19.414,168.699,-40.872,10.8,20090212,ESO,150
J112344.9-290327,TYC 6662-935-1,,,11:23:44.8958,-29:03:27.512,170.937,-29.058,10.1,20090215,ESO,150
J112651.4-180530,TYC 6088-1943-1,,,11:26:51.3895,-18:05:29.759,171.714,-18.092,10.2,20080324,APO,120
J113110.2-154315,TYC 6085-551-1,,,11:31:10.2996,-15:43:15.752,172.793,-15.721,10.6,20080324,APO,150
J113635.0-083517,BD-07  3261,,,11:36:35.0190,-08:35:18.122,174.146,-8.588,9.4,20080324,APO,220
J114029.4-222107,TYC 6092-1923-1,,,11:40:29.3960,-22:21:06.847,175.123,-22.352,10.7,20070506,LCO,110
J114200.1-161729,TYC 6086-1161-1,,,11:42:00.1016,-16:17:29.963,175.501,-16.292,10.9,20080317,APO,160
J115337.3-020036,BD-01  2582,,,11:53:37.3232,-02:00:36.728,178.405,-2.01,9.2,20090217,ESO,200
J115408.3-125455,TYC 5523-465-1,,,11:54:08.3583,-12:54:55.674,178.535,-12.916,10.2,20090213,ESO,130
J115824.2-130520,TYC 5524-361-1,,,11:58:24.2366,-13:05:20.581,179.601,-13.089,10.8,20080317,APO,170
J120213.1-111220,UCAC4 394-051610,,,12:02:13.1673,-11:12:20.722,180.555,-11.206,10.9,20070506,LCO,150
J120244.8-171201,TYC 6094-163-1,,,12:02:44.8023,-17:12:01.815,180.687,-17.2,10.2,20090217,ESO,170
J120324.9-353405,CD-34  7871,,,12:03:24.9071,-35:34:05.167,180.854,-35.568,9.7,20090214,ESO,170
J120920.8-203636,HD 105572,,,12:09:20.8310,-20:36:35.770,182.337,-20.61,9.8,20090215,ESO,120
J121231.9-334428,CD-33  8245,,,12:12:31.9841,-33:44:29.018,183.133,-33.741,9.7,20090214,ESO,120
J122239.1-422157,CD-41  7141,,,12:22:39.1017,-42:21:57.382,185.663,-42.366,9.8,20090213,ESO,150
J123050.9-451108,TYC 8231-1328-1,,,12:30:50.9156,-45:11:08.280,187.712,-45.186,9.1,20090218,ESO,140
J123824.6-292725,CD-28  9617,,,12:38:24.6110,-29:27:25.340,189.603,-29.457,10.2,20070506,LCO,110
J123859.7-025609,TYC 4951-84-1,,,12:38:59.7291,-02:56:09.421,189.749,-2.936,10.1,20070506,LCO,100
J124244.9-131503,BD-12  3680,,,12:42:44.8928,-13:15:03.329,190.687,-13.251,9.6,20090213,ESO,120
J124307.9-140657,BD-13  3583,,,12:43:07.8835,-14:06:57.327,190.783,-14.116,9.9,20090216,ESO,160
J125431.7-425303,TYC 7780-651-1,,,12:54:31.7126,-42:53:03.811,193.632,-42.884,10.4,20070624,AAT,150
J125815.0-402633,TYC 7776-777-1,,,12:58:14.9753,-40:26:32.879,194.562,-40.442,10.3,20070506,LCO,180
J130043.2-091049,TYC 5536-589-1,,,13:00:43.2912,-09:10:49.610,195.18,-9.18,10.5,20080317,APO,150
