Name,Species,lambda,chi,loggf,l_EW,EW,l_logepsX,logepsX
BooI-980,Sr II,4077.714,0.00,0.150,,101.1,,-1.09
BooI-980,Sr II,4215.524,0.00,-0.180,,114.5,,-1.19
BooI-980,Ba II,4554.033,HFS,,,73.3,,-2.08
BooI-980,Ba II,4934.086,HFS,,,58.3,,-2.13
BooI-980,Ba II,6496.896,HFS,,,,,
BooI-127,C-H,4313,,,,syn,,6.24
BooI-127,C-H,4323,,,,syn,,6.34
BooI-127,Na I,5889.950,0.00,0.108,,218.6,,4.19
BooI-127,Na I,5895.924,0.00,-0.194,,199.4,,4.27
BooI-127,Mg I,3829.355,2.71,-0.208,,,,
BooI-127,Mg I,3838.292,2.72,0.490,,,,
BooI-127,Mg I,3986.753,4.35,-1.030,,88.7,,6.16
BooI-127,Mg I,4057.505,4.35,-0.890,,96.3,,6.15
BooI-127,Mg I,4167.271,4.35,-0.710,,97.7,,5.99
BooI-127,Mg I,4571.096,0.00,-5.688,,122.6,,6.06
BooI-127,Mg I,4702.990,4.33,-0.380,,117.9,,5.87
BooI-127,Mg I,5172.684,2.71,-0.450,,,,
BooI-127,Mg I,5183.604,2.72,-0.239,,,,
BooI-127,Mg I,5528.405,4.34,-0.498,,114.5,,5.91
BooI-127,Al I,3944.006,0.00,-0.644,,,,
BooI-127,Al I,3961.520,0.01,-0.340,,171.9,,3.57
BooI-127,Si I,3905.523,1.91,-1.092,,,,
BooI-127,Si I,4102.936,1.91,-3.140,,138.7,,6.28
BooI-127,Ca I,4226.730,0.00,0.244,,,,
BooI-127,Ca I,4283.010,1.89,-0.224,,107.4,,4.75
BooI-127,Ca I,4318.650,1.89,-0.210,,100.4,,4.59
BooI-127,Ca I,4425.440,1.88,-0.358,,98.0,,4.65
BooI-127,Ca I,4434.960,1.89,-0.010,,,,
BooI-127,Ca I,4435.690,1.89,-0.519,,96.9,,4.79
BooI-127,Ca I,4454.780,1.90,0.260,,124.4,,4.56
BooI-127,Ca I,4455.890,1.90,-0.530,,,,
BooI-127,Ca I,5581.971,2.52,-0.555,,38.0,,4.50
BooI-127,Ca I,5588.760,2.52,0.210,,84.1,,4.49
BooI-127,Ca I,5590.120,2.52,-0.571,,38.3,,4.51
BooI-127,Ca I,5594.468,2.52,0.097,,86.8,,4.64
BooI-127,Ca I,5598.487,2.52,-0.087,,73.6,,4.61
BooI-127,Ca I,5601.285,2.53,-0.523,,34.6,,4.41
BooI-127,Ca I,5857.450,2.93,0.230,,74.9,,4.79
BooI-127,Ca I,6102.720,1.88,-0.790,,86.2,,4.70
BooI-127,Ca I,6122.220,1.89,-0.315,,107.5,,4.59
BooI-127,Ca I,6162.170,1.90,-0.089,,133.8,,4.79
BooI-127,Ca I,6169.055,2.52,-0.797,,34.7,,4.66
BooI-127,Ca I,6169.559,2.53,-0.478,,48.7,,4.59
BooI-127,Ca I,6439.070,2.52,0.470,,93.3,,4.33
BooI-127,Ca I,6449.810,2.52,-0.502,,41.6,,4.47
BooI-127,Ca I,6499.649,2.52,-0.818,,36.1,,4.69
BooI-127,Ca I,6717.685,2.71,-0.524,,29.3,,4.48
BooI-127,Sc II,4246.820,HFS,,,syn,,1.01
BooI-127,Sc II,4314.083,HFS,,,syn,,1.14
BooI-127,Sc II,4324.998,HFS,,,syn,,1.15
BooI-127,Sc II,4400.389,HFS,,,syn,,1.15
BooI-127,Sc II,4415.544,HFS,,,syn,,1.05
BooI-127,Sc II,5031.010,HFS,,,syn,,1.00
BooI-127,Sc II,5239.811,HFS,,,syn,,1.00
BooI-127,Sc II,5526.785,HFS,,,syn,,1.00
BooI-127,Sc II,5657.907,HFS,,,syn,,1.13
BooI-127,Ti I,3989.760,0.02,-0.062,,,,
BooI-127,Ti I,3998.640,0.05,0.010,,,,
BooI-127,Ti I,4512.730,0.84,-0.424,,45.4,,3.06
BooI-127,Ti I,4518.020,0.83,-0.269,,49.6,,2.97
BooI-127,Ti I,4533.249,0.85,0.532,,94.6,,2.95
BooI-127,Ti I,4534.780,0.84,0.336,,88.8,,3.02
BooI-127,Ti I,4535.567,0.83,0.120,,81.5,,3.10
BooI-127,Ti I,4544.687,0.82,-0.520,,51.6,,3.23
BooI-127,Ti I,4656.470,0.00,-1.289,,62.6,,3.17
BooI-127,Ti I,4681.910,0.05,-1.015,,85.8,,3.32
BooI-127,Ti I,4840.870,0.90,-0.453,,36.4,,2.98
BooI-127,Ti I,4991.070,0.84,0.436,,101.4,,3.08
BooI-127,Ti I,4999.500,0.83,0.306,,97.4,,3.12
BooI-127,Ti I,5007.206,0.82,0.168,,89.6,,3.10
BooI-127,Ti I,5020.024,0.84,-0.358,,62.5,,3.22
BooI-127,Ti I,5024.843,0.82,-0.546,,37.6,,2.99
BooI-127,Ti I,5035.902,1.46,0.260,,60.5,,3.32
BooI-127,Ti I,5036.463,1.44,0.186,,59.6,,3.35
BooI-127,Ti I,5038.396,1.43,0.069,,32.9,,3.02
BooI-127,Ti I,5039.960,0.02,-1.130,,69.9,,3.10
BooI-127,Ti I,5064.650,0.05,-0.935,,72.2,,2.98
BooI-127,Ti I,5173.740,0.00,-1.062,,83.3,,3.19
BooI-127,Ti I,5192.970,0.02,-0.950,,82.9,,3.10
BooI-127,Ti I,5210.390,0.05,-0.828,,91.0,,3.15
BooI-127,Ti II,4012.396,0.57,-1.750,,120.7,,3.01
BooI-127,Ti II,4025.120,0.61,-1.980,,106.2,,2.97
BooI-127,Ti II,4028.338,1.89,-0.960,,113.8,,3.68
BooI-127,Ti II,4161.527,1.08,-2.160,,92.3,,3.39
BooI-127,Ti II,4163.634,2.59,-0.400,,79.0,,3.19
BooI-127,Ti II,4290.219,1.16,-0.930,,157.0,,3.55
BooI-127,Ti II,4300.049,1.18,-0.490,,178.7,,3.49
BooI-127,Ti II,4330.723,1.18,-2.060,,79.0,,3.13
BooI-127,Ti II,4337.914,1.08,-0.960,,134.4,,3.02
BooI-127,Ti II,4394.059,1.22,-1.780,,111.9,,3.53
BooI-127,Ti II,4395.031,1.08,-0.540,,186.3,,3.49
BooI-127,Ti II,4395.839,1.24,-1.930,,79.2,,3.07
BooI-127,Ti II,4399.765,1.24,-1.190,,117.8,,3.08
BooI-127,Ti II,4409.520,1.23,-2.370,,64.2,,3.23
BooI-127,Ti II,4417.714,1.17,-1.190,,147.5,,3.59
BooI-127,Ti II,4418.331,1.24,-1.970,,84.0,,3.19
BooI-127,Ti II,4441.731,1.18,-2.410,,63.9,,3.21
BooI-127,Ti II,4443.801,1.08,-0.720,,152.9,,3.10
BooI-127,Ti II,4444.554,1.12,-2.240,,71.8,,3.09
BooI-127,Ti II,4450.482,1.08,-1.520,,122.8,,3.29
BooI-127,Ti II,4464.448,1.16,-1.810,,100.8,,3.24
BooI-127,Ti II,4468.517,1.13,-0.600,,170.4,,3.35
BooI-127,Ti II,4470.853,1.17,-2.020,,84.4,,3.15
BooI-127,Ti II,4493.522,1.08,-3.020,,45.1,,3.39
BooI-127,Ti II,4501.270,1.12,-0.770,,172.1,,3.52
BooI-127,Ti II,4529.480,1.57,-2.030,,89.5,,3.73
BooI-127,Ti II,4533.960,1.24,-0.530,,149.1,,3.01
BooI-127,Ti II,4545.144,1.13,-1.810,,89.0,,2.96
BooI-127,Ti II,4563.770,1.22,-0.960,,157.4,,3.56
BooI-127,Ti II,4571.971,1.57,-0.320,,140.6,,3.03
BooI-127,Ti II,4583.409,1.16,-2.920,,30.7,,3.12
BooI-127,Ti II,4589.915,1.24,-1.790,,116.9,,3.61
BooI-127,Ti II,4657.200,1.24,-2.240,,88.8,,3.50
BooI-127,Ti II,4708.662,1.24,-2.340,,78.1,,3.41
BooI-127,Ti II,4779.979,2.05,-1.370,,72.5,,3.32
BooI-127,Ti II,4798.532,1.08,-2.680,,67.5,,3.37
BooI-127,Ti II,4805.089,2.06,-1.100,,92.5,,3.41
BooI-127,Ti II,4865.610,1.12,-2.810,,69.8,,3.58
BooI-127,Ti II,5129.156,1.89,-1.240,,86.1,,3.20
BooI-127,Ti II,5185.902,1.89,-1.490,,56.2,,2.96
BooI-127,Ti II,5188.687,1.58,-1.050,,142.5,,3.64
BooI-127,Ti II,5226.538,1.57,-1.260,,111.6,,3.25
BooI-127,Ti II,5268.607,2.60,-1.620,,31.2,,3.50
BooI-127,Ti II,5336.786,1.58,-1.590,,86.4,,3.15
BooI-127,Ti II,5381.021,1.57,-1.920,,67.5,,3.16
BooI-127,Ti II,5418.768,1.58,-2.000,,63.9,,3.19
BooI-127,Cr I,4254.332,0.00,-0.114,,173.7,,3.33
BooI-127,Cr I,4274.800,0.00,-0.220,,183.3,,3.57
BooI-127,Cr I,4289.720,0.00,-0.370,,182.0,,3.69
BooI-127,Cr I,4337.566,0.97,-1.112,,68.9,,3.50
BooI-127,Cr I,4545.950,0.94,-1.370,,62.8,,3.60
BooI-127,Cr I,4580.056,0.94,-1.650,,58.6,,3.81
BooI-127,Cr I,4600.752,1.00,-1.260,,63.1,,3.56
BooI-127,Cr I,4616.137,0.98,-1.190,,60.5,,3.42
BooI-127,Cr I,4626.188,0.97,-1.320,,43.9,,3.27
BooI-127,Cr I,4646.150,1.03,-0.740,,102.7,,3.78
BooI-127,Cr I,4651.280,0.98,-1.460,,59.3,,3.67
BooI-127,Cr I,4652.158,1.00,-1.030,,71.1,,3.46
BooI-127,Cr I,5206.040,0.94,0.020,,139.4,,3.49
BooI-127,Cr I,5208.419,0.94,0.160,,175.3,,3.93
BooI-127,Cr I,5247.564,0.96,-1.640,,46.4,,3.58
BooI-127,Cr I,5296.690,0.98,-1.360,,65.7,,3.62
BooI-127,Cr I,5298.280,0.98,-1.140,,91.1,,3.80
BooI-127,Cr I,5345.800,1.00,-0.950,,77.7,,3.41
BooI-127,Cr I,5348.310,1.00,-1.210,,48.1,,3.21
BooI-127,Cr I,5409.770,1.03,-0.670,,103.5,,3.61
BooI-127,Cr II,4558.594,4.07,-0.656,,38.3,,3.53
BooI-127,Cr II,4588.142,4.07,-0.826,,40.8,,3.75
BooI-127,Mn I,4030.753,HFS,,,syn,,2.80
BooI-127,Mn I,4033.062,HFS,,,syn,,2.80
BooI-127,Mn I,4034.483,HFS,,,syn,,3.10
BooI-127,Mn I,4041.357,HFS,,,syn,,3.07
BooI-127,Mn I,4754.048,HFS,,,syn,,2.95
BooI-127,Mn I,4783.432,HFS,,,syn,,2.95
BooI-127,Mn I,4823.528,HFS,,,syn,,2.90
BooI-127,Fe I,3753.611,2.18,-0.890,,,,
BooI-127,Fe I,3765.539,3.24,0.482,,,,
BooI-127,Fe I,3786.677,1.01,-2.185,,,,
BooI-127,Fe I,3849.967,1.01,-0.863,,,,
BooI-127,Fe I,3852.573,2.18,-1.180,,110.7,,5.48
BooI-127,Fe I,3865.523,1.01,-0.950,,,,
BooI-127,Fe I,3887.048,0.91,-1.140,,,,
BooI-127,Fe I,3940.878,0.96,-2.600,,125.4,,5.67
BooI-127,Fe I,3949.953,2.18,-1.251,,121.2,,5.75
BooI-127,Fe I,3977.741,2.20,-1.120,,,,
BooI-127,Fe I,4005.242,1.56,-0.583,,,,
BooI-127,Fe I,4021.866,2.76,-0.730,,84.0,,5.07
BooI-127,Fe I,4032.627,1.49,-2.380,,115.7,,5.86
BooI-127,Fe I,4044.609,2.83,-1.220,,77.1,,5.50
BooI-127,Fe I,4058.217,3.21,-1.110,,65.0,,5.61
BooI-127,Fe I,4062.441,2.85,-0.860,,76.2,,5.14
BooI-127,Fe I,4063.594,1.56,0.062,,,,
BooI-127,Fe I,4067.978,3.21,-0.470,,84.8,,5.35
BooI-127,Fe I,4070.769,3.24,-0.790,,74.9,,5.50
BooI-127,Fe I,4071.738,1.61,-0.008,,,,
BooI-127,Fe I,4073.763,3.27,-0.900,,63.6,,5.44
BooI-127,Fe I,4076.629,3.21,-0.370,,105.8,,5.70
BooI-127,Fe I,4079.838,2.86,-1.360,,66.2,,5.46
BooI-127,Fe I,4095.970,2.59,-1.480,,77.5,,5.47
BooI-127,Fe I,4098.176,3.24,-0.880,,68.9,,5.48
BooI-127,Fe I,4109.802,2.85,-0.940,,102.4,,5.77
BooI-127,Fe I,4114.445,2.83,-1.303,,52.4,,5.12
BooI-127,Fe I,4132.058,1.61,-0.675,,,,
BooI-127,Fe I,4132.899,2.85,-1.010,,72.2,,5.20
BooI-127,Fe I,4134.678,2.83,-0.649,,93.9,,5.25
BooI-127,Fe I,4136.998,3.42,-0.450,,60.3,,5.10
BooI-127,Fe I,4139.927,0.99,-3.629,,88.3,,5.87
BooI-127,Fe I,4143.414,3.05,-0.200,,102.7,,5.26
BooI-127,Fe I,4143.868,1.56,-0.511,,,,
BooI-127,Fe I,4147.669,1.48,-2.071,,131.0,,5.82
BooI-127,Fe I,4152.169,0.96,-3.232,,99.9,,5.66
BooI-127,Fe I,4153.899,3.40,-0.320,,89.4,,5.50
BooI-127,Fe I,4154.498,2.83,-0.688,,87.0,,5.15
BooI-127,Fe I,4154.805,3.37,-0.400,,80.5,,5.37
BooI-127,Fe I,4156.799,2.83,-0.808,,104.9,,5.66
BooI-127,Fe I,4157.780,3.42,-0.403,,67.3,,5.18
BooI-127,Fe I,4158.793,3.43,-0.670,,71.2,,5.53
BooI-127,Fe I,4174.913,0.91,-2.938,,129.1,,5.92
BooI-127,Fe I,4175.636,2.85,-0.827,,88.1,,5.33
BooI-127,Fe I,4181.755,2.83,-0.371,,118.5,,5.51
BooI-127,Fe I,4182.382,3.02,-1.180,,51.4,,5.20
BooI-127,Fe I,4184.892,2.83,-0.869,,83.8,,5.26
BooI-127,Fe I,4187.039,2.45,-0.514,,124.3,,5.26
BooI-127,Fe I,4187.795,2.42,-0.510,,118.8,,5.11
BooI-127,Fe I,4191.430,2.47,-0.666,,111.2,,5.18
BooI-127,Fe I,4195.329,3.33,-0.492,,74.8,,5.30
BooI-127,Fe I,4196.208,3.40,-0.700,,75.7,,5.60
BooI-127,Fe I,4199.095,3.05,0.156,,116.9,,5.21
BooI-127,Fe I,4202.029,1.49,-0.689,,,,
BooI-127,Fe I,4216.184,0.00,-3.357,,,,
BooI-127,Fe I,4217.545,3.43,-0.484,,81.9,,5.53
BooI-127,Fe I,4222.213,2.45,-0.914,,106.2,,5.28
BooI-127,Fe I,4227.427,3.33,0.266,,124.6,,5.58
BooI-127,Fe I,4233.603,2.48,-0.579,,115.0,,5.17
BooI-127,Fe I,4238.810,3.40,-0.233,,73.8,,5.09
BooI-127,Fe I,4247.426,3.37,-0.240,,83.9,,5.25
BooI-127,Fe I,4250.119,2.47,-0.380,,129.7,,5.24
BooI-127,Fe I,4250.787,1.56,-0.713,,,,
BooI-127,Fe I,4260.474,2.40,0.077,,,,
BooI-127,Fe I,4271.154,2.45,-0.337,,,,
BooI-127,Fe I,4271.760,1.49,-0.173,,,,
BooI-127,Fe I,4282.403,2.18,-0.779,,123.7,,5.20
BooI-127,Fe I,4325.762,1.61,0.006,,,,
BooI-127,Fe I,4337.046,1.56,-1.695,,131.4,,5.48
BooI-127,Fe I,4352.735,2.22,-1.290,,105.6,,5.35
BooI-127,Fe I,4375.930,0.00,-3.005,,,,
BooI-127,Fe I,4388.407,3.60,-0.681,,55.8,,5.44
BooI-127,Fe I,4404.750,1.56,-0.147,,,,
BooI-127,Fe I,4407.709,2.18,-1.970,,100.0,,5.85
BooI-127,Fe I,4415.122,1.61,-0.621,,,,
BooI-127,Fe I,4422.568,2.85,-1.110,,71.0,,5.23
BooI-127,Fe I,4427.310,0.05,-2.924,,,,
BooI-127,Fe I,4430.614,2.22,-1.659,,107.3,,5.73
BooI-127,Fe I,4442.339,2.20,-1.228,,134.0,,5.81
BooI-127,Fe I,4443.194,2.86,-1.043,,77.8,,5.30
BooI-127,Fe I,4447.717,2.22,-1.339,,121.0,,5.69
BooI-127,Fe I,4454.381,2.83,-1.300,,65.3,,5.30
BooI-127,Fe I,4459.118,2.18,-1.279,,137.6,,5.90
BooI-127,Fe I,4461.653,0.09,-3.194,,,,
BooI-127,Fe I,4466.552,2.83,-0.600,,120.2,,5.69
BooI-127,Fe I,4476.019,2.85,-0.820,,109.5,,5.70
BooI-127,Fe I,4489.739,0.12,-3.899,,120.0,,5.57
BooI-127,Fe I,4490.083,3.02,-1.580,,36.5,,5.31
BooI-127,Fe I,4494.563,2.20,-1.143,,114.6,,5.31
BooI-127,Fe I,4528.614,2.18,-0.822,,127.9,,5.23
BooI-127,Fe I,4531.148,1.48,-2.101,,144.7,,5.97
BooI-127,Fe I,4592.651,1.56,-2.462,,98.3,,5.49
BooI-127,Fe I,4595.359,3.29,-1.758,,22.9,,5.53
BooI-127,Fe I,4602.941,1.49,-2.208,,123.9,,5.66
BooI-127,Fe I,4630.120,2.28,-2.587,,49.3,,5.65
BooI-127,Fe I,4632.912,1.61,-2.913,,76.5,,5.59
BooI-127,Fe I,4647.434,2.95,-1.351,,68.9,,5.53
BooI-127,Fe I,4678.846,3.60,-0.830,,40.3,,5.31
BooI-127,Fe I,4691.411,2.99,-1.520,,63.8,,5.66
BooI-127,Fe I,4707.274,3.24,-1.080,,73.5,,5.68
BooI-127,Fe I,4710.283,3.02,-1.610,,53.9,,5.62
BooI-127,Fe I,4733.591,1.49,-2.988,,101.2,,5.96
BooI-127,Fe I,4736.772,3.21,-0.752,,83.9,,5.50
BooI-127,Fe I,4786.806,3.00,-1.606,,51.8,,5.56
BooI-127,Fe I,4789.650,3.53,-0.957,,39.1,,5.33
BooI-127,Fe I,4859.741,2.88,-0.760,,104.2,,5.48
BooI-127,Fe I,4871.318,2.87,-0.362,,117.4,,5.31
BooI-127,Fe I,4872.137,2.88,-0.567,,104.9,,5.30
BooI-127,Fe I,4890.755,2.88,-0.394,,128.9,,5.56
BooI-127,Fe I,4891.492,2.85,-0.111,,131.6,,5.29
BooI-127,Fe I,4903.310,2.88,-0.926,,89.7,,5.36
BooI-127,Fe I,4918.994,2.85,-0.342,,120.6,,5.32
BooI-127,Fe I,4920.503,2.83,0.068,,136.1,,5.16
BooI-127,Fe I,4924.770,2.28,-2.114,,59.0,,5.30
BooI-127,Fe I,4938.814,2.88,-1.077,,81.2,,5.36
BooI-127,Fe I,4939.687,0.86,-3.252,,117.2,,5.69
BooI-127,Fe I,4946.388,3.37,-1.170,,39.2,,5.34
BooI-127,Fe I,4966.089,3.33,-0.871,,71.7,,5.53
BooI-127,Fe I,4994.130,0.92,-2.969,,121.5,,5.55
BooI-127,Fe I,5001.870,3.88,0.050,,88.5,,5.57
BooI-127,Fe I,5006.119,2.83,-0.615,,110.0,,5.35
BooI-127,Fe I,5012.068,0.86,-2.642,,150.7,,5.66
BooI-127,Fe I,5014.942,3.94,-0.300,,48.7,,5.30
BooI-127,Fe I,5022.236,3.98,-0.530,,39.3,,5.42
BooI-127,Fe I,5041.072,0.96,-3.090,,111.3,,5.52
BooI-127,Fe I,5041.756,1.49,-2.200,,106.1,,5.21
BooI-127,Fe I,5044.212,2.85,-2.017,,44.9,,5.66
BooI-127,Fe I,5049.820,2.28,-1.355,,107.7,,5.36
BooI-127,Fe I,5051.634,0.92,-2.764,,,,
BooI-127,Fe I,5074.749,4.22,-0.200,,52.6,,5.60
BooI-127,Fe I,5079.224,2.20,-2.105,,94.6,,5.77
BooI-127,Fe I,5079.740,0.99,-3.245,,112.6,,5.73
BooI-127,Fe I,5083.339,0.96,-2.842,,136.5,,5.72
BooI-127,Fe I,5098.697,2.18,-2.030,,100.1,,5.78
BooI-127,Fe I,5110.413,0.00,-3.760,,,,
BooI-127,Fe I,5123.720,1.01,-3.058,,116.6,,5.64
BooI-127,Fe I,5125.117,4.22,-0.140,,62.3,,5.70
BooI-127,Fe I,5127.360,0.92,-3.249,,119.0,,5.76
BooI-127,Fe I,5131.468,2.22,-2.515,,62.5,,5.67
BooI-127,Fe I,5133.689,4.18,0.140,,79.2,,5.66
BooI-127,Fe I,5141.739,2.42,-2.238,,53.3,,5.49
BooI-127,Fe I,5142.929,0.96,-3.080,,127.8,,5.79
BooI-127,Fe I,5150.840,0.99,-3.037,,124.2,,5.72
BooI-127,Fe I,5151.911,1.01,-3.321,,97.5,,5.55
BooI-127,Fe I,5162.273,4.18,0.020,,56.6,,5.39
BooI-127,Fe I,5166.282,0.00,-4.123,,122.5,,5.48
BooI-127,Fe I,5171.596,1.49,-1.721,,149.2,,5.48
BooI-127,Fe I,5191.455,3.04,-0.551,,105.1,,5.43
BooI-127,Fe I,5192.344,3.00,-0.421,,118.6,,5.50
BooI-127,Fe I,5194.942,1.56,-2.021,,118.9,,5.32
BooI-127,Fe I,5198.711,2.22,-2.091,,80.0,,5.52
BooI-127,Fe I,5202.336,2.18,-1.871,,105.3,,5.70
BooI-127,Fe I,5216.274,1.61,-2.082,,128.7,,5.62
BooI-127,Fe I,5217.390,3.21,-1.162,,76.4,,5.73
BooI-127,Fe I,5225.526,0.11,-4.755,,98.5,,5.84
BooI-127,Fe I,5232.940,2.94,-0.057,,124.1,,5.16
BooI-127,Fe I,5242.491,3.63,-0.967,,37.2,,5.40
BooI-127,Fe I,5247.050,0.09,-4.946,,80.1,,5.72
BooI-127,Fe I,5250.210,0.12,-4.938,,82.8,,5.79
BooI-127,Fe I,5250.646,2.20,-2.180,,94.2,,5.82
BooI-127,Fe I,5254.956,0.11,-4.764,,101.0,,5.89
BooI-127,Fe I,5263.305,3.27,-0.879,,93.0,,5.81
BooI-127,Fe I,5266.555,3.00,-0.385,,113.8,,5.37
BooI-127,Fe I,5269.537,0.86,-1.333,,,,
BooI-127,Fe I,5281.790,3.04,-0.833,,98.5,,5.57
BooI-127,Fe I,5283.621,3.24,-0.524,,107.6,,5.68
BooI-127,Fe I,5302.300,3.28,-0.720,,81.6,,5.46
BooI-127,Fe I,5307.361,1.61,-2.912,,82.6,,5.62
BooI-127,Fe I,5322.040,2.28,-2.802,,34.6,,5.56
BooI-127,Fe I,5324.179,3.21,-0.103,,114.5,,5.34
BooI-127,Fe I,5328.039,0.92,-1.466,,,,
BooI-127,Fe I,5328.531,1.56,-1.850,,134.4,,5.41
BooI-127,Fe I,5332.900,1.55,-2.776,,109.7,,5.87
BooI-127,Fe I,5339.930,3.27,-0.720,,98.4,,5.73
BooI-127,Fe I,5364.871,4.45,0.228,,57.9,,5.51
BooI-127,Fe I,5365.400,3.56,-1.020,,27.7,,5.17
BooI-127,Fe I,5367.467,4.42,0.443,,71.3,,5.49
BooI-127,Fe I,5369.962,4.37,0.536,,87.8,,5.62
BooI-127,Fe I,5371.489,0.96,-1.644,,,,
BooI-127,Fe I,5379.573,3.69,-1.514,,25.3,,5.76
BooI-127,Fe I,5383.369,4.31,0.645,,73.7,,5.19
BooI-127,Fe I,5389.479,4.42,-0.410,,24.4,,5.50
BooI-127,Fe I,5393.168,3.24,-0.910,,91.7,,5.77
BooI-127,Fe I,5397.128,0.92,-1.982,,,,
BooI-127,Fe I,5405.775,0.99,-1.852,,,,
BooI-127,Fe I,5410.910,4.47,0.398,,50.5,,5.24
BooI-127,Fe I,5415.199,4.39,0.643,,65.4,,5.16
BooI-127,Fe I,5424.068,4.32,0.520,,76.6,,5.38
BooI-127,Fe I,5429.696,0.96,-1.881,,,,
BooI-127,Fe I,5434.524,1.01,-2.126,,168.4,,5.51
BooI-127,Fe I,5446.917,0.99,-1.910,,,,
BooI-127,Fe I,5455.609,1.01,-2.090,,,,
BooI-127,Fe I,5497.516,1.01,-2.825,,127.0,,5.52
BooI-127,Fe I,5501.465,0.96,-3.046,,120.3,,5.55
BooI-127,Fe I,5506.779,0.99,-2.789,,130.5,,5.51
BooI-127,Fe I,5569.618,3.42,-0.540,,82.2,,5.43
BooI-127,Fe I,5572.842,3.40,-0.275,,95.0,,5.37
BooI-127,Fe I,5586.756,3.37,-0.144,,123.2,,5.69
BooI-127,Fe I,5615.644,3.33,0.050,,133.7,,5.62
BooI-127,Fe I,5624.542,3.42,-0.755,,74.1,,5.52
BooI-127,Fe I,5658.816,3.40,-0.793,,82.8,,5.66
BooI-127,Fe I,5662.516,4.18,-0.573,,35.8,,5.61
BooI-127,Fe I,5686.529,4.55,-0.450,,15.4,,5.44
BooI-127,Fe I,5701.544,2.56,-2.143,,46.4,,5.41
BooI-127,Fe I,6065.481,2.61,-1.410,,97.7,,5.53
BooI-127,Fe I,6136.615,2.45,-1.410,,94.1,,5.27
BooI-127,Fe I,6137.691,2.59,-1.346,,107.2,,5.61
BooI-127,Fe I,6151.618,2.18,-3.371,,22.6,,5.72
BooI-127,Fe I,6191.558,2.43,-1.416,,121.5,,5.72
BooI-127,Fe I,6200.312,2.61,-2.437,,38.5,,5.62
BooI-127,Fe I,6213.429,2.22,-2.481,,63.1,,5.57
BooI-127,Fe I,6219.280,2.20,-2.448,,67.9,,5.58
BooI-127,Fe I,6230.723,2.56,-1.276,,114.2,,5.61
BooI-127,Fe I,6240.645,2.22,-3.173,,27.1,,5.66
BooI-127,Fe I,6246.318,3.60,-0.877,,48.2,,5.41
BooI-127,Fe I,6252.555,2.40,-1.687,,105.3,,5.66
BooI-127,Fe I,6254.257,2.28,-2.443,,70.4,,5.70
BooI-127,Fe I,6265.134,2.18,-2.540,,65.2,,5.61
BooI-127,Fe I,6297.792,2.22,-2.640,,41.5,,5.39
BooI-127,Fe I,6301.499,3.65,-0.718,,64.4,,5.57
BooI-127,Fe I,6322.684,2.59,-2.469,,42.2,,5.68
BooI-127,Fe I,6335.330,2.20,-2.180,,70.0,,5.34
BooI-127,Fe I,6336.835,3.69,-1.050,,50.8,,5.72
BooI-127,Fe I,6344.148,2.43,-2.877,,26.9,,5.61
BooI-127,Fe I,6393.601,2.43,-1.576,,114.7,,5.73
BooI-127,Fe I,6400.000,3.60,-0.290,,69.0,,5.14
BooI-127,Fe I,6411.649,3.65,-0.595,,60.6,,5.37
BooI-127,Fe I,6421.350,2.28,-2.014,,102.2,,5.76
BooI-127,Fe I,6430.846,2.18,-1.946,,115.1,,5.80
BooI-127,Fe I,6494.980,2.40,-1.239,,126.7,,5.55
BooI-127,Fe I,6498.940,0.96,-4.699,,31.9,,5.73
BooI-127,Fe I,6592.912,2.73,-1.473,,91.2,,5.60
BooI-127,Fe I,6593.868,2.44,-2.366,,57.4,,5.62
BooI-127,Fe I,6609.109,2.56,-2.661,,34.0,,5.68
BooI-127,Fe I,6663.440,2.42,-2.479,,43.1,,5.48
BooI-127,Fe I,6677.986,2.69,-1.418,,94.6,,5.54
BooI-127,Fe I,6750.152,2.42,-2.584,,50.5,,5.69
BooI-127,Fe I,6978.850,2.48,-2.452,,54.9,,5.69
BooI-127,Fe II,4122.668,2.58,-3.380,,60.9,,5.75
BooI-127,Fe II,4233.170,2.58,-1.970,,116.2,,5.46
BooI-127,Fe II,4416.817,2.78,-2.600,,66.1,,5.27
BooI-127,Fe II,4489.185,2.83,-2.970,,61.3,,5.62
BooI-127,Fe II,4491.410,2.86,-2.710,,51.1,,5.21
BooI-127,Fe II,4508.283,2.86,-2.580,,81.7,,5.63
BooI-127,Fe II,4515.340,2.84,-2.600,,79.0,,5.58
BooI-127,Fe II,4520.224,2.81,-2.600,,60.6,,5.21
BooI-127,Fe II,4522.630,2.84,-2.250,,106.2,,5.77
BooI-127,Fe II,4541.523,2.86,-3.050,,62.2,,5.74
BooI-127,Fe II,4555.890,2.83,-2.400,,85.6,,5.49
BooI-127,Fe II,4576.340,2.84,-2.950,,51.2,,5.43
BooI-127,Fe II,4583.840,2.81,-1.930,,106.8,,5.42
BooI-127,Fe II,4620.520,2.83,-3.210,,27.4,,5.23
BooI-127,Fe II,4731.439,2.89,-3.360,,44.3,,5.77
BooI-127,Fe II,4923.930,2.89,-1.320,,134.3,,5.39
BooI-127,Fe II,4993.350,2.81,-3.670,,20.9,,5.50
BooI-127,Fe II,5018.450,2.89,-1.220,,156.7,,5.69
