JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
7415,1.0,ROE10,Roederer+2010,G 29-25,G 29-25,,,,MP,,,,,23:22:18.17,+12:09:33.48,350.5757,12.1593,,,,,,,,,,,,,-1.09,,,,,,,,,,,,,,,,,,,,,6.41,,,,3.81,,,,,,,1.14,,,,,,,,,,,,0.19,,,,,-0.23,,,,,,,,,,,,,,,,0.8,,,,,,,,,,Mardini
7416,1.0,ROE10,Roederer+2010,BD+25 1858,BD+25 1858,,,,SUN,,,,,08:08:54.46,+24:37:26.40,122.2269,24.624,,,,,,,,,,,,,-0.97,,,,,,,,,,,,,,,,,,,,,6.53,,,,3.9,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,,,,,,,,,Mardini
7417,2.0,ROE10,Roederer+2010,HD 94028,HD 94028,,,,MP,,,,,10:51:28.13,+20:16:39.00,162.8672,20.2775,,,,,,,,,,,,,-1.4,,,,,,,,,,,,,,,,,,,,,6.1,,,,3.2,,,,,,,0.76,,,,,,,,,,,,-0.03,,,,,-0.66,,,,,,,,,,,,,,,,1.29,,,,,,,,,,Mardini
7418,1.0,ROE10,Roederer+2010,BD+22 2442,BD+22 2442,,,,SUN,,,,,12:08:54.65,+21:47:19.32,182.2277,21.7887,,,,,,,,,,,,,-0.95,,,,,,,,,,,,,,,,,,,,,6.55,,,,4.04,,,,,,,1.23,,,,,,,,,,,,0.13,,,,,-0.29,,,,,,,,,,,,,,,,1.64,,,,,,,,,,Mardini
7419,1.0,ROE10,Roederer+2010,BD+13 2698,BD+13 2698,,,,SUN,,,,,13:39:59.57,+12:35:21.84,204.9982,12.5894,,,,,,,,,,,,,-0.9,,,,,,,,,,,,,,,,,,,,,6.6,,,,3.86,,,,,,,1.26,,,,,,,,,,,,0.27,,,,,-0.05,,,,,,,,,,,,,,,,1.65,,,,,,,,,,Mardini
7420,1.0,ROE10,Roederer+2010,BD+20 5292,BD+20 5292,,,,SUN,,,,,23:13:17.16,+20:56:34.08,348.3215,20.9428,,,,,,,,,,,,,-0.76,,,,,,,,,,,,,,,,,,,,,6.74,,,,4.12,,,,,,,1.35,,,,,,,,,,,,0.49,,,,,0.16,,,,,,,,,,,,,,,,1.19,,,,,,,,,,Mardini
7421,1.0,ROE10,Roederer+2010,BD+29 366,BD+29 366,,,,MP,,,,,02:10:24.53,+29:48:23.76,32.6022,29.8066,,,,,,,,,,,,,-1.05,,,,,,,,,,,,,,,,,,,,,6.45,,,,3.56,,,,,,,0.92,,,,,,,,,,,,0.11,,,,,-0.23,,,,,,,,,,,,,,,,1.35,,,,,,,,,,Mardini
7422,1.0,ROE10,Roederer+2010,HD 64090,HD 64090,,,,MP,,,,,07:53:33.12,+30:36:18.36,118.388,30.6051,,,,,,,,,,,,,-1.78,,,,,,,,,,,,,,,,,,,,,5.72,,,,2.83,,,,,,,0.11,,,,,,,,,,,,-0.51,,,,,-0.97,,,,,,,,,,,,,,,,0.9,,,,,,,,,,Mardini
7423,1.0,ROE10,Roederer+2010,HD 23439A,HD 23439A,,,,MP,,,,,03:47:02.11,+41:25:37.92,56.7588,41.4272,,,,,,,,,,,,,-1.22,,,,,,,,,,,,,,,,,,,,,6.28,,,,3.7,,,,,,,1.34,,,,,,,,,,,,0.43,,,,,-0.23,,,,,,,,,,,,,,,,1.14,,,,,,,,,,Mardini
7424,1.0,ROE10,Roederer+2010,HD 23439B,HD 23439B,,,,MP,,,,,03:47:02.64,+41:25:42.60,56.761,41.4285,,,,,,,,,,,,,-1.06,,,,,,,,,,,,,,,,,,,,,6.44,,,,3.74,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,,,,,,,,,,Mardini
7425,1.0,ROE10,Roederer+2010,HD 246132,HD 246132,,,,MP,,,,,05:40:09.72,+12:10:41.16,85.0405,12.1781,,,,,,,,,,,,,-1.25,,,,,,,,,,,,,,,,,,,,,6.25,,,,3.47,,,,,,,0.78,,,,,,,,,,,,-0.02,,,,,-0.32,,,,,,,,,,,,,,,,0.79,,,,,,,,,,Mardini
7426,1.0,ROE10,Roederer+2010,HD 247297,HD 247297,,,,SUN,,,,,05:45:40.39,+14:41:20.04,86.4183,14.6889,,,,,,,,,,,,,-0.59,,,,,,,,,,,,,,,,,,,,,6.91,,,,4.36,,,,,,,1.62,,,,,,,,,,,,0.69,,,,,0.4,,,,,,,,,,,,,,,,1.64,,,,,,,,,,Mardini
7427,1.0,ROE10,Roederer+2010,BD+00 2245,BD+00 2245,,,,MP,,,,,08:16:57.79,+00:01:03.72,124.2408,0.0177,,,,,,,,,,,,,-1.18,,,,,,,,,,,,,,,,,,,,,6.32,,,,3.64,,,,,,,1.38,,,,,,,,,,,,0.42,,,,,-0.13,,,,,,,,,,,,,,,,1.19,,,,,,,,,,Mardini
7428,1.0,ROE10,Roederer+2010,HD 103095,HD 103095,,,,MP,,,,,11:52:58.78,+37:43:07.32,178.2449,37.7187,,,,,,,,,,,,,-1.43,,,,,,,,,,,,,,,,,,,,,6.07,,,,3.26,,,,,,,0.58,,,,,,,,,,,,-0.1,,,,,-0.27,,,,,,,,,,,,,,,,0.34,,,,,,,,,,Mardini
7429,1.0,ROE10,Roederer+2010,HD 105861,HD 105861,,,,MP,,,,,12:10:55.37,+44:00:11.88,182.7307,44.0033,,,,,,,,,,,,,-1.25,,,,,,,,,,,,,,,,,,,,,6.25,,,,3.45,,,,,,,1.15,,,,,,,,,,,,0.21,,,,,-0.21,,,,,,,,,,,,,,,,1.13,,,,,,,,,,Mardini
7430,1.0,ROE10,Roederer+2010,BD+19 4788,BD+19 4788,,,,MP,,,,,21:48:19.30,+19:58:30.72,327.0804,19.9752,,,,,,,,,,,,,-1.06,,,,,,,,,,,,,,,,,,,,,6.44,,,,3.76,,,,,,,1.59,,,,,,,,,,,,0.87,,,,,0.04,,,,,,,,,,,,,,,,1.67,,,,,,,,,,Mardini
7431,1.0,ROE10,Roederer+2010,BD+17 4708,BD+17 4708,,,,MP,,,,,22:11:31.37,+18:05:34.08,332.8807,18.0928,,,,,,,,,,,,,-1.59,,,,,,,,,,,,,,,,,,,,,5.91,,,,2.86,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,,,,,,,,,,Mardini
