PIGS,Field,GaiaDR3,RAJ2000,DEJ2000,RV,e_RV,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__C_Fe_,e__C_Fe_,__C_Fe_corr,pmRAred,pmDEred
Pristine_184937.42-302627.5,Field282.0-29.8_Sag,6761153464610907520,282.40591666667,-30.44097222222,143.5511,0.908,4840.978,181.978,1.938,0.6105,-2.382,0.2287,-0.844,0.3348,0.2568,-0.16000000000000003,-0.28400000000000003
Pristine_184530.98-293716.1,Field282.0-29.8_Sag,4071268326731087488,281.37908333333,-29.62113888889,136.8094,0.845,4787.206,155.748,2.475,0.3645,-1.678,0.1497,-0.381,0.2068,0.0432,-0.030000000000000002,-0.21400000000000002
Pristine_184750.96-302134.8,Field282.0-29.8_Sag,6761319112908264064,281.96233333333,-30.35966666667,166.4602,0.677,5059.689,160.659,2.062,0.4996,-1.902,0.1626,-0.345,0.2744,0.1701,0.022000000000000002,-0.134
Pristine_184546.45-300433.3,Field282.0-29.8_Sag,6761399308540546304,281.44354166667,-30.07591666667,138.8423,0.88,4835.707,154.587,1.776,0.4087,-1.898,0.1478,-0.412,0.2355,0.2276,0.009000000000000001,-0.257
Pristine_185041.90-291934.9,Field282.0-29.8_Sag,6761509706376438272,282.67458333333,-29.32636111111,124.3344,1.757,4969.059,180.833,2.468,0.4846,-1.981,0.174,-0.308,0.2459,0.0573,-0.006000000000000001,-0.09800000000000002
Pristine_184356.09-292133.6,Field282.0-29.8_Sag,4071337733443253888,280.98370833333,-29.35933333333,120.0197,0.907,4975.926,155.994,1.988,0.4778,-1.975,0.1698,-0.718,0.2791,0.1984,-0.09100000000000001,-0.063
Pristine_184529.01-290003.3,Field282.0-29.8_Sag,4071373433214045824,281.370875,-29.00091666667,118.4332,0.578,4709.75,167.882,1.515,0.4269,-1.828,0.1541,-0.394,0.2267,0.4157,0.23900000000000002,-0.07500000000000001
Pristine_185144.32-293038.8,Field282.0-29.8_Sag,6761491186477307776,282.93466666667,-29.51077777778,131.4541,1.484,4830.341,182.945,1.754,0.444,-1.658,0.1577,-0.462,0.2483,0.2541,-0.018000000000000002,-0.085
Pristine_184615.36-294250.4,Field282.0-29.8_Sag,6761415388898475776,281.564,-29.714,152.7353,0.644,4789.059,145.707,1.611,0.4202,-2.108,0.1478,-0.613,0.2411,0.3792,-0.20600000000000002,-0.23800000000000002
Pristine_184753.07-285512.8,Field282.0-29.8_Sag,4071421429429009920,281.971125,-28.92022222222,161.6382,0.774,4912.154,189.458,2.208,0.4727,-1.682,0.167,-0.298,0.2434,0.0967,0.063,-0.23900000000000002
Pristine_185040.89-292804.9,Field282.0-29.8_Sag,6761484177061526272,282.670375,-29.46802777778,148.652,0.767,4858.729,149.047,1.966,0.3543,-1.539,0.1459,-0.643,0.2162,0.198,-0.09000000000000001,0.013000000000000001
Pristine_185015.95-294156.2,Field282.0-29.8_Sag,6761471257828248832,282.56645833333,-29.69894444444,143.5778,1.002,4835.615,159.286,1.774,0.3995,-1.808,0.1566,-0.74,0.2344,0.2764,0.045000000000000005,-0.101
Pristine_184542.36-301441.9,Field282.0-29.8_Sag,6737366904937848064,281.4265,-30.24497222222,149.052,1.268,5193.375,150.713,1.84,0.4364,-1.53,0.1558,-0.21,0.2661,0.2179,0.07200000000000001,-0.11800000000000001
Pristine_184637.76-303500.1,Field282.0-29.8_Sag,6737306874146681088,281.65733333333,-30.58336111111,146.4512,2.067,4740.228,209.113,2.514,0.5033,-2.124,0.1819,-0.594,0.2245,0.0463,-0.002,0.015000000000000001
Pristine_184813.16-300537.0,Field282.0-29.8_Sag,6761364639562801408,282.05483333333,-30.09361111111,158.5425,0.568,4810.814,154.33,1.538,0.4495,-2.034,0.1588,-0.714,0.2584,0.4136,0.21100000000000002,0.033
Pristine_184618.94-302541.1,Field282.0-29.8_Sag,6737313819139308416,281.57891666667,-30.42808333333,173.3296,1.079,4961.88,164.532,2.07,0.4105,-1.619,0.1592,-0.611,0.2406,0.1379,0.023000000000000003,0.022000000000000002
Pristine_184529.89-294748.9,Field282.0-29.8_Sag,4071257327323552384,281.37454166667,-29.79691666667,161.9025,0.627,5062.34,144.642,1.911,0.4316,-1.813,0.159,-0.595,0.2794,0.1755,0.017,0.012000000000000002
Pristine_184653.95-291232.7,Field282.0-29.8_Sag,4071306225561762048,281.72479166667,-29.20908333333,138.2188,0.979,4839.684,159.926,2.016,0.4127,-1.927,0.1521,-0.447,0.2313,0.1622,0.0,-0.20500000000000002
Pristine_184619.61-295834.0,Field282.0-29.8_Sag,6761407447468891392,281.58170833333,-29.97611111111,133.5563,1.035,4919.237,149.328,1.598,0.4792,-2.124,0.151,0.57,0.246,0.2496,-0.05600000000000001,-0.12400000000000001
Pristine_184729.98-300534.9,Field282.0-29.8_Sag,6761344844028605824,281.87491666667,-30.09302777778,121.7217,0.781,5101.215,163.065,2.083,0.5941,-2.131,0.1655,0.348,0.2372,0.1338,0.05,-0.29700000000000004
Pristine_184712.09-303246.1,Field282.0-29.8_Sag,6737296776708752000,281.800375,-30.54613888889,117.1448,1.649,4526.598,163.44,2.08,0.392,-1.827,0.3729,-0.467,0.2215,0.1211,-0.41500000000000004,-0.14
Pristine_184530.34-292823.5,Field282.0-29.8_Sag,4071283616852162048,281.37641666667,-29.47319444444,124.2937,0.894,4931.704,148.281,1.586,0.4424,-1.932,0.1715,-0.738,0.2927,0.3983,0.012000000000000002,-0.099
Pristine_184749.06-295900.7,Field282.0-29.8_Sag,6761415968687274368,281.95441666667,-29.98352777778,129.0433,0.777,5240.06,147.382,2.162,0.4352,-1.64,0.1593,-0.443,0.2868,0.1062,-0.018000000000000002,-0.131
Pristine_184957.04-291425.1,Field282.0-29.8_Sag,6761537434686446720,282.48766666667,-29.24030555556,123.9785,0.515,4748.818,152.38,1.635,0.4425,-2.231,0.1476,-0.452,0.2385,0.3613,0.11500000000000002,0.199
Pristine_184817.53-321936.8,Field282.9-32.1,6736100198809380480,282.07304166667,-32.32688888889,166.586,1.404,4718.595,179.519,1.716,0.4303,-1.747,0.1559,-0.202,0.2258,0.2532,0.40700000000000003,-0.011000000000000001
Pristine_185021.60-321825.5,Field282.9-32.1,6736149431994831488,282.59,-32.30708333333,126.7657,1.359,4986.997,172.121,2.268,0.603,-2.328,0.1651,-0.184,0.2498,0.113,-0.277,-0.165
Pristine_185442.44-313418.7,Field282.9-32.1,6760224858313348352,283.67683333333,-31.57186111111,136.9814,0.866,4662.673,171.638,1.751,0.4049,-1.578,0.1526,-0.373,0.2167,0.2456,-0.05800000000000001,-0.08600000000000001
Pristine_185155.24-325354.8,Field282.9-32.1,6735915137253063936,282.98016666667,-32.89855555556,150.4803,1.842,4721.297,172.236,1.532,0.4181,-1.597,0.1575,-0.337,0.2277,0.3416,0.15900000000000003,0.14700000000000002
Pristine_184801.60-313240.9,Field282.9-32.1,6736992963572505984,282.00666666667,-31.54469444444,162.3085,1.354,4661.592,154.297,1.407,0.3638,-1.732,0.1583,-0.53,0.2281,0.4656,-0.31700000000000006,-0.22900000000000004
Pristine_184905.87-324202.2,Field282.9-32.1,6736040545989009536,282.27445833333,-32.70061111111,160.3368,2.312,5044.437,196.09,2.485,0.5162,-1.607,0.1873,-0.499,0.2474,0.0609,-0.15100000000000002,-0.18800000000000003
Pristine_185253.56-313446.3,Field282.9-32.1,6760216508896174720,283.22316666667,-31.57952777778,176.1346,1.259,4934.476,166.272,1.691,0.4842,-1.7,0.1965,-0.762,0.2791,0.3217,0.009000000000000001,0.045000000000000005
Pristine_184843.24-314626.8,Field282.9-32.1,6736974929031902464,282.18016666667,-31.77411111111,153.576,1.154,4891.035,172.233,2.107,0.6997,-2.895,0.1699,-0.303,0.2962,0.142,0.015000000000000001,-0.37100000000000005
Pristine_185210.30-315413.2,Field282.9-32.1,6736183692971769472,283.04291666667,-31.90366666667,168.3986,1.102,4701.245,145.261,1.546,0.3893,-2.286,0.1451,-0.229,0.2272,0.4101,0.1,-0.21000000000000002
Pristine_184838.06-324029.6,Field282.9-32.1,6736038832314305152,282.15858333333,-32.67488888889,127.875,1.43,4930.891,175.017,1.733,0.77,-2.622,0.1742,0.185,0.2832,0.2752,-0.006000000000000001,-0.15100000000000002
Pristine_184846.43-321043.1,Field282.9-32.1,6736207126314774016,282.19345833333,-32.17863888889,151.5104,1.416,4867.444,169.024,1.743,0.4578,-1.806,0.1578,-0.143,0.2364,0.2564,-0.15500000000000003,-0.10600000000000001
Pristine_185226.18-324300.5,Field282.9-32.1,6735924135192138752,283.10908333333,-32.71680555556,147.7932,1.458,4815.153,160.746,1.831,0.4149,-1.817,0.1527,-0.533,0.2302,0.2501,0.19600000000000004,0.060000000000000005
Pristine_185240.61-315200.3,Field282.9-32.1,6760202421403074944,283.16920833333,-31.86675,134.0915,1.351,4603.936,183.456,1.6,0.4175,-1.66,0.1821,-0.509,0.2322,0.3462,-0.14700000000000002,-0.005000000000000001
Pristine_185152.61-314517.8,Field282.9-32.1,6736235610538373632,282.96920833333,-31.75494444444,142.9143,1.582,5007.302,152.746,1.658,0.4994,-1.975,0.176,-0.641,0.3405,0.3777,-0.099,-0.063
Pristine_184805.43-314718.5,Field282.9-32.1,6736976303421547648,282.022625,-31.78847222222,150.4278,1.39,4990.56,170.997,1.766,0.5478,-2.034,0.1647,-0.154,0.2819,0.3076,0.05600000000000001,0.04900000000000001
Pristine_184759.63-315322.5,Field282.9-32.1,6736966644012267648,281.99845833333,-31.88958333333,117.8463,1.233,4770.927,160.314,1.84,0.4604,-2.265,0.153,-0.573,0.2534,0.2562,-0.09600000000000002,-0.082
Pristine_184930.67-315146.8,Field282.9-32.1,6736219324021644416,282.37779166667,-31.863,151.3125,1.044,4549.801,142.167,1.539,0.3275,-1.615,0.22,-0.562,0.2071,0.3803,-0.12400000000000001,0.254
Pristine_185202.98-323959.1,Field282.9-32.1,6735935546937503488,283.01241666667,-32.66641666667,158.7161,1.882,5029.273,178.46,1.958,0.5142,-1.669,0.178,-0.549,0.2769,0.2224,0.07,-0.24100000000000002
Pristine_184941.08-322401.9,Field282.9-32.1,6736142216455159936,282.42116666667,-32.40052777778,176.9595,1.441,4598.774,166.063,1.65,0.3841,-1.736,0.1675,-0.332,0.2176,0.3214,-0.265,-0.24700000000000003
Pristine_185147.31-322514.0,Field282.9-32.1,6736130435375940224,282.947125,-32.42055555556,174.3235,1.332,4626.871,185.722,1.255,0.431,-1.843,0.1999,-0.472,0.2719,0.4927,-0.14500000000000002,-0.18400000000000002
Pristine_185158.74-314350.1,Field282.9-32.1,6736235674941974784,282.99475,-31.73058333333,175.6981,2.019,5183.071,153.744,1.905,0.4511,-1.517,0.1594,0.143,0.2388,0.1438,0.042,-0.066
Pristine_184859.13-323036.5,Field282.9-32.1,6736047422248989440,282.246375,-32.51013888889,157.9213,2.102,5137.015,172.42,2.6,0.609,-2.204,0.1805,0.031,0.2455,0.0622,-0.127,-0.24700000000000003
Pristine_184801.48-320937.1,Field282.9-32.1,6736117206880391040,282.00616666667,-32.16030555556,150.4693,1.394,4552.007,160.292,1.308,0.3844,-2.013,0.2459,-0.756,0.2326,0.5516,0.31300000000000006,0.014000000000000002
Pristine_185309.31-315727.9,Field282.9-32.1,6760189124184271872,283.28879166667,-31.95775,166.0877,0.916,4532.516,131.53,1.39,0.314,-1.616,0.2697,-0.418,0.2049,0.4324,0.084,0.20900000000000002
Pristine_184940.64-320550.9,Field282.9-32.1,6736202796987316096,282.41933333333,-32.09747222222,174.6703,1.769,4803.693,158.371,1.977,0.3859,-1.692,0.151,-0.377,0.2155,0.1569,0.23600000000000002,0.11200000000000002
Pristine_185217.75-322433.8,Field282.9-32.1,6735966401983905536,283.07395833333,-32.40938888889,134.5756,1.038,4521.778,145.596,1.477,0.3393,-1.797,0.4171,-0.489,0.211,0.4136,-0.051000000000000004,-0.22500000000000003
Pristine_185408.83-315541.6,Field282.9-32.1,6759999767663630208,283.53679166667,-31.92822222222,149.7235,4.414,4644.931,159.426,1.603,0.3652,-1.833,0.1513,-0.382,0.2225,0.3162,0.23200000000000004,0.084
Pristine_184958.86-313503.4,Field282.9-32.1,6736250247787393664,282.49525,-31.58427777778,144.9453,1.176,4752.674,154.437,1.665,0.367,-1.53,0.1474,-0.481,0.2172,0.2806,0.038000000000000006,-0.14800000000000002
Pristine_185221.02-321458.0,Field282.9-32.1,6736157510850761984,283.08758333333,-32.24944444444,167.1406,1.081,4778.893,164.26,1.784,0.4036,-1.738,0.151,-0.236,0.222,0.2498,0.17400000000000002,0.008
Pristine_184944.56-314531.2,Field282.9-32.1,6736246605655051136,282.43566666667,-31.75866666667,146.4614,1.61,4857.238,156.606,1.407,0.4152,-1.609,0.1562,-0.247,0.2377,0.3856,0.099,-0.11400000000000002
Pristine_184743.42-321453.2,Field282.9-32.1,6736114801698619392,281.93091666667,-32.24811111111,141.4585,1.255,4543.224,142.717,1.129,0.3384,-1.78,0.3047,-0.299,0.2244,0.5072,-0.327,-0.007000000000000001
Pristine_184944.93-315345.4,Field282.9-32.1,6736218323270721920,282.43720833333,-31.89594444444,147.2698,1.428,4571.298,162.107,1.835,0.3692,-1.51,0.1901,-0.459,0.2097,0.2269,-0.099,0.085
Pristine_184757.22-321849.2,Field282.9-32.1,6736111434436241152,281.98841666667,-32.31366666667,154.6439,2.391,5192.82,159.444,2.82,0.5929,-2.406,0.1771,0.25,0.2289,0.0363,0.07200000000000001,-0.16100000000000003
Pristine_185223.21-313314.9,Field282.9-32.1,6760258737016560000,283.09670833333,-31.55413888889,149.6083,0.988,4527.416,144.692,1.555,0.3578,-1.575,0.3797,-0.744,0.2098,0.387,0.271,0.4
Pristine_185357.47-321002.0,Field282.9-32.1,6759992513442845184,283.48945833333,-32.16722222222,128.1614,0.959,4908.161,170.927,1.963,0.469,-1.779,0.1593,-0.312,0.2346,0.1742,-0.11100000000000002,-0.21600000000000003
Pristine_185322.40-322040.7,Field282.9-32.1,6735970215914603392,283.34333333333,-32.34463888889,173.6357,1.243,4679.403,205.962,1.87,0.4852,-1.889,0.1698,-0.598,0.2524,0.2671,-0.029000000000000005,0.171
Pristine_184907.83-312839.7,Field282.9-32.1,6737005848474532864,282.282625,-31.47769444444,168.6298,1.696,4758.41,186.498,1.704,0.4625,-1.797,0.1618,-0.213,0.237,0.2755,0.20700000000000002,0.12400000000000001
Pristine_184736.30-320449.0,Field282.9-32.1,6736869234154244992,281.90125,-32.08027777778,131.4876,1.577,4768.187,168.72,1.621,0.4158,-1.613,0.1679,-0.707,0.2431,0.3654,-0.29900000000000004,-0.23000000000000004
Pristine_184922.79-313947.9,Field282.9-32.1,6736998671612194688,282.34495833333,-31.66330555556,111.6468,1.64,4796.65,193.07,2.264,0.4775,-1.581,0.1736,-0.407,0.2241,0.0731,-0.083,0.004
Pristine_185023.41-310859.9,Field282.9-32.1,6761036705893045120,282.59754166667,-31.14997222222,163.4443,2.212,4591.829,159.216,1.614,0.3514,-1.889,0.162,-0.508,0.2224,0.3524,0.101,0.015000000000000001
Pristine_185403.68-312812.4,Field282.9-32.1,6760238632250044288,283.51533333333,-31.47011111111,156.0836,0.824,4664.118,181.826,1.845,0.4262,-1.762,0.1607,-0.633,0.2294,0.2563,0.07400000000000001,-0.09000000000000001
Pristine_185002.57-313824.2,Field282.9-32.1,6736249075236884352,282.51070833333,-31.64005555556,176.8015,1.63,4807.601,163.748,1.85,0.4067,-1.715,0.1541,-0.451,0.2265,0.2585,-0.08900000000000001,-0.14800000000000002
Pristine_185128.78-312834.2,Field282.9-32.1,6760273339905849088,282.86991666667,-31.47616666667,143.6964,1.283,4739.226,159.379,1.765,0.3829,-1.806,0.1465,-0.338,0.2174,0.2477,0.131,-0.324
Pristine_184706.85-315239.0,Field282.9-32.1,6736980529669842688,281.77854166667,-31.8775,162.7681,1.742,5188.525,164.172,2.456,0.4702,-1.678,0.1762,-0.555,0.2865,0.0594,0.051000000000000004,-0.167
Pristine_184923.83-315216.6,Field282.9-32.1,6736218980424272640,282.34929166667,-31.87127777778,132.9229,2.677,4946.47,158.721,2.052,0.4316,-1.774,0.1562,-0.208,0.2248,0.1259,-0.027000000000000003,0.031000000000000003
Pristine_185207.34-315424.6,Field282.9-32.1,6736183658612039936,283.03058333333,-31.90683333333,161.8191,1.834,4671.981,172.544,1.952,0.3975,-1.671,0.154,-0.404,0.2186,0.1839,0.15400000000000003,-0.084
Pristine_184919.47-315657.2,Field282.9-32.1,6736217056278884352,282.331125,-31.94922222222,155.0404,1.061,4539.422,121.993,1.023,0.2509,-1.554,0.3242,-0.382,0.2214,0.5028,-0.14800000000000002,-0.11000000000000001
Pristine_185250.41-312737.7,Field282.9-32.1,6760264608212277888,283.21004166667,-31.46047222222,149.5246,1.769,4940.624,188.321,1.87,0.6106,-2.079,0.1728,0.029,0.2613,0.2025,-0.099,-0.11500000000000002
Pristine_184926.92-323123.8,Field282.9-32.1,6736046597615116672,282.36216666667,-32.52327777778,193.5364,1.443,4541.966,178.634,1.81,0.3803,-1.995,0.2661,-0.541,0.2198,0.2706,0.22300000000000003,-0.15200000000000002
Pristine_185434.97-320050.2,Field282.9-32.1,6760001176412841088,283.64570833333,-32.01394444444,169.9238,1.299,5040.291,149.152,1.799,0.5053,-2.067,0.1602,-0.436,0.3028,0.266,-0.274,-0.329
Pristine_185214.32-325343.4,Field282.9-32.1,6735914553137040128,283.05966666667,-32.89538888889,173.6692,3.013,4882.089,172.957,1.462,0.5246,-1.971,0.1724,-0.562,0.3358,0.4124,0.023000000000000003,-0.012000000000000002
Pristine_185432.22-315822.1,Field282.9-32.1,6760004234429573248,283.63425,-31.97280555556,156.1892,0.878,4594.807,152.856,1.335,0.3564,-1.753,0.1755,-0.188,0.2184,0.4061,0.11400000000000002,-0.036000000000000004
Pristine_184905.74-321555.2,Field282.9-32.1,6736193932174595328,282.27391666667,-32.26533333333,166.2027,1.741,4771.438,150.664,1.651,0.3698,-1.682,0.1468,-0.371,0.2188,0.2958,0.26,0.08000000000000002
Pristine_184700.26-321851.7,Field282.9-32.1,6736109402901025792,281.75108333333,-32.31436111111,162.3721,1.792,4822.748,190.493,1.598,0.6044,-2.273,0.169,-0.236,0.3043,0.3444,0.17300000000000001,0.069
Pristine_185003.39-313353.3,Field282.9-32.1,6736256157662393728,282.514125,-31.56480555556,116.9515,1.119,4624.207,144.332,1.701,0.332,-1.653,0.1465,-0.359,0.2066,0.2715,-0.101,0.12000000000000001
Pristine_185543.48-322002.3,Field282.9-32.1,6759928196325966208,283.93116666667,-32.33397222222,154.6957,1.279,4753.732,169.579,1.621,0.4543,-2.036,0.1551,-0.325,0.2457,0.2937,0.05,0.17600000000000002
Pristine_184921.25-313135.8,Field282.9-32.1,6737004783322541312,282.33854166667,-31.52661111111,176.282,1.538,4677.979,163.075,1.92,0.3799,-1.613,0.1494,-0.261,0.2108,0.1705,-0.05700000000000001,0.059000000000000004
Pristine_185329.98-321456.7,Field282.9-32.1,6735975507314366848,283.37491666667,-32.24908333333,158.2691,1.708,4706.324,158.669,1.572,0.3841,-1.733,0.1507,-0.3,0.222,0.3325,-0.033,-0.23900000000000002
Pristine_184925.97-314730.4,Field282.9-32.1,6736246296417432320,282.35820833333,-31.79177777778,124.1193,1.868,5019.7,158.833,2.437,0.4478,-1.926,0.1624,-0.253,0.2249,0.0441,0.033,-0.046000000000000006
Pristine_185002.68-320828.9,Field282.9-32.1,6736199395373138048,282.51116666667,-32.14136111111,145.4934,1.865,4899.332,172.338,2.447,0.4342,-1.591,0.168,-0.475,0.2198,0.0581,0.008,0.03900000000000001
Pristine_184831.99-321854.2,Field282.9-32.1,6736100366289835904,282.13329166667,-32.31505555556,187.5862,1.38,4549.863,137.785,1.214,0.3359,-2.063,0.2041,0.279,0.2198,0.4122,-0.30200000000000005,0.08000000000000002
Pristine_185244.49-322153.9,Field282.9-32.1,6735967192257751808,283.185375,-32.36497222222,151.8061,1.436,4620.024,154.769,1.547,0.3586,-1.529,0.1575,-0.33,0.2124,0.3576,0.09200000000000001,0.14100000000000001
Pristine_184750.74-323919.5,Field282.9-32.1,6736085286674294656,281.96141666667,-32.65541666667,165.2994,1.724,4865.779,180.469,2.089,0.4649,-1.754,0.1677,-0.516,0.2365,0.1573,-0.054000000000000006,-0.07600000000000001
Pristine_184729.89-322516.6,Field282.9-32.1,6736104699935209600,281.87454166667,-32.42127777778,119.8712,1.407,4787.281,169.488,1.841,0.4318,-1.956,0.1557,-0.497,0.2386,0.2536,0.059000000000000004,-0.05500000000000001
Pristine_185026.69-310848.2,Field282.9-32.1,6761036744575518592,282.61120833333,-31.14672222222,146.5223,2.347,5095.709,157.185,2.631,0.4266,-1.785,0.1656,-0.277,0.2302,0.02,-0.15900000000000003,-0.07100000000000001
Pristine_184942.69-324031.9,Field282.9-32.1,6736029864422286976,282.427875,-32.67552777778,150.3214,2.417,4952.277,176.596,1.897,0.5643,-2.087,0.1654,-0.217,0.2659,0.242,0.17300000000000001,0.07300000000000001
Pristine_185347.87-314747.6,Field282.9-32.1,6760197812879213056,283.44945833333,-31.79655555556,166.1393,1.277,4547.099,158.791,1.314,0.3902,-2.084,0.2445,-0.606,0.2342,0.5191,0.09400000000000001,0.05800000000000001
Pristine_185000.35-320033.4,Field282.9-32.1,6736204991692111744,282.50145833333,-32.00927777778,145.7461,1.459,4652.885,156.788,1.586,0.3673,-1.807,0.1522,-0.471,0.2224,0.3481,0.04800000000000001,-0.117
Pristine_185009.23-314737.1,Field282.9-32.1,6736244028666241152,282.53845833333,-31.79363888889,167.4819,1.523,4783.869,150.555,1.891,0.3951,-2.036,0.1481,-0.479,0.2251,0.2573,0.008,-0.08700000000000001
Pristine_185510.29-322630.3,Field282.9-32.1,6759926306540144896,283.792875,-32.44175,155.9537,1.127,4850.92,154.72,1.771,0.4055,-1.7,0.1675,-0.757,0.2369,0.2665,-0.328,0.032
Pristine_184819.40-313812.8,Field282.9-32.1,6736979735073032192,282.08083333333,-31.63688888889,142.9172,1.558,4868.95,179.694,2.067,0.4641,-1.632,0.1773,-0.721,0.24,0.179,-0.18500000000000003,-0.101
Pristine_185120.89-323220.1,Field282.9-32.1,6736127716645992832,282.83704166667,-32.53891666667,155.6941,1.57,5238.14,165.988,2.893,0.6589,-2.431,0.1882,-0.278,0.3076,0.0407,-0.137,0.04800000000000001
Pristine_185219.80-321827.6,Field282.9-32.1,6736156097786496000,283.0825,-32.30766666667,171.7553,1.961,4700.854,171.503,2.136,0.3991,-1.742,0.1538,-0.168,0.2101,0.1131,-0.198,-0.234
Pristine_185500.39-314930.7,Field282.9-32.1,6760007258086323968,283.751625,-31.82519444444,139.6403,0.9,4655.292,223.96,1.951,0.5219,-1.85,0.1716,-0.395,0.2459,0.1963,-0.07900000000000001,-0.28400000000000003
Pristine_185106.36-315928.9,Field282.9-32.1,6736179256251234560,282.7765,-31.99136111111,142.312,1.311,4545.775,150.655,1.692,0.3378,-1.781,0.2272,-0.478,0.2083,0.2772,-0.16100000000000003,-0.08600000000000001
Pristine_185411.06-321508.5,Field282.9-32.1,6759991035973944704,283.54608333333,-32.25236111111,179.3233,0.974,4719.642,158.354,1.909,0.3734,-1.718,0.15,-0.586,0.2179,0.2108,-0.027000000000000003,-0.068
Pristine_185402.31-324931.6,Field282.9-32.1,6735891738269906048,283.509625,-32.82544444444,131.0339,2.571,4781.584,222.808,1.868,0.5677,-1.89,0.1791,-0.306,0.2595,0.2206,-0.084,-0.082
Pristine_185327.21-294246.5,Field284.0-30.0_Sag,6761283580615061504,283.363375,-29.71291666667,127.826,0.672,4917.576,164.437,2.205,0.469,-2.074,0.1592,-0.391,0.245,0.1154,0.24700000000000003,-0.04900000000000001
Pristine_185351.41-303417.7,Field284.0-30.0_Sag,6761172018865797504,283.46420833333,-30.57158333333,141.5754,0.882,5067.944,160.867,1.951,0.7085,-2.474,0.1672,0.25,0.2591,0.1901,-0.09500000000000001,-0.272
Pristine_185500.15-300935.6,Field284.0-30.0_Sag,6761208577628672896,283.750625,-30.15988888889,126.2159,0.677,4851.245,155.571,1.811,0.4559,-2.086,0.1509,-0.285,0.2468,0.257,0.22300000000000003,0.127
Pristine_185352.68-293047.9,Field284.0-30.0_Sag,6761304059015085440,283.4695,-29.51330555556,154.8559,0.844,5057.529,156.757,2.187,0.4433,-1.792,0.1626,-0.524,0.2675,0.1391,-0.24200000000000002,-0.04000000000000001
Pristine_185358.90-292006.2,Field284.0-30.0_Sag,6761684837956596608,283.49541666667,-29.33505555556,157.2572,0.932,4957.6,185.379,2.235,0.6543,-2.305,0.1784,-0.37,0.2973,0.1192,0.09000000000000001,-0.041
Pristine_185346.07-294646.9,Field284.0-30.0_Sag,6761279491806055808,283.44195833333,-29.77969444444,171.8532,0.816,4791.299,162.273,1.893,0.3816,-1.758,0.1503,-0.4,0.2229,0.213,-0.063,-0.259
Pristine_185621.35-294631.7,Field284.0-30.0_Sag,6761598728133165952,284.08895833333,-29.77547222222,148.3243,1.055,5002.358,172.293,2.051,0.5282,-2.008,0.1706,0.024,0.2513,0.1507,0.11900000000000001,0.10300000000000001
Pristine_185745.12-300741.8,Field284.0-30.0_Sag,6760824607544140416,284.438,-30.12827777778,149.0509,0.724,4959.778,153.879,2.284,0.3718,-1.551,0.1511,-0.448,0.2216,0.0663,0.07800000000000001,-0.23000000000000004
Pristine_185156.69-302820.5,Field284.0-30.0_Sag,6761097492594641280,282.98620833333,-30.47236111111,157.9706,1.223,5414.804,208.867,3.116,0.8648,-2.529,0.2083,0.571,0.2806,0.017,-0.164,0.12500000000000003
Pristine_185459.01-303014.9,Field284.0-30.0_Sag,6760425789749212544,283.745875,-30.50413888889,140.5412,0.878,4911.299,159.047,1.719,0.4225,-1.771,0.1727,-0.766,0.2611,0.3239,0.14500000000000002,-0.128
Pristine_185407.21-294120.9,Field284.0-30.0_Sag,6761286093201090176,283.53004166667,-29.68913888889,164.9202,0.712,4930.755,180.189,2.215,0.6731,-2.543,0.1775,-0.3,0.2845,0.1658,-0.001,0.15600000000000003
Pristine_185538.63-302704.3,Field284.0-30.0_Sag,6760449021254080256,283.91095833333,-30.45119444444,139.3203,0.776,5073.021,164.462,2.024,0.7746,-2.75,0.1703,-0.082,0.3094,0.2058,0.0,0.126
Pristine_185836.54-295226.4,Field284.0-30.0_Sag,6760857764692798208,284.65225,-29.874,168.6121,2.335,4719.599,187.41,1.896,0.4571,-1.836,0.1589,-0.529,0.2247,0.2233,-0.05500000000000001,-0.18800000000000003
Pristine_185500.57-300242.3,Field284.0-30.0_Sag,6761213280588337920,283.752375,-30.04508333333,139.5078,0.82,4806.267,160.543,2.13,0.3833,-1.675,0.1495,-0.295,0.2154,0.1141,0.23900000000000002,-0.052000000000000005
Pristine_185511.87-302433.8,Field284.0-30.0_Sag,6760452899579012480,283.79945833333,-30.40938888889,143.6221,0.718,4802.573,156.534,1.76,0.3833,-1.736,0.1489,-0.269,0.224,0.2171,0.016,0.062000000000000006
Pristine_185455.80-293144.2,Field284.0-30.0_Sag,6761664045997252352,283.7325,-29.52894444444,145.0694,0.747,4904.708,155.765,1.813,0.4433,-1.957,0.1519,-0.262,0.2507,0.2501,0.011000000000000001,-0.129
Pristine_185527.70-293659.7,Field284.0-30.0_Sag,6761616354682848128,283.86541666667,-29.61658333333,149.4788,0.785,4589.864,151.094,1.359,0.3808,-1.975,0.1748,-0.682,0.2213,0.5156,-0.065,-0.024000000000000004
Pristine_185608.95-300417.2,Field284.0-30.0_Sag,6760465135971688192,284.03729166667,-30.07144444444,106.6759,0.658,4515.498,118.752,1.113,0.3268,-1.974,0.3565,-0.704,0.2186,0.6164,0.36800000000000005,0.23800000000000002
