  189625  -0.103   9.999   0.002  -0.023  -0.018  -0.009   0.004  -0.006   0.010   0.015   0.002   0.027
  190647   0.029   0.069   0.050   0.073   0.133   0.052   0.020   0.081   0.015   0.039  -0.111  -0.056
  196390  -0.132  -0.080  -0.096  -0.030  -0.021  -0.022   0.035   0.010  -0.001  -0.034   0.101   0.093
  198075  -0.038   9.999  -0.039   0.010  -0.010   0.008   0.024   0.034  -0.008  -0.040   0.022  -0.029
  200633  -0.070  -0.093  -0.020  -0.020  -0.005  -0.010   0.001  -0.008  -0.005  -0.006   0.022   0.015
  202628  -0.106  -0.098  -0.080  -0.006  -0.036  -0.017   0.040   0.024   0.010  -0.052   0.111   0.111
  204313   0.009  -0.080   0.096   0.010   0.034   0.015  -0.025  -0.001   0.003   0.038  -0.063  -0.058
  208704  -0.003   0.027  -0.055   0.015   0.025   0.006   0.015   0.012  -0.012  -0.034  -0.068  -0.115
  210918   0.056   0.137  -0.051   0.070   0.103   0.028   0.043   0.073  -0.012  -0.030  -0.062  -0.080
  211415   0.030   0.057   0.001   0.048   0.030   0.032   0.028   0.032  -0.012  -0.019  -0.009  -0.090
  220507   0.097   0.153   0.040   0.125   0.153   0.069   0.050   0.109   0.004   0.016  -0.087  -0.085
  222582   0.001   0.042   0.018   0.035   0.059   0.028   0.015   0.030   0.000   0.005  -0.051  -0.066
