Name,Species,l_[X/Fe],[X/Fe]
HD 117105,Ti,,0.087
HD 117207,Ti,,-0.011
HD 126525,Ti,,0.045
HD 134606,Ti,,0.026
HD 134664,Ti,,-0.004
HD 134987,Ti,,0.008
HD 145927,Ti,,0.010
HD 146233,Ti,,0.007
HD 160691,Ti,,0.002
HD 177409,Ti,,0.023
HD 183658,Ti,,0.006
HD 186408,Ti,,0.026
HD 186427,Ti,,0.033
HD 189567,Ti,,0.085
HD 189625,Ti,,-0.006
HD 190647,Ti,,0.081
HD 196390,Ti,,0.010
HD 198075,Ti,,0.034
HD 200633,Ti,,-0.008
HD 202628,Ti,,0.024
HD 204313,Ti,,-0.001
HD 208704,Ti,,0.012
HD 210918,Ti,,0.073
HD 211415,Ti,,0.032
HD 220507,Ti,,0.109
HD 222582,Ti,,0.030
HD 361,Cr,,0.002
HD 1461,Cr,,0.005
HD 2071,Cr,,0.005
HD 4915,Cr,,0.006
HD 6204,Cr,,0.005
HD 7134,Cr,,-0.018
HD 8406,Cr,,0.010
HD 11505,Cr,,-0.001
HD 12264,Cr,,0.014
HD 12387,Cr,,-0.001
HD 13724,Cr,,0.019
HD 19467,Cr,,-0.005
HD 20619,Cr,,0.001
HD 20766,Cr,,0.007
HD 20782,Cr,,-0.004
HD 20807,Cr,,-0.012
HD 27063,Cr,,0.015
HD 28471,Cr,,-0.008
HD 28821,Cr,,0.002
HD 31527,Cr,,-0.009
HD 38277,Cr,,-0.017
HD 38858,Cr,,-0.002
HD 45184,Cr,,-0.001
HD 45289,Cr,,0.002
HD 59711,Cr,,-0.005
HD 59967,Cr,,0.027
HD 66428,Cr,,0.015
HD 67458,Cr,,-0.011
HD 71334,Cr,,-0.001
HD 75302,Cr,,0.020
HD 78429,Cr,,0.005
HD 88084,Cr,,-0.009
HD 89454,Cr,,0.026
HD 92719,Cr,,-0.001
HD 95521,Cr,,0.007
HD 96116,Cr,,0.014
HD 96423,Cr,,0.006
HD 102117,Cr,,0.017
HD 102365,Cr,,0.006
HD 104982,Cr,,-0.002
HD 106116,Cr,,0.012
HD 108309,Cr,,0.006
HD 109271,Cr,,-0.006
HD 111031,Cr,,0.009
HD 114853,Cr,,-0.003
HD 115674,Cr,,0.005
HD 117105,Cr,,-0.017
HD 117207,Cr,,0.015
HD 126525,Cr,,0.007
HD 134606,Cr,,0.022
HD 134664,Cr,,0.006
HD 134987,Cr,,0.011
HD 145927,Cr,,-0.011
HD 146233,Cr,,0.010
HD 160691,Cr,,0.009
HD 177409,Cr,,-0.007
HD 183658,Cr,,-0.006
HD 186408,Cr,,-0.002
HD 186427,Cr,,0.004
HD 189567,Cr,,-0.002
HD 189625,Cr,,0.010
HD 190647,Cr,,0.015
HD 196390,Cr,,-0.001
HD 198075,Cr,,-0.008
HD 200633,Cr,,-0.005
HD 202628,Cr,,0.010
HD 204313,Cr,,0.003
HD 208704,Cr,,-0.012
HD 210918,Cr,,-0.012
HD 211415,Cr,,-0.012
HD 220507,Cr,,0.004
HD 222582,Cr,,0.000
HD 361,Ni,,-0.056
HD 1461,Ni,,0.045
HD 2071,Ni,,-0.029
HD 4915,Ni,,-0.037
HD 6204,Ni,,-0.064
HD 7134,Ni,,-0.029
HD 8406,Ni,,-0.041
HD 11505,Ni,,0.012
HD 12264,Ni,,-0.045
HD 12387,Ni,,0.033
HD 13724,Ni,,0.028
HD 19467,Ni,,0.013
HD 20619,Ni,,-0.050
HD 20766,Ni,,-0.019
HD 20782,Ni,,-0.044
HD 20807,Ni,,-0.024
HD 27063,Ni,,-0.022
HD 28471,Ni,,-0.006
HD 28821,Ni,,-0.033
HD 31527,Ni,,-0.016
HD 38277,Ni,,-0.042
HD 38858,Ni,,-0.039
HD 45184,Ni,,-0.019
HD 45289,Ni,,0.004
HD 59711,Ni,,-0.022
HD 59967,Ni,,-0.065
HD 66428,Ni,,0.062
HD 67458,Ni,,-0.040
HD 71334,Ni,,-0.014
HD 75302,Ni,,-0.034
HD 78429,Ni,,-0.021
HD 88084,Ni,,-0.003
HD 89454,Ni,,-0.011
HD 92719,Ni,,-0.043
HD 95521,Ni,,-0.039
HD 96116,Ni,,-0.056
HD 96423,Ni,,0.022
HD 102117,Ni,,0.036
HD 102365,Ni,,-0.011
HD 104982,Ni,,-0.016
HD 106116,Ni,,0.016
HD 108309,Ni,,0.003
HD 109271,Ni,,-0.029
HD 111031,Ni,,0.049
HD 114853,Ni,,-0.036
HD 115674,Ni,,-0.038
HD 117105,Ni,,-0.031
HD 117207,Ni,,0.022
HD 126525,Ni,,0.001
HD 134606,Ni,,0.048
HD 134664,Ni,,-0.022
HD 134987,Ni,,0.056
HD 145927,Ni,,0.003
HD 146233,Ni,,-0.013
HD 160691,Ni,,0.043
HD 177409,Ni,,-0.042
HD 183658,Ni,,0.012
HD 186408,Ni,,0.010
HD 186427,Ni,,0.011
HD 189567,Ni,,-0.031
HD 189625,Ni,,0.015
HD 190647,Ni,,0.039
HD 196390,Ni,,-0.034
HD 198075,Ni,,-0.040
HD 200633,Ni,,-0.006
HD 202628,Ni,,-0.052
HD 204313,Ni,,0.038
HD 208704,Ni,,-0.034
HD 210918,Ni,,-0.030
HD 211415,Ni,,-0.019
HD 220507,Ni,,0.016
HD 222582,Ni,,0.005
HD 361,Sr,,0.106
HD 1461,Sr,,-0.052
HD 2071,Sr,,0.032
HD 4915,Sr,,0.036
HD 6204,Sr,,0.129
HD 7134,Sr,,-0.015
HD 8406,Sr,,0.048
HD 11505,Sr,,-0.048
HD 12264,Sr,,0.091
HD 12387,Sr,,-0.026
HD 13724,Sr,,-0.005
HD 19467,Sr,,-0.031
HD 20619,Sr,,0.047
HD 20766,Sr,,-0.034
HD 20782,Sr,,-0.094
HD 20807,Sr,,-0.038
HD 27063,Sr,,0.050
HD 28471,Sr,,-0.044
HD 28821,Sr,,-0.077
HD 31527,Sr,,0.019
HD 38277,Sr,,-0.072
HD 38858,Sr,,0.034
HD 45184,Sr,,0.050
HD 45289,Sr,,-0.083
HD 59711,Sr,,0.004
HD 59967,Sr,,0.138
HD 66428,Sr,,-0.076
HD 67458,Sr,,0.059
HD 71334,Sr,,-0.070
HD 75302,Sr,,0.066
HD 78429,Sr,,-0.098
HD 88084,Sr,,-0.028
HD 89454,Sr,,0.046
HD 92719,Sr,,0.048
HD 95521,Sr,,0.045
HD 96116,Sr,,0.092
HD 96423,Sr,,-0.053
HD 102117,Sr,,-0.101
HD 102365,Sr,,-0.065
HD 104982,Sr,,-0.035
HD 106116,Sr,,-0.089
HD 108309,Sr,,-0.092
HD 109271,Sr,,-0.092
HD 111031,Sr,,-0.065
HD 114853,Sr,,-0.078
HD 115674,Sr,,0.037
HD 117105,Sr,,-0.032
HD 117207,Sr,,-0.099
HD 126525,Sr,,-0.070
HD 134606,Sr,,-0.106
HD 134664,Sr,,0.044
HD 134987,Sr,,-0.074
HD 145927,Sr,,-0.037
HD 146233,Sr,,0.026
HD 160691,Sr,,-0.086
HD 177409,Sr,,0.079
HD 183658,Sr,,-0.013
HD 186408,Sr,,-0.042
HD 186427,Sr,,-0.045
HD 189567,Sr,,-0.041
HD 189625,Sr,,0.002
HD 190647,Sr,,-0.111
HD 196390,Sr,,0.101
HD 198075,Sr,,0.022
HD 200633,Sr,,0.022
HD 202628,Sr,,0.111
HD 204313,Sr,,-0.063
HD 208704,Sr,,-0.068
HD 210918,Sr,,-0.062
HD 211415,Sr,,-0.009
HD 220507,Sr,,-0.087
HD 222582,Sr,,-0.051
HD 361,Y,,0.079
HD 1461,Y,,-0.039
HD 2071,Y,,0.039
HD 4915,Y,,0.032
HD 6204,Y,,0.122
HD 7134,Y,,-0.110
HD 8406,Y,,0.050
HD 11505,Y,,-0.118
HD 12264,Y,,0.094
HD 12387,Y,,-0.072
HD 13724,Y,,0.009
HD 19467,Y,,-0.062
HD 20619,Y,,0.032
HD 20766,Y,,-0.096
HD 20782,Y,,-0.112
HD 20807,Y,,-0.123
HD 27063,Y,,0.067
HD 28471,Y,,-0.068
HD 28821,Y,,-0.093
HD 31527,Y,,-0.054
HD 38277,Y,,-0.130
HD 38858,Y,,0.015
HD 45184,Y,,0.039
HD 45289,Y,,-0.094
HD 59711,Y,,-0.009
HD 59967,Y,,0.114
HD 66428,Y,,-0.048
HD 67458,Y,,0.011
HD 71334,Y,,-0.077
HD 75302,Y,,0.096
HD 78429,Y,,-0.103
HD 88084,Y,,-0.046
HD 89454,Y,,0.079
HD 92719,Y,,0.040
HD 95521,Y,,0.028
HD 96116,Y,,0.095
HD 96423,Y,,-0.032
HD 102117,Y,,-0.050
HD 102365,Y,,-0.113
HD 104982,Y,,-0.067
HD 106116,Y,,-0.058
HD 108309,Y,,-0.107
HD 109271,Y,,-0.096
HD 111031,Y,,-0.043
HD 114853,Y,,-0.110
HD 115674,Y,,0.027
HD 117105,Y,,-0.135
HD 117207,Y,,-0.063
HD 126525,Y,,-0.077
HD 134606,Y,,-0.052
HD 134664,Y,,0.051
HD 134987,Y,,-0.056
HD 145927,Y,,-0.064
HD 146233,Y,,0.041
HD 160691,Y,,-0.068
HD 177409,Y,,0.065
HD 183658,Y,,-0.026
HD 186408,Y,,-0.054
HD 186427,Y,,-0.049
HD 189567,Y,,-0.089
HD 189625,Y,,0.027
HD 190647,Y,,-0.056
HD 196390,Y,,0.093
HD 198075,Y,,-0.029
HD 200633,Y,,0.015
HD 202628,Y,,0.111
HD 204313,Y,,-0.058
HD 208704,Y,,-0.115
HD 210918,Y,,-0.080
HD 211415,Y,,-0.090
HD 220507,Y,,-0.085
HD 222582,Y,,-0.066
