Species,lambda,chi,loggf,BM-235,HE0033-2141,HE0050-0918,HE1210-2729,HE2234-4757,BM-028,BM-209,BM-308,HE0012-5643,HE0017-3646,HE0048-1109,HE0324-0122,BM-056,BM-121,HE0007-1752,HE0039-0216,HE0429-4620,HE1401-0010,HE2138-0314,HE2315-4306,HE2319-5228,HE2322-6125
Fe I,5123.72,1.01,0.00,143.1,40.2,105.9,56.0,82.3,34.1,47.3,91.5,,24.5,,51.5,98.9,115.6,49.6,,,3.3,,,26.5,48.8
Fe I,5110.41,0.00,0.00,,,121.3,94.2,113.6,56.1,74.4,,,56.1,10.2,,,155.7,68.9,,64.7,,,,55.5,74.5
Fe I,5107.64,1.56,0.00,,,,,,,,,,,,,,,,5.0,,,,,,
Fe I,5107.45,0.99,0.00,,,,,,,,,,,,,,,,,,5.3,,,,
Fe I,5098.70,2.17,0.00,,,,,46.0,,,,,18.7,,,,,,,,,,36.8,,
Fe I,5090.77,4.25,0.00,53.6,,41.7,,,16.0,8.1,21.9,,7.8,,,22.0,18.5,,,10.1,5.2,,,,
Fe I,5083.34,0.96,0.00,136.2,,101.1,69.4,77.9,35.9,54.5,98.0,,39.0,,54.8,104.6,124.6,51.8,,56.8,,,,34.1,
Fe I,5079.74,0.99,0.00,,23.8,100.9,42.9,74.1,20.9,41.7,,,28.0,,,,,36.2,,,,,,21.5,50.3
Fe I,5079.22,2.20,0.00,,18.7,,,46.6,,,,,14.8,,,,,28.4,,,4.3,,,13.5,
Fe I,5074.75,4.22,0.00,73.6,,61.6,,,,,43.2,,,6.5,,44.1,31.1,23.9,,,,,,,
Fe I,5068.77,2.94,0.00,100.6,18.3,79.4,28.3,37.1,41.0,44.8,64.0,,,,38.3,73.0,67.4,34.7,,,,,,15.7,30.1
Fe I,5476.56,4.10,0.00,,,,,,,,,,,,,,,,,15.9,,,,3.1,
Fe I,5060.08,0.00,0.00,79.5,,27.2,,,,12.3,25.7,,,,,36.2,,4.6,,21.0,,,,,
Fe I,5497.52,1.01,0.00,154.4,51.7,116.1,69.7,91.9,49.1,64.4,101.8,,36.8,14.1,64.2,112.7,135.7,55.8,,68.1,,30.0,65.7,,58.2
Fe I,5051.64,0.91,0.00,152.1,59.3,119.0,77.1,102.9,53.2,67.2,106.9,,49.0,11.2,71.7,112.5,,62.6,,,,26.2,,43.9,
Fe I,5049.82,2.28,0.00,128.6,,105.1,55.2,70.5,53.5,55.4,89.7,,50.0,19.7,56.7,96.0,,52.5,,,,,,,36.1
Fe I,5048.44,3.96,0.00,31.2,,,,,,,,,,,,13.5,,5.1,,,,,,,
Fe I,5044.21,2.85,0.00,58.2,,,,,,,19.9,,,,,29.8,,,,,,,,,
Fe I,5041.76,1.48,0.00,,53.9,,68.8,82.5,60.7,74.7,,,53.0,,,,,65.7,,,,,72.5,,56.6
Fe I,5041.07,0.96,0.00,,,,61.2,76.3,41.1,,,,36.1,,52.7,,,48.5,,,,15.3,,32.9,
Fe I,5501.46,0.96,0.00,141.2,43.7,99.8,61.6,85.7,33.9,55.8,94.0,,,,53.9,103.0,127.7,50.6,,62.8,,23.7,66.2,23.2,50.2
Fe I,5039.25,3.37,0.00,59.9,,,,,,,,,,,,30.2,,,,,,,,,
Fe I,5506.78,0.99,0.00,151.2,57.2,111.5,73.4,92.7,48.9,68.6,103.1,,42.8,,61.9,111.6,138.5,61.1,,70.2,,,66.3,38.0,59.8
Fe I,5569.62,3.41,0.00,107.6,,86.6,29.4,31.6,40.0,38.4,65.4,,19.8,8.8,34.4,70.1,67.2,32.3,,,8.8,10.9,34.7,,
Fe I,5191.45,3.04,0.00,144.1,34.7,,41.0,53.9,62.5,56.5,92.1,,40.4,22.9,64.4,98.5,,53.8,,65.2,6.4,20.3,59.0,,
Fe I,8824.22,2.20,0.00,169.2,,,,,,,,,,,,122.4,,,,,,,,,
Fe I,4063.59,1.56,0.06,,125.9,,,,,,,68.6,,96.8,,,,,83.4,,82.4,105.9,,122.8,
Fe I,3906.48,0.11,0.00,,102.2,,,,,,,26.6,,63.4,,,,109.2,42.1,,40.1,90.8,112.9,,111.3
Fe I,4202.03,1.48,0.00,,,,124.7,,,113.6,,41.5,116.6,69.9,,,,104.9,54.8,,57.3,88.6,,,103.3
Fe I,4199.10,3.04,0.25,,64.1,,,84.5,109.8,76.6,,16.7,76.8,42.3,78.3,,,,,70.3,29.8,49.7,,,70.8
Fe I,4196.21,3.39,0.00,93.5,,86.6,16.5,23.6,29.0,30.3,48.6,,18.2,4.8,29.8,60.0,48.9,23.4,,,,,24.1,,
Fe I,3913.63,2.28,0.00,,,,,,,,,,,,,,,47.9,,,,,,,
Fe I,4195.33,3.33,0.00,116.1,24.6,99.2,30.0,43.6,48.9,47.7,74.6,,34.1,,51.3,86.3,71.2,36.7,,46.5,,14.1,49.7,,
Fe I,3917.18,0.99,0.00,,76.3,,87.2,104.3,90.2,,,7.1,72.3,27.8,74.1,115.2,,74.6,,77.1,13.7,,85.6,66.1,
Fe I,4191.43,2.47,0.00,,62.3,,65.6,86.7,99.4,,99.8,7.4,,33.7,69.9,104.7,,66.7,,67.3,20.4,38.6,70.5,,66.9
Fe I,3920.26,0.12,0.00,,114.3,,,,,,,53.1,,79.4,,,,,75.6,,67.1,100.7,,,
Fe I,4187.80,2.42,0.00,,74.5,,80.7,92.7,112.7,83.5,,15.0,81.2,40.1,85.4,120.4,124.2,80.4,21.4,67.0,26.6,53.9,93.5,,78.6
Fe I,3922.91,0.05,0.00,,,,,,,,,57.8,,88.1,,,,,,,82.1,105.8,,,
Fe I,4187.04,2.45,0.00,,67.4,131.5,79.0,85.5,104.7,,,18.3,70.2,38.6,74.2,109.9,118.0,74.4,20.6,79.8,26.5,45.6,75.5,,73.7
Fe I,4184.89,2.83,0.00,105.1,28.2,88.3,30.7,44.9,48.3,,,,30.2,11.8,44.7,74.3,,41.6,8.2,37.2,,,50.1,,38.1
Fe I,3927.92,0.11,0.00,,,,,,,,,58.9,,,,,,,,,87.9,,,,
Fe I,4182.38,3.02,0.00,89.7,,,,,15.3,,47.1,,,,,,44.7,18.6,,,,4.8,,,19.1
Fe I,4181.76,2.83,0.00,,,,67.6,74.2,99.5,66.1,103.2,10.6,60.9,33.6,70.3,,,,28.9,73.2,,42.5,,,66.3
Fe I,4175.64,2.84,0.00,112.4,34.2,,,54.8,56.7,44.9,,,39.4,15.8,58.2,80.9,,50.5,10.4,48.4,,17.8,50.3,,46.7
Fe I,4174.91,0.91,0.00,,45.9,,61.8,75.9,36.4,,,,34.7,5.5,60.5,,,48.7,5.0,,,,53.6,,46.5
Fe I,3930.30,0.09,0.00,,,,,,,,,61.4,,,,,,,,,,,,,
Fe I,4173.92,0.99,0.00,,,,,43.2,31.9,,74.2,,,2.2,,,,23.3,,,,,,,
Fe I,4172.74,0.96,0.00,,43.6,,,,36.5,,,,36.0,5.3,55.0,,,45.3,,,,,,,54.5
Fe I,4206.70,0.05,0.00,,50.1,,,,27.4,,,,30.7,5.0,,,,70.4,,,,,,,
Fe I,4216.18,0.00,0.00,,,130.2,,115.8,74.2,,115.8,,71.4,,78.6,119.7,,77.5,,71.7,,59.1,81.8,,82.3
Fe I,4217.55,3.43,0.00,,,84.5,24.1,,36.1,,60.3,,23.6,8.6,,67.9,,30.8,,25.0,,,35.2,,
Fe I,4222.21,2.45,0.00,120.6,50.5,104.7,61.0,65.4,72.8,,91.1,,56.1,16.5,65.6,92.9,,56.4,11.3,53.6,,31.2,69.4,,53.4
Fe I,4258.32,0.09,0.00,,,,42.0,,,,,,,,,,,30.0,,24.5,,,,,
Fe I,3849.97,1.01,0.00,,,,,,,,,56.5,,83.8,,,,,65.6,,63.5,,,,
Fe I,4070.77,3.24,0.00,79.0,22.5,74.5,,,31.2,32.8,53.6,,16.9,,,55.9,48.2,24.6,,,,,27.2,,22.1
Fe I,3852.57,2.17,0.00,,,,,,71.7,,,,45.4,22.9,,,,77.2,,61.0,,,,,63.7
Fe I,3856.37,0.05,0.00,,,,,,,,,72.3,,99.2,,,,,91.3,,99.6,118.5,,,
Fe I,4250.79,1.56,0.00,,102.0,,119.9,,,105.5,,35.0,117.0,69.8,,,,101.6,51.2,98.8,48.1,84.5,,,103.4
Fe I,4250.12,2.47,0.00,,68.4,,80.8,96.7,112.4,85.1,113.6,21.6,83.3,45.1,83.4,118.2,122.3,77.7,35.4,80.5,32.0,52.2,84.0,,75.6
Fe I,4247.42,3.37,0.00,,,,40.1,71.0,67.7,58.1,,,35.4,21.2,,,,64.7,,53.0,,,,,48.9
Fe I,3859.91,0.00,0.00,,,,,,,,,88.7,,,,,,,110.6,,112.1,,,,
Fe I,3863.74,2.69,0.00,,,,,29.6,,,,,,,31.2,,,24.3,,32.4,,,,,
Fe I,3941.28,3.26,0.00,,,,,,,,,,,,,,,20.0,,,,,,,
Fe I,4238.81,3.39,0.00,109.3,28.3,96.9,32.4,40.3,57.7,46.3,74.4,,35.9,17.7,48.0,78.1,71.1,40.9,,40.6,,17.4,49.7,,31.2
Fe I,3865.52,1.01,0.00,,,,,,,,,45.5,,76.0,,,,,67.4,,65.1,102.0,,,
Fe I,3867.22,3.02,0.00,,,102.2,43.4,,67.1,,,,41.1,20.9,,,,,9.5,52.9,,,,,48.3
Fe I,3872.50,0.99,0.00,,110.6,,,,,,,48.9,,74.6,,,,,64.6,,68.0,,,,
Fe I,3878.02,0.96,0.00,,114.9,,,,,,,52.8,,75.5,,,,,74.2,,66.2,97.7,,,120.1
Fe I,3878.57,0.09,0.00,,,,,,,,,70.1,,,,,,,,,,,,,
Fe I,3885.51,2.42,0.00,,,,,,,,,,,,60.4,,,,,,,,,,
Fe I,4227.43,3.33,0.23,,56.0,,,78.9,114.6,,,15.5,70.6,41.5,82.9,,,67.7,,78.0,24.8,44.4,76.7,47.6,70.4
Fe I,3895.66,0.11,0.00,,,,,,,,,,,80.6,,,,,,,,,,,
Fe I,3899.71,0.09,0.00,,,,,,,,,62.6,,82.9,,,,,73.9,,,120.3,,,
Fe I,3902.95,1.56,0.00,,106.4,,,,,,,44.7,,81.8,,,,,,,69.0,88.0,,,
Fe I,4233.60,2.48,0.00,133.4,60.3,120.7,72.3,86.5,104.1,80.1,103.8,12.4,67.6,33.4,72.4,102.2,115.0,70.6,18.7,79.2,22.2,37.3,79.8,49.1,71.6
Fe I,4260.47,2.40,0.00,,98.7,,104.7,114.8,,,,39.2,,68.3,106.3,,,104.8,,101.7,53.1,,110.8,,99.4
Fe I,4158.79,3.43,0.00,79.5,,,12.8,21.4,23.9,,44.1,,10.9,,22.5,50.9,47.5,19.0,,19.2,,,,,26.3
Fe I,4156.80,2.83,0.00,,,,,58.1,62.4,,,,36.8,21.8,48.8,,,48.8,10.5,55.1,,20.0,58.9,,
Fe I,4014.53,3.04,0.00,,44.6,,59.1,66.5,77.0,75.5,97.5,,48.3,,,98.1,102.1,,,,,,,,67.9
Fe I,4114.44,2.83,0.00,,20.3,71.9,,26.9,21.2,,,,,6.1,23.5,58.4,58.0,21.5,3.1,,,,25.0,,28.0
Fe I,4109.80,2.84,0.00,112.5,22.5,86.9,36.2,40.4,,,70.0,,33.9,8.4,44.3,76.3,,34.4,,44.5,,,,,
Fe I,4021.87,2.76,0.00,119.2,44.9,,46.4,,66.7,,,,39.0,19.3,58.2,,,51.8,,52.7,,22.9,56.1,24.2,64.0
Fe I,4098.18,3.24,0.00,91.4,,,,,,,52.3,,,,,56.8,,24.4,,,,,,,
Fe I,4095.97,2.59,0.00,,22.4,,22.0,,,,69.6,,,,,62.2,,28.0,,,,,31.0,,
Fe I,4032.63,1.48,0.00,107.8,,,44.8,62.3,36.4,,,,26.3,7.3,,86.5,,35.4,5.3,,,,,,
Fe I,4044.61,2.83,0.00,113.3,,92.8,,,30.0,37.6,,,29.8,8.1,32.7,69.1,,25.5,,,,,,,
Fe I,4084.49,3.33,0.00,,35.5,86.9,31.1,49.7,36.6,,,,,15.4,,,72.8,35.6,,,,,,,32.0
Fe I,4045.81,1.48,0.28,,,,,,,,,72.6,,111.9,,,,,97.4,,97.4,,,,
Fe I,4058.22,3.21,0.00,,,63.2,,,16.1,29.6,51.9,,10.4,,17.2,,,18.6,,21.4,,,,,
Fe I,4062.44,2.84,0.00,,26.0,,52.9,,47.4,52.7,,,32.4,13.7,48.2,,,39.1,,44.6,,,,,
Fe I,4080.21,3.28,0.00,59.7,7.9,58.6,,,20.3,13.2,37.3,,8.8,3.7,19.1,39.4,,15.0,,11.6,,,,,
Fe I,4063.28,3.37,0.00,,,,,,,,,,,,29.1,,,,3.7,,,,,,
Fe I,4079.84,2.86,0.00,80.0,18.3,72.2,,26.9,16.5,,,,10.7,,,50.7,,17.4,,13.6,,,,,16.1
Fe I,4490.08,3.02,0.00,55.8,6.0,41.7,,,,,27.3,,,,,30.9,,8.9,,,,,16.8,,
Fe I,4076.63,3.21,0.00,,,,,,,,,,,13.8,34.9,,,41.8,,,,,,,43.9
Fe I,4073.76,3.26,0.00,71.0,,,,17.2,27.2,17.5,47.7,,13.9,7.0,25.3,52.3,43.5,23.2,,23.9,,,20.4,,
Fe I,4066.58,2.99,0.00,,,57.7,,,,,,,,,,,,,,,,,,,
Fe I,4067.27,2.56,0.00,111.2,23.3,,,45.7,,41.6,66.8,,31.9,,45.4,74.2,,36.3,,,,11.2,38.6,,
Fe I,4071.74,1.61,0.00,,124.5,,,,,,,63.5,,91.0,,,,,86.6,,80.2,,,,
Fe I,4120.21,2.99,0.00,79.7,,66.5,,27.4,17.9,,57.2,,17.0,,29.1,54.1,51.5,18.9,,20.2,,,24.7,,
Fe I,4009.71,2.22,0.00,,46.1,112.6,55.9,68.9,59.7,,96.6,,56.8,17.5,64.7,102.0,109.6,49.8,,59.7,,,57.7,,56.3
Fe I,4121.80,2.83,0.00,79.5,19.8,77.2,,30.1,23.4,,,,11.3,4.9,27.8,56.0,57.7,18.0,,21.9,,,21.4,,
Fe I,4007.27,2.76,0.00,93.6,18.7,,20.9,28.5,28.3,,54.0,,19.8,,29.2,59.4,54.5,21.6,,,,,,6.4,28.4
Fe I,3943.34,2.20,0.00,,,,,,,,,,,,,,,25.6,,,,,14.4,,
Fe I,4154.80,3.37,0.00,101.6,25.3,,31.5,39.4,56.5,45.1,64.8,,37.3,23.6,38.1,71.8,69.6,38.3,7.7,,,15.2,46.3,,
Fe I,4154.50,2.83,0.00,117.9,30.8,,,56.1,65.6,56.2,81.3,,42.6,18.4,55.3,93.1,84.4,46.6,15.3,56.0,,23.6,56.2,,55.3
Fe I,4153.90,3.40,0.00,110.6,,,30.3,45.3,55.9,,,,38.9,17.8,39.6,82.7,68.8,39.8,8.7,41.4,,17.7,39.2,,42.7
Fe I,4152.17,0.96,0.00,,26.9,,37.5,64.2,,,,,32.0,6.8,33.9,,104.9,34.5,,27.9,,,48.3,,39.8
Fe I,4150.25,3.43,0.00,69.8,,,6.2,8.9,,,31.5,,,,,30.2,27.6,10.4,,,,,,,
Fe I,4147.67,1.48,0.00,128.2,,106.4,65.2,77.4,55.2,61.7,,,52.3,15.4,59.2,95.8,108.6,54.8,,56.4,5.7,21.7,58.9,,52.3
Fe I,3948.10,3.24,0.00,92.2,,,37.0,49.0,47.3,,,,29.7,,34.3,,59.2,33.2,,31.7,,,36.4,,
Fe I,4143.87,1.56,0.00,,101.5,,,,,121.9,,44.2,124.1,73.2,,,,113.8,62.8,,64.4,,115.0,104.0,110.4
Fe I,4143.42,3.05,0.00,,,,55.1,71.6,94.4,74.0,,9.9,56.7,27.7,66.2,92.3,,58.2,19.3,62.9,21.0,30.7,68.9,,
Fe I,4157.78,3.41,0.00,94.5,31.5,,,37.4,42.8,,66.8,,22.7,11.7,42.3,65.5,59.9,33.1,,37.6,,11.8,,,45.0
Fe I,4139.93,0.99,0.00,94.5,,60.7,19.7,29.1,,,,,,,,59.5,69.5,14.7,,15.8,,3.6,28.8,,
Fe I,3949.95,2.17,0.00,,49.4,,65.3,68.0,72.5,,86.6,,42.5,18.0,59.2,87.9,92.0,54.2,16.8,52.5,,,,,62.5
Fe I,3963.10,3.28,0.00,,,,,,,,,,24.5,18.5,,,,,,,,,,,
Fe I,3977.74,2.20,0.00,,57.6,,61.7,70.2,77.9,,90.9,9.1,,24.8,68.7,91.8,,54.6,,56.7,,,75.2,36.3,
Fe I,4134.68,2.83,0.00,123.0,40.3,110.9,51.1,65.4,74.6,55.0,,,51.5,22.8,60.9,89.5,92.2,,,45.3,16.2,25.1,,,42.0
Fe I,4133.86,3.37,0.00,,,73.8,,,,,,,,,,,40.0,24.5,,,,,,,
Fe I,4132.90,2.84,0.00,112.2,31.9,88.7,30.8,,44.3,39.5,69.0,,23.0,12.4,41.9,79.5,74.9,35.4,,42.7,,15.2,,,28.5
Fe I,4132.06,1.61,0.00,,104.0,,,,,119.0,,41.2,117.7,69.3,,,,109.5,61.9,,52.7,84.5,124.2,,109.5
Fe I,4001.66,2.17,0.00,109.0,21.1,84.4,25.3,36.8,22.5,,59.2,,,,32.1,67.4,76.5,26.1,,22.1,4.8,,33.8,,23.7
Fe I,4127.78,3.28,0.00,,,,,,,,,,,,,,,,,21.1,,,,,
Fe I,4005.24,1.56,0.00,,102.6,,,,,,,41.1,118.6,68.8,,,,111.6,60.3,,62.0,84.8,,88.2,
Fe I,4137.00,3.41,0.00,82.1,25.8,86.5,17.9,23.4,34.6,40.3,,,20.1,6.5,30.5,57.1,48.3,25.3,,17.6,,,39.9,,27.6
Fe I,3846.80,3.25,0.01,,,,,69.5,,,,,61.0,33.2,,,,51.7,,,,,,,
Fe I,3850.82,0.99,0.00,,,,108.3,,,,,18.5,,45.8,,,,,,95.1,,69.7,,,
Fe I,3841.05,1.61,0.00,,,,,,,,,59.2,,88.4,,,,,,,,,,,
Fe I,3540.12,2.86,0.00,97.2,,,,,26.0,,,,,,,,,40.2,,,,,,,
Fe I,3558.52,0.99,0.00,,,,,,,,,43.6,,75.3,,,,,,,,,,,
Fe I,3565.38,0.96,0.00,,,,,,,,,70.7,,101.2,,,,,,,,,,,
Fe I,4447.72,2.22,0.00,131.4,48.1,111.3,50.7,67.2,57.1,64.0,92.6,,38.8,14.7,62.0,98.3,104.2,55.7,10.5,57.4,,,64.6,43.6,47.8
Fe I,3570.10,0.91,0.18,,,,,,,,,72.3,,,,,,,,,,,,,
Fe I,3589.10,0.86,0.00,,,,,,72.2,,,,,,,,,83.1,,,,,,,
Fe I,3608.86,1.01,0.00,,,,,,,,,60.8,,99.6,,,,,,,,,,,
Fe I,3610.16,2.81,0.12,,,,,,,,,,,56.3,,,,,,,,,,,
Fe I,3618.77,0.99,0.00,,,,,,,,,,,103.5,,,,,,,79.7,,,,
Fe I,3625.14,2.83,0.00,105.1,,,,,,,,,,13.8,,,,39.4,,,,,,,
Fe I,4443.19,2.86,0.00,99.8,25.1,86.2,25.6,35.6,42.6,34.9,,,25.8,,32.6,71.1,64.5,32.8,7.3,37.2,,,34.2,,24.3
Fe I,4442.34,2.20,0.00,,50.3,122.2,60.3,77.4,67.0,72.4,102.9,,47.2,20.9,67.1,108.7,112.4,61.5,,70.2,,32.8,75.0,,54.3
Fe I,3630.35,2.85,0.00,,,,,,47.9,,,,,,,,,,,,,,,,
Fe I,4430.61,2.22,0.00,116.5,29.6,96.9,36.0,50.4,39.3,,76.2,,23.6,7.1,48.6,83.2,76.7,38.3,,39.0,,11.9,50.0,11.0,35.3
Fe I,3636.16,2.20,0.00,,,,,,,,,,,9.8,34.6,,,,,,,,,,
Fe I,3645.08,2.85,0.00,,,,,,,,,,,,,,,19.8,,,,,,,
Fe I,4427.31,0.05,0.00,,91.4,,112.2,133.2,97.2,,,,85.3,31.8,,,,87.4,19.6,92.1,25.0,72.3,94.9,,86.9
Fe I,3647.84,0.91,0.00,,,,,,,,,,,97.1,,,,,,,,,,,
Fe I,3649.30,0.00,0.00,,,,,,,,,,,,,,,76.9,,,,,,,
Fe I,3845.17,2.42,0.00,,,98.4,,50.2,,,73.9,,,20.3,,83.2,,33.8,,,,,,,
Fe I,3702.49,2.17,0.00,80.0,,,,,,,,,,,,,,,,,,,,,
Fe I,4454.38,2.83,0.00,99.6,13.3,81.4,18.2,,,,,,16.5,,29.4,62.3,,24.0,,28.2,,9.3,,,18.9
Fe I,4459.12,2.17,0.00,,57.0,,69.6,86.8,84.0,,,,54.0,21.0,,,,64.9,10.2,66.4,,32.9,77.3,39.1,64.6
Fe I,3533.01,2.88,0.00,,,,,,,,,,,20.1,,,,54.4,,,,,,,
Fe I,3521.84,2.22,0.00,,,,,,,,,,,,37.4,75.3,,37.2,,,,,,,
Fe I,4489.74,0.12,0.00,129.7,38.8,93.4,61.2,83.3,19.5,42.4,91.0,,27.5,,53.2,99.2,119.7,43.3,,47.0,,,51.3,33.1,
Fe I,3399.33,2.20,0.00,,,,,,,,,16.6,,36.1,,,,,,,,,,,
Fe I,3413.13,2.20,0.00,,,,,,,,,,,,,,,73.4,,,,,,,
Fe I,3415.53,2.22,0.00,,,,,,,,,,,,,,,36.0,,,,,,,
Fe I,3418.51,2.22,0.00,,,,,,,,,,,33.8,,,,59.4,,,,,,,
Fe I,3424.28,2.17,0.00,,,,,,70.2,,,,,,,,,,,,,,,,
Fe I,3426.63,2.20,0.00,,,,,,,,,,,,,,,64.5,,,,,,,
Fe I,3428.19,2.20,0.00,,,,,,80.5,,,,,,,,,58.8,,,,,,,
Fe I,4484.22,3.60,0.00,,,64.1,11.3,14.2,19.7,,42.6,,9.8,,,42.1,,15.9,,,,4.3,22.8,,15.6
Fe I,3442.67,0.96,0.00,,,,,,,,,,,,,,,40.9,,,,,,,
Fe I,3709.25,0.91,0.00,,,,,,,,,60.8,,,,,,,,,,,,,
Fe I,3445.15,2.20,0.00,,,,,,80.3,,,,,,,,,,,,,,,,
Fe I,3451.92,2.22,0.00,,,,,,44.9,,,,,,,,,53.8,,,,,,,
Fe I,3452.28,0.96,0.00,,,,,,,,,,,,,,,78.4,,,,,,,
Fe I,4476.02,2.84,0.00,,,,,,70.6,,100.4,,,22.2,,,98.6,,,61.8,,,,24.3,
Fe I,3485.34,2.20,0.00,,,,,,36.3,,,,43.4,,59.2,,,52.8,,,,,,,
Fe I,3490.57,0.05,0.00,,,,,,,,,63.1,,90.1,,,,,,,,,,,
Fe I,4466.55,2.83,0.00,134.3,50.7,114.7,64.7,83.9,70.3,63.2,99.8,6.8,52.6,22.5,70.0,105.7,,58.1,10.5,61.5,,31.4,60.9,33.6,60.2
Fe I,3506.50,2.28,0.00,,,,,,,,,,,,,,,55.7,,,,,,34.5,
Fe I,4461.65,0.09,0.00,,83.0,,101.1,124.1,80.4,,,4.5,71.7,20.6,81.9,125.6,,80.4,,72.4,18.8,61.7,92.7,,71.5
Fe I,3518.87,2.20,0.00,80.1,,,,,,,,,,,,,,,,,,,,,
Fe I,3521.26,0.91,0.00,,,,,,,,,,,74.3,,,,,,,,,,,
Fe I,3450.33,2.22,0.00,,,,,,69.3,,,,,,,,,70.4,,,,,,,
Fe I,4422.57,2.84,0.00,106.9,28.6,97.0,29.1,49.9,40.4,,68.0,,25.8,11.3,36.2,76.4,73.4,36.2,,,,,,,36.5
Fe I,3689.46,2.94,0.00,,,,,,,,,,53.9,40.0,76.6,,,61.8,,,,,68.0,,
Fe I,3719.94,0.00,0.00,,,,,,,,,89.7,,,,,,,,,,,,,
Fe I,3787.88,1.01,0.00,,,,,,,,,48.6,,74.1,,,,,67.3,,,93.9,,,
Fe I,3790.09,0.99,0.00,,81.6,,100.0,,108.5,,,,,39.8,91.9,,,,,88.6,,65.6,,,93.7
Fe I,3805.34,3.30,0.37,,,,62.4,80.8,,,95.8,12.4,,,,,,69.9,,,,,,,
Fe I,4352.73,2.22,0.00,,48.9,117.7,63.0,87.1,63.3,,,,44.0,15.7,67.2,,,55.3,,54.7,,,74.0,,59.1
Fe I,3807.54,2.22,0.00,,,,,86.0,,,,,,25.2,73.3,,,,,,,,,,
Fe I,3812.96,0.96,0.00,,,,,,,,,54.2,,,,,,,58.0,,65.0,,,,
Fe I,4337.05,1.56,0.00,,66.5,,,96.3,,,,,,,69.6,112.2,,,,,,,,,
Fe I,3815.84,1.48,0.24,,,,,,,,,79.2,,107.0,,,,,90.5,,90.3,117.8,,,
Fe I,3816.34,2.20,0.00,,,,58.5,,56.8,,,,42.6,14.3,,,,,,52.5,,,,,
Fe I,3715.91,2.28,0.00,109.7,,,,,,,70.9,,,,41.7,,,,,,,,,14.6,
Fe I,4325.76,1.61,0.01,,121.3,,,,,,,62.7,,91.4,,,,,84.4,,83.8,,,,
Fe I,3824.44,0.00,0.00,,,,,,,,,76.9,,,,,,,89.5,,,,,,
Fe I,3825.88,0.91,0.00,,,,,,,,,77.4,,108.2,,,,,114.9,,,,,,
Fe I,4315.08,2.20,0.00,,,,,,,,,15.2,,,,,,,,,,,,,
Fe I,4291.46,0.05,0.00,134.6,38.2,96.1,52.3,82.2,20.0,49.2,87.1,,16.1,,47.4,96.7,119.6,39.3,,,,,47.9,,33.4
Fe I,4282.40,2.17,0.00,,,,,101.4,102.7,74.5,,14.0,77.6,35.2,75.4,111.3,126.8,74.8,28.1,,21.8,45.6,,,64.0
Fe I,4271.76,1.48,0.00,,126.8,,,,,,,67.1,,93.4,,,,,77.4,,80.9,104.2,,,134.6
Fe I,3827.82,1.56,0.09,,,,,,,,,61.6,,91.3,,,,,,,,105.9,,,
Fe I,4271.15,2.45,0.00,,80.1,,96.9,116.5,122.9,,,26.7,83.6,48.9,,,,86.5,28.7,88.3,33.6,61.8,99.7,,
Fe I,3839.26,3.04,0.00,,,,,,,,,,,,56.8,,,,,,,,,,
Fe I,3820.42,0.86,0.16,,,,,,,,,90.9,,,,,,,113.9,,,,,,
Fe I,4367.90,1.61,0.00,86.8,17.8,,,,,,,,14.6,,,,,22.2,,,,,,,
Fe I,3786.68,1.01,0.00,,,,91.8,93.5,81.1,,109.0,,63.7,21.0,,112.9,,,12.9,79.4,,54.1,74.0,,77.4
Fe I,3756.07,2.17,0.00,,,,,,,,,,7.7,,,,47.5,13.6,,,,,,,
Fe I,3724.38,2.28,0.00,,,,,,,,,,,,,,,,,,,43.2,,,
Fe I,3727.62,0.96,0.00,,,,,,,,,53.9,,84.2,,,,,80.2,,,116.4,,,
Fe I,4415.12,1.61,0.00,,102.3,,125.3,,,117.6,,42.8,121.4,71.9,,,,113.6,64.6,,59.3,87.3,117.6,,114.4
Fe I,4408.41,2.20,0.00,,29.8,,,59.8,44.9,,,,,10.9,,,,36.8,,35.0,,,48.2,,33.0
Fe I,4407.71,2.17,0.00,,29.3,,,51.9,44.4,44.8,,,30.6,8.2,,,,29.7,,,,,,,35.9
Fe I,3742.62,2.94,0.00,110.6,,98.0,,,34.6,,,,30.7,8.4,43.3,81.0,66.2,41.1,,,,,49.7,,
Fe I,4404.75,1.56,0.00,,122.1,,,,,,,60.0,,91.9,,,,,82.7,,84.7,105.1,,,134.9
Fe I,4401.29,3.60,0.00,,,,,,,,,,,,,,,20.1,,,,,,,
Fe I,3743.36,0.99,0.00,,,,,,,,,,,,,,,,74.2,,,,,,
Fe I,3753.61,2.17,0.00,,,,76.6,,,,,,,,77.3,106.5,,,,,,,,56.1,
Fe I,3781.19,2.20,0.00,96.1,,81.9,,,,,54.6,,,,25.0,66.3,62.1,26.8,,,,,,,
Fe I,4388.41,3.60,0.00,74.9,,66.4,,17.7,20.9,,42.7,,20.0,,21.9,46.8,38.4,20.0,,20.9,,,,,
Fe I,4067.98,3.21,0.00,99.3,30.3,89.9,36.5,45.7,56.1,48.0,66.9,,31.1,15.2,47.8,71.4,,38.5,,41.8,,18.4,45.4,,
Fe I,3758.23,0.96,0.00,,,,,,,,,72.3,,111.9,,,,,101.6,,101.7,,,,
