Name,lambda,Species,logepsX,loggf,EW
MKV0596,6219.29,Fe I,2.200,-2.438,95
MKV0596,6229.23,Fe I,2.840,-2.900,
MKV0596,6230.74,Fe I,2.560,-1.276,144
MKV0596,6238.38,Fe II,3.890,-2.480,24
MKV0596,6240.66,Fe I,2.220,-3.230,45
MKV0596,6243.82,Si I,5.610,-1.270,
MKV0596,6244.48,Si I,5.610,-1.270,
MKV0596,6247.56,Fe II,3.890,-2.360,38
MKV0596,6252.57,Fe I,2.400,-1.757,
MKV0596,6258.10,Ti I,1.443,-0.355,
MKV0596,6290.97,Fe I,4.730,-0.760,
MKV0596,6297.80,Fe I,2.220,-2.740,
MKV0596,6301.50,Fe I,3.650,-0.720,
MKV0596,6302.49,Fe I,3.690,-1.150,50
MKV0596,6309.90,Sc II,1.500,-1.520,
MKV0596,6311.51,Fe I,2.830,-3.220,
MKV0596,6320.43,La II,0.170,-1.562,
MKV0596,6330.09,Cr I,0.940,-2.920,
MKV0596,6355.04,Fe I,2.840,-2.290,83
MKV0596,6369.46,Fe II,2.890,-4.250,
MKV0596,6380.75,Fe I,4.190,-1.500,
MKV0596,6390.46,La II,0.320,-1.400,
MKV0596,6392.54,Fe I,2.280,-3.950,26
MKV0596,6393.61,Fe I,2.430,-1.630,
MKV0596,6416.93,Fe II,3.890,-2.790,
MKV0596,6419.96,Fe I,4.730,-0.240,
MKV0596,6421.36,Fe I,2.280,-2.014,138
MKV0596,6430.86,Fe I,2.180,-1.946,142
MKV0596,6432.68,Fe II,2.890,-3.710,44
MKV0596,6439.08,Ca I,2.520,0.390,121
MKV0596,6455.60,Ca I,2.520,-1.290,
MKV0596,6456.39,Fe II,3.900,-2.080,52
MKV0596,6496.91,Ba II,0.600,-0.380,118
MKV0596,6498.94,Fe I,0.960,-4.690,83
MKV0596,6499.65,Ca I,2.520,-0.820,33
MKV0596,6516.08,Fe II,2.890,-3.450,48
MKV0596,6518.37,Fe I,2.830,-2.460,31
MKV0596,6554.24,Ti I,1.440,-1.218,
MKV0596,6556.08,Ti I,1.460,-1.074,27
MKV0596,6574.23,Fe I,0.990,-5.020,37
MKV0596,6581.22,Fe I,1.480,-4.680,23
MKV0596,6593.88,Fe I,2.430,-2.390,84
MKV0596,6608.03,Fe I,2.280,-3.940,
MKV0596,6609.12,Fe I,2.560,-2.660,68
MKV0596,6645.13,Eu II,1.370,0.200,
MKV0614,5339.93,Fe I,3.270,-0.680,
MKV0614,5364.86,Fe I,4.450,0.220,112
MKV0614,5367.48,Fe I,4.420,0.550,60
MKV0614,5369.96,Fe I,4.370,0.540,88
MKV0614,5371.50,Fe I,0.960,-1.644,
MKV0614,5381.01,Ti II,1.570,-1.780,102
MKV0614,5383.37,Fe I,4.310,0.500,141
MKV0614,5389.48,Fe I,4.420,-0.400,97
MKV0614,5393.17,Fe I,3.240,-0.920,126
MKV0614,5397.14,Fe I,0.910,-1.992,
MKV0614,5400.51,Fe I,4.370,-0.150,76
MKV0614,5402.78,Y II,1.840,-0.510,
MKV0614,5405.79,Fe I,0.990,-1.852,
MKV0614,5407.42,Mn I,2.140,-1.743,
MKV0614,5409.80,Cr I,1.030,-0.720,120
MKV0614,5415.19,Fe I,4.390,0.510,93
MKV0614,5418.77,Ti II,1.580,-2.110,
MKV0614,5420.36,Mn I,2.140,-1.460,
MKV0614,5424.07,Fe I,4.320,0.520,122
MKV0614,5425.25,Fe II,3.200,-3.360,
MKV0614,5432.55,Mn I,0.000,-3.795,
MKV0614,5476.92,Ni I,1.830,-0.890,154
MKV0614,5483.34,Co I,1.710,-1.488,
MKV0614,5485.71,Nd II,1.260,-0.120,
MKV0614,5490.16,Ti I,1.460,-0.933,
MKV0614,5501.48,Fe I,0.960,-3.050,144
MKV0614,5506.79,Fe I,0.990,-2.790,176
MKV0614,5516.77,Mn I,2.180,-1.847,
MKV0614,5528.41,Mg I,4.350,-0.357,143
MKV0614,5534.85,Fe II,3.240,-2.920,
MKV0614,6120.26,Fe I,0.910,-5.940,
MKV0614,6122.23,Ca I,1.890,-0.320,
MKV0614,6126.22,Ti I,1.070,-1.425,
MKV0614,6136.62,Fe I,2.450,-1.500,185
MKV0614,6137.70,Fe I,2.590,-1.366,138
MKV0614,6141.73,Ba II,0.700,-0.077,157
MKV0614,6149.25,Fe II,3.890,-2.720,
MKV0614,6151.62,Fe I,2.180,-3.370,
MKV0614,6157.75,Fe I,4.070,-1.260,48
MKV0614,6160.75,Na I,2.100,-1.260,
MKV0614,6161.30,Ca I,2.520,-1.270,
MKV0614,6165.36,Fe I,4.140,-1.470,
MKV0614,6166.44,Ca I,2.520,-1.140,
MKV0614,6169.04,Ca I,2.520,-0.800,
MKV0614,6169.56,Ca I,2.520,-0.480,
MKV0614,6173.34,Fe I,2.220,-2.850,69
MKV0614,6176.82,Ni I,4.090,-0.430,
MKV0614,6177.25,Ni I,1.830,-3.500,
MKV0614,6187.99,Fe I,3.940,-1.580,
MKV0614,6191.57,Fe I,2.430,-1.416,161
MKV0614,6213.43,Fe I,2.220,-2.660,110
MKV0614,6219.29,Fe I,2.200,-2.438,113
MKV0614,6229.23,Fe I,2.840,-2.900,
MKV0614,6230.74,Fe I,2.560,-1.276,
MKV0614,6238.38,Fe II,3.890,-2.480,
MKV0614,6240.66,Fe I,2.220,-3.230,40
MKV0614,6243.82,Si I,5.610,-1.270,
MKV0614,6244.48,Si I,5.610,-1.270,
MKV0614,6247.56,Fe II,3.890,-2.360,75
MKV0614,6252.57,Fe I,2.400,-1.757,136
MKV0614,6258.10,Ti I,1.443,-0.355,70
MKV0614,6290.97,Fe I,4.730,-0.760,
MKV0614,6297.80,Fe I,2.220,-2.740,96
MKV0614,6301.50,Fe I,3.650,-0.720,100
MKV0614,6302.49,Fe I,3.690,-1.150,
MKV0614,6309.90,Sc II,1.500,-1.520,
MKV0614,6311.51,Fe I,2.830,-3.220,
MKV0614,6320.43,La II,0.170,-1.562,
MKV0614,6330.09,Cr I,0.940,-2.920,
MKV0614,6355.04,Fe I,2.840,-2.290,82
MKV0614,6369.46,Fe II,2.890,-4.250,
MKV0614,6380.75,Fe I,4.190,-1.500,
MKV0614,6390.46,La II,0.320,-1.400,
MKV0614,6392.54,Fe I,2.280,-3.950,
MKV0614,6393.61,Fe I,2.430,-1.630,102
MKV0614,6416.93,Fe II,3.890,-2.790,
MKV0614,6419.96,Fe I,4.730,-0.240,
MKV0614,6421.36,Fe I,2.280,-2.014,112
MKV0614,6430.86,Fe I,2.180,-1.946,
MKV0614,6432.68,Fe II,2.890,-3.710,
MKV0614,6439.08,Ca I,2.520,0.390,
MKV0614,6455.60,Ca I,2.520,-1.290,
MKV0614,6456.39,Fe II,3.900,-2.080,54
MKV0614,6496.91,Ba II,0.600,-0.380,175
MKV0614,6498.94,Fe I,0.960,-4.690,53
MKV0614,6499.65,Ca I,2.520,-0.820,
MKV0614,6516.08,Fe II,2.890,-3.450,74
MKV0614,6518.37,Fe I,2.830,-2.460,
MKV0614,6554.24,Ti I,1.440,-1.218,
MKV0614,6556.08,Ti I,1.460,-1.074,
MKV0614,6574.23,Fe I,0.990,-5.020,
MKV0614,6581.22,Fe I,1.480,-4.680,22
MKV0614,6593.88,Fe I,2.430,-2.390,131
MKV0614,6608.03,Fe I,2.280,-3.940,
MKV0614,6609.12,Fe I,2.560,-2.660,78
MKV0614,6645.13,Eu II,1.370,0.200,
MKV0628,5339.93,Fe I,3.270,-0.680,
MKV0628,5364.86,Fe I,4.450,0.220,101
MKV0628,5367.48,Fe I,4.420,0.550,118
MKV0628,5369.96,Fe I,4.370,0.540,144
MKV0628,5371.50,Fe I,0.960,-1.644,
MKV0628,5381.01,Ti II,1.570,-1.780,110
MKV0628,5383.37,Fe I,4.310,0.500,135
MKV0628,5389.48,Fe I,4.420,-0.400,63
MKV0628,5393.17,Fe I,3.240,-0.920,133
MKV0628,5397.14,Fe I,0.910,-1.992,
MKV0628,5400.51,Fe I,4.370,-0.150,91
MKV0628,5402.78,Y II,1.840,-0.510,
MKV0628,5405.79,Fe I,0.990,-1.852,
MKV0628,5407.42,Mn I,2.140,-1.743,
MKV0628,5409.80,Cr I,1.030,-0.720,159
MKV0628,5415.19,Fe I,4.390,0.510,134
MKV0628,5418.77,Ti II,1.580,-2.110,96
MKV0628,5420.36,Mn I,2.140,-1.460,
MKV0628,5424.07,Fe I,4.320,0.520,136
MKV0628,5425.25,Fe II,3.200,-3.360,52
MKV0628,5432.55,Mn I,0.000,-3.795,
MKV0628,5476.92,Ni I,1.830,-0.890,
MKV0628,5483.34,Co I,1.710,-1.488,65
MKV0628,5485.71,Nd II,1.260,-0.120,
MKV0628,5490.16,Ti I,1.460,-0.933,
MKV0628,5501.48,Fe I,0.960,-3.050,
MKV0628,5506.79,Fe I,0.990,-2.790,183
MKV0628,5516.77,Mn I,2.180,-1.847,
MKV0628,5528.41,Mg I,4.350,-0.357,171
MKV0628,5534.85,Fe II,3.240,-2.920,69
MKV0628,6120.26,Fe I,0.910,-5.940,
MKV0628,6122.23,Ca I,1.890,-0.320,149
MKV0628,6126.22,Ti I,1.070,-1.425,
MKV0628,6136.62,Fe I,2.450,-1.500,
MKV0628,6137.70,Fe I,2.590,-1.366,158
MKV0628,6141.73,Ba II,0.700,-0.077,164
MKV0628,6149.25,Fe II,3.890,-2.720,
MKV0628,6151.62,Fe I,2.180,-3.370,52
MKV0628,6157.75,Fe I,4.070,-1.260,
MKV0628,6160.75,Na I,2.100,-1.260,
MKV0628,6161.30,Ca I,2.520,-1.270,61
MKV0628,6165.36,Fe I,4.140,-1.470,
MKV0628,6166.44,Ca I,2.520,-1.140,44
MKV0628,6169.04,Ca I,2.520,-0.800,71
MKV0628,6169.56,Ca I,2.520,-0.480,76
MKV0628,6173.34,Fe I,2.220,-2.850,98
MKV0628,6176.82,Ni I,4.090,-0.430,
MKV0628,6177.25,Ni I,1.830,-3.500,
MKV0628,6187.99,Fe I,3.940,-1.580,30
MKV0628,6191.57,Fe I,2.430,-1.416,153
MKV0628,6213.43,Fe I,2.220,-2.660,110
MKV0628,6219.29,Fe I,2.200,-2.438,122
MKV0628,6229.23,Fe I,2.840,-2.900,38
MKV0628,6230.74,Fe I,2.560,-1.276,157
MKV0628,6238.38,Fe II,3.890,-2.480,
MKV0628,6240.66,Fe I,2.220,-3.230,63
MKV0628,6243.82,Si I,5.610,-1.270,
MKV0628,6244.48,Si I,5.610,-1.270,
MKV0628,6247.56,Fe II,3.890,-2.360,
MKV0628,6252.57,Fe I,2.400,-1.757,138
MKV0628,6258.10,Ti I,1.443,-0.355,50
MKV0628,6290.97,Fe I,4.730,-0.760,
MKV0628,6297.80,Fe I,2.220,-2.740,99
MKV0628,6301.50,Fe I,3.650,-0.720,87
MKV0628,6302.49,Fe I,3.690,-1.150,
MKV0628,6309.90,Sc II,1.500,-1.520,
MKV0628,6311.51,Fe I,2.830,-3.220,
MKV0628,6320.43,La II,0.170,-1.562,
MKV0628,6330.09,Cr I,0.940,-2.920,40
MKV0628,6355.04,Fe I,2.840,-2.290,86
MKV0628,6369.46,Fe II,2.890,-4.250,
MKV0628,6380.75,Fe I,4.190,-1.500,65
MKV0628,6390.46,La II,0.320,-1.400,
MKV0628,6392.54,Fe I,2.280,-3.950,
MKV0628,6393.61,Fe I,2.430,-1.630,193
MKV0628,6416.93,Fe II,3.890,-2.790,
MKV0628,6419.96,Fe I,4.730,-0.240,
MKV0628,6421.36,Fe I,2.280,-2.014,159
MKV0628,6430.86,Fe I,2.180,-1.946,140
MKV0628,6432.68,Fe II,2.890,-3.710,
MKV0628,6439.08,Ca I,2.520,0.390,147
MKV0628,6455.60,Ca I,2.520,-1.290,46
MKV0628,6456.39,Fe II,3.900,-2.080,69
MKV0628,6496.91,Ba II,0.600,-0.380,
MKV0628,6498.94,Fe I,0.960,-4.690,
MKV0628,6499.65,Ca I,2.520,-0.820,65
MKV0628,6516.08,Fe II,2.890,-3.450,61
MKV0628,6518.37,Fe I,2.830,-2.460,52
MKV0628,6554.24,Ti I,1.440,-1.218,
MKV0628,6556.08,Ti I,1.460,-1.074,
MKV0628,6574.23,Fe I,0.990,-5.020,65
MKV0628,6581.22,Fe I,1.480,-4.680,33
MKV0628,6593.88,Fe I,2.430,-2.390,99
MKV0628,6608.03,Fe I,2.280,-3.940,37
MKV0628,6609.12,Fe I,2.560,-2.660,73
MKV0628,6645.13,Eu II,1.370,0.200,
MKV0640,5339.93,Fe I,3.270,-0.680,117
MKV0640,5364.86,Fe I,4.450,0.220,
MKV0640,5367.48,Fe I,4.420,0.550,102
MKV0640,5369.96,Fe I,4.370,0.540,
MKV0640,5371.50,Fe I,0.960,-1.644,
MKV0640,5381.01,Ti II,1.570,-1.780,121
MKV0640,5383.37,Fe I,4.310,0.500,126
MKV0640,5389.48,Fe I,4.420,-0.400,61
MKV0640,5393.17,Fe I,3.240,-0.920,128
MKV0640,5397.14,Fe I,0.910,-1.992,
MKV0640,5400.51,Fe I,4.370,-0.150,91
MKV0640,5402.78,Y II,1.840,-0.510,18
MKV0640,5405.79,Fe I,0.990,-1.852,
MKV0640,5407.42,Mn I,2.140,-1.743,33
MKV0640,5409.80,Cr I,1.030,-0.720,161
MKV0640,5415.19,Fe I,4.390,0.510,110
MKV0640,5418.77,Ti II,1.580,-2.110,99
MKV0640,5420.36,Mn I,2.140,-1.460,26
MKV0640,5424.07,Fe I,4.320,0.520,133
MKV0640,5425.25,Fe II,3.200,-3.360,27
MKV0640,5432.55,Mn I,0.000,-3.795,65
MKV0640,5476.92,Ni I,1.830,-0.890,199
MKV0640,5483.34,Co I,1.710,-1.488,64
MKV0640,5485.71,Nd II,1.260,-0.120,
MKV0640,5490.16,Ti I,1.460,-0.933,
MKV0640,5501.48,Fe I,0.960,-3.050,182
MKV0640,5506.79,Fe I,0.990,-2.790,179
MKV0640,5516.77,Mn I,2.180,-1.847,
MKV0640,5528.41,Mg I,4.350,-0.357,159
MKV0640,5534.85,Fe II,3.240,-2.920,69
MKV0640,6120.26,Fe I,0.910,-5.940,
MKV0640,6122.23,Ca I,1.890,-0.320,161
MKV0640,6126.22,Ti I,1.070,-1.425,
MKV0640,6136.62,Fe I,2.450,-1.500,
MKV0640,6137.70,Fe I,2.590,-1.366,143
MKV0640,6141.73,Ba II,0.700,-0.077,
MKV0640,6149.25,Fe II,3.890,-2.720,
MKV0640,6151.62,Fe I,2.180,-3.370,
MKV0640,6157.75,Fe I,4.070,-1.260,74
MKV0640,6160.75,Na I,2.100,-1.260,
MKV0640,6161.30,Ca I,2.520,-1.270,40
MKV0640,6165.36,Fe I,4.140,-1.470,
MKV0640,6166.44,Ca I,2.520,-1.140,33
MKV0640,6169.04,Ca I,2.520,-0.800,69
MKV0640,6169.56,Ca I,2.520,-0.480,99
MKV0640,6173.34,Fe I,2.220,-2.850,85
MKV0640,6176.82,Ni I,4.090,-0.430,
MKV0640,6177.25,Ni I,1.830,-3.500,
MKV0640,6187.99,Fe I,3.940,-1.580,
MKV0640,6191.57,Fe I,2.430,-1.416,159
MKV0640,6213.43,Fe I,2.220,-2.660,131
MKV0640,6219.29,Fe I,2.200,-2.438,124
MKV0640,6229.23,Fe I,2.840,-2.900,
MKV0640,6230.74,Fe I,2.560,-1.276,152
MKV0640,6238.38,Fe II,3.890,-2.480,36
MKV0640,6240.66,Fe I,2.220,-3.230,49
MKV0640,6243.82,Si I,5.610,-1.270,
MKV0640,6244.48,Si I,5.610,-1.270,
MKV0640,6247.56,Fe II,3.890,-2.360,44
MKV0640,6252.57,Fe I,2.400,-1.757,111
MKV0640,6258.10,Ti I,1.443,-0.355,52
MKV0640,6290.97,Fe I,4.730,-0.760,
MKV0640,6297.80,Fe I,2.220,-2.740,75
MKV0640,6301.50,Fe I,3.650,-0.720,102
MKV0640,6302.49,Fe I,3.690,-1.150,46
MKV0640,6309.90,Sc II,1.500,-1.520,48
MKV0640,6311.51,Fe I,2.830,-3.220,
MKV0640,6320.43,La II,0.170,-1.562,
MKV0640,6330.09,Cr I,0.940,-2.920,32
MKV0640,6355.04,Fe I,2.840,-2.290,91
MKV0640,6369.46,Fe II,2.890,-4.250,
MKV0640,6380.75,Fe I,4.190,-1.500,
MKV0640,6390.46,La II,0.320,-1.400,52
MKV0640,6392.54,Fe I,2.280,-3.950,38
MKV0640,6393.61,Fe I,2.430,-1.630,139
MKV0640,6416.93,Fe II,3.890,-2.790,
MKV0640,6419.96,Fe I,4.730,-0.240,
MKV0640,6421.36,Fe I,2.280,-2.014,118
MKV0640,6430.86,Fe I,2.180,-1.946,154
MKV0640,6432.68,Fe II,2.890,-3.710,63
MKV0640,6439.08,Ca I,2.520,0.390,146
MKV0640,6455.60,Ca I,2.520,-1.290,28
MKV0640,6456.39,Fe II,3.900,-2.080,67
MKV0640,6496.91,Ba II,0.600,-0.380,187
MKV0640,6498.94,Fe I,0.960,-4.690,108
MKV0640,6499.65,Ca I,2.520,-0.820,53
MKV0640,6516.08,Fe II,2.890,-3.450,43
MKV0640,6518.37,Fe I,2.830,-2.460,37
MKV0640,6554.24,Ti I,1.440,-1.218,23
MKV0640,6556.08,Ti I,1.460,-1.074,
MKV0640,6574.23,Fe I,0.990,-5.020,51
MKV0640,6581.22,Fe I,1.480,-4.680,29
MKV0640,6593.88,Fe I,2.430,-2.390,110
MKV0640,6608.03,Fe I,2.280,-3.940,
MKV0640,6609.12,Fe I,2.560,-2.660,77
MKV0640,6645.13,Eu II,1.370,0.200,
MKV0652,5339.93,Fe I,3.270,-0.680,52
MKV0652,5364.86,Fe I,4.450,0.220,57
MKV0652,5367.48,Fe I,4.420,0.550,70
MKV0652,5369.96,Fe I,4.370,0.540,65
MKV0652,5371.50,Fe I,0.960,-1.644,
MKV0652,5381.01,Ti II,1.570,-1.780,41
MKV0652,5383.37,Fe I,4.310,0.500,
MKV0652,5389.48,Fe I,4.420,-0.400,46
MKV0652,5393.17,Fe I,3.240,-0.920,
MKV0652,5397.14,Fe I,0.910,-1.992,164
MKV0652,5400.51,Fe I,4.370,-0.150,
MKV0652,5402.78,Y II,1.840,-0.510,
MKV0652,5405.79,Fe I,0.990,-1.852,
MKV0652,5407.42,Mn I,2.140,-1.743,
MKV0652,5409.80,Cr I,1.030,-0.720,56
MKV0652,5415.19,Fe I,4.390,0.510,52
MKV0652,5418.77,Ti II,1.580,-2.110,
MKV0652,5420.36,Mn I,2.140,-1.460,
MKV0652,5424.07,Fe I,4.320,0.520,72
MKV0652,5425.25,Fe II,3.200,-3.360,
MKV0652,5432.55,Mn I,0.000,-3.795,
MKV0652,5476.92,Ni I,1.830,-0.890,
MKV0652,5483.34,Co I,1.710,-1.488,
MKV0652,5485.71,Nd II,1.260,-0.120,
MKV0652,5490.16,Ti I,1.460,-0.933,
MKV0652,5501.48,Fe I,0.960,-3.050,
MKV0652,5506.79,Fe I,0.990,-2.790,113
MKV0652,5516.77,Mn I,2.180,-1.847,
MKV0652,5528.41,Mg I,4.350,-0.357,93
MKV0652,5534.85,Fe II,3.240,-2.920,31
MKV0652,6120.26,Fe I,0.910,-5.940,
MKV0652,6122.23,Ca I,1.890,-0.320,67
MKV0652,6126.22,Ti I,1.070,-1.425,35
MKV0652,6136.62,Fe I,2.450,-1.500,90
MKV0652,6137.70,Fe I,2.590,-1.366,100
MKV0652,6141.73,Ba II,0.700,-0.077,
MKV0652,6149.25,Fe II,3.890,-2.720,
MKV0652,6151.62,Fe I,2.180,-3.370,30
MKV0652,6157.75,Fe I,4.070,-1.260,
MKV0652,6160.75,Na I,2.100,-1.260,
MKV0652,6161.30,Ca I,2.520,-1.270,
MKV0652,6165.36,Fe I,4.140,-1.470,
MKV0652,6166.44,Ca I,2.520,-1.140,
MKV0652,6169.04,Ca I,2.520,-0.800,
MKV0652,6169.56,Ca I,2.520,-0.480,
MKV0652,6173.34,Fe I,2.220,-2.850,42
MKV0652,6176.82,Ni I,4.090,-0.430,
MKV0652,6177.25,Ni I,1.830,-3.500,
MKV0652,6187.99,Fe I,3.940,-1.580,
MKV0652,6191.57,Fe I,2.430,-1.416,93
MKV0652,6213.43,Fe I,2.220,-2.660,61
MKV0652,6219.29,Fe I,2.200,-2.438,73
MKV0652,6229.23,Fe I,2.840,-2.900,
MKV0652,6230.74,Fe I,2.560,-1.276,
MKV0652,6238.38,Fe II,3.890,-2.480,
MKV0652,6240.66,Fe I,2.220,-3.230,
MKV0652,6243.82,Si I,5.610,-1.270,
MKV0652,6244.48,Si I,5.610,-1.270,
MKV0652,6247.56,Fe II,3.890,-2.360,
MKV0652,6252.57,Fe I,2.400,-1.757,85
MKV0652,6258.10,Ti I,1.443,-0.355,
MKV0652,6290.97,Fe I,4.730,-0.760,
MKV0652,6297.80,Fe I,2.220,-2.740,
MKV0652,6301.50,Fe I,3.650,-0.720,
MKV0652,6302.49,Fe I,3.690,-1.150,
MKV0652,6309.90,Sc II,1.500,-1.520,
MKV0652,6311.51,Fe I,2.830,-3.220,109
MKV0652,6320.43,La II,0.170,-1.562,
MKV0652,6330.09,Cr I,0.940,-2.920,
MKV0652,6355.04,Fe I,2.840,-2.290,
MKV0652,6369.46,Fe II,2.890,-4.250,
MKV0652,6380.75,Fe I,4.190,-1.500,
MKV0652,6390.46,La II,0.320,-1.400,
MKV0652,6392.54,Fe I,2.280,-3.950,
MKV0652,6393.61,Fe I,2.430,-1.630,141
MKV0652,6416.93,Fe II,3.890,-2.790,
MKV0652,6419.96,Fe I,4.730,-0.240,
MKV0652,6421.36,Fe I,2.280,-2.014,60
MKV0652,6430.86,Fe I,2.180,-1.946,60
MKV0652,6432.68,Fe II,2.890,-3.710,
MKV0652,6439.08,Ca I,2.520,0.390,
MKV0652,6455.60,Ca I,2.520,-1.290,
MKV0652,6456.39,Fe II,3.900,-2.080,
MKV0652,6496.91,Ba II,0.600,-0.380,
MKV0652,6498.94,Fe I,0.960,-4.690,
MKV0652,6499.65,Ca I,2.520,-0.820,
MKV0652,6516.08,Fe II,2.890,-3.450,
MKV0652,6518.37,Fe I,2.830,-2.460,
MKV0652,6554.24,Ti I,1.440,-1.218,
MKV0652,6556.08,Ti I,1.460,-1.074,
MKV0652,6574.23,Fe I,0.990,-5.020,40
MKV0652,6581.22,Fe I,1.480,-4.680,
MKV0652,6593.88,Fe I,2.430,-2.390,31
MKV0652,6608.03,Fe I,2.280,-3.940,
MKV0652,6609.12,Fe I,2.560,-2.660,
MKV0652,6645.13,Eu II,1.370,0.200,
MKV0677,5339.93,Fe I,3.270,-0.680,
MKV0677,5364.86,Fe I,4.450,0.220,105
MKV0677,5367.48,Fe I,4.420,0.550,113
MKV0677,5369.96,Fe I,4.370,0.540,110
MKV0677,5371.50,Fe I,0.960,-1.644,
MKV0677,5381.01,Ti II,1.570,-1.780,127
MKV0677,5383.37,Fe I,4.310,0.500,
MKV0677,5389.48,Fe I,4.420,-0.400,
MKV0677,5393.17,Fe I,3.240,-0.920,142
MKV0677,5397.14,Fe I,0.910,-1.992,
MKV0677,5400.51,Fe I,4.370,-0.150,81
MKV0677,5402.78,Y II,1.840,-0.510,
MKV0677,5405.79,Fe I,0.990,-1.852,
MKV0677,5407.42,Mn I,2.140,-1.743,30
MKV0677,5409.80,Cr I,1.030,-0.720,179
MKV0677,5415.19,Fe I,4.390,0.510,134
MKV0677,5418.77,Ti II,1.580,-2.110,96
MKV0677,5420.36,Mn I,2.140,-1.460,34
MKV0677,5424.07,Fe I,4.320,0.520,137
MKV0677,5425.25,Fe II,3.200,-3.360,30
MKV0677,5432.55,Mn I,0.000,-3.795,90
MKV0677,5476.92,Ni I,1.830,-0.890,
MKV0677,5483.34,Co I,1.710,-1.488,58
MKV0677,5485.71,Nd II,1.260,-0.120,
MKV0677,5490.16,Ti I,1.460,-0.933,25
MKV0677,5501.48,Fe I,0.960,-3.050,189
MKV0677,5506.79,Fe I,0.990,-2.790,
MKV0677,5516.77,Mn I,2.180,-1.847,
MKV0677,5528.41,Mg I,4.350,-0.357,162
MKV0677,5534.85,Fe II,3.240,-2.920,70
MKV0677,6120.26,Fe I,0.910,-5.940,
MKV0677,6122.23,Ca I,1.890,-0.320,168
MKV0677,6126.22,Ti I,1.070,-1.425,
MKV0677,6136.62,Fe I,2.450,-1.500,
MKV0677,6137.70,Fe I,2.590,-1.366,143
MKV0677,6141.73,Ba II,0.700,-0.077,165
MKV0677,6149.25,Fe II,3.890,-2.720,36
MKV0677,6151.62,Fe I,2.180,-3.370,67
MKV0677,6157.75,Fe I,4.070,-1.260,
MKV0677,6160.75,Na I,2.100,-1.260,
MKV0677,6161.30,Ca I,2.520,-1.270,35
MKV0677,6165.36,Fe I,4.140,-1.470,21
MKV0677,6166.44,Ca I,2.520,-1.140,33
MKV0677,6169.04,Ca I,2.520,-0.800,83
MKV0677,6169.56,Ca I,2.520,-0.480,99
MKV0677,6173.34,Fe I,2.220,-2.850,108
MKV0677,6176.82,Ni I,4.090,-0.430,
MKV0677,6177.25,Ni I,1.830,-3.500,
MKV0677,6187.99,Fe I,3.940,-1.580,39
MKV0677,6191.57,Fe I,2.430,-1.416,
MKV0677,6213.43,Fe I,2.220,-2.660,124
MKV0677,6219.29,Fe I,2.200,-2.438,119
MKV0677,6229.23,Fe I,2.840,-2.900,39
MKV0677,6230.74,Fe I,2.560,-1.276,169
MKV0677,6238.38,Fe II,3.890,-2.480,32
MKV0677,6240.66,Fe I,2.220,-3.230,56
MKV0677,6243.82,Si I,5.610,-1.270,
MKV0677,6244.48,Si I,5.610,-1.270,
MKV0677,6247.56,Fe II,3.890,-2.360,36
MKV0677,6252.57,Fe I,2.400,-1.757,134
MKV0677,6258.10,Ti I,1.443,-0.355,62
MKV0677,6290.97,Fe I,4.730,-0.760,
MKV0677,6297.80,Fe I,2.220,-2.740,
MKV0677,6301.50,Fe I,3.650,-0.720,108
MKV0677,6302.49,Fe I,3.690,-1.150,
MKV0677,6309.90,Sc II,1.500,-1.520,
MKV0677,6311.51,Fe I,2.830,-3.220,
MKV0677,6320.43,La II,0.170,-1.562,
MKV0677,6330.09,Cr I,0.940,-2.920,
MKV0677,6355.04,Fe I,2.840,-2.290,96
MKV0677,6369.46,Fe II,2.890,-4.250,
MKV0677,6380.75,Fe I,4.190,-1.500,
MKV0677,6390.46,La II,0.320,-1.400,
MKV0677,6392.54,Fe I,2.280,-3.950,35
MKV0677,6393.61,Fe I,2.430,-1.630,
MKV0677,6416.93,Fe II,3.890,-2.790,
MKV0677,6419.96,Fe I,4.730,-0.240,34
MKV0677,6421.36,Fe I,2.280,-2.014,141
MKV0677,6430.86,Fe I,2.180,-1.946,154
MKV0677,6432.68,Fe II,2.890,-3.710,55
MKV0677,6439.08,Ca I,2.520,0.390,159
MKV0677,6455.60,Ca I,2.520,-1.290,43
MKV0677,6456.39,Fe II,3.900,-2.080,66
MKV0677,6496.91,Ba II,0.600,-0.380,162
MKV0677,6498.94,Fe I,0.960,-4.690,
MKV0677,6499.65,Ca I,2.520,-0.820,79
MKV0677,6516.08,Fe II,2.890,-3.450,48
MKV0677,6518.37,Fe I,2.830,-2.460,63
MKV0677,6554.24,Ti I,1.440,-1.218,27
MKV0677,6556.08,Ti I,1.460,-1.074,
MKV0677,6574.23,Fe I,0.990,-5.020,75
MKV0677,6581.22,Fe I,1.480,-4.680,56
MKV0677,6593.88,Fe I,2.430,-2.390,98
MKV0677,6608.03,Fe I,2.280,-3.940,25
MKV0677,6609.12,Fe I,2.560,-2.660,86
MKV0677,6645.13,Eu II,1.370,0.200,
MKV0698,5339.93,Fe I,3.270,-0.680,177
MKV0698,5364.86,Fe I,4.450,0.220,122
MKV0698,5367.48,Fe I,4.420,0.550,
MKV0698,5369.96,Fe I,4.370,0.540,125
MKV0698,5371.50,Fe I,0.960,-1.644,
