Element,lambda,Kiex,loggf,W1,---,W2,---_1,W3,---_2,W4,---_3,W5,---_4,W6,---_5,W7,---_6,W8,---_7,W9,---_8,W10,---_9,l_W11,W11,---_10,W12,---_11,W13,---_12,W14,---_13,W15,---_14,W16,---_15,W17,---_16,W18,---_17,W19,---_18,W20,---_19,W21,---_20,W22,---_21,W23,---_22,W24,---_23,W25,---_24,W26,---_25,W27,---_26,W28,---_27,W29,---_28,W30,---_29,W31,---_30,W32,---_31,W33,---_32,W34,---_33,W35,---_34
Ti  2,4464.45,1.16,-1.81,76.4,,67.2,,79.0,,69.0,,40.3,,5.7,,4.3,,,,64.0,,37.0,,,12.0,,47.4,,14.2,,62.2,,68.1,,37.5,,7.2,,41.4,,33.3,,27.0,,18.4,,26.6,,8.9,,15.8,,25.8,,27.2,,25.5,,14.6,,54.1,,56.0,,14.8,,48.2,,36.1,,20.7,,48.6,
Ti  2,4468.507,1.13,-0.6,126.9,,126.0,,132.3,,130.3,,96.8,,45.3,,27.9,,77.2,,115.9,,100.9,,,61.0,,110.2,,68.1,,126.7,,127.7,,93.3,,44.9,,97.3,,99.7,,77.0,,78.8,,86.6,,54.5,,78.4,,80.3,,82.2,,78.8,,61.6,,112.1,,110.4,,66.5,,104.4,,89.9,,73.0,,106.8,
Ti  2,4470.857,1.16,-2.06,53.9,,49.4,,59.6,,53.3,,23.7,,,,4.3,,13.1,,41.4,,23.0,,,6.2,,31.9,,9.7,,47.5,,49.0,,22.0,,,,24.7,,18.6,,13.2,,11.6,,16.2,,,,11.4,,13.4,,17.9,,13.2,,7.8,,37.9,,36.8,,7.2,,32.8,,22.7,,10.6,,31.7,
Ti  2,4501.273,1.12,-0.76,128.0,,118.2,,125.9,,124.5,,91.6,,38.9,,28.3,,72.6,,112.4,,91.3,,,56.9,,106.1,,57.5,,115.5,,118.3,,94.7,,40.0,,98.9,,87.0,,70.9,,72.9,,82.7,,48.0,,71.5,,78.0,,78.8,,80.7,,53.2,,107.5,,104.9,,64.5,,92.4,,88.9,,70.8,,97.6,
Ti  2,4533.969,1.24,-0.54,128.3,,123.3,,124.6,,117.8,,94.9,,40.0,,25.3,,75.2,,112.4,,91.4,,,55.8,,107.0,,58.8,,118.9,,115.9,,92.3,,40.6,,102.4,,94.0,,82.7,,72.3,,81.3,,48.9,,74.0,,81.4,,78.0,,81.5,,58.9,,105.5,,104.8,,64.9,,97.3,,87.0,,71.8,,99.5,
Ti  2,4563.761,1.22,-0.79,115.1,,110.4,,118.8,,113.3,,83.7,,33.5,,21.5,,63.4,,97.5,,78.1,,,47.3,,93.5,,49.8,,110.5,,112.0,,85.4,,29.5,,87.9,,81.2,,,,56.8,,72.9,,40.2,,59.8,,71.0,,68.8,,71.0,,46.5,,101.3,,95.8,,56.0,,88.6,,79.5,,60.0,,90.6,
Ti  2,4571.968,1.57,-0.23,121.6,,110.7,,124.4,,116.6,,83.8,,33.7,,,,65.7,,105.1,,82.5,,,,,93.7,,50.1,,,,114.4,,,,32.8,,89.2,,,,,,,,,,45.6,,63.1,,,,67.7,,74.1,,43.6,,,,,,55.8,,,,81.0,,61.9,,88.7,
Ti  2,4865.612,1.12,-2.81,26.0,,25.0,,35.3,,26.8,,8.6,,,,,,8.2,,22.7,,8.3,,,2.0,,13.0,,3.4,,23.2,,23.0,,10.1,,,,11.6,,9.4,,5.8,,5.6,,6.8,,,,3.7,,5.2,,5.2,,5.0,,3.7,,16.8,,18.2,,3.0,,13.1,,9.5,,4.8,,14.5,
Ti  2,5129.152,1.89,-1.3,50.0,,40.8,,56.7,,50.5,,21.8,,1.5,,,,11.6,,37.7,,16.6,,,4.4,,26.8,,4.5,,39.1,,40.5,,21.1,,1.7,,20.2,,16.2,,13.4,,8.4,,12.9,,,,9.7,,12.4,,10.2,,14.2,,3.2,,29.5,,32.4,,8.5,,29.1,,20.9,,9.3,,26.5,
Ti  2,5185.913,1.89,-1.37,44.1,,37.3,,48.4,,47.6,,16.7,,,,1.5,,8.0,,33.3,,14.4,,,2.7,,22.3,,3.1,,32.3,,34.5,,16.8,,,,16.5,,13.1,,10.1,,6.2,,9.3,,1.9,,5.8,,10.5,,8.9,,11.6,,1.6,,23.6,,27.3,,5.3,,25.6,,17.6,,6.6,,22.6,
Ti  2,5188.68,1.58,-1.05,99.9,,87.4,,92.9,,104.8,,52.2,,7.2,,4.4,,34.8,,71.7,,48.0,,,15.9,,62.0,,19.3,,85.6,,76.9,,51.9,,8.9,,51.1,,48.6,,,,31.6,,34.1,,10.1,,26.6,,42.3,,36.1,,39.8,,15.8,,71.8,,74.7,,25.3,,70.5,,52.8,,30.8,,59.4,
Ti  2,5226.543,1.57,-1.23,76.4,,70.2,,80.9,,63.4,,43.7,,7.0,,3.2,,25.1,,63.2,,39.6,,,11.6,,51.4,,13.3,,66.0,,66.7,,38.2,,5.9,,41.6,,37.4,,35.2,,22.0,,25.4,,6.1,,19.0,,30.2,,30.2,,31.5,,10.6,,55.7,,60.2,,17.4,,51.9,,42.5,,21.9,,50.4,
Ti  2,5336.771,1.58,-1.63,46.9,,52.6,,64.0,,58.6,,26.5,,,,2.9,,14.2,,44.9,,23.6,,,,,31.7,,6.3,,50.4,,49.6,,22.2,,3.0,,26.3,,23.2,,19.5,,11.2,,14.7,,,,10.0,,18.2,,16.8,,16.7,,5.9,,39.3,,39.2,,9.0,,34.1,,25.2,,12.9,,33.8,
Ti  2,5381.015,1.57,-1.97,39.7,,,,,,39.3,,,,,,,,,,,,12.8,,,,,,,2.7,,,,,,,,,,,,,,10.6,,,,,,,,4.6,,,,,,,,2.6,,,,,,,,,,,,,,20.8,
Cr  1,4254.332,0.0,-0.11,120.3,,112.1,,120.0,,115.2,,90.4,,32.6,,25.2,,70.3,,106.4,,100.1,,,52.9,,91.1,,62.7,,114.3,,112.8,,84.0,,36.2,,92.3,,87.9,,80.1,,69.5,,77.9,,38.2,,72.3,,81.1,,74.7,,87.3,,59.3,,97.0,,100.2,,65.0,,94.3,,83.4,,64.1,,95.8,
Cr  1,4274.796,0.0,-0.23,117.6,,110.8,,118.0,,105.5,,91.8,,29.1,,21.6,,68.7,,106.9,,95.1,,,45.9,,86.7,,60.4,,113.2,,116.8,,76.7,,33.2,,85.7,,93.4,,82.4,,68.2,,75.3,,35.7,,69.9,,78.2,,68.8,,84.4,,56.1,,92.9,,100.5,,61.8,,92.6,,80.8,,60.0,,91.1,
Cr  1,4289.716,0.0,-0.36,104.8,,95.5,,113.7,,86.7,,86.0,,23.4,,18.4,,61.7,,102.2,,88.2,,,38.6,,82.4,,54.5,,101.1,,102.7,,71.5,,27.3,,71.5,,96.7,,68.1,,60.8,,65.8,,31.8,,56.8,,72.5,,65.9,,80.7,,51.4,,88.7,,90.2,,57.0,,90.1,,72.6,,57.7,,86.1,
Cr  1,5206.038,0.94,0.02,90.6,,86.3,,94.8,,78.3,,59.8,,11.6,,6.6,,34.4,,72.0,,65.1,,,19.2,,57.6,,27.5,,80.6,,79.6,,44.9,,13.3,,51.9,,54.5,,54.5,,35.8,,42.9,,10.9,,37.1,,49.9,,38.4,,53.0,,27.2,,67.5,,69.4,,34.4,,63.5,,55.8,,33.4,,64.5,
Cr  1,5208.419,0.94,0.16,104.0,,95.4,,106.5,,,,66.3,,15.3,,12.7,,43.0,,88.8,,76.6,,,26.0,,69.9,,34.4,,89.3,,89.9,,56.7,,17.7,,61.6,,63.7,,62.5,,43.1,,50.0,,17.5,,45.1,,57.0,,45.5,,59.8,,34.6,,72.5,,77.8,,38.5,,73.2,,66.1,,38.5,,66.4,
Cr  1,5345.801,1.0,-0.98,35.0,,30.9,,43.1,,32.4,,14.7,,1.0,,2.3,,5.7,,25.1,,17.2,,,,,12.0,,4.7,,23.2,,28.0,,9.1,,1.6,,11.1,,11.4,,8.2,,4.8,,6.5,,,,5.3,,10.5,,7.3,,12.2,,4.4,,16.3,,19.8,,5.1,,19.5,,14.8,,4.7,,19.4,
Cr  1,5409.772,1.03,-0.72,49.7,,43.8,,55.9,,44.7,,24.2,,1.4,,2.8,,10.4,,35.0,,29.2,,,4.4,,20.6,,5.8,,34.0,,38.7,,11.1,,2.1,,16.8,,18.7,,15.4,,9.8,,11.5,,,,7.7,,17.1,,9.9,,20.5,,5.4,,26.7,,29.3,,8.5,,27.0,,21.9,,7.6,,25.6,
Mn  1,4030.753,0.0,-0.48,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s
Mn  1,4033.062,0.0,-0.62,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s
Mn  1,4034.483,0.0,-0.81,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s
Mn  1,4041.355,2.11,0.29,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s
Mn  1,4754.042,2.28,-0.09,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s
Mn  1,4823.524,2.32,0.14,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s,,s
Fe  1,3743.362,0.99,-0.79,173.7,,168.8,,,,193.1,,132.8,,78.8,,70.4,,108.5,,157.6,,148.7,,,96.5,,138.7,,109.4,,165.7,,152.5,,128.7,,84.6,,127.5,,142.3,,136.3,,,,116.9,,,,120.9,,135.4,,110.5,,129.8,,107.5,,142.3,,144.3,,105.9,,142.0,,,,94.8,,,
Fe  1,3753.611,2.18,-0.89,84.0,,79.0,,99.1,,89.8,,58.3,,8.6,,13.5,,41.5,,80.8,,61.2,,,22.0,,61.8,,30.2,,79.3,,77.0,,43.6,,17.3,,46.4,,93.1,,44.7,,,,41.2,,,,39.5,,54.0,,45.9,,55.8,,28.9,,66.9,,66.6,,34.3,,60.6,,53.7,,37.1,,,
Fe  1,3758.233,0.96,-0.03,,,201.2,,,,184.5,,149.7,,109.0,,94.6,,129.8,,168.6,,170.2,,,117.6,,150.6,,128.1,,195.1,,,,144.5,,106.5,,152.3,,161.1,,147.7,,,,133.1,,,,147.8,,148.1,,128.2,,153.2,,127.4,,159.1,,172.3,,124.4,,165.1,,157.0,,125.7,,,
Fe  1,3763.789,0.99,-0.24,,,179.4,,189.5,,151.9,,141.0,,97.9,,82.9,,124.2,,155.0,,156.2,,,109.1,,143.6,,119.1,,180.2,,179.3,,128.5,,95.2,,140.7,,136.4,,,,,,124.6,,,,127.4,,130.1,,121.4,,132.0,,114.2,,157.9,,155.9,,114.5,,146.8,,132.0,,118.8,,,
Fe  1,3765.539,3.24,0.48,,,76.7,,87.5,,86.5,,64.7,,15.6,,15.6,,46.3,,71.6,,63.0,,,25.8,,58.3,,38.4,,78.4,,68.3,,53.9,,18.4,,54.0,,54.2,,48.4,,,,52.2,,,,40.8,,55.1,,46.4,,62.3,,36.7,,,,67.5,,43.3,,67.5,,64.4,,44.4,,,
Fe  1,3767.192,1.01,-0.39,163.3,,168.1,,174.8,,149.8,,127.2,,90.7,,79.5,,108.7,,144.5,,146.5,,,101.7,,135.8,,110.7,,158.3,,156.9,,122.1,,86.1,,133.6,,136.7,,97.3,,,,113.1,,,,120.1,,122.9,,117.6,,121.2,,111.9,,142.8,,147.1,,105.8,,130.5,,118.4,,102.8,,,
Fe  1,3786.677,1.01,-2.23,,,93.5,,100.7,,70.5,,67.6,,,,11.0,,52.6,,90.6,,88.2,,,32.0,,68.6,,40.0,,95.0,,92.8,,56.8,,22.5,,72.4,,79.8,,57.2,,,,48.3,,,,50.6,,62.8,,53.1,,61.5,,41.2,,79.6,,80.5,,41.8,,68.8,,,,43.7,,,
Fe  1,3787.88,1.01,-0.86,144.3,,147.0,,148.2,,121.9,,115.2,,76.7,,65.8,,97.9,,122.9,,131.6,,,92.2,,113.2,,93.7,,144.7,,142.4,,119.0,,78.0,,121.2,,109.2,,96.9,,,,105.2,,,,103.6,,108.6,,103.1,,107.1,,94.0,,124.2,,121.5,,91.9,,112.0,,105.5,,95.7,,,
Fe  1,3805.343,3.3,0.31,73.8,,62.3,,79.8,,74.6,,51.0,,12.1,,11.0,,33.2,,68.5,,51.2,,,20.4,,54.5,,30.3,,59.4,,57.8,,38.7,,13.3,,41.9,,71.5,,49.0,,,,38.0,,,,33.7,,53.5,,36.8,,55.8,,27.7,,53.4,,57.8,,34.6,,55.9,,52.4,,29.1,,,
Fe  1,3815.84,1.48,0.24,172.2,,169.0,,180.6,,164.3,,138.2,,91.0,,82.5,,114.9,,153.7,,150.8,,,103.0,,141.6,,112.1,,175.1,,164.7,,137.6,,91.8,,137.4,,139.0,,,,113.7,,123.3,,,,126.4,,135.6,,116.2,,143.8,,108.0,,149.4,,155.8,,113.8,,151.4,,133.7,,112.5,,,
Fe  1,3820.425,0.86,0.12,259.5,,264.5,,,,226.6,,195.7,,126.7,,110.5,,142.6,,187.4,,206.3,,,131.5,,182.3,,148.0,,240.5,,250.6,,161.6,,122.6,,179.7,,184.1,,180.9,,152.6,,150.1,,,,162.1,,172.5,,146.6,,175.3,,145.7,,204.0,,221.5,,148.4,,217.3,,185.9,,146.1,,,
Fe  1,3824.444,0.0,-1.36,,,,,,,241.2,,154.4,,123.2,,94.9,,134.6,,172.2,,173.3,,,128.1,,166.3,,133.7,,206.9,,198.4,,149.5,,112.5,,162.0,,154.0,,,,139.5,,142.2,,,,152.7,,150.6,,140.6,,143.7,,130.9,,177.3,,179.7,,121.2,,157.0,,149.4,,125.9,,,
Fe  1,3825.881,0.91,-0.04,213.3,,218.3,,,,197.3,,168.4,,113.9,,96.7,,134.2,,174.9,,185.7,,,121.1,,170.1,,134.8,,201.6,,212.5,,150.6,,109.9,,160.8,,154.5,,154.4,,138.0,,141.1,,,,147.7,,154.8,,142.1,,158.6,,133.8,,173.2,,186.6,,131.0,,172.2,,162.8,,136.3,,,
Fe  1,3827.823,1.56,0.06,164.4,,161.5,,166.6,,148.9,,130.0,,86.2,,73.1,,105.3,,145.6,,140.2,,,94.3,,131.2,,104.2,,160.2,,157.1,,120.5,,83.8,,126.6,,122.9,,120.4,,109.0,,113.2,,,,111.5,,121.9,,113.2,,121.0,,101.3,,138.1,,135.5,,101.5,,139.0,,116.1,,107.8,,,
Fe  1,3840.438,0.99,-0.51,148.3,,174.5,,178.3,,143.1,,128.0,,,,78.1,,112.0,,151.6,,152.3,,,101.1,,130.1,,106.1,,163.2,,162.8,,127.3,,91.5,,129.5,,124.8,,116.2,,109.7,,118.0,,,,120.3,,122.5,,113.9,,117.8,,111.7,,141.9,,143.7,,102.5,,131.6,,121.6,,101.9,,,
Fe  1,3849.967,1.01,-0.97,145.0,,140.0,,152.7,,127.7,,112.4,,77.0,,62.5,,100.4,,131.6,,134.4,,,89.3,,120.3,,94.1,,146.1,,139.6,,114.1,,79.9,,119.1,,113.2,,95.9,,101.8,,105.4,,,,107.9,,105.2,,104.7,,107.6,,97.4,,128.2,,127.4,,91.1,,112.9,,108.2,,97.2,,,
Fe  1,3850.818,0.99,-1.73,126.4,,122.0,,133.2,,205.5,,93.7,,41.5,,29.8,,77.6,,126.3,,107.0,,,62.9,,100.3,,71.3,,130.6,,123.9,,88.4,,47.2,,97.8,,114.4,,80.2,,74.7,,75.5,,,,79.6,,87.8,,79.3,,82.4,,68.8,,107.5,,104.5,,64.2,,93.2,,83.1,,69.3,,,
Fe  1,3856.372,0.05,-1.29,173.9,,179.1,,183.4,,152.0,,144.6,,118.8,,95.4,,125.0,,167.8,,161.4,,,122.8,,151.9,,130.6,,182.1,,184.1,,135.7,,106.2,,154.6,,140.5,,124.4,,127.4,,131.7,,,,138.4,,134.2,,129.3,,125.1,,126.2,,158.8,,158.6,,116.9,,142.5,,131.1,,123.7,,,
Fe  1,3859.911,0.0,-0.71,227.2,,234.9,,241.5,,195.3,,189.3,,142.7,,115.7,,152.8,,185.2,,208.2,,,147.8,,188.1,,156.0,,221.9,,217.9,,164.9,,131.2,,177.4,,173.4,,171.9,,151.7,,160.1,,,,166.2,,173.8,,158.1,,172.5,,152.3,,196.3,,206.6,,149.5,,195.8,,177.2,,155.3,,,
Fe  1,3865.523,1.01,-0.98,,,144.6,,149.9,,131.0,,114.2,,74.1,,62.5,,97.8,,136.2,,130.7,,,89.8,,120.4,,94.1,,145.9,,144.4,,112.1,,76.2,,118.9,,111.2,,101.3,,98.4,,103.3,,,,107.3,,104.0,,101.4,,105.8,,93.1,,123.7,,124.8,,90.6,,114.5,,106.4,,91.4,,,
Fe  1,3878.018,0.96,-0.91,,,146.5,,149.2,,121.4,,123.7,,86.1,,66.4,,98.5,,135.6,,135.7,,,100.9,,120.5,,103.5,,144.7,,158.8,,117.0,,83.2,,124.6,,119.8,,97.3,,112.1,,108.2,,,,110.9,,111.1,,105.9,,107.4,,96.6,,136.0,,124.0,,93.7,,122.7,,107.3,,90.6,,,
Fe  1,3878.573,0.09,-1.38,,,,,,,201.8,,,,115.6,,91.7,,141.7,,189.5,,191.6,,,130.0,,174.2,,145.3,,,,,,164.1,,111.3,,159.0,,,,156.0,,155.9,,155.2,,,,154.1,,161.6,,145.9,,156.3,,140.9,,,,,,125.0,,,,,,139.6,,,
Fe  1,3886.282,0.05,-1.08,191.4,,199.4,,211.5,,175.6,,151.9,,,,104.0,,133.0,,171.9,,181.0,,,130.0,,158.8,,137.2,,193.4,,204.5,,144.2,,111.4,,161.9,,178.7,,141.4,,142.9,,142.4,,,,145.9,,152.3,,141.3,,136.2,,138.5,,168.7,,177.0,,127.7,,158.2,,143.1,,121.2,,,
Fe  1,3887.048,0.91,-1.14,135.9,,146.8,,150.9,,126.3,,107.0,,,,63.5,,100.5,,133.4,,130.8,,,91.1,,120.7,,90.2,,141.6,,145.7,,111.5,,75.3,,119.1,,109.5,,100.2,,99.1,,98.7,,,,108.8,,102.0,,103.4,,100.7,,96.8,,123.4,,119.7,,88.8,,119.8,,98.2,,84.9,,,
Fe  1,3895.656,0.11,-1.67,,,154.7,,158.7,,132.4,,129.7,,100.8,,79.8,,116.9,,150.2,,147.8,,,109.0,,131.5,,111.5,,155.1,,159.4,,123.9,,101.0,,133.7,,,,,,121.2,,119.5,,,,127.6,,123.1,,120.4,,110.2,,110.9,,136.8,,136.1,,103.0,,122.2,,111.8,,108.6,,,
Fe  1,3899.707,0.09,-1.53,162.3,,167.5,,173.0,,145.0,,133.5,,113.6,,87.0,,116.6,,154.9,,159.3,,,113.3,,137.4,,118.6,,163.9,,172.3,,134.4,,101.1,,144.7,,131.4,,113.5,,120.9,,125.8,,102.2,,135.6,,123.4,,121.4,,117.8,,119.9,,145.6,,142.6,,106.1,,131.1,,120.0,,116.6,,131.0,
Fe  1,3920.258,0.12,-1.75,,,160.4,,153.7,,133.6,,125.7,,99.3,,77.9,,108.9,,145.3,,149.0,,,107.2,,131.9,,108.8,,161.6,,165.6,,124.0,,92.0,,137.1,,126.2,,102.0,,110.5,,111.9,,95.5,,124.0,,115.9,,112.6,,113.3,,111.1,,140.8,,136.9,,99.8,,118.0,,108.6,,106.5,,123.0,
Fe  1,3922.912,0.05,-1.65,,,172.2,,170.1,,140.0,,133.5,,111.6,,85.5,,121.7,,145.9,,157.4,,,113.9,,136.6,,121.2,,173.4,,174.0,,133.6,,97.2,,141.2,,134.2,,117.5,,122.6,,120.9,,102.5,,134.4,,123.2,,118.6,,116.4,,118.9,,148.4,,144.5,,105.1,,133.2,,118.4,,111.1,,132.0,
Fe  1,4005.242,1.56,-0.61,132.5,,130.3,,126.9,,110.7,,103.2,,62.1,,48.8,,85.9,,120.5,,120.8,,,76.6,,106.1,,84.8,,129.0,,128.8,,96.4,,65.9,,101.5,,98.2,,83.1,,84.0,,93.7,,61.5,,92.7,,96.2,,90.5,,95.6,,83.9,,116.9,,114.0,,80.7,,109.0,,97.9,,83.3,,97.0,
Fe  1,4045.812,1.48,0.28,,,190.8,,,,178.2,,146.1,,101.7,,86.1,,124.3,,157.0,,148.2,,,113.0,,141.7,,120.8,,176.3,,172.0,,131.2,,100.9,,142.4,,139.8,,,,127.9,,128.5,,99.6,,128.6,,138.1,,126.1,,146.4,,112.9,,162.2,,164.7,,117.0,,142.7,,142.7,,112.5,,,
Fe  1,4063.594,1.56,0.07,,,164.9,,171.9,,148.1,,135.3,,89.9,,75.7,,112.2,,149.0,,144.8,,,98.5,,139.9,,106.8,,169.1,,156.3,,123.7,,88.0,,129.8,,137.6,,124.2,,113.0,,119.7,,89.8,,121.7,,126.5,,113.9,,123.2,,105.4,,142.9,,146.7,,107.1,,129.8,,124.7,,105.0,,145.0,
Fe  1,4071.738,1.61,-0.02,,,155.7,,163.1,,135.7,,126.7,,83.3,,73.2,,104.3,,129.5,,140.5,,,92.5,,130.9,,99.4,,148.7,,154.5,,115.0,,82.6,,129.0,,121.1,,,,106.4,,114.7,,84.1,,111.5,,118.3,,105.1,,118.1,,101.6,,138.3,,136.9,,99.7,,126.3,,118.7,,101.5,,125.0,
Fe  1,4076.629,3.21,-0.37,,,46.0,,57.5,,41.8,,31.2,,,,1.7,,15.5,,40.7,,32.2,,,7.3,,29.1,,12.8,,39.8,,40.6,,19.4,,4.3,,20.4,,32.8,,26.8,,12.4,,16.7,,6.3,,13.0,,27.6,,15.3,,33.2,,9.8,,31.2,,38.7,,15.3,,37.5,,30.2,,12.9,,,
Fe  1,4114.445,2.83,-1.22,32.0,,29.4,,37.4,,31.6,,17.1,,,,3.1,,8.5,,27.6,,17.3,,,3.1,,14.1,,4.2,,23.1,,22.7,,7.3,,0.9,,11.4,,11.0,,13.3,,8.0,,6.5,,,,3.6,,13.2,,5.8,,15.1,,2.4,,17.5,,20.7,,5.5,,22.9,,16.0,,3.1,,,
Fe  1,4132.058,1.61,-0.67,138.0,,130.9,,147.1,,120.2,,105.6,,56.6,,47.7,,86.6,,125.4,,120.1,,,71.7,,108.8,,82.6,,136.0,,137.8,,96.8,,60.1,,105.4,,104.6,,94.8,,83.3,,92.3,,58.2,,93.4,,98.7,,88.8,,96.8,,81.5,,116.3,,117.5,,80.8,,106.5,,97.4,,83.8,,103.0,
Fe  1,4132.899,2.84,-0.92,48.0,,44.0,,54.0,,48.7,,28.0,,3.4,,4.5,,12.5,,35.9,,28.6,,,4.8,,23.8,,9.6,,36.9,,41.1,,24.5,,3.0,,17.0,,21.1,,19.6,,8.6,,13.0,,,,9.8,,23.8,,12.7,,30.2,,7.7,,31.2,,33.7,,12.7,,36.7,,26.3,,10.8,,28.0,
Fe  1,4134.678,2.83,-0.49,65.4,,59.6,,67.3,,58.2,,40.4,,5.0,,7.2,,21.7,,54.4,,41.9,,,8.5,,41.4,,18.6,,57.8,,55.0,,28.8,,7.0,,32.1,,40.9,,30.6,,19.0,,23.9,,,,21.4,,38.2,,25.2,,41.2,,14.0,,43.4,,51.9,,22.4,,45.4,,40.7,,22.1,,43.0,
Fe  1,4143.868,1.56,-0.46,136.5,,135.4,,134.6,,127.4,,109.4,,65.9,,56.0,,91.3,,117.2,,123.7,,,78.5,,114.5,,87.0,,134.6,,140.9,,102.8,,68.3,,112.2,,106.7,,91.7,,91.1,,98.5,,66.2,,97.8,,100.8,,93.6,,103.4,,85.8,,119.4,,118.5,,86.7,,112.6,,102.2,,86.2,,18.0,
Fe  1,4147.669,1.48,-2.1,76.7,,81.3,,85.6,,70.8,,52.7,,8.7,,6.5,,29.0,,74.5,,65.1,,,15.8,,51.6,,25.4,,74.5,,79.0,,37.7,,10.0,,49.4,,50.8,,38.0,,27.8,,30.3,,7.7,,30.7,,42.2,,33.7,,42.3,,24.3,,60.9,,61.4,,26.6,,54.7,,43.1,,26.9,,58.0,
Fe  1,4154.499,2.83,-0.48,57.4,,49.6,,59.6,,47.5,,36.0,,3.8,,3.3,,17.7,,46.3,,37.4,,,7.9,,34.1,,14.7,,47.4,,45.0,,23.4,,,,25.1,,42.7,,,,15.4,,21.0,,,,14.1,,30.7,,19.6,,35.8,,13.3,,35.6,,45.1,,18.0,,43.4,,34.8,,15.7,,37.0,
Fe  1,4156.799,2.83,-0.61,67.3,,53.7,,68.5,,63.1,,38.1,,4.7,,4.2,,19.7,,49.3,,40.9,,,6.0,,32.6,,12.6,,49.2,,50.7,,23.9,,4.7,,27.7,,32.8,,30.4,,17.1,,20.8,,5.0,,17.5,,29.3,,18.6,,37.5,,12.6,,38.0,,45.9,,19.2,,39.5,,36.1,,9.1,,37.0,
Fe  1,4157.78,3.42,-0.4,41.6,,37.6,,47.4,,43.7,,24.6,,,,3.0,,11.9,,31.6,,27.2,,,4.3,,18.2,,9.3,,30.6,,31.8,,12.8,,,,13.9,,34.8,,19.9,,10.6,,10.4,,,,9.7,,21.3,,12.7,,25.0,,7.4,,23.2,,32.8,,12.0,,27.1,,21.8,,,,26.0,
Fe  1,4174.913,0.91,-2.97,68.0,,79.2,,84.0,,57.7,,47.7,,6.8,,2.2,,27.5,,70.9,,65.5,,,12.0,,43.9,,22.3,,70.2,,81.5,,32.5,,7.7,,40.2,,44.6,,29.4,,23.9,,23.1,,7.4,,24.8,,35.8,,26.8,,35.5,,20.5,,58.3,,59.1,,19.3,,49.6,,36.1,,20.9,,49.0,
Fe  1,4175.636,2.84,-0.68,55.9,,52.2,,65.9,,62.7,,34.5,,2.7,,5.4,,18.5,,49.7,,37.4,,,7.1,,32.0,,12.0,,47.5,,49.1,,23.0,,,,23.1,,42.0,,28.9,,15.1,,20.0,,,,15.8,,32.0,,18.1,,36.8,,11.3,,35.8,,44.5,,17.3,,40.1,,31.9,,17.5,,46.0,
Fe  1,4181.755,2.83,-0.18,,,72.1,,82.4,,70.2,,57.2,,8.1,,10.2,,33.6,,67.2,,61.9,,,16.6,,51.9,,28.7,,69.4,,69.2,,41.7,,10.2,,42.1,,61.2,,52.1,,31.3,,36.3,,10.5,,33.0,,50.4,,36.5,,56.1,,25.0,,56.7,,64.5,,34.6,,60.6,,52.3,,30.8,,56.0,
Fe  1,4187.039,2.45,-0.55,92.2,,87.3,,94.1,,89.0,,68.9,,16.2,,14.7,,45.3,,81.8,,73.3,,,29.7,,66.1,,41.8,,87.1,,79.2,,56.7,,19.7,,63.2,,66.0,,52.7,,41.5,,49.8,,18.6,,48.7,,57.1,,51.5,,62.8,,37.7,,72.5,,75.8,,45.6,,71.4,,65.8,,44.4,,66.0,
Fe  1,4187.795,2.42,-0.55,99.7,,89.2,,99.5,,87.6,,75.7,,17.5,,15.6,,52.1,,85.5,,82.5,,,30.8,,69.5,,49.0,,92.1,,92.5,,61.1,,21.2,,65.8,,77.8,,62.2,,47.4,,53.9,,22.1,,48.5,,64.1,,55.0,,69.2,,41.8,,79.5,,80.6,,47.4,,74.4,,66.9,,47.0,,74.0,
Fe  1,4191.431,2.47,-0.73,87.2,,81.1,,90.1,,71.3,,60.2,,12.1,,9.8,,37.7,,76.5,,70.0,,,22.5,,55.9,,32.6,,82.5,,80.4,,53.6,,15.3,,54.1,,58.1,,53.5,,37.1,,43.1,,13.5,,38.8,,55.3,,41.0,,56.2,,31.0,,67.0,,68.8,,37.8,,67.1,,57.9,,35.5,,63.0,
