Element,lambda,Kiex,loggf,W1,---,W2,---_1,W3,---_2,W4,---_3,W5,---_4,W6,---_5,W7,---_6,W8,---_7,W9,---_8,W10,---_9,l_W11,W11,---_10,W12,---_11,W13,---_12,W14,---_13,W15,---_14,W16,---_15,W17,---_16,W18,---_17,W19,---_18,W20,---_19,W21,---_20,W22,---_21,W23,---_22,W24,---_23,W25,---_24,W26,---_25,W27,---_26,W28,---_27,W29,---_28,W30,---_29,W31,---_30,W32,---_31,W33,---_32,W34,---_33,W35,---_34
Fe  1,5576.089,3.43,-1.0,26.7,,23.4,,31.5,,27.4,,11.5,,,,,,4.2,,18.1,,13.8,,,1.8,,10.6,,3.7,,17.8,,18.3,,5.6,,,,7.7,,9.9,,6.9,,4.2,,4.1,,,,4.6,,10.2,,5.4,,9.4,,4.4,,13.5,,16.6,,6.0,,13.6,,10.1,,4.3,,12.9,
Fe  1,5586.756,3.37,-0.14,66.0,,61.3,,72.7,,66.0,,40.1,,3.6,,4.6,,18.3,,49.6,,41.4,,,9.8,,35.1,,14.5,,54.3,,56.0,,25.9,,,,29.8,,37.7,,35.4,,17.6,,22.4,,,,17.8,,34.5,,21.2,,38.8,,14.9,,43.8,,50.0,,20.4,,46.6,,38.8,,19.6,,42.7,
Fe  1,5615.644,3.33,-0.14,,,71.4,,81.9,,72.6,,47.8,,,,7.3,,25.5,,57.0,,52.4,,,12.5,,41.0,,19.8,,,,63.7,,32.6,,8.7,,36.7,,43.2,,39.9,,24.5,,33.2,,,,24.5,,42.0,,27.3,,45.4,,19.7,,49.2,,57.2,,26.3,,54.6,,44.5,,26.0,,,
Fe  1,6136.615,2.45,-1.4,62.5,,66.8,,76.1,,56.9,,37.8,,,,3.4,,16.7,,46.2,,42.3,,,6.7,,27.9,,12.7,,52.9,,58.2,,22.0,,3.8,,26.8,,29.7,,28.8,,15.1,,16.2,,,,15.7,,30.3,,17.7,,28.4,,14.4,,40.8,,46.6,,16.6,,39.0,,32.5,,16.2,,41.4,
Fe  1,6137.692,2.59,-1.4,54.7,,55.9,,65.7,,52.1,,32.3,,,,2.0,,,,40.6,,33.3,,,5.7,,22.1,,9.8,,43.2,,50.3,,18.3,,,,21.2,,21.9,,21.9,,11.8,,11.9,,,,13.2,,23.2,,13.0,,24.7,,10.0,,33.1,,39.6,,11.9,,32.9,,28.1,,11.6,,34.1,
Fe  1,6191.558,2.43,-1.42,60.7,,63.4,,73.3,,54.5,,36.4,,,,2.2,,15.1,,45.7,,39.7,,,7.0,,24.5,,11.2,,51.2,,58.4,,18.4,,,,24.7,,29.4,,25.6,,15.9,,14.1,,,,13.3,,27.4,,15.9,,25.2,,10.2,,41.2,,45.0,,15.7,,39.8,,31.8,,15.1,,39.1,
Fe  1,6213.43,2.22,-2.48,20.5,,21.2,,29.5,,19.9,,7.9,,,,,,3.4,,15.2,,11.0,,,0.3,,5.6,,3.3,,13.1,,14.8,,3.2,,,,4.6,,6.3,,7.6,,3.2,,2.7,,,,3.7,,5.9,,2.9,,3.9,,2.6,,11.4,,13.6,,2.1,,9.5,,,,1.5,,9.8,
Fe  1,6219.281,2.2,-2.43,24.9,,27.6,,36.1,,20.6,,10.0,,,,,,1.5,,18.9,,15.3,,,1.5,,9.6,,4.1,,19.7,,22.7,,5.7,,1.1,,7.5,,8.8,,10.9,,3.1,,4.7,,,,3.8,,7.2,,3.5,,8.5,,2.9,,16.6,,15.7,,3.3,,12.5,,10.7,,,,13.0,
Fe  1,6230.723,2.56,-1.28,66.2,,67.8,,76.9,,61.9,,38.7,,,,4.0,,16.9,,47.9,,44.2,,,8.3,,29.4,,13.5,,55.5,,61.4,,23.9,,,,28.1,,32.6,,31.8,,14.3,,18.9,,,,16.3,,31.9,,17.1,,29.8,,12.4,,39.8,,48.2,,17.2,,42.1,,34.7,,17.9,,41.5,
Fe  1,6252.555,2.4,-1.69,50.8,,53.9,,63.9,,48.3,,28.5,,,,2.9,,11.9,,37.8,,34.8,,,5.0,,21.9,,7.7,,41.9,,49.0,,16.8,,,,18.1,,21.5,,19.4,,10.4,,9.9,,,,9.4,,20.6,,13.0,,20.7,,6.9,,35.0,,36.1,,11.4,,33.5,,23.5,,12.1,,31.5,
