# These are the reported abundances. They did not report the [FeI/H] abundance.
Name            , [FeII/H], [Mg/FeI], [Si/FeI], [Ca/FeI], [TiI/FeI], [TiII/FeII]
J192406.6-693706, -0.92   , 0.21    , 0.23    , 0.21    , 0.03     , 0.2
J192916.9-511613, -1.75   , 0.41    , 0.38    , 0.32    , 0.07     , 0.31
J193338.2-595902, -2.03   , 0.31    , 0.28    , 0.26    , 0.11     , 0.25
J193357.0-582141, -1.65   , 0.39    , 0.37    , 0.24    , 0.05     , 0.24
J193443.1-462130, -1.37   , 0.49    , 0.48    , 0.33    , 0.16     , 0.2
J194550.6-392630, -2.58   , 0.47    , 0.37    , 0.32    , 0.28     , 0.3
J194552.6-504608, -1.49   , 0.43    , 0.36    , 0.35    , 0.12     , 0.32
J194811.5-483511, -1.28   , 0.27    , 0.26    , 0.12    , 0.0      , 0.29
J194850.3-344917, -0.54   , 0.11    , 0.23    , 0.18    , -0.07    , -0.03
J194952.7-641309, -1.63   , 0.33    , 0.37    , 0.22    , 0.09     , 0.31
J195221.4-695417, -1.7    , 0.34    , 0.35    , 0.28    , 0.05     , 0.14
J195244.9-600813, -1.46   , 0.41    , 0.34    , 0.3     , 0.14     , 0.3
J195313.7-531456, -1.03   , 0.3     , 0.38    , 0.3     , 0.15     , 0.21
J195716.7-335026, -1.64   , 0.1     , 0.26    , 0.21    , 0.0      , 0.14
J200150.5-310651, -1.6    , 0.69    , 0.38    , 0.24    , -0.03    , 0.23
J200420.2-270110, -2.03   , 0.31    , 0.24    , 0.25    , 0.14     , 0.3
J200728.5-495434, -2.13   , 0.38    , 0.31    , 0.25    , 0.12     , 0.33
J201031.9-355854, -2.19   , 0.36    , 0.54    , 0.36    , 0.25     , 0.41
J201721.9-380126, -1.6    , 0.36    , 0.39    , 0.23    , 0.12     , 0.31
J201925.1-282207, -2.02   , 0.55    , 0.54    , 0.28    , 0.13     , 0.17
J202319.0-661217, -1.98   , 0.44    , 0.5     , 0.4     , 0.13     , 0.35
J202400.5-182024, -1.42   , 0.38    , 0.42    , 0.28    , 0.14     , 0.23
J203717.9-353513, -1.85   , 0.44    , 0.41    , 0.28    , 0.05     , 0.32
J204406.2-300007, -1.87   , 0.48    ,         , 0.4     , 0.34     , 0.31
J204547.1-621403, -1.81   , 0.29    , 0.38    , 0.33    , 0.17     , 0.3
J204923.3-362238, -2.1    , 0.41    , 0.35    , 0.23    , 0.04     , 0.2
J205058.6-315839, -0.5    , 0.04    , 0.2     , 0.12    , -0.04    , 0.08
J205155.4-325126, -1.08   , 0.31    , 0.28    , 0.19    , 0.12     , 0.29
J205319.4-244456, -1.63   , 0.21    , 0.26    , 0.21    , 0.05     , 0.2
J205440.3-053500, -1.74   , 0.35    , 0.41    , 0.32    , 0.16     , 0.33
J205515.5-403414, -1.15   , 0.46    , 0.41    , 0.36    , 0.19     , 0.32
J210038.2-053916, -2.05   , 0.44    , 0.47    , 0.37    , 0.09     , 0.27
J210634.7-495749, -2.72   , 0.37    ,         , 0.3     , 0.31     , 0.34
J211103.7-071250, -1.63   , 0.2     , 0.23    , 0.19    , -0.01    , 0.24
J212558.5-265657, -1.63   , 0.27    , 0.38    , 0.27    , 0.15     , 0.39
J213539.2-152631, -2.12   , 0.29    , 0.38    , 0.23    , 0.09     , 0.26
J213932.9-071932, -1.19   , 0.42    , 0.52    , 0.32    , 0.13     , 0.28
J214348.9-162137, -1.46   , 0.45    , 0.36    , 0.32    , 0.11     , 0.29
J214939.2-424202, -1.6    , 0.46    , 0.37    , 0.38    , 0.16     , 0.31
J215707.2-353949, -1.54   , 0.29    , 0.33    , 0.37    , 0.26     , 0.24
J220103.9-033641, -1.34   , 0.27    , 0.39    , 0.35    , 0.14     , 0.24
J220119.1-542301, -0.99   , 0.55    , 0.86    , 0.37    , 0.1      , 0.26
J220149.1-320337, -0.41   , 0.06    , 0.18    , 0.13    , -0.01    , 0.02
J220157.5-444950, -1.78   , 0.39    , 0.52    , 0.36    , 0.16     , 0.28
