Name,RA_hms,DEC_dms,RA_deg,DEC_deg,Imag,Date,Obs,S/N
T5495_00660_1,10:36:10.8000,-10:27:46.800,159.045,-10.463,9.7,20070224,APO,120
T5496_00376_1,10:20:06.0000,-13:05:42.000,155.025,-13.095,9.1,20070421,APO,130
T5499_00076_1,10:52:58.5600,-07:48:39.600,163.244,-7.811,10.5,20060412,APO,100
T5507_01406_1,11:06:36.2400,-13:58:37.200,166.651,-13.977,10.1,20060412,APO,100
T5551_00318_1,13:35:48.7200,-14:53:24.000,203.953,-14.89,9.2,20080228,APO,160
T5552_00154_1,13:42:12.7200,-14:17:34.800,205.553,-14.293,9.1,20070622,AAT,160
T5762_00685_1,20:27:46.8000,-12:55:48.000,306.945,-12.93,10.0,20070506,LCO,100
T5762_00685_1,20:27:46.8000,-12:55:48.000,306.945,-12.93,10.0,combo,LCO,150
T5789_00559_1,21:54:12.7200,-08:12:07.200,328.553,-8.202,9.2,20070505,LCO,100
T5789_00559_1,21:54:12.7200,-08:12:07.200,328.553,-8.202,9.2,20061202,LCO,120
T5843_00314_1,00:23:38.4000,-17:39:10.800,5.91,-17.653,9.9,20071219,APO,130
T5866_00288_1,02:47:50.6400,-18:16:37.200,41.961,-18.277,9.3,20061202,APO,100
T5875_00738_1,03:15:40.5600,-19:03:21.600,48.919,-19.056,9.2,combo,APO,200
T5911_00452_1,04:53:22.5600,-22:10:40.800,73.344,-22.178,10.3,20071219,APO,130
T6090_00859_1,11:15:22.3200,-22:24:03.600,168.843,-22.401,9.3,20070421,APO,100
T6092_00035_1,11:38:32.4000,-20:08:49.200,174.635,-20.147,10.3,20070505,LCO,120
T6092_00035_1,11:38:32.4000,-20:08:49.200,174.635,-20.147,10.3,20070417,LCO,130
T6105_00098_1,12:25:28.0800,-18:55:51.600,186.367,-18.931,9.4,20070505,LCO,100
T6117_01347_1,12:50:49.9200,-21:12:46.800,192.708,-21.213,9.9,20070505,LCO,130
T6122_00253_1,13:36:09.8400,-15:36:39.600,204.041,-15.611,9.9,20080228,APO,130
T6141_00148_1,14:04:41.2800,-18:06:54.000,211.172,-18.115,9.7,20070421,APO,150
T6170_00280_1,15:15:52.8000,-15:40:22.800,228.97,-15.673,9.8,20080228,APO,160
T6333_00173_1,20:25:37.2000,-17:43:58.800,306.405,-17.733,9.7,20070506,LCO,130
T6333_01571_1,20:31:05.5200,-18:17:20.400,307.773,-18.289,9.4,20070505,LCO,150
T6338_00797_1,20:36:06.4800,-18:57:10.800,309.027,-18.953,10.2,20070505,LCO,150
