Name,Species,Ion,l_logepsX,logepsX,e_[X/Fe],e_[X/H]
J104610.9-023806,12.0,Mg I,,6.9,,
J104610.9-023806,14.0,Si I,,6.85,,
J104610.9-023806,20.0,Ca I,,5.47,,
J104610.9-023806,22.0,Ti I,,4.03,,
J104610.9-023806,22.1,Ti II,,4.18,,
J104610.9-023806,26.0,Fe I,,6.44,,
J104610.9-023806,26.1,Fe II,,6.44,,
J104943.6-092646,12.0,Mg I,,6.92,,
J104943.6-092646,14.0,Si I,,6.84,,
J104943.6-092646,20.0,Ca I,,5.56,,
J104943.6-092646,22.0,Ti I,,4.02,,
J104943.6-092646,22.1,Ti II,,4.3,,
J104943.6-092646,26.0,Fe I,,6.39,,
J104943.6-092646,26.1,Fe II,,6.39,,
J105252.9-262048,12.0,Mg I,,6.53,,
J105252.9-262048,14.0,Si I,,6.38,,
J105252.9-262048,20.0,Ca I,,5.21,,
J105252.9-262048,22.0,Ti I,,3.62,,
J105252.9-262048,22.1,Ti II,,3.83,,
J105252.9-262048,26.0,Fe I,,6.12,,
J105252.9-262048,26.1,Fe II,,6.12,,
J105642.1-273735,12.0,Mg I,,6.88,,
J105642.1-273735,14.0,Si I,,7.01,,
J105642.1-273735,20.0,Ca I,,5.69,,
J105642.1-273735,22.0,Ti I,,4.19,,
J105642.1-273735,22.1,Ti II,,4.22,,
J105642.1-273735,26.0,Fe I,,6.66,,
J105642.1-273735,26.1,Fe II,,6.66,,
J105811.4-263418,12.0,Mg I,,5.91,,
J105811.4-263418,14.0,Si I,,5.86,,
J105811.4-263418,20.0,Ca I,,4.75,,
J105811.4-263418,22.0,Ti I,,3.2,,
J105811.4-263418,22.1,Ti II,,3.53,,
J105811.4-263418,26.0,Fe I,,5.62,,
J105811.4-263418,26.1,Fe II,,5.62,,
J110248.5-030125,12.0,Mg I,,5.96,,
J110248.5-030125,14.0,Si I,,5.98,,
J110248.5-030125,20.0,Ca I,,4.69,,
J110248.5-030125,22.0,Ti I,,3.19,,
J110248.5-030125,22.1,Ti II,,3.23,,
J110248.5-030125,26.0,Fe I,,5.52,,
J110248.5-030125,26.1,Fe II,,5.52,,
J110416.2-124129,12.0,Mg I,,7.15,,
J110416.2-124129,14.0,Si I,,7.17,,
J110416.2-124129,20.0,Ca I,,5.89,,
J110416.2-124129,22.0,Ti I,,4.42,,
J110416.2-124129,22.1,Ti II,,4.48,,
J110416.2-124129,26.0,Fe I,,6.96,,
J110416.2-124129,26.1,Fe II,,6.96,,
J110708.8-265825,12.0,Mg I,,6.42,,
J110708.8-265825,14.0,Si I,,6.42,,
J110708.8-265825,20.0,Ca I,,5.12,,
J110708.8-265825,22.0,Ti I,,3.71,,
J110708.8-265825,22.1,Ti II,,3.77,,
J110708.8-265825,26.0,Fe I,,6.03,,
J110708.8-265825,26.1,Fe II,,6.03,,
J110746.5-033433,12.0,Mg I,,7.04,,
J110746.5-033433,14.0,Si I,,7.1,,
J110746.5-033433,20.0,Ca I,,5.85,,
J110746.5-033433,22.0,Ti I,,4.34,,
J110746.5-033433,22.1,Ti II,,4.43,,
J110746.5-033433,26.0,Fe I,,6.85,,
J110746.5-033433,26.1,Fe II,,6.85,,
J111447.8-405219,12.0,Mg I,,5.47,,
J111447.8-405219,20.0,Ca I,,4.25,,
J111447.8-405219,22.0,Ti I,,2.84,,
J111447.8-405219,22.1,Ti II,,2.82,,
J111447.8-405219,26.0,Fe I,,5.07,,
J111447.8-405219,26.1,Fe II,,5.07,,
J112344.9-290327,12.0,Mg I,,7.26,,
J112344.9-290327,14.0,Si I,,7.33,,
J112344.9-290327,20.0,Ca I,,6.05,,
J112344.9-290327,22.0,Ti I,,4.55,,
J112344.9-290327,22.1,Ti II,,4.66,,
J112344.9-290327,26.0,Fe I,,7.11,,
J112344.9-290327,26.1,Fe II,,7.11,,
J112651.4-180530,12.0,Mg I,,5.6,,
J112651.4-180530,14.0,Si I,,5.69,,
J112651.4-180530,20.0,Ca I,,4.39,,
J112651.4-180530,22.0,Ti I,,2.87,,
J112651.4-180530,22.1,Ti II,,3.01,,
J112651.4-180530,26.0,Fe I,,5.29,,
J112651.4-180530,26.1,Fe II,,5.29,,
J113110.2-154315,12.0,Mg I,,7.22,,
J113110.2-154315,14.0,Si I,,7.21,,
J113110.2-154315,20.0,Ca I,,5.9,,
J113110.2-154315,22.0,Ti I,,4.4,,
J113110.2-154315,22.1,Ti II,,4.55,,
J113110.2-154315,26.0,Fe I,,6.94,,
