Found, DEC_input   , RA_input   , Query_ID   , MAIN_ID                , RA           , DEC          , RA_PREC, DEC_PREC, COO_ERR_MAJA, COO_ERR_MINA, COO_ERR_ANGLE, COO_QUAL, COO_WAVELENGTH, COO_BIBCODE        , FLUX_U, FLUX_B, FLUX_V, FLUX_R, FLUX_I, FLUX_J, FLUX_H, FLUX_K, OTYPE     , SP_TYPE, RA_2         , DEC_2        , PMRA  , PMDEC  , PLX_VALUE, RV_VALUE, SCRIPT_NUMBER_ID
True , -34:52:33.70, 02:38:00.50, Fnx-mem0704, [LDH2014] Fnx-mem0704  , 02 38 00.5350, -34 52 34.019,      14,       14,       0.0617,       0.0822,            90, A       , O             , 2020yCat.1350....0G,       , 19.869, 18.6  ,       , 17.23 , 16.334, 15.828, 15.504, Star      ,        , 02 38 00.5350, -34 52 34.019, 0.401 , -0.512 ,          ,  59.3   ,                1
True , -34:53:10.20, 02:38:37.11, Fnx-mem0712, [LDH2014] Fnx-mem0712  , 02 38 37.1550, -34 53 10.476,      14,       14,       0.059 ,       0.078 ,            90, A       , O             , 2020yCat.1350....0G,       , 19.855, 18.53 ,       , 17.13 , 16.249, 15.639, 15.349, Star      ,        , 02 38 37.1550, -34 53 10.476, 0.251 , -0.272 ,          ,  47.6   ,                1
True , -34:53:19.20, 02:38:50.23, Fnx-mem0714, 2MASS J02385026-3453195, 02 38 50.2704, -34 53 19.563,      14,       14,       0.0465,       0.0611,            90, A       , O             , 2020yCat.1350....0G,       , 19.641, 18.211,       , 16.727, 15.843, 14.97 , 14.908, RGB*      ,        , 02 38 50.2704, -34 53 19.563, 0.469 , -0.276 ,    0.1296,  39.7825,                1
True , -34:53:20.40, 02:38:11.07, Fnx-mem0715, [LDH2014] Fnx-mem0715  , 02 38 11.1117, -34 53 20.642,      14,       14,       0.059 ,       0.0768,            90, A       , O             , 2020yCat.1350....0G,       , 20.257, 18.722,       , 17.245, 16.031, 15.353, 15.168, Star      ,        , 02 38 11.1117, -34 53 20.642, 0.41  , -0.356 ,    0.052 ,  44.6   ,                1
True , -34:53:30.50, 02:38:40.56, Fnx-mem0717, [LDH2014] Fnx-mem0717  , 02 38 40.6017, -34 53 30.806,      14,       14,       0.0555,       0.0736,            90, A       , O             , 2020yCat.1350....0G,       , 20.175, 18.5  ,       , 16.95 , 15.948, 14.957, 14.948, Star      ,        , 02 38 40.6017, -34 53 30.806, 0.439 , -0.706 ,    0.2258,  38.9717,                1
True , -34:54:22.40, 02:38:15.52, Fnx-mem0725, [LDH2014] Fnx-mem0725  , 02 38 15.5537, -34 54 22.623,      14,       14,       0.0757,       0.1003,            90, A       , O             , 2020yCat.1350....0G,       , 20.062, 18.69 ,       , 17.48 , 16.531, 16.059, 15.851, Star      ,        , 02 38 15.5537, -34 54 22.623, 0.424 , -0.355 ,    0.0883,  50.1   ,                1
True , -34:54:52.60, 02:37:47.45, Fnx-mem0732, 2MASS J02374746-3454527, 02 37 47.4842, -34 54 52.699,      14,       14,       0.055 ,       0.0687,            90, A       , O             , 2020yCat.1350....0G,       , 19.943, 18.25 ,       , 16.89 , 15.947, 15.254, 14.771, RGB*      ,        , 02 37 47.4842, -34 54 52.699, 0.356 , -0.298 ,    0.151 ,  26.8   ,                1
True , -34:55:20.70, 02:37:22.05, Fnx-mem0738, [LDH2014] Fnx-mem0738  , 02 37 22.0694, -34 55 20.883,      14,       14,       0.0521,       0.0719,            90, A       , O             , 2020yCat.1350....0G,       , 19.834, 18.49 ,       , 16.901, 15.743, 15.138, 14.993, Star      ,        , 02 37 22.0694, -34 55 20.883, 12.562, -3.04  ,    0.7314,  27.5   ,                1
True , -34:56:08.70, 02:37:34.47, Fnx-mem0747, 2MASS J02373448-3456088, 02 37 34.4965, -34 56 08.816,      14,       14,       0.0667,       0.0905,            90, A       , O             , 2020yCat.1350....0G,       , 20.12 , 18.61 ,       , 17.25 , 16.39 , 15.349, 15.498, RGB*      ,        , 02 37 34.4965, -34 56 08.816, 0.3   , -0.443 ,    0.0045,  57.2   ,                1
True , -34:56:53.90, 02:38:30.93, Fnx-mem0754, 2MASS J02383095-3456544, 02 38 30.9502, -34 56 54.274,      14,       14,       0.051 ,       0.0708,            90, A       , O             , 2020yCat.1350....0G,       , 20.178, 18.48 ,       , 16.91 , 15.787, 15.054, 14.54 , ChemPec*  ,        , 02 38 30.9502, -34 56 54.274, 0.392 , -0.389 ,    0.0473,  32.8283,                1
True , -34:58:30.20, 02:37:42.52, Fnx-mem0779, 2MASS J02374255-3458304, 02 37 42.5460, -34 58 30.394,      14,       14,       0.0568,       0.0728,            90, A       , O             , 2020yCat.1350....0G,       , 19.777, 18.3  ,       , 17.04 , 16.006, 15.355,       , RGB*      ,        , 02 37 42.5460, -34 58 30.394, 0.4   , -0.397 ,          ,  66.0   ,                1
