Found,DEC_input,RA_input,Query_ID,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,-50:55:14.20,06:42:09.36,MKV0668,[WMO2009] Car-0073,06 42 09.3582,-50 55 09.806,14,14,0.4137,0.4229,90,A,O,2020yCat.1350....0G,,21.043,20.39,,19.503,,,,Star,,06 42 09.3582,-50 55 09.806,0.268,0.523,0.0093,13.8,1
True,-50:55:23.20,06:41:26.91,MKV0675,[MOP2000] C131093,06 41 26.9119,-50 55 23.313,14,14,0.0997,0.0905,90,A,O,2020yCat.1350....0G,,19.927,18.665,,17.107,16.225,15.319,15.554,Star,,06 41 26.9119,-50 55 23.313,-0.398,4.59,0.6062,70.1,1
True,-50:55:24.50,06:40:31.12,MKV0677,[WMO2009] Car-0180,06 40 31.1284,-50 55 24.540,14,14,0.0605,0.0688,90,A,O,2020yCat.1350....0G,,19.063,17.789,,16.395,15.428,14.752,14.85,RGB*,,06 40 31.1284,-50 55 24.540,0.523,-0.02,0.0474,211.1,1
True,-50:55:39.10,06:41:18.32,MKV0692,[MOP2000] C130934,06 41 18.3139,-50 55 38.952,14,14,0.167,0.1566,90,A,O,2020yCat.1350....0G,,19.972,19.159,,18.12,17.401,16.935,16.764,RGB*_Candidate,,06 41 18.3139,-50 55 38.952,0.479,0.265,,227.2,1
True,-50:55:43.70,06:41:26.09,MKV0698,[MCA82] C8,06 41 26.1146,-50 55 43.907,14,14,0.0549,0.0499,90,A,O,2020yCat.1350....0G,,18.982,17.635,,16.197,15.149,14.487,14.388,RGB*,,06 41 26.1146,-50 55 43.907,0.567,0.06,0.0974,211.6,1
True,-50:55:50.20,06:41:42.51,MKV0701,[MOP2000] C131424,06 41 42.5327,-50 55 50.351,14,14,0.0833,0.0731,90,A,O,2020yCat.1350....0G,,18.973,18.041,,16.767,15.899,15.288,15.054,Star,,06 41 42.5327,-50 55 50.351,0.069,5.019,0.5485,-11.2,1
True,-50:56:00.80,06:42:38.52,MKV0708,[WMO2009] Car-0076,06 42 38.5206,-50 56 00.692,14,14,0.0967,0.089,90,A,O,2020yCat.1350....0G,,19.64,18.477,,17.322,16.734,16.162,15.578,RGB*,,06 42 38.5206,-50 56 00.692,0.654,0.23,,219.1,1
True,-50:56:04.70,06:41:45.20,MKV0713,[FBN2016] 101206,06 41 45.20,-50 56 04.7,6,6,,,0,D,O,2012A&A...538A.100L,,20.038,19.133,,17.999,17.212,16.691,16.574,RGB*_Candidate,,06 41 45.20,-50 56 04.7,,,,234.5,1
True,-50:56:04.70,06:41:45.20,MKV0713,[FBN2016] 101307,06 41 45.24,-50 56 02.4,6,6,,,0,D,O,2006ApJ...649..201M,,20.431,19.577,,18.492,,,,RGB*_Candidate,,06 41 45.24,-50 56 02.4,,,,203.6,1
True,-50:56:08.50,06:42:00.50,MKV0716,[MOP2000] C170316,06 42 00.4971,-50 56 08.237,14,14,0.1799,0.1636,90,A,O,2020yCat.1350....0G,,20.171,19.314,,18.23,,,,RGB*_Candidate,,06 42 00.4971,-50 56 08.237,0.58,-0.215,0.139,220.6,1
True,-50:56:25.40,06:40:37.63,MKV0728,[MOP2000] C130408,06 40 37.6567,-50 56 25.553,14,14,0.1345,0.1478,90,A,O,2020yCat.1350....0G,,20.021,19.015,,17.745,,,,Star,,06 40 37.6567,-50 56 25.553,0.584,-0.961,0.7191,15.3,1
True,-50:56:26.30,06:42:17.45,MKV0729,[WMO2009] Car-0165,06 42 17.4506,-50 56 26.090,14,14,0.1124,0.1006,90,A,O,2020yCat.1350....0G,,19.706,18.666,,17.463,16.614,15.835,,RGB*,,06 42 17.4506,-50 56 26.090,0.352,-0.01,,227.5,1
True,-50:56:33.30,06:42:30.38,MKV0733,[WMO2009] Car-0078,06 42 30.3727,-50 56 33.109,14,14,0.1259,0.1091,90,A,O,2020yCat.1350....0G,,19.811,18.776,,17.555,16.713,15.946,,RGB*,,06 42 30.3727,-50 56 33.109,0.596,0.236,,230.7,1
True,-50:56:34.50,06:40:32.97,MKV0735,[LHT2012] MKV0735,06 40 32.97,-50 56 34.5,6,6,,,0,D,O,2012A&A...538A.100L,,18.335,17.277,,15.995,,,,Star,,06 40 32.97,-50 56 34.5,,,,26.5,1
True,-50:56:46.50,06:41:29.08,MKV0740,[WMO2009] Car-1494,06 41 29.0653,-50 56 46.215,14,14,0.1277,0.1209,90,A,O,2020yCat.1350....0G,,20.009,18.996,,17.808,,,,RGB*,,06 41 29.0653,-50 56 46.215,0.394,0.276,,227.1,1
True,-50:56:54.30,06:41:45.91,MKV0743,[LHT2012] MKV0743,06 41 45.9211,-50 56 54.097,14,14,0.1633,0.1486,90,A,O,2020yCat.1350....0G,,20.163,19.233,,18.116,,,,RGB*,,06 41 45.9211,-50 56 54.097,0.285,0.252,0.0082,214.6,1
True,-50:57:25.70,06:41:12.28,MKV0770,[MOP2000] C121226,06 41 12.3032,-50 57 25.965,14,14,0.0832,0.089,90,A,O,2020yCat.1350....0G,,19.367,18.343,,17.129,16.485,15.65,15.809,RGB*,,06 41 12.3032,-50 57 25.965,0.589,0.02,0.0519,219.9,1
True,-50:57:44.10,06:40:57.07,MKV0780,[MOP2000] C120887,06 40 57.0920,-50 57 44.362,14,14,0.1033,0.1055,90,A,O,2020yCat.1350....0G,,19.663,18.621,,17.42,16.556,15.973,15.918,RGB*,,06 40 57.0920,-50 57 44.362,0.403,0.082,,227.53,1
True,-50:57:54.50,06:42:24.13,MKV0785,[LHT2012] MKV0785,06 42 24.13,-50 57 54.5,6,6,,,0,D,O,2012A&A...538A.100L,,18.378,17.398,,16.21,15.506,14.966,14.784,Star,,06 42 24.13,-50 57 54.5,,,,20.5,1
