JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,M/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
7360,1,ROE10c,Roederer+2010c,G126-036,BD+19  4788,,,,MP,,,,,21:48:19.296,+19:58:30.720,327.0804,19.9752,,,,,,9.6,,8.723,8.402,8.352,,,-1.06,,,,,,,,,,,,,,,,,,,,,6.44,,,,3.76,,,,,,,1.59,,,,,,,,,,,,0.87,,,,,0.04,,,,,,,,,,,,,,,,1.67,,,,,,,,,,Yelland
7361,0,ROE10c,Roederer+2010c,G126-062,BD+17  4708,,,,MP,,,,SB,22:11:31.368,+18:05:34.080,332.8807,18.0928,,,9.73,9.91,9.46,9.03,8.7,8.435,8.108,8.075,,,-1.59,,,,,,,,,,,,,,,,,,,,,5.91,,,,2.86,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1.55,,,,,,,,,,Yelland
7362,1,ROE10c,Roederer+2010c,G140-046,BD+05  3640,,,,MP,,,,,18:12:21.888,+05:24:04.320,273.0912,5.4012,,,,11.16,,9.9,,8.854,8.45,8.341,,,-1.3,,,,,,,,,,,,,,,,,,,,,6.2,,,,3.65,,,,,,,1.46,,,,,,,,,,,,0.54,,,,,-0.41,,,,,,,,,,,,,,,,1.19,,,,,,,,,,Yelland
7363,1,ROE10c,Roederer+2010c,G153-021,BD-06  4346,,,,SUN,,,,,16:03:00.168,-06:27:11.160,240.7507,-6.4531,,,,10.93,10.18,,,8.764,8.444,8.359,,,-0.7,,,,,,,,,,,,,,,,,,,,,6.8,,,,4.06,,,,,,,1.46,,,,,,,,,,,,0.59,,,,,0.34,,,,,,,,,,,,,,,,<1.65,,,,,,,,,,Yelland
7364,0,ROE10c,Roederer+2010c,G176-053,BD+51  1696,,,,MP,,,,,11:46:35.160,+50:52:54.840,176.6465,50.8819,,,10.32,10.47,,9.5,,8.678,8.375,8.306,,,-1.34,,,,,,,,,,,,,,,,,,,,,6.16,,,,3.18,,,,,,,0.63,,,,,,,,,,,,-0.08,,,,,-0.32,,,,,,,,,,,,,,,,<1.05,,,,,,,,,,Yelland
7365,1,ROE10c,Roederer+2010c,G179-022,BD+33  2560,,,,MP,,,,,15:14:26.184,+33:00:38.160,228.6091,33.0106,,,,11.5,,10.1,,9.179,8.769,8.717,,,-1.35,,,,,,,,,,,,,,,,,,,,,6.15,,,,3.34,,,,,,,0.79,,,,,,,,,,,,0.02,,,,,-0.22,,,,,,,,,,,,,,,,0.39,,,,,,,,,,Yelland
7366,0,ROE10c,Roederer+2010c,G180-024,BD+42  2667,,,,MP,,,,,16:03:13.296,+42:14:46.680,240.8054,42.2463,,,,10.33,,9.6,,8.822,8.517,8.491,,,-1.34,,,,,,,,,,,,,,,,,,,,,6.16,,,,3.23,,,,,,,0.72,,,,,,,,,,,,-0.19,,,,,-0.58,,,,,,,,,,,,,,,,<1.65,,,,,,,,,,Yelland
7367,0,ROE10c,Roederer+2010c,G188-022,BD+26  4251,,,,MP,,,,,21:43:57.120,+27:23:24.000,325.988,27.39,,,,,,9.9,,8.984,8.737,8.645,,,-1.52,,,,,,,,,,,,,,,,,,,,,5.98,,,,3.24,,,,,,,0.94,,,,,,,,,,,,-0.12,,,,,-0.6,,,,,,,,,,,,,,,,<1.3,,,,,,,,,,Yelland
7368,0,ROE10c,Roederer+2010c,G191-055,BD+58   876,,,,MP,,,,,05:57:28.584,+58:40:48.720,89.3691,58.6802,,,,,,10.2,,9.35,9.025,8.916,,,-1.63,,,,,,,,,,,,,,,,,,,,,5.87,,,,2.78,,,,,,,0.23,,,,,,,,,,,,-0.41,,,,,-0.89,,,,,,,,,,,,,,,,<1.1,,,,,,,,,,Yelland
7369,0,ROE10c,Roederer+2010c,G192-043,G 192-43,,,,MP,,,,,06:47:44.928,+58:38:34.440,101.9372,58.6429,,,,10.75,,10.1,,9.301,9.054,9.001,,,-1.5,,,,,,,,,,,,,,,,,,,,,6,,,,3.12,,,,,,,0.71,,,,,,,,,,,,-0.02,,,,,-0.25,,,,,,,,,,,,,,,,<1.6,,,,,,,,,,Yelland
7370,1,ROE10c,Roederer+2010c,G221-007,HD  20039,,,,SUN,,,,SB,03:18:38.496,+72:16:30.360,49.6604,72.2751,,,,,,8.4,,7.397,6.98,6.908,,,-0.98,,,,,,,,,,,,,,,,,,,,,6.52,,,,3.65,,,,,,,1.02,,,,,,,,,,,,0.28,,,,,-0.11,,,,,,,,,,,,,,,,1.69,,,,,,,,,,Yelland
7371,0,ROE10c,Roederer+2010c,HD 2665,HD   2665,,,,MP,,,,,00:30:45.456,+57:03:53.640,7.6894,57.0649,,,8.66,8.51,7.72,,,6.026,5.603,5.474,,,-1.99,,,,,,,,,,,,,,,,,,,,,5.51,,,,2.49,,,,,,,-0.42,,,,,,,,,,,,-0.92,,,,,-1.15,,,,,,,,,,,,,,,,<0.3,,,,,,,,,,Yelland
7372,0,ROE10c,Roederer+2010c,HD 2796,HD   2796,,,,VMP,,aDW,Atari,,00:31:16.920,-16:47:40.920,7.8205,-16.7947,,,9.58,9.28,8.5,8.14,8.67,6.853,6.391,6.256,,,-2.47,,,,,,,,,,,,,,,,,,,,,5.03,,,,2.37,,,,,,,-0.51,,,,,,,,,,,,-1.47,,,,,-1.84,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7373,0,ROE10c,Roederer+2010c,HD 8724,HD   8724,,,,MP,,,,RG,01:26:17.592,+17:07:35.040,21.5733,17.1264,,,,9.29,8.34,,,6.299,5.769,5.636,,,-1.91,,,,,,,,,,,,,,,,,,,,,5.59,,,,2.9,,,,,,,0.25,,,,,,,,,,,,-0.49,,,,,-0.86,,,,,,,,,,,,,,,,0,,,,,,,,,,Yelland
7374,0,ROE10c,Roederer+2010c,HD 3008,V* CM Cet,,,,VMP,,,,,00:33:14.304,-10:43:42.600,8.3096,-10.7285,,,,10.66,9.48,8.84,9.06,7.181,6.603,6.417,,,-2.08,,,,,,,,,,,,,,,,,,,,,5.42,,,,2.52,,,,,,,-0.3,,,,,,,,,,,,-0.79,,,,,-1.09,,,,,,,,,,,,,,,,-0.56,,,,,,,,,,Yelland
7375,0,ROE10c,Roederer+2010c,HD 6268,HD   6268,,,,VMP,,,,,01:03:18.168,-27:52:49.800,15.8257,-27.8805,,,,9.725,9.046,8.601,,6.335,5.843,5.714,,,-2.42,,,,,,,,,,,,,,,,,,,,,5.08,,,,,,,,,,,-0.38,,,,,,,,,,,,-1.05,,,,,-1.37,,,,,,,,,,,,,,,,<0.08,,,,,,,,,,Yelland
7376,0,ROE10c,Roederer+2010c,HD 6755,HD   6755,,,,MP,,,,SB,01:09:43.056,+61:32:50.280,17.4294,61.5473,,,8.48,8.4,,7.3,,6.197,5.759,5.662,,,-1.68,,,,,,,,,,,,,,,,,,,,,5.82,,,,2.87,,,,,,,0.31,,,,,,,,,,,,-0.29,,,,,-0.5,,,,,,,,,,,,,,,,0.32,,,,,,,,,,Yelland
7377,0,ROE10c,Roederer+2010c,HD 6833,HD   6833,,,,SUN,,,,,01:09:52.272,+54:44:20.400,17.4678,54.739,,,8.81,7.91,6.74,,,4.64,3.98,3.86,,,-0.85,,,,,,,,,,,,,,,,,,,,,6.65,,,,3.77,,,,,,,1.22,,,,,,,,,,,,0.34,,,,,0.1,,,,,,,,,,,,,,,,1.69,,,,,,,,,,Yelland
7378,0,ROE10c,Roederer+2010c,HD 13979,HD  13979,,,,VMP,,,,,02:15:20.856,-25:54:54.720,33.8369,-25.9152,,,,9.81,9.18,,,7.645,7.203,7.093,,,-2.92,,,,,,,,,,,,,,,,,,,,,4.58,,,,1.79,,,,,,,-1.3,,,,,,,,,,,,-2.3,,,,,-2.59,,,,,,,,,,,,,,,,<0.45,,,,,,,,,,Yelland
7379,0,ROE10c,Roederer+2010c,HD 21581,HD  21581,,,,MP,,,,,03:28:54.480,-00:25:03.000,52.227,-0.4175,,,9.75,9.54,8.71,,,6.975,6.547,6.414,,,-1.71,,,,,,,,,,,,,,,,,,,,,5.79,,,,2.99,,,,,,,0.44,,,,,,,,,,,,-0.42,,,,,-0.81,,,,,,,,,,,,,,,,<0.5,,,,,,,,,,Yelland
7380,0,ROE10c,Roederer+2010c,HD 23798,HD  23798,,,,VMP,,aDW,Atari,,03:46:45.720,-30:51:13.320,56.6905,-30.8537,,,,9.35,8.32,,,6.276,5.657,5.517,,,-2.26,,,,,,,,,,,,,,,,,,,,,5.24,,,,2.39,,,,,,,-0.19,,,,,,,,,,,,-1.01,,,,,-1.36,,,,,,,,,,,,,,,,-0.21,,,,,,,,,,Yelland
7381,0,ROE10c,Roederer+2010c,HD 25329,HD  25329,,,,MP,,,,,04:03:15.000,+35:16:23.880,60.8125,35.2733,,,9.75,9.37,8.5,7.75,7.23,6.77,6.297,6.195,,,-1.67,,,,,,,,,,,,,,,,,,,,,5.83,,,,3,,,,,,,0.67,,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7382,0,ROE10c,Roederer+2010c,HD 25532,HD  25532,,,,MP,,,,HB,04:04:11.016,+23:24:27.000,61.0459,23.4075,,,,8.87,8.24,,,6.688,6.327,,,,-1.34,,,,,,,,,,,,,,,,,,,,,6.16,,,,3.52,,,,,,,1.05,,,,,,,,,,,,-0.13,,,,,-0.64,,,,,,,,,,,,,,,,<1.15,,,,,,,,,,Yelland
7383,0,ROE10c,Roederer+2010c,HD 26297,HD  26297,,,,MP,,,,,04:09:03.408,-15:53:26.880,62.2642,-15.8908,,,,8.55,7.47,7.09,,5.379,4.853,4.631,,,-1.98,,,,,,,,,,,,,,,,,,,,,5.52,,,,3.07,,,,,,,0.4,,,,,,,,,,,,-0.85,,,,,-1.22,,,,,,,,,,,,,,,,-0.11,,,,,,,,,,Yelland
7384,0,ROE10c,Roederer+2010c,HD 29574,V* HP Eri,,,,VMP,,,,,04:38:55.728,-13:20:48.120,69.7322,-13.3467,,,10.91,9.72,8.33,,,5.726,5.208,4.84,,,-2.0,,,,,,,,,,,,,,,,,,,,,5.5,,,,2.67,,,,,,,0.19,,,,,,,,,,,,-0.37,,,,,-0.63,,,,,,,,,,,,,,,,-0.06,,,,,,,,,,Yelland
7385,1,ROE10c,Roederer+2010c,HD 37828,HD  37828,,,,MP,,,,,05:40:54.648,-11:12:00.360,85.2277,-11.2001,,,,7.988,6.869,,,4.889,4.088,4.064,,,-1.62,,,,,,,,,,,,,,,,,,,,,5.88,,,,3.18,,,,,,,0.7,,,,,,,,,,,,-0.12,,,,,-0.53,,,,,,,,,,,,,,,,0.77,,,,,,,,,,Yelland
7386,0,ROE10c,Roederer+2010c,HD 44007,HD  44007,,,,MP,,,,,06:18:48.528,-14:50:43.440,94.7022,-14.8454,,,,8.85,8.06,7.69,,6.34,5.806,5.703,,,-1.72,,,,,,,,,,,,,,,,,,,,,5.78,,,,2.83,,,,,,,0.26,,,,,,,,,,,,-0.51,,,,,-0.94,,,,,,,,,,,,,,,,0.31,,,,,,,,,,Yelland
7387,0,ROE10c,Roederer+2010c,HD 63791,HD  63791,,,,MP,,,,,07:54:28.728,+62:08:10.680,118.6197,62.1363,,,,8.81,7.9,,,6.051,5.522,5.427,,,-1.9,,,,,,,,,,,,,,,,,,,,,5.6,,,,2.87,,,,,,,0.23,,,,,,,,,,,,-0.55,,,,,-0.92,,,,,,,,,,,,,,,,0.22,,,,,,,,,,Yelland
7388,0,ROE10c,Roederer+2010c,HD 74462,HD  74462,,,,MP,,,,RG,08:48:20.640,+67:27:00.000,132.086,67.45,,,,9.65,8.69,8.25,,6.688,6.117,6.047,,,-1.52,,,,,,,,,,,,,,,,,,,,,5.98,,,,3.12,,,,,,,0.51,,,,,,,,,,,,-0.17,,,,,-0.39,,,,,,,,,,,,,,,,0.49,,,,,,,,,,Yelland
7389,1,ROE10c,Roederer+2010c,HD 82590,HD  82590,,,,MP,,,,,09:32:30.288,-17:26:08.520,143.1262,-17.4357,,,,9.81,9.42,,,8.3,8.023,7.942,,,-1.32,,,,,,,,,,,,,,,,,,,,,6.18,,,,3.03,,,,,,,0.71,,,,,,,,,,,,-0.11,,,,,-0.46,,,,,,,,,,,,,,,,<1.6,,,,,,,,,,Yelland
7390,0,ROE10c,Roederer+2010c,HD 85773,HD  85773,,,,VMP,,,,,09:53:39.240,-22:50:08.520,148.4135,-22.8357,,,,10.51,9.43,,,7.23,6.66,6.047,,,-2.62,,,,,,,,,,,,,,,,,,,,,4.88,,,,2.56,,,,,,,-0.93,,,,,,,,,,,,-1.56,,,,,-1.84,,,,,,,,,,,,,,,,<-0.15,,,,,,,,,,Yelland
7391,0,ROE10c,Roederer+2010c,HD 88609,HD  88609,,,,EMP,,,,,10:14:28.992,+53:33:39.240,153.6208,53.5609,,,9.93,9.54,8.62,7.78,7.15,6.665,6.129,6.006,,,-3.07,,,,,,,,,,,,,,,,,,,,,4.43,,,,1.77,,,,,,,-0.97,,,,,,,,,,,,-2.75,,,,,-2.89,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7392,1,ROE10c,Roederer+2010c,HD 101063,HD 101063,,,,MP,,,,,11:37:40.392,-28:51:04.680,174.4183,-28.8513,,,,10.21,9.45,,,7.882,7.425,7.372,,,-1.33,,,,,,,,,,,,,,,,,,,,,6.17,,,,3.3,,,,,,,0.85,,,,,,,,,,,,0.21,,,,,0,,,,,,,,,,,,,,,,<1.1,,,,,,,,,,Yelland
7393,0,ROE10c,Roederer+2010c,HD 103036,V* TY Vir,,,,VMP,,,,,11:51:50.112,-05:45:44.280,177.9588,-5.7623,,,,9.668,7.97,7.57,,5.86,5.247,5.046,,,-2.04,,,,,,,,,,,,,,,,,,,,,5.46,,,,2.8,,,,,,,0.13,,,,,,,,,,,,-0.62,,,,,-1.09,,,,,,,,,,,,,,,,<0.1,,,,,,,,,,Yelland
7394,1,ROE10c,Roederer+2010c,HD 103545,HD 103545,,,,VMP,,,,,11:55:27.168,+09:07:45.120,178.8632,9.1292,,,,9.91,9.2,9.17,,7.608,7.104,6.988,,,-2.45,,,,,,,,,,,,,,,,,,,,,5.05,,,,2.2,,,,,,,-0.5,,,,,,,,,,,,-1.18,,,,,-1.56,,,,,,,,,,,,,,,,<-0.05,,,,,,,,,,Yelland
7395,0,ROE10c,Roederer+2010c,HD 105546,HD 105546,,,,MP,,,,HB,12:09:02.712,+59:01:05.160,182.2613,59.0181,,,,9.27,8.61,8.29,,7.152,6.756,6.674,,,-1.48,,,,,,,,,,,,,,,,,,,,,6.02,,,,3.29,,,,,,,0.74,,,,,,,,,,,,-0.13,,,,,-0.56,,,,,,,,,,,,,,,,<0.8,,,,,,,,,,Yelland
7396,0,ROE10c,Roederer+2010c,HD 105755,HD 105755,,,,SUN,,,,,12:10:15.864,+54:29:17.160,182.5661,54.4881,,,,9.14,8.59,,,7.414,7.126,7.062,,,-0.83,,,,,,,,,,,,,,,,,,,,,6.67,,,,3.98,,,,,,,1.18,,,,,,,,,,,,0.33,,,,,0.02,,,,,,,,,,,,,,,,1.43,,,,,,,,,,Yelland
7397,0,ROE10c,Roederer+2010c,HD 106516,HD 106516,,,,SUN,,,,SB,12:15:10.560,-10:18:44.640,183.794,-10.3124,,,6.44,6.57,6.11,,,5.132,5.004,4.839,,,-0.81,,,,,,,,,,,,,,,,,,,,,6.69,,,,3.94,,,,,,,1.28,,,,,,,,,,,,0.31,,,,,-0.04,,,,,,,,,,,,,,,,1.56,,,,,,,,,,Yelland
7398,0,ROE10c,Roederer+2010c,HD 107752,HD 107752,,,,VMP,,,,,12:22:52.728,+11:36:25.560,185.7197,11.6071,,,,10.79,10.1,,,8.252,7.754,7.661,,,-2.78,,,,,,,,,,,,,,,,,,,,,4.72,,,,1.93,,,,,,,-0.9,,,,,,,,,,,,-1.59,,,,,-1.99,,,,,,,,,,,,,,,,<0.3,,,,,,,,,,Yelland
7399,0,ROE10c,Roederer+2010c,HD 108317,HD 108317,,,,VMP,,,,,12:26:36.840,+05:18:09.000,186.6535,5.3025,,,,,,7.7,,6.623,6.233,6.153,,,-2.18,,,,,,,,,,,,,,,,,,,,,5.32,,,,2.4,,,,,,,-0.39,,,,,,,,,,,,-1.01,,,,,-1.32,,,,,,,,,,,,,,,,0.17,,,,,,,,,,Yelland
7400,0,ROE10c,Roederer+2010c,HD 108577,HD 108577,,,,VMP,,,,,12:28:16.872,+12:20:40.920,187.0703,12.3447,,,,10.18,9.6,9.8,,7.995,7.549,7.46,,,-2.38,,,,,,,,,,,,,,,,,,,,,5.12,,,,2.56,,,,,,,-0.52,,,,,,,,,,,,-1.24,,,,,-1.48,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7401,0,ROE10c,Roederer+2010c,HD 110184,HD 110184,,,,VMP,,,,SB,12:40:14.088,+08:31:37.920,190.0587,8.5272,,,10.2,9.45,8.27,8.52,,6.125,5.505,5.346,,,-2.72,,,,,,,,,,,,,,,,,,,,,4.78,,,,2.14,,,,,,,-0.65,,,,,,,,,,,,-1.47,,,,,-1.71,,,,,,,,,,,,,,,,<-0.2,,,,,,,,,,Yelland
7402,0,ROE10c,Roederer+2010c,HD 115444,HD 115444,,,,VMP,,,,,13:16:42.456,+36:22:52.680,199.1769,36.3813,,,,9.77,8.97,8.3,7.88,7.16,6.702,6.607,,,-2.9,,,,,,,,,,,,,,,,,,,,,4.6,,,,1.9,,,,,,,-0.82,,,,,,,,,,,,-1.42,,,,,-1.64,,,,,,,,,,,,,,,,<-0.45,,,,,,,,,,Yelland
7403,0,ROE10c,Roederer+2010c,HD 119516,HD 119516,,,,VMP,,aDW,Atari,HB,13:43:26.736,+15:34:31.080,205.8614,15.5753,,,,9.59,9.12,,,7.771,7.431,7.366,,,-2.26,,,,,,,,,,,,,,,,,,,,,5.24,,,,2.32,,,,,,,-0.43,,,,,,,,,,,,-1.08,,,,,-1.43,,,,,,,,,,,,,,,,<1.52,,,,,,,,,,Yelland
7404,1,ROE10c,Roederer+2010c,HD 121135,HD 121135,,,,MP,,,,,13:53:33.552,+02:41:41.280,208.3898,2.6948,,,,10.14,9.37,,,7.75,7.3,7.182,,,-1.54,,,,,,,,,,,,,,,,,,,,,5.96,,,,3.37,,,,,,,0.69,,,,,,,,,,,,-0.33,,,,,-0.7,,,,,,,,,,,,,,,,0.38,,,,,,,,,,Yelland
7405,0,ROE10c,Roederer+2010c,HD 122563,HD 122563,,,,VMP,,,,,14:02:31.848,+09:41:09.960,210.6327,9.6861,,,7.47,7.1,6.19,5.37,4.79,4.33,3.76,3.731,,,-2.77,,,,,,,,,,,,,,,,,,,,,4.73,,,,1.97,,,,,,,-0.92,,,,,,,,,,,,-2.4,,,,,-2.75,,,,,,,,,,,,,,,,<-0.42,,,,,,,,,,Yelland
7406,0,ROE10c,Roederer+2010c,HD 122956,HD 122956,,,,MP,,,,,14:05:13.032,-14:51:25.560,211.3043,-14.8571,,,,8.18,7.3,6.88,,5.23,4.766,4.563,,,-1.95,,,,,,,,,,,,,,,,,,,,,5.55,,,,2.87,,,,,,,0.16,,,,,,,,,,,,-0.48,,,,,-0.79,,,,,,,,,,,,,,,,-0.13,,,,,,,,,,Yelland
7407,1,ROE10c,Roederer+2010c,HD 124358,HD 124358,,,,MP,,,,,14:13:21.312,-12:09:24.120,213.3388,-12.1567,,,,10.38,9.54,,,7.643,7.097,7.004,,,-1.91,,,,,,,,,,,,,,,,,,,,,5.59,,,,2.64,,,,,,,-0.22,,,,,,,,,,,,-0.68,,,,,-0.94,,,,,,,,,,,,,,,,<0.45,,,,,,,,,,Yelland
7408,0,ROE10c,Roederer+2010c,HD 126587,HD 126587,,,,VMP,,,,,14:27:00.360,-22:14:39.120,216.7515,-22.2442,,,,9.88,9.6,8.75,,7.258,6.777,6.668,,,-2.93,,,,,,,,,,,,,,,,,,,,,4.57,,,,,,,,,,,-0.53,,,,,,,,,,,,-1.75,,,,,-1.97,,,,,,,,,,,,,,,,<-0.38,,,,,,,,,,Yelland
7409,0,ROE10c,Roederer+2010c,HD 128279,HD 128279,,,,VMP,,SS,Helmi,,14:36:48.504,-29:06:46.440,219.2021,-29.1129,,,8.64,8.63,8.0,,,6.568,6.151,6.065,,,-2.51,,,,,,,,,,,,,,,,,,,,,4.99,,,,2.15,,,,,,,-1.04,,,,,,,,,,,,-1.77,,,,,-2.27,,,,,,,,,,,,,,,,<1.05,,,,,,,,,,Yelland
7410,0,ROE10c,Roederer+2010c,HD 132475,HD 132475,,,,MP,,,,,14:59:49.776,-22:00:45.720,224.9574,-22.0127,,,8.98,9.11,8.55,,,7.327,6.996,6.912,,,-1.86,,,,,,,,,,,,,,,,,,,,,5.64,,,,2.96,,,,,,,0.56,,,,,,,,,,,,-0.38,,,,,-0.92,,,,,,,,,,,,,,,,<1.0,,,,,,,,,,Yelland
7411,0,ROE10c,Roederer+2010c,HD 135148,HD 135148,,,,VMP,,,,SB,15:13:17.448,+12:27:25.560,228.3227,12.4571,,,,10.87,9.39,8.97,,7.137,6.515,6.368,,,-2.17,,,,,,,,,,,,,,,,,,,,,5.33,,,,2.58,,,,,,,-0.25,,,,,,,,,,,,-0.76,,,,,-0.95,,,,,,,,,,,,,,,,-0.17,,,,,,,,,,Yelland
7412,0,ROE10c,Roederer+2010c,HD 141531,HD 141531,,,,MP,,,,,15:49:16.488,+09:36:42.480,237.3187,9.6118,,,,10.31,9.08,8.72,,6.971,6.337,6.215,,,-1.79,,,,,,,,,,,,,,,,,,,,,5.71,,,,2.79,,,,,,,0.11,,,,,,,,,,,,-0.45,,,,,-0.72,,,,,,,,,,,,,,,,0.2,,,,,,,,,,Yelland
7413,0,ROE10c,Roederer+2010c,HD 166161,HD 166161,,,,MP,,,,,18:09:40.680,-08:46:45.480,272.4195,-8.7793,,,9.53,9.13,8.16,,,5.998,5.523,5.344,,,-1.23,,,,,,,,,,,,,,,,,,,,,6.27,,,,3.46,,,,,,,1.11,,,,,,,,,,,,0.23,,,,,-0.48,,,,,,,,,,,,,,,,0.84,,,,,,,,,,Yelland
7414,0,ROE10c,Roederer+2010c,HD 171496,HD 171496,,,,SUN,,,,,18:36:07.488,-24:26:11.400,279.0312,-24.4365,,,,9.59,8.52,,,6.294,5.724,5.594,,,-0.67,,,,,,,,,,,,,,,,,,,,,6.83,,,,4.11,,,,,,,1.4,,,,,,,,,,,,0.51,,,,,0.11,,,,,,,,,,,,,,,,1.41,,,,,,,,,,Yelland
7415,0,ROE10c,Roederer+2010c,HD 175305,HD 175305,,,,MP,,,,RG,18:47:06.432,+74:43:31.440,281.7768,74.7254,,,8.07,7.93,7.18,6.52,6.03,5.613,5.167,5.057,,,-1.73,,,,,,,,,,,,,,,,,,,,,5.77,,,,2.96,,,,,,,0.3,,,,,,,,,,,,-0.6,,,,,-0.89,,,,,,,,,,,,,,,,-0.28,,,,,,,,,,Yelland
7416,0,ROE10c,Roederer+2010c,HD 184266,HD 184266,,,,MP,,,,HB,19:34:15.384,-16:19:00.120,293.5641,-16.3167,,,8.27,8.12,7.57,,,6.252,5.913,5.83,,,-1.43,,,,,,,,,,,,,,,,,,,,,6.07,,,,3.19,,,,,,,0.69,,,,,,,,,,,,-0.11,,,,,-0.43,,,,,,,,,,,,,,,,<1.6,,,,,,,,,,Yelland
7417,0,ROE10c,Roederer+2010c,HD 186478,HD 186478,,,,VMP,,,,SB,19:45:14.136,-17:29:27.240,296.3089,-17.4909,,,,10.116,9.302,8.527,7.961,7.117,6.602,6.443,,,-2.56,,,,,,,,,,,,,,,,,,,,,4.94,,,,2.23,,,,,,,-0.45,,,,,,,,,,,,-1.32,,,,,-1.53,,,,,,,,,,,,,,,,<-0.26,,,,,,,,,,Yelland
7418,0,ROE10c,Roederer+2010c,HD 187111,HD 187111,,,,MP,,,,,19:48:39.576,-12:07:19.560,297.1649,-12.1221,,,,8.92,7.75,,,5.366,4.675,4.55,,,-1.97,,,,,,,,,,,,,,,,,,,,,5.53,,,,2.84,,,,,,,0.16,,,,,,,,,,,,-0.57,,,,,-0.88,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,Yelland
7419,0,ROE10c,Roederer+2010c,HD 188510,HD 188510,,,,MP,,,,,19:55:09.672,+10:44:27.240,298.7903,10.7409,,,9.3,9.41,,8.5,,7.57,7.221,7.125,,,-1.32,,,,,,,,,,,,,,,,,,,,,6.18,,,,3.01,,,,,,,0.44,,,,,,,,,,,,-0.14,,,,,-0.52,,,,,,,,,,,,,,,,<1.2,,,,,,,,,,Yelland
7420,0,ROE10c,Roederer+2010c,HD 193901,HD 193901,,,,MP,,,,,20:23:35.856,-21:22:14.160,305.8994,-21.3706,,,9.08,9.22,8.67,8.17,7.87,7.5,7.219,7.144,,,-1.08,,,,,,,,,,,,,,,,,,,,,6.42,,,,3.36,,,,,,,0.83,,,,,,,,,,,,0.19,,,,,-0.1,,,,,,,,,,,,,,,,<1.45,,,,,,,,,,Yelland
7421,0,ROE10c,Roederer+2010c,HD 194598,HD 194598,,,,MP,,,,,20:26:11.928,+09:27:00.360,306.5497,9.4501,,,8.62,8.82,8.34,7.9,7.56,7.326,7.039,6.982,,,-1.08,,,,,,,,,,,,,,,,,,,,,6.42,,,,3.4,,,,,,,0.9,,,,,,,,,,,,0.08,,,,,-0.28,,,,,,,,,,,,,,,,<1.4,,,,,,,,,,Yelland
7422,0,ROE10c,Roederer+2010c,HD 201891,HD 201891,,,,MP,,,,,21:11:59.040,+17:43:39.720,317.996,17.7277,,,7.74,7.88,7.37,6.91,6.59,6.254,5.993,5.935,,,-1.09,,,,,,,,,,,,,,,,,,,,,6.41,,,,3.55,,,,,,,0.88,,,,,,,,,,,,0.12,,,,,-0.22,,,,,,,,,,,,,,,,1.25,,,,,,,,,,Yelland
7423,0,ROE10c,Roederer+2010c,HD 204543,HD 204543,,,,MP,,,,,21:29:28.224,-03:30:55.440,322.3676,-3.5154,,,,9.17,8.3,7.99,,6.462,5.898,5.777,,,-1.87,,,,,,,,,,,,,,,,,,,,,5.63,,,,,,,,,,,0.12,,,,,,,,,,,,-0.63,,,,,-1.05,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Yelland
7424,0,ROE10c,Roederer+2010c,HD 206739,HD 206739,,,,MP,,,,,21:44:23.952,-11:46:22.800,326.0998,-11.773,,,,9.45,8.6,8.14,,6.698,6.138,6.033,,,-1.72,,,,,,,,,,,,,,,,,,,,,5.78,,,,2.98,,,,,,,0.36,,,,,,,,,,,,-0.32,,,,,-0.62,,,,,,,,,,,,,,,,0.38,,,,,,,,,,Yelland
7425,0,ROE10c,Roederer+2010c,HD 210295,HD 210295,,,,MP,,,,,22:09:41.448,-13:36:19.440,332.4227,-13.6054,,,,10.49,10.1,,,7.839,7.315,7.183,,,-1.46,,,,,,,,,,,,,,,,,,,,,6.04,,,,3.37,,,,,,,0.85,,,,,,,,,,,,-0.1,,,,,-0.34,,,,,,,,,,,,,,,,0.72,,,,,,,,,,Yelland
