StarID,Species,lambda,References,EW,logepsX
628,Fe I,649.6465,-0.570,FMW,9.10,7.21
628,Fe I,670.3565,-3.160,FMW,7.53,6.99
628,Fe II,483.3197,-4.780,FMW,0.0,0.0
628,Fe II,492.3927,-1.320,FMW,0.0,0.0
628,Fe II,499.3358,-3.650,FMW,8.35,7.43
628,Fe II,510.0664,-4.370,FMW,3.76,7.23
628,Fe II,513.2669,-4.180,FMW,4.43,7.18
628,Fe II,516.1184,-4.483,K88,0.0,0.0
628,Fe II,525.6937,-4.250,K88,0.0,0.0
628,Fe II,526.4812,-3.190,FMW,7.10,7.21
628,Fe II,614.9259,-2.724,K88,4.89,7.09
628,Co I,533.1700,-6.473,K88,0.02,4.18
628,Co I,553.0700,-2.060,FMW,0.02,4.11
628,Ni I,585.7747,-0.636,K88,0.0,0.0
628,Ni I,612.8963,-3.330,FMW,6.81,5.59
628,Ni I,613.0130,-0.960,FMW,3.14,5.77
628,Ni I,617.5360,-0.530,FMW,5.69,5.58
628,Ni I,617.6807,-0.260,LW,7.10,5.55
628,Ni I,617.7236,-3.5,FMW,4.24,5.54
628,Cu I,510.5500,-1.516,BIEL,0.02,3.06
628,Zn I,481.0528,-0.170,BG,0.0,0.0
628,YI I,488.3683,0.070,HL,10.65,1.66
628,YI I,498.2130,-1.290,HL,5.81,1.95
628,YI I,508.7417,-0.170,HL,9.20,1.54
628,YI I,511.9113,-1.360,HL,4.82,1.78
628,Ba II,649.6896,-0.377,NBS,21.52,2.27
628,La II,480.4039,-1.490,LA,7.18,1.75
628,La II,511.4558,-1.030,LA,9.46,1.72
628,La II,632.0377,-1.610,ABH,0.0,0.0
628,Ce II,518.7457,0.130,H,5.,1.61
628,Ce II,533.0556,-0.360,H,4.30,1.55
628,Ce II,546.8372,0.140,H,3.69,1.57
628,Ce II,604.3374,-0.430,H,2.31,1.58
628,Nd II,491.4382,-0.7,HA,8.19,1.80
628,Nd II,495.9119,-0.8,HA,9.71,1.83
628,Nd II,496.1387,-0.710,MC',5.31,1.55
628,Nd II,508.9832,-1.160,MC',4.63,1.35
628,Nd II,529.3162,0.1,HA,0.0,0.0
628,Nd II,543.1515,-0.470,HA,0.0,0.0
628,Nd II,548.5695,-0.120,HA,0.0,0.0
635,O I,630.0304,-9.717,STZ,0.01,8.33
635,Na I,568.2633,-0.7,KP,7.56,5.33
635,Na I,615.4227,-1.560,KP,1.95,5.21
635,Na I,616.0747,-1.260,KP,3.60,5.26
635,Mg I,552.8405,-0.552,GC,22.55,7.07
635,Mg I,571.1087,-1.729,GC,10.81,6.92
635,Mg I,631.8716,-1.945,GC,5.83,7.28
635,Mg I,631.9237,-2.165,GC,3.66,7.15
635,Al I,669.8673,-1.647,NBS,0.0,0.0
635,Si I,577.2147,-1.750,GARZ,0.0,0.0
635,Si I,594.8541,-1.230,GARZ,8.26,7.21
635,Si I,612.5021,-1.540,ED,0.0,0.0
635,Si I,614.2482,-1.480,ED,3.21,7.18
635,Si I,614.5015,-1.430,ED,3.28,7.15
635,Si I,615.5134,-0.770,ED,5.64,6.93
635,Ca I,551.2980,-0.447,SR,10.64,5.91
635,Ca I,560.1277,-0.523,SR,0.0,0.0
635,Ca I,585.7451,0.240,SR,14.22,5.84
635,Ca I,586.7562,-1.490,GC,3.22,5.61
635,Ca I,612.2217,-0.315,NIST,19.53,5.82
635,Ca I,615.6022,-2.180,NIST,0.0,0.0
635,Ca I,616.1296,-1.266,SR,9.33,5.94
635,Ca I,616.2174,0.1,NBS,0.0,0.0
635,Ca I,616.6438,-1.142,SR,9.54,5.85
635,Ca I,616.9042,-0.797,SR,10.88,5.77
635,Ca I,616.9562,-0.270,NBS,0.0,0.0
635,Ca I,643.9075,0.390,SR,17.94,5.78
635,Ca I,645.5597,-1.290,SR,8.05,5.71
635,Ca I,649.3781,-0.109,SR,15.03,5.83
635,Ca I,649.9650,-0.818,SR,10.91,5.77
635,Ca I,650.8850,-2.110,NBS,0.0,0.0
635,Ca I,679.8479,-2.320,K88,0.0,0.0
635,Sc II,552.6790,0.130,MFW,10.42,2.45
635,Sc II,632.0852,-1.770,NBS,0.0,0.0
635,Ti I,488.5078,0.358,MFW,0.0,0.0
635,Ti I,491.5229,-1.019,MFW,0.0,0.0
635,Ti I,499.7097,-2.118,MFW,7.97,3.95
635,Ti I,508.7058,-0.780,MFW,5.73,4.05
635,Ti I,586.6450,-0.840,MFW,9.16,4.16
