StarID,Name,Species,logepsX_sun,l_logepsX,logepsX,e_logepsX
927,Sgr-927,Ni I,6.25,,5.58,0.13
927,Sgr-927,Sc II,3.17,,2.71,
927,Sgr-927,Ba II,2.13,,2.46,
927,Sgr-927,Ca I,6.36,,5.99,0.16
927,Sgr-927,Ce II,1.58,,1.82,0.14
927,Sgr-927,Na I,6.33,,6.00,0.14
927,Sgr-927,Y II,2.24,,1.84,0.04
927,Sgr-927,O I,8.72,,8.45,
927,Sgr-927,La II,1.13,,1.52,0.02
927,Sgr-927,Fe I,7.50,,7.26,0.14
927,Sgr-927,Fe II,7.50,,7.30,0.08
927,Sgr-927,V I,4.00,,3.52,0.11
927,Sgr-927,Nd II,1.50,,2.08,0.22
927,Sgr-927,Ti I,5.02,,4.40,0.19
927,Sgr-927,Co I,4.92,,4.31,0.08
927,Sgr-927,Al I,6.47,,5.70,
927,Sgr-927,Mn I,5.39,,4.79,
927,Sgr-927,Mg I,7.58,,7.08,0.09
927,Sgr-927,Cr II,5.67,,5.74,
1272,Ter7-1272,Nd II,1.50,,1.07,0.10
1272,Ter7-1272,O I,8.72,,8.17,
1272,Ter7-1272,Ce II,1.58,,1.03,0.11
1272,Ter7-1272,Y II,2.24,,1.18,0.11
1272,Ter7-1272,Zn I,4.60,,3.39,
1272,Ter7-1272,Si I,7.55,,6.91,0.16
1272,Ter7-1272,Mg I,7.58,,6.88,0.13
1272,Ter7-1272,Ba II,2.13,,1.81,
1272,Ter7-1272,Al I,6.47,,5.55,0.11
1272,Ter7-1272,Na I,6.33,,5.49,0.02
1272,Ter7-1272,La II,1.13,,0.85,0.07
1272,Ter7-1272,Ca I,6.36,,,
1272,Ter7-1272,S I,,,5.88,0.09
1272,Ter7-1272,Fe II,7.50,,6.85,0.06
1272,Ter7-1272,Mn I,5.39,,4.47,
1272,Ter7-1272,Ti I,5.02,,4.47,0.09
1272,Ter7-1272,Cr II,5.67,,4.99,0.02
1272,Ter7-1272,Sc II,3.17,,2.15,0.01
1272,Ter7-1272,Cu I,4.21,,3.14,
1272,Ter7-1272,Co I,4.92,,4.11,0.12
1272,Ter7-1272,Ni I,6.25,,5.32,0.09
1272,Ter7-1272,V I,4.00,,3.35,0.16
1272,Ter7-1272,Fe I,7.50,,6.83,0.08
1282,Ter7-1282,Co I,4.92,,4.27,0.09
1282,Ter7-1282,La II,1.13,,1.15,0.21
1282,Ter7-1282,Fe II,7.50,,6.92,0.10
1282,Ter7-1282,Si I,7.55,,7.06,0.11
1282,Ter7-1282,Sc II,3.17,,2.36,0.04
1282,Ter7-1282,Ba II,2.13,,2.01,
1282,Ter7-1282,Y II,2.24,,1.42,0.19
1282,Ter7-1282,Ni I,6.25,,5.47,0.08
1282,Ter7-1282,V I,4.00,,3.35,0.03
1282,Ter7-1282,Fe I,7.50,,6.96,0.11
1282,Ter7-1282,Mn I,5.39,,4.58,
1282,Ter7-1282,Na I,6.33,,5.48,0.06
1282,Ter7-1282,Mg I,7.58,,6.88,0.05
1282,Ter7-1282,Zn I,4.60,,3.88,
1282,Ter7-1282,Nd II,1.50,,1.40,0.19
1282,Ter7-1282,S I,,,5.74,0.09
1282,Ter7-1282,Cu I,4.21,,2.91,
1282,Ter7-1282,Cr II,5.67,,5.05,0.04
1282,Ter7-1282,Ca I,6.36,,6.62,0.04
1282,Ter7-1282,O I,8.72,,8.36,
1282,Ter7-1282,Ce II,1.58,,1.27,0.14
1282,Ter7-1282,Al I,6.47,,5.47,0.01
1282,Ter7-1282,Ti I,5.02,,4.50,0.13
1515,Ter7-1515,Mg I,7.58,,6.99,0.09
1515,Ter7-1515,Ba II,2.13,,2.09,
1515,Ter7-1515,La II,1.13,,1.07,0.10
1515,Ter7-1515,Cr II,5.67,,5.02,0.04
1515,Ter7-1515,Ti I,5.02,,4.52,0.07
1515,Ter7-1515,Ce II,1.58,,1.51,0.11
1515,Ter7-1515,Co I,4.92,,4.25,0.09
1515,Ter7-1515,Sc II,3.17,,2.42,0.04
1515,Ter7-1515,Zn I,4.60,,3.81,
1515,Ter7-1515,Fe I,7.50,,6.94,0.09
1515,Ter7-1515,Si I,7.55,,7.14,0.05
1515,Ter7-1515,Mn I,5.39,,4.45,
1515,Ter7-1515,O I,8.72,,,
1515,Ter7-1515,Ni I,6.25,,5.54,0.05
1515,Ter7-1515,S I,,,5.85,0.10
1515,Ter7-1515,Cu I,4.21,,3.22,
1515,Ter7-1515,Y II,2.24,,1.61,0.13
1515,Ter7-1515,V I,4.00,,3.43,0.04
1515,Ter7-1515,Na I,6.33,,5.42,0.04
1515,Ter7-1515,Ca I,6.36,,,
1515,Ter7-1515,Al I,6.47,,5.66,
1515,Ter7-1515,Nd II,1.50,,1.47,0.21
1515,Ter7-1515,Fe II,7.50,,6.89,0.08
1665,Ter7-1665,La II,1.13,,1.09,0.18
1665,Ter7-1665,Fe I,7.50,,6.99,0.14
1665,Ter7-1665,O I,8.72,,8.43,
1665,Ter7-1665,Na I,6.33,,5.49,0.07
1665,Ter7-1665,V I,4.00,,3.43,0.07
1665,Ter7-1665,Ce II,1.58,,,
1665,Ter7-1665,Ti I,5.02,,4.59,0.21
1665,Ter7-1665,Ca I,6.36,,6.62,0.04
1665,Ter7-1665,Nd II,1.50,,,
1665,Ter7-1665,S I,,,5.79,0.11
1665,Ter7-1665,Zn I,4.60,,,
1665,Ter7-1665,Si I,7.55,,7.00,0.12
1665,Ter7-1665,Ni I,6.25,,5.49,0.13
1665,Ter7-1665,Sc II,3.17,,2.30,0.04
1665,Ter7-1665,Fe II,7.50,,6.98,0.09
1665,Ter7-1665,Y II,2.24,,1.79,
1665,Ter7-1665,Al I,6.47,,5.43,0.02
1665,Ter7-1665,Cr II,5.67,,5.17,0.08
1665,Ter7-1665,Co I,4.92,,4.10,
1665,Ter7-1665,Ba II,2.13,,,
1665,Ter7-1665,Cu I,4.21,,,
1665,Ter7-1665,Mg I,7.58,,6.93,0.12
1665,Ter7-1665,Mn I,5.39,,,
1708,Ter7-1708,Mn I,5.39,,,
1708,Ter7-1708,O I,8.72,,8.34,
1708,Ter7-1708,Ce II,1.58,,,
1708,Ter7-1708,Cr II,5.67,,5.03,0.09
1708,Ter7-1708,Cu I,4.21,,,
1708,Ter7-1708,Ba II,2.13,,1.90,
1708,Ter7-1708,V I,4.00,,3.20,0.03
1708,Ter7-1708,Ca I,6.36,,6.59,0.04
1708,Ter7-1708,S I,,,5.65,0.05
1708,Ter7-1708,Zn I,4.60,,,
1708,Ter7-1708,Si I,7.55,,6.98,0.20
1708,Ter7-1708,Ni I,6.25,,5.52,0.11
1708,Ter7-1708,Y II,2.24,,1.47,
1708,Ter7-1708,Fe I,7.50,,6.94,0.12
1708,Ter7-1708,Al I,6.47,,5.43,
1708,Ter7-1708,Co I,4.92,,4.01,
1708,Ter7-1708,Mg I,7.58,,6.84,0.08
1708,Ter7-1708,Ti I,5.02,,4.39,0.11
1708,Ter7-1708,Fe II,7.50,,6.96,0.06
1708,Ter7-1708,La II,1.13,,0.88,0.10
1708,Ter7-1708,Na I,6.33,,5.32,0.04
1708,Ter7-1708,Sc II,3.17,,2.29,0.15
1708,Ter7-1708,Nd II,1.50,,,
