ID,Simbad_Identifier,UFD,Starname,RA_hms,DEC_dms,R/R_h,RV,G,BP-RP,PSAT,[Fe/H],source
142,Gaia DR3 1230823312184726272,Bootes I,Boo-8,209.91088,14.32108,1.19,107.50,18.46,1.01,0.98,-2.75,d
143,Gaia DR3 1230773937240652800,Bootes I,Boo-78,210.06138,14.22053,1.54,103.50,18.63,1.07,1.00,-2.46,d
144,Gaia DR3 1230775345989954048,Bootes I,Boo-34,210.08794,14.29109,1.23,111.25,18.07,1.14,1.00,-3.10,d
145,Gaia DR3 1231035483568837120,Bootes I,,209.42329,14.58663,4.18,98.70,19.83,1.02,0.65,-1.92,n
146,Gaia DR3 1230843309552514304,Bootes I,,209.57916,14.50216,3.06,123.80,19.40,1.00,0.91,-2.43,n
147,Gaia DR3 1231031497839177728,Bootes I,,209.59272,14.54056,2.99,106.50,18.87,1.02,0.92,-2.30,n
148,Gaia DR3 1231074516231323136,Bootes I,,209.85213,15.04768,3.24,114.30,19.81,0.84,0.67,-2.17,n
149,Gaia DR3 1230874542554264832,Bootes I,,210.05695,14.75375,1.36,98.20,19.97,1.02,0.98,-3.97,n
150,Gaia DR3 1230887118218565632,Bootes I,,210.06789,14.94406,2.38,105.00,19.30,0.98,0.98,-2.56,n
151,Gaia DR3 1230874954871117824,Bootes I,,210.11529,14.73794,1.38,114.10,20.05,0.95,0.98,-2.46,n
152,Gaia DR3 1230769470474643456,Bootes I,,210.11893,14.12933,2.13,93.30,19.31,0.93,0.96,-2.80,n
153,Gaia DR3 1230861142257868032,Bootes I,,210.16386,14.66974,1.27,94.80,20.12,0.99,0.91,-3.98,n
154,Gaia DR3 1229998300506922496,Bootes I,,210.35767,13.88567,4.14,107.60,19.83,0.75,0.19,-1.90,n
155,Gaia DR3 1231095269513901568,Bootes I,,210.02997,15.23860,3.96,96.80,19.78,0.93,0.75,-3.99,n
156,Gaia DR3 1231068881234192640,Bootes I,,210.03399,14.92352,2.27,116.00,19.88,0.85,0.74,-2.59,n
157,Gaia DR3 1230672610372100096,Bootes I,,209.99684,13.99147,2.72,104.40,19.29,0.96,0.76,-2.45,n
158,Gaia DR3 1230849081988080896,Bootes I,,210.04421,14.63995,0.75,101.19,19.36,1.06,0.99,-3.00,k,n
159,Gaia DR3 1230848326073809408,Bootes I,,209.98056,14.58134,0.55,100.03,19.14,1.10,1.00,-2.60,k,n,p
160,Gaia DR3 1230847089123225856,Bootes I,,209.93098,14.57732,0.79,99.81,20.26,0.79,0.75,-2.28,k,p
161,Gaia DR3 1230849425585454592,Bootes I,,209.93573,14.61934,0.92,97.93,19.87,1.04,0.99,-2.43,k,p
162,Gaia DR3 1230826988676907520,Bootes I,,209.93776,14.39093,0.81,102.84,20.75,0.45,0.82,-1.99,k,p
163,Gaia DR3 1230827297914411520,Bootes I,,209.94307,14.41995,0.68,98.07,19.89,0.85,0.55,-2.62,k,p
164,Gaia DR3 1230848772750422272,Bootes I,,209.95056,14.61297,0.82,103.20,20.37,0.82,0.80,-2.14,k,p
