JINA_ID,I/O,Ref,Reference,Name,Simbad_Identifier,ulli,ulbe,ulc,uln,ulo,ulf,ulna,ulmg,ulal,ulsi,ulp,uls,ulk,ulca,ulsc,ulti1,ulv,ulcr,ulmn,ulfe,ulco,ulni,ulcu,ulzn,ulga,ulge,ulas,ulse,ulrb,ulsr,uly,ulzr,ulnb,ulmo,ulru,ulrh,ulpd,ulag,ulcd,ulsn,ulte,ulba,ulla,ulce,ulpr,ulnd,ulsm,uleu,ulgd,ultb,uldy,ulho,uler,ultm,ulyb,ullu,ulhf,ulw,ulos,ulir,ulpt,ulau,ulhg,ulpb,ulbi,ulth,ulu,ulca2,ulti,ulv2,ulcr2,ulmn2,ulfe2
1507,0,NOR01,Norris+2001,CD-38245,CD-38   245,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1508,0,NOR02,Norris+2002,CD-38245,CD-38   245,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1509,1,ROE14c,Roederer+2014c,CD-38245,CD-38   245,1,*,1,1,1,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,1,*,1,1,1,1,*,*,*,*,*,1,*,*,*,1,1,1,1,1,1,1,1,*,1,1,1,*,1,*,*,1,*,*,*,1,*,1,*,*,*,1,*,*,*
1510,0,RYA96,Ryan+1996,CD-38245,CD-38   245,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1511,0,RYA96,Ryan+1996,CD-38245,CD-38   245,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1512,0,SPI12b,Spite+2012b,CD-38245,CD-38   245,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1513,1,RUC11a,Ruchti+2011a,J220403.6-402918,CD-41 14740,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1514,1,RUC11a,Ruchti+2011a,J014907.9-491142,CD-49   506,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1515,0,ARN05,Arnone+2005,CD-711234,CD-71  1234,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1516,0,HOS09,Hosford+2009,CD-711234,CD-71  1234,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1517,0,RYA91,Ryan+1991,NLTT41891,CD-71  1234,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1518,0,AOK07c,Aoki+2007c,COS82,2MASS J15095862+6716200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1519,0,PRE06a,Preston+2006a,CS22891-184,BPS CS 22891-0184,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1520,1,ROE14c,Roederer+2014c,CS22891-184,BPS CS 22891-0184,1,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,1,*,*,*,*,1,*,*,*,*,*,*,*,*,*,1,1,1,1,1,1,1,1,*,1,1,*,*,1,*,*,*,*,*,*,1,*,1,*,*,*,*,*,*,*
1521,0,PRE06a,Preston+2006a,CS22951-077,BPS CS 22951-0077,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1522,1,ROE14c,Roederer+2014c,CS22951-077,BPS CS 22951-0077,1,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,1,*,*,*,1,1,*,*,*,1,1,*,*,*,*,*,*,1,*,*,*,*,*,*,1,*,1,*,*,*,*,*,*,*
1523,1,JI16b,Ji+2016b,Star3,DES J033447.93-540525.0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1524,0,ROE16b,Roederer+2016b,Star1(Ret2-80),DES J033447.93-540525.0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1525,1,JI16b,Ji+2016b,Star9,[WMO2015] 79,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,1,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1526,1,JI16b,Ji+2016b,Star8,[WMO2015] 129,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1527,0,JI16b,Ji+2016b,Star1,[KCB2015] Reti  4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1528,0,ROE16b,Roederer+2016b,Star2,[KCB2015] Reti  4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
