Ion,lambda,ExPot,log(gf),l_M686022,M686022,f_M686022,l_M686023,M686023,f_M686023,l_M686024,M686024,f_M686024,l_Car1087,Car1087,f_Car1087,l_Car5070,Car5070,f_Car5070,l_Car7002,Car7002,f_Car7002
Fe I,6246.32,3.6,-0.733,,35.5,,,,,,,,,,,,59.2,,,,
Fe I,6252.555,2.4,-1.767,,80.1,,,83.5,,,65.9,,,,,,96.1,,,53.1,
Fe I,6254.26,2.28,-2.443,,44.8,,,47.8,,,36.1,,,,,,86.1,,,,
Fe I,6265.134,2.18,-2.54,,41.9,,,45.0,,,,,,,,,92.4,,,,
Fe I,6297.792,2.22,-2.64,,51.8,,,57.0,,,49.2,,,52.7,,,,,,,
Fe I,6301.5,3.65,-0.72,,48.3,,,48.2,,,,,,,,,,,,,
Fe I,6335.33,2.2,-2.177,,55.0,,,66.8,,,57.3,,,,,,104.3,,,,
Fe I,6336.82,3.69,-1.05,,32.7,,,35.9,,,,,,,,,60.6,,,,
Fe I,6355.029,2.84,-2.291,,,,,,,,,,,,,,66.9,,,,
Fe I,6393.61,2.43,-1.576,,90.1,,,75.6,,,87.6,,,,,,125.9,,,74.1,
Fe I,6400.0,3.6,-0.29,,63.5,,,76.5,,,57.1,,,,,,123.2,,,,
Fe I,6408.03,3.69,-1.0,,,,,,,,,,,,,,43.2,,,,
Fe I,6411.649,3.65,-0.717,,38.5,,,44.1,,,35.0,,,,,,56.4,,,,
Fe I,6421.35,2.28,-2.014,,75.0,,,67.8,,,65.5,,,73.7,,,125.0,,,63.7,
Fe I,6430.846,2.18,-1.946,,85.3,,,75.5,,,76.1,,,,,,142.9,,,58.1,
Fe I,6481.869,2.27,-3.01,,32.5,,,33.1,,,30.4,,,,,,,,,,
Fe I,6494.98,2.4,-1.239,,98.4,,,101.3,,,91.1,,,72.0,,,124.7,,,89.7,
Fe I,6592.91,2.73,-1.47,,55.9,,,64.7,,,43.6,,,58.5,,,,,,,
Fe I,6677.99,2.69,-1.42,,82.1,,,80.9,,,83.6,,,61.4,,,88.7,,,54.0,
Fe I,6750.15,2.42,-2.621,,30.5,,,,,,,,,,,,,,,,
Fe II,4178.86,2.57,-2.53,,64.0,,,69.6,,,52.1,,,,,,99.2,,,71.6,
Fe II,4233.17,2.57,-2.0,,79.0,,,,,,76.4,,,100.5,,,127.0,,,101.0,
Fe II,4416.83,2.78,-2.61,,62.8,,,60.8,,,62.4,,,49.5,,,,,,,
Fe II,4489.18,2.83,-2.97,,39.0,,,43.5,,,36.6,,,,,,,,,,
Fe II,4491.4,2.86,-2.69,,45.1,,,44.3,,,45.8,,,,,,,,,,
Fe II,4508.29,2.86,-2.22,,70.7,,,71.5,,,63.7,,,,,,95.7,,,,
Fe II,4515.34,2.84,-2.48,,68.6,,,,,,62.6,,,,,,65.5,,,,
Fe II,4520.22,2.81,-2.61,,63.5,,,61.5,,,51.6,,,,,,,,,40.0,
Fe II,4541.52,2.86,-3.05,,40.2,,,39.8,,,39.5,,,,,,,,,,
Fe II,4555.89,2.83,-2.28,,56.5,,,66.1,,,,,,,,,78.4,,,,
Fe II,4576.34,2.84,-3.04,,38.9,,,41.1,,,41.1,,,,,,,,,,
Fe II,4582.84,2.84,-3.09,,,,,36.1,,,37.7,,,,,,50.7,,,49.1,
Fe II,4583.83,2.81,-2.02,,89.5,,,100.7,,,,,,92.4,,,,,,,
Fe II,4629.34,2.81,-2.38,,70.3,,,64.8,,,60.5,,,47.8,,,98.4,,,50.5,
Fe II,4731.45,2.89,-3.37,,33.1,,,,,,34.3,,,,,,50.6,,,,
Fe II,4923.92,2.89,-1.32,,92.9,,,112.4,,,103.0,,,117.4,,,164.3,,,,
Fe II,5018.43,2.89,-1.22,,116.1,,,117.3,,,119.0,,,131.0,,,131.1,,,89.7,
Fe II,5197.57,3.23,-2.1,,,,,45.7,,,,,,51.5,,,,,,,
Fe II,5234.63,3.22,-2.118,,57.2,,,53.8,,,48.8,,,,,,,,,,
Fe II,5276.0,3.2,-1.95,,,,,43.2,,,,,,,,,43.5,,,,
Fe II,5284.1,2.89,-3.19,,34.2,,,,,,,,,,,,,,,,
Fe II,5534.85,3.24,-2.92,,30.9,,,34.7,,,41.2,,,,,,,,,,
Fe II,6516.08,2.89,-3.45,,,,,31.9,,,,,,,,,,,,,
O I,6300.31,0.0,-9.75,<,30.0,,<,30.0,,<,30.0,,<,40.0,,<,40.0,,<,40.0,
Na I,5688.21,2.1,-0.37,,,,,32.0,S,,,,,,,,,,,,
Na I,5889.97,0.0,0.11,,231.0,S,,227.0,S,,194.0,S,,110.0,S,,240.0,S,,170.0,S
Na I,5895.924,0.0,-0.19,,200.0,S,,198.0,S,,158.0,S,,134.0,S,,245.0,S,,172.0,S
Mg I,3829.355,2.71,-0.21,,180.0,S,,160.0,S,,169.0,S,,,,,,,,,
Mg I,3832.304,2.71,0.15,,187.0,S,,173.0,S,,200.0,S,,,,,,,,,
Mg I,5172.7,2.71,-0.38,,190.0,S,,167.0,S,,185.0,S,,,,,,,,200.0,S
Mg I,5528.41,4.34,-0.48,,55.0,,,40.8,,,39.9,,,83.0,,,74.4,,,55.0,
Si I,5684.52,4.93,-1.65,,,,,,,,,,<,40.0,,<,40.0,,<,40.0,
Si I,6155.14,5.62,-0.8,<,30.0,,<,30.0,,<,30.0,,<,40.0,,<,40.0,,<,40.0,
Ca I,4318.66,1.9,-0.21,,78.1,,,79.2,,,75.9,,,,,,,,,,
Ca I,4425.44,1.88,-0.36,,78.1,,,73.8,,,79.2,,,,,,55.8,,,,
Ca I,4435.68,1.89,-0.52,,82.3,,,75.3,,,87.4,,,,,,71.0,,,,
Ca I,4454.79,1.9,0.26,,109.7,,,105.9,,,108.4,,,,,,116.0,,,,
Ca I,4455.89,1.9,-0.53,,68.2,,,62.6,,,61.6,,,,,,105.3,,,,
Ca I,5588.749,2.52,0.21,,70.0,,,68.6,,,61.6,,,,,,62.3,,,44.4,
Ca I,5594.47,2.52,0.097,,56.0,,,60.8,,,49.6,,,,,,85.3,,,,
Ca I,5598.49,2.52,-0.087,,45.0,,,45.9,,,40.4,,,,,,75.5,,,47.7,
Ca I,5857.451,2.93,0.23,,43.6,,,52.9,,,34.8,,,,,,,,,,
Ca I,6102.73,1.88,-0.79,,69.0,,,49.4,,,57.7,,,,,,,,,40.0,
Ca I,6122.23,1.89,-0.32,,93.5,,,95.4,,,85.3,,,40.0,,,,,,40.0,
Ca I,6162.173,1.9,-0.09,,101.1,,,116.2,,,97.4,,,52.7,,,,,,54.6,
Ca I,6169.56,2.52,-0.48,,44.1,,,33.7,,,,,,,,,,,,,
Ca I,6439.08,2.52,0.39,,91.3,,,89.1,,,76.2,,,65.1,,,88.7,,,49.6,
Ca I,6449.81,2.52,-0.502,,,,,34.5,,,45.7,,,,,,58.0,,,,
Ca I,6471.67,2.52,-0.76,,33.4,,,,,,,,,,,,,,,,
Ca I,6493.79,2.52,-0.32,,61.4,,,54.6,,,53.1,,,,,,,,,,
Ca I,6717.681,2.71,-0.61,,36.3,,,,,,,,,,,,,,,,
Sc II,4246.822,0.32,0.24,,148.4,,,140.0,,,140.2,,,,,,130.3,,,,
Sc II,4314.083,0.62,-0.1,,132.9,,,132.4,,,123.2,,,120.4,,,186.1,,,,
Sc II,4320.73,0.6,-0.26,,,,,,,,,,,78.0,,,,,,,
Sc II,4325.0,0.6,-0.44,,113.3,,,77.6,,,104.8,,,,,,93.1,,,87.6,
Sc II,4400.389,0.61,-0.54,,104.7,,,107.9,,,94.6,,,85.6,,,100.1,,,88.5,
Sc II,4415.56,0.6,-0.64,,89.7,,,93.4,,,87.8,,,,,,79.1,,,66.2,
Sc II,4670.41,1.36,-0.58,,47.1,,,49.8,,,46.6,,,,,,,,,60.1,
Sc II,5031.021,1.36,-0.4,,66.8,,,67.7,,,62.3,,,,,,,,,,
Sc II,5239.81,1.46,-0.77,,44.2,,,36.3,,,33.1,,,,,,,,,,
Sc II,5526.79,1.77,0.03,,,,,31.3,,,,,,54.1,,,,,,,
Sc II,5657.91,1.51,-0.6,,54.9,,,55.4,,,50.0,,,52.1,,,67.8,,,,
Sc II,5667.16,1.5,-1.31,,,,,,,,,,,,,,65.2,,,,
Sc II,5684.21,1.51,-1.07,,39.4,,,,,,,,,,,,,,,,
Sc II,6604.58,1.36,-1.31,,,,,,,,,,,,,,56.1,,,,
Ti I,3904.78,0.9,0.03,,,,,33.9,,,,,,,,,,,,,
Ti I,3924.53,0.02,-0.881,,,,,34.6,,,,,,,,,,,,,
Ti I,3958.22,0.05,-0.16,,,,,80.9,,,89.2,,,,,,,,,,
Ti I,3989.76,0.02,-0.142,,73.0,,,75.1,,,90.1,,,92.2,,,,,,,
Ti I,3998.64,0.05,-0.05,,66.4,,,,,,,,,,,,,,,,
Ti I,4008.93,0.02,-1.016,,,,,61.2,,,51.8,,,,,,,,,,
Ti I,4512.73,0.84,-0.424,,35.3,,,,,,31.3,,,,,,,,,,
Ti I,4533.25,0.85,0.48,,83.3,,,70.9,,,66.4,,,,,,51.7,,,,
Ti I,4534.78,0.84,0.28,,70.5,,,62.0,,,57.9,,,,,,,,,40.0,
Ti I,4535.57,0.83,0.12,,60.8,,,59.4,,,59.3,,,,,,,,,40.7,
Ti I,4544.69,0.82,-0.52,,35.8,,,,,,,,,,,,56.9,,,,
Ti I,4548.76,0.83,-0.298,,38.9,,,40.8,,,,,,,,,,,,,
Ti I,4681.91,0.05,-1.015,,54.0,,,47.4,,,49.5,,,,,,108.6,,,,
Ti I,4840.87,0.9,-0.45,,30.1,,,,,,,,,46.9,,,,,,,
Ti I,4981.731,0.84,0.5,,77.6,,,70.5,,,69.1,,,,,,101.3,,,,
Ti I,4991.065,0.84,0.38,,78.4,,,77.4,,,88.6,,,,,,,,,,
Ti I,4999.503,0.83,0.25,,61.6,,,60.2,,,38.2,,,84.4,,,66.0,,,,
Ti I,5007.21,0.82,0.168,,79.9,,,76.0,,,95.6,,,,,,114.3,,,,
Ti I,5016.16,0.85,-0.51,,,,,35.5,,,,,,,,,,,,,
Ti I,5020.02,0.84,-0.358,,50.2,,,,,,34.4,,,,,,,,,,
Ti I,5024.84,0.82,-0.546,,37.8,,,,,,,,,,,,,,,,
Ti I,5035.9,1.46,0.26,,35.0,,,32.4,,,39.6,,,,,,,,,,
Ti I,5036.46,1.44,0.186,,32.4,,,33.9,,,45.0,,,,,,,,,,
Ti I,5038.4,1.43,0.069,,,,,,,,30.3,,,,,,,,,,
Ti I,5039.957,0.02,-1.13,,50.9,,,49.3,,,45.9,,,,,,119.2,,,,
Ti I,5064.65,0.05,-0.93,,49.7,,,46.4,,,44.1,,,,,,,,,,
Ti I,5173.743,0.0,-1.12,,52.7,,,41.0,,,30.4,,,,,,85.4,,,,
Ti I,5192.969,0.02,-1.01,,31.3,,,,,,,,,,,,,,,,
Ti I,5210.39,0.05,-0.58,,45.4,,,81.5,,,39.1,,,133.4,,,,,,72.1,
Ti II,3813.39,0.61,-2.02,,93.6,,,68.4,,,98.2,,,,,,,,,,
Ti II,3882.29,1.12,-1.71,,,,,79.5,,,,,,,,,,,,,
Ti II,3900.54,1.13,-0.45,,,,,,,,110.7,,,,,,,,,,
Ti II,3913.468,1.12,-0.53,,167.2,,,,,,143.7,,,,,,,,,,
Ti II,3987.61,0.61,-2.73,,58.1,,,48.8,,,53.0,,,,,,,,,,
Ti II,4012.385,0.57,-1.61,,111.5,,,105.6,,,108.7,,,,,,,,,,
Ti II,4025.12,0.61,-1.98,,85.7,,,90.2,,,86.5,,,,,,,,,,
Ti II,4028.343,1.89,-1.0,,55.0,,,63.8,,,70.8,,,,,,,,,,
Ti II,4053.83,1.89,-1.21,,54.7,,,53.3,,,,,,77.5,,,,,,,
Ti II,4161.53,1.08,-2.16,,40.8,,,71.1,,,64.3,,,,,,,,,,
Ti II,4163.63,2.59,-0.4,,59.8,,,65.9,,,55.8,,,,,,,,,,
Ti II,4184.31,1.08,-2.51,,,,,41.6,,,,,,,,,85.3,,,,
Ti II,4290.219,1.16,-1.12,,126.6,,,124.0,,,123.1,,,108.5,,,123.8,,,106.4,
Ti II,4300.049,1.18,-0.77,,149.8,,,134.9,,,135.4,,,,,,102.4,,,,
Ti II,4301.93,1.16,-1.2,,,,,73.2,,,76.0,,,88.0,,,93.1,,,114.7,
Ti II,4312.86,1.18,-1.16,,140.2,,,125.9,,,,,,90.6,,,159.6,,,,
Ti II,4330.72,1.18,-2.06,,73.6,,,58.7,,,55.0,,,41.9,,,90.1,,,60.9,
Ti II,4337.88,1.08,-1.13,,128.7,,,122.7,,,118.1,,,100.3,,,,,,110.0,
Ti II,4395.85,1.24,-2.17,,73.2,,,72.5,,,62.4,,,42.5,,,90.8,,,,
Ti II,4399.77,1.24,-1.29,,124.1,,,114.0,,,106.9,,,107.2,,,94.0,,,,
Ti II,4407.68,1.22,-2.47,,81.2,,,78.3,,,74.0,,,77.2,,,,,,,
Ti II,4417.719,1.16,-1.43,,114.1,,,110.1,,,109.5,,,,,,115.0,,,,
Ti II,4418.33,1.24,-2.45,,66.8,,,63.2,,,61.5,,,51.5,,,69.4,,,66.6,
Ti II,4441.73,1.18,-2.41,,49.1,,,43.5,,,,,,40.0,,,55.7,,,,
Ti II,4443.794,1.08,-0.71,,122.1,,,104.6,,,100.8,,,138.0,,,158.0,,,107.7,
Ti II,4444.56,1.12,-2.03,,72.5,,,68.4,,,61.2,,,,,,48.2,,,,
Ti II,4450.482,1.08,-1.45,,103.3,,,103.2,,,98.2,,,92.3,,,128.0,,,61.5,
Ti II,4464.45,1.16,-2.08,,91.2,,,72.0,,,80.0,,,58.1,,,,,,55.2,
Ti II,4468.507,1.13,-0.62,,121.8,,,131.6,,,128.0,,,131.3,,,,,,113.3,
Ti II,4469.14,1.08,-2.87,,64.1,,,,,,,,,,,,,,,,
Ti II,4470.86,1.16,-2.28,,75.4,,,71.1,,,65.6,,,,,,58.9,,,38.7,
Ti II,4493.51,1.08,-2.74,,36.8,,,31.5,,,39.8,,,,,,,,,,
Ti II,4501.273,1.12,-0.75,,140.0,,,140.4,,,136.3,,,108.9,,,150.4,,,124.5,
Ti II,4518.33,1.08,-2.56,,61.7,,,55.1,,,56.6,,,,,,39.1,,,58.0,
Ti II,4529.47,1.57,-2.04,,56.3,,,55.9,,,56.9,,,,,,56.6,,,,
Ti II,4533.969,1.24,-0.77,,150.8,,,146.0,,,138.4,,,118.8,,,178.0,,,88.2,
Ti II,4544.03,1.24,-2.41,,44.5,,,38.3,,,,,,,,,,,,,
Ti II,4545.14,1.13,-1.81,,,,,51.2,,,45.7,,,,,,,,,,
Ti II,4563.761,1.22,-0.96,,132.3,,,135.5,,,123.6,,,131.9,,,171.2,,,110.6,
Ti II,4568.31,1.22,-2.65,,,,,31.6,,,,,,,,,,,,,
Ti II,4571.968,1.57,-0.52,,139.5,,,141.2,,,127.5,,,140.7,,,148.8,,,100.3,
Ti II,4583.41,1.17,-2.87,,30.6,,,,,,,,,,,,,,,,
Ti II,4589.96,1.24,-1.78,,84.4,,,89.0,,,83.2,,,75.6,,,94.5,,,,
Ti II,4657.21,1.24,-2.32,,58.3,,,57.2,,,52.2,,,,,,67.8,,,,
Ti II,4708.67,1.24,-2.21,,47.9,,,51.9,,,37.1,,,58.4,,,62.8,,,,
Ti II,4763.88,1.22,-2.45,,55.6,,,47.4,,,48.0,,,,,,74.9,,,,
Ti II,4779.99,2.05,-1.37,,62.6,,,50.2,,,50.2,,,,,,77.5,,,49.7,
Ti II,4798.53,1.08,-2.67,,38.0,,,32.0,,,44.9,,,,,,65.0,,,,
Ti II,4805.09,2.06,-1.12,,69.9,,,,,,64.4,,,59.4,,,69.3,,,40.0,
Ti II,4865.612,1.12,-2.59,,52.4,,,,,,45.6,,,,,,,,,52.4,
Ti II,4911.18,3.12,-0.34,,,,,,,,,,,,,,68.4,,,,
Ti II,5129.16,1.89,-1.39,,60.8,,,59.0,,,65.8,,,,,,,,,,
Ti II,5154.07,1.57,-1.52,,55.9,,,54.4,,,,,,,,,,,,,
Ti II,5185.913,1.89,-1.35,,36.2,,,,,,,,,,,,,,,,
Ti II,5188.68,1.58,-1.22,,,,,,,,44.3,,,123.4,,,,,,,
Ti II,5226.55,1.57,-1.0,,108.7,,,85.9,,,83.9,,,,,,,,,,
Ti II,5336.771,1.58,-1.7,,52.8,,,51.8,,,53.2,,,86.3,,,,,,50.8,
Ti II,5381.01,1.57,-1.78,,47.0,,,53.0,,,48.0,,,,,,,,,,
Ti II,5418.77,1.58,-2.11,,35.5,,,31.1,,,,,,,,,47.8,,,51.3,
Ti II,6559.588,2.05,-2.019,,34.8,,,33.7,,,,,,,,,,,,,
V I,4111.77,0.3,0.408,,41.9,,,36.3,,,38.8,,,,,,,,,,
V I,4379.23,0.55,0.301,,43.0,,,49.2,,,36.3,,,61.0,,,43.3,,,,
Cr I,4254.332,0.0,-0.11,,,,,109.0,,,,,,125.0,,,,,,124.7,
Cr I,4274.796,0.0,-0.23,,120.4,,,118.4,,,111.6,,,102.0,,,,,,,
Cr I,4289.72,0.0,-0.36,,125.0,,,125.2,,,117.6,,,97.0,,,,,,100.5,
Cr I,4496.84,0.94,-1.15,,47.3,,,68.4,,,48.5,,,,,,54.4,,,,
Cr I,4600.75,1.0,-1.26,,33.2,,,29.9,,,,,,,,,,,,,
Cr I,4616.14,0.98,-1.19,,44.9,,,36.1,,,37.3,,,,,,71.4,,,48.5,
Cr I,4626.19,0.97,-1.32,,37.1,,,35.9,,,31.7,,,,,,44.1,,,,
