ID,Name,Simbad_Identifier,RA_hms,DEC_dms,gmag,imag,Xpix,Ypix,Rad,Vel,System
337,BooI-337,[NWG2010] BooI 337,14:03:27.88,+14:15:10.3,20.23,19.51,48.9,-14.7,51.1,-144,
342,BooI-342,[NWG2010] BooI 342,14:03:45.02,+14:48:33.9,20.07,19.34,52.9,18.7,56.1,-162,
343,BooI-343,[NWG2010] BooI 343,14:03:25.77,+14:23:06.2,17.76,16.54,48.4,-6.8,48.9,11,
354,BooI-354,[NWG2010] BooI 354,14:03:18.84,+14:18:25.6,18.00,16.83,46.7,-11.5,48.1,-39,
399,BooI-399,[NWG2010] BooI 399,14:03:05.58,+14:31:19.5,18.90,17.90,43.5,1.4,43.5,-39,
414,BooI-414,[NWG2010] BooI 414,14:02:41.93,+14:04:56.4,18.15,17.02,37.8,-25.0,45.3,-12,
425,BooI-425,[NWG2010] BooI 425,14:02:53.39,+14:31:59.3,20.02,19.33,40.5,2.0,40.6,171,
436,BooI-436,[NWG2010] BooI 436,14:02:24.00,+13:51:16.2,19.97,19.20,33.5,-38.7,51.2,26,
463,BooI-463,[NWG2010] BooI 463,14:02:14.20,+13:49:54.4,18.54,17.64,31.1,-40.1,50.7,63,
465,BooI-465,[NWG2010] BooI 465,14:02:23.66,+14:09:28.6,19.31,18.51,33.4,-20.5,39.2,-6,
484,BooI-484,[NWG2010] BooI 484,14:02:27.15,+14:23:13.0,20.36,19.61,34.2,-6.7,34.8,45,
492,BooI-492,[NWG2010] BooI 492,14:02:19.02,+14:18:25.3,18.42,17.29,32.2,-11.5,34.2,-12,
528,BooI-528,[NWG2010] BooI 528,14:01:39.94,+13:35:55.1,18.59,17.58,22.8,-54.1,58.7,-21,
572,BooI-572,[NWG2010] BooI 572,14:01:30.41,+13:48:56.6,19.13,18.22,20.5,-41.0,45.9,75,
574,BooI-574,[NWG2010] BooI 574,14:01:41.91,+14:08:43.0,19.66,18.95,23.3,-21.3,31.5,-145,
582,BooI-582,[NWG2010] BooI 582,14:01:42.53,+14:15:20.1,18.36,17.39,23.4,-14.6,27.6,3,
598,BooI-598,[NWG2010] BooI 598,14:01:17.19,+13:38:43.1,20.62,19.87,17.3,-51.3,54.1,-113,
634,BooI-634,[NWG2010] BooI 634,14:01:05.84,+13:38:46.4,18.37,17.35,14.5,-51.2,53.2,-37,
653,BooI-653,[NWG2010] BooI 653,14:01:22.38,+14:17:24.3,18.31,17.25,18.5,-12.6,22.4,29,
655,BooI-655,[NWG2010] BooI 655,14:01:40.25,+14:48:20.2,18.63,17.69,22.8,18.4,29.3,0,
659,BooI-659,[NWG2010] BooI 659,14:01:51.99,+15:10:55.0,19.96,19.28,25.6,40.9,48.3,-71,
684,BooI-684,[NWG2010] BooI 684,14:01:50.19,+15:20:06.1,20.75,20.12,25.1,50.1,56.1,32,
688,BooI-688,[NWG2010] BooI 688,14:00:50.29,+13:45:32.4,20.56,19.78,10.8,-44.5,45.7,69,
690,BooI-690,[NWG2010] BooI 690,14:01:05.34,+14:11:56.6,20.19,19.46,14.4,-18.0,23.1,-47,
693,BooI-693,[NWG2010] BooI 693,14:01:32.48,+14:57:23.3,18.79,17.82,20.9,27.4,34.5,-140,
701,BooI-701,[NWG2010] BooI 701,14:00:56.44,+14:02:53.3,20.06,19.38,12.2,-27.1,29.7,75,
706,BooI-706,[NWG2010] BooI 706,14:00:49.47,+13:54:19.6,19.74,18.87,10.6,-35.7,37.2,-18,
720,BooI-720,[NWG2010] BooI 720,14:00:30.65,+13:32:18.8,18.67,17.60,6.0,-57.7,58.0,-32,
738,BooI-738,[NWG2010] BooI 738,14:00:37.22,+13:56:16.3,20.25,19.45,7.6,-33.7,34.6,65,
815,BooI-815,[NWG2010] BooI 815,14:00:51.41,+15:00:41.7,18.62,17.68,11.0,30.7,32.6,-42,
817,BooI-817,[NWG2010] BooI 817,14:00:17.29,+14:09:36.5,20.30,19.65,2.7,-20.4,20.6,40,
818,BooI-818,[NWG2010] BooI 818,13:59:55.45,+13:31:43.8,20.65,19.93,-2.6,-58.3,58.3,-207,
822,BooI-822,[NWG2010] BooI 822,14:00:09.49,+13:58:21.3,19.30,18.46,0.8,-31.6,31.7,-21,
856,BooI-856,[NWG2010] BooI 856,13:59:49.55,+13:44:29.9,17.91,16.85,-4.0,-45.5,45.7,17,
870,BooI-870,[NWG2010] BooI 870,14:00:37.27,+15:12:18.2,17.81,16.73,7.5,42.3,43.0,-8,
876,BooI-876,[NWG2010] BooI 876,13:59:38.53,+13:38:37.1,18.53,17.55,-6.7,-51.4,51.8,-35,
912,BooI-912,[NWG2010] BooI 912,13:59:39.07,+14:00:14.6,20.94,20.31,-6.5,-29.8,30.5,-27,
952,BooI-952,[NWG2010] BooI 952,13:59:30.37,+14:02:51.2,20.61,20.00,-8.6,-27.1,28.5,70,
986,BooI-986,[NWG2010] BooI 986,13:59:19.21,+13:56:43.0,19.04,18.12,-11.4,-33.3,35.2,-30,
992,BooI-992,[NWG2010] BooI 992,13:59:15.22,+13:52:11.8,20.03,19.29,-12.3,-37.8,39.8,68,
1004,BooI-1004,[NWG2010] BooI 1004,13:59:20.47,+14:08:20.4,18.72,17.71,-11.0,-21.7,24.3,-55,
