Found,Query_ID,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,FLUX_B_1,FLUX_V_1,FLUX_R_1,FLUX_I_1,FLUX_J_1,FLUX_H_1,FLUX_K_1,OTYPE_2,SP_TYPE_2,RA_3,DEC_3,PMRA_2,PMDEC_2,PLX_VALUE_2,RV_VALUE_2,FLUX_U_1,FLUX_B_2,FLUX_V_2,FLUX_R_2,FLUX_I_2,FLUX_J_2,FLUX_H_2,FLUX_K_2,OTYPE_3,SP_TYPE_3,RA_4,DEC_4,PMRA_3,PMDEC_3,PLX_VALUE_3,RV_VALUE_3,SCRIPT_NUMBER_ID
True,2MASS J01001255-3343011,SCMS 1023,01 00 12.5294,-33 43 01.362,14,14,0.0755,0.0379,90,A,O,2020yCat.1350....0G,,19.23,18.125,,16.897,16.25,15.49,15.36,RGB*,,01 00 12.5294,-33 43 01.362,0.113,-0.18,0.0032,115.06,19.23,18.125,,16.897,16.25,15.49,15.36,RGB*,,01 00 12.5294,-33 43 01.362,0.113,-0.18,0.0032,115.06,,19.23,18.125,,16.897,16.25,15.49,15.36,RGB*,,01 00 12.5294,-33 43 01.362,0.113,-0.18,0.0032,115.06,1
True,2MASS J01001278-3341157,SCMS 1088,01 00 12.7787,-33 41 15.835,14,14,0.0507,0.0248,90,A,O,2020yCat.1350....0G,,18.48,17.28,,15.833,14.95,14.35,14.3,RGB*,,01 00 12.7787,-33 41 15.835,0.074,-0.111,,97.413399,18.48,17.28,,15.833,14.95,14.35,14.3,RGB*,,01 00 12.7787,-33 41 15.835,0.074,-0.111,,97.413399,,18.48,17.28,,15.833,14.95,14.35,14.3,RGB*,,01 00 12.7787,-33 41 15.835,0.074,-0.111,,97.413399,1
True,2MASS J01001295-3342038,2MASS J01001295-3342038,01 00 12.9546,-33 42 03.847,14,14,0.0777,0.0366,90,A,O,2020yCat.1350....0G,,18.96,18.029,,16.84,16.11,15.47,15.38,RGB*,,01 00 12.9546,-33 42 03.847,0.198,-0.164,0.0346,103.85,18.96,18.029,,16.84,16.11,15.47,15.38,RGB*,,01 00 12.9546,-33 42 03.847,0.198,-0.164,0.0346,103.85,,18.96,18.029,,16.84,16.11,15.47,15.38,RGB*,,01 00 12.9546,-33 42 03.847,0.198,-0.164,0.0346,103.85,1
True,2MASS J01001397-3336391,SCMS 1104,01 00 13.9556,-33 36 39.214,14,14,0.0667,0.033,90,A,O,2020yCat.1350....0G,,19.05,17.847,,16.521,15.8,14.89,14.82,RGB*,,01 00 13.9556,-33 36 39.214,0.047,-0.189,,110.17,19.05,17.847,,16.521,15.8,14.89,14.82,RGB*,,01 00 13.9556,-33 36 39.214,0.047,-0.189,,110.17,,19.05,17.847,,16.521,15.8,14.89,14.82,RGB*,,01 00 13.9556,-33 36 39.214,0.047,-0.189,,110.17,1
True,2MASS J01001460-3347116,SCMS  128,01 00 14.5776,-33 47 11.465,14,14,0.0718,0.0368,90,A,O,2020yCat.1350....0G,,19.08,18.016,,16.771,15.99,15.38,15.1,RGB*,,01 00 14.5776,-33 47 11.465,0.064,-0.141,,-171.037003,19.08,18.016,,16.771,15.99,15.38,15.1,RGB*,,01 00 14.5776,-33 47 11.465,0.064,-0.141,,-171.037003,,19.08,18.016,,16.771,15.99,15.38,15.1,RGB*,,01 00 14.5776,-33 47 11.465,0.064,-0.141,,-171.037003,1
True,2MASS J01001471-3339577,SCMS  939,01 00 14.6982,-33 39 57.684,14,14,0.0624,0.0295,90,A,O,2020yCat.1350....0G,,19.07,17.748,,16.337,15.48,14.74,14.75,RGB*,,01 00 14.6982,-33 39 57.684,0.184,-0.144,,114.57,19.07,17.748,,16.337,15.48,14.74,14.75,RGB*,,01 00 14.6982,-33 39 57.684,0.184,-0.144,,114.57,,19.07,17.748,,16.337,15.48,14.74,14.75,RGB*,,01 00 14.6982,-33 39 57.684,0.184,-0.144,,114.57,1
True,2MASS J01001483-3336498,SCMS 1103,01 00 14.8194,-33 36 49.887,14,14,0.0745,0.0353,90,A,O,2020yCat.1350....0G,,19.11,17.965,,16.709,15.83,15.11,15.01,RGB*,,01 00 14.8194,-33 36 49.887,0.07,-0.149,,103.96,19.11,17.965,,16.709,15.83,15.11,15.01,RGB*,,01 00 14.8194,-33 36 49.887,0.07,-0.149,,103.96,,19.11,17.965,,16.709,15.83,15.11,15.01,RGB*,,01 00 14.8194,-33 36 49.887,0.07,-0.149,,103.96,1
True,2MASS J01001519-3343110,SCMS 1013,01 00 15.1842,-33 43 11.054,14,14,0.0681,0.0345,90,A,O,2020yCat.1350....0G,,19.22,17.98,,16.69,15.82,15.21,15.02,RGB*,,01 00 15.1842,-33 43 11.054,-0.059,-0.132,0.0317,105.82,19.22,17.98,,16.69,15.82,15.21,15.02,RGB*,,01 00 15.1842,-33 43 11.054,-0.059,-0.132,0.0317,105.82,,19.22,17.98,,16.69,15.82,15.21,15.02,RGB*,,01 00 15.1842,-33 43 11.054,-0.059,-0.132,0.0317,105.82,1
True,2MASS J01001537-3339060,FBMC Sculptor 13,01 00 15.3744,-33 39 06.074,14,14,0.0538,0.0233,90,A,O,2020yCat.1350....0G,,18.73,17.287,,15.84,14.98,14.25,14.2,RGB*,,01 00 15.3744,-33 39 06.074,0.105,-0.131,,113.445999,18.73,17.287,,15.84,14.98,14.25,14.2,RGB*,,01 00 15.3744,-33 39 06.074,0.105,-0.131,,113.445999,,18.73,17.287,,15.84,14.98,14.25,14.2,RGB*,,01 00 15.3744,-33 39 06.074,0.105,-0.131,,113.445999,1
True,2MASS J01001736-3343595,SCMS  999,01 00 17.3663,-33 43 59.631,14,14,0.0785,0.0341,90,A,O,2020yCat.1350....0G,,19.01,17.947,,16.692,15.88,15.16,15.16,RGB*,,01 00 17.3663,-33 43 59.631,0.211,-0.226,0.0434,130.84,19.01,17.947,,16.692,15.88,15.16,15.16,RGB*,,01 00 17.3663,-33 43 59.631,0.211,-0.226,0.0434,130.84,,19.01,17.947,,16.692,15.88,15.16,15.16,RGB*,,01 00 17.3663,-33 43 59.631,0.211,-0.226,0.0434,130.84,1
True,2MASS J01001759-3346552,SCMS  123,01 00 17.6015,-33 46 55.084,14,14,0.0673,0.0364,90,A,O,2020yCat.1350....0G,,19.08,18.038,,16.821,15.98,15.39,15.64,RGB*,,01 00 17.6015,-33 46 55.084,0.185,-0.201,0.0836,103.02,19.08,18.038,,16.821,15.98,15.39,15.64,RGB*,,01 00 17.6015,-33 46 55.084,0.185,-0.201,0.0836,103.02,,19.08,18.038,,16.821,15.98,15.39,15.64,RGB*,,01 00 17.6015,-33 46 55.084,0.185,-0.201,0.0836,103.02,1
True,2MASS J01001777-3335597,SCMS 1113,01 00 17.7719,-33 35 59.739,14,14,0.0624,0.0246,90,A,O,2020yCat.1350....0G,,18.82,17.345,,15.818,14.93,14.06,13.95,RGB*,,01 00 17.7719,-33 35 59.739,0.102,-0.136,0.0429,121.324997,18.82,17.345,,15.818,14.93,14.06,13.95,RGB*,,01 00 17.7719,-33 35 59.739,0.102,-0.136,0.0429,121.324997,,18.82,17.345,,15.818,14.93,14.06,13.95,RGB*,,01 00 17.7719,-33 35 59.739,0.102,-0.136,0.0429,121.324997,1
True,2MASS J01001830-3342122,SCMS  966,01 00 18.2971,-33 42 12.275,14,14,0.0638,0.0264,90,A,O,2020yCat.1350....0G,,18.86,17.518,,16.139,15.21,14.68,14.4,RGB*,,01 00 18.2971,-33 42 12.275,0.121,-0.153,0.0286,104.04,18.86,17.518,,16.139,15.21,14.68,14.4,RGB*,,01 00 18.2971,-33 42 12.275,0.121,-0.153,0.0286,104.04,,18.86,17.518,,16.139,15.21,14.68,14.4,RGB*,,01 00 18.2971,-33 42 12.275,0.121,-0.153,0.0286,104.04,1
True,2MASS J01001897-3345147,SCMS  819,01 00 18.9671,-33 45 14.789,14,14,0.0598,0.0294,90,A,O,2020yCat.1350....0G,,18.74,17.677,,16.437,15.84,15.16,15.0,RGB*,,01 00 18.9671,-33 45 14.789,0.083,-0.163,0.028,111.04,18.74,17.677,,16.437,15.84,15.16,15.0,RGB*,,01 00 18.9671,-33 45 14.789,0.083,-0.163,0.028,111.04,,18.74,17.677,,16.437,15.84,15.16,15.0,RGB*,,01 00 18.9671,-33 45 14.789,0.083,-0.163,0.028,111.04,1
True,2MASS J01002030-3335345,SCMS 1116,01 00 20.2979,-33 35 34.535,14,14,0.0625,0.0267,90,A,O,2020yCat.1350....0G,,18.66,17.495,,16.295,15.36,14.68,14.63,RGB*,,01 00 20.2979,-33 35 34.535,-0.005,-0.172,0.0213,108.68,18.66,17.495,,16.295,15.36,14.68,14.63,RGB*,,01 00 20.2979,-33 35 34.535,-0.005,-0.172,0.0213,108.68,,18.66,17.495,,16.295,15.36,14.68,14.63,RGB*,,01 00 20.2979,-33 35 34.535,-0.005,-0.172,0.0213,108.68,1
True,2MASS J01002109-3333464,GB07 Scl06,01 00 21.0879,-33 33 46.433,14,14,0.0887,0.0381,90,A,O,2020yCat.1350....0G,,,18.082,,16.821,15.96,15.28,15.55,RGB*,,01 00 21.0879,-33 33 46.433,0.046,-0.17,,108.56,,18.082,,16.821,15.96,15.28,15.55,RGB*,,01 00 21.0879,-33 33 46.433,0.046,-0.17,,108.56,,,18.082,,16.821,15.96,15.28,15.55,RGB*,,01 00 21.0879,-33 33 46.433,0.046,-0.17,,108.56,1
True,2MASS J01002118-3346012,SCMS  506,01 00 21.1700,-33 46 01.175,14,14,0.0694,0.034,90,A,O,2020yCat.1350....0G,,19.17,18.004,,16.7,15.86,15.04,14.96,RGB*,,01 00 21.1700,-33 46 01.175,0.101,-0.18,,107.886002,19.17,18.004,,16.7,15.86,15.04,14.96,RGB*,,01 00 21.1700,-33 46 01.175,0.101,-0.18,,107.886002,,19.17,18.004,,16.7,15.86,15.04,14.96,RGB*,,01 00 21.1700,-33 46 01.175,0.101,-0.18,,107.886002,1
True,2MASS J01002298-3343021,SCMS    2,01 00 22.9818,-33 43 02.244,14,14,0.0502,0.0249,90,A,O,2020yCat.1350....0G,,18.94,17.485,,15.982,14.998,14.31,14.069,RGB*,,01 00 22.9818,-33 43 02.244,0.097,-0.138,,100.01,18.94,17.485,,15.982,14.998,14.31,14.069,RGB*,,01 00 22.9818,-33 43 02.244,0.097,-0.138,,100.01,,18.94,17.485,,15.982,14.998,14.31,14.069,RGB*,,01 00 22.9818,-33 43 02.244,0.097,-0.138,,100.01,1
True,2MASS J01002384-3342173,SCMS  770,01 00 23.8407,-33 42 17.457,14,14,0.0566,0.023,90,A,O,2020yCat.1350....0G,,18.64,17.333,,15.83,14.94,14.18,14.05,RGB*,,01 00 23.8407,-33 42 17.457,0.098,-0.18,,122.394997,18.64,17.333,,15.83,14.94,14.18,14.05,RGB*,,01 00 23.8407,-33 42 17.457,0.098,-0.18,,122.394997,,18.64,17.333,,15.83,14.94,14.18,14.05,RGB*,,01 00 23.8407,-33 42 17.457,0.098,-0.18,,122.394997,1
True,2MASS J01002463-3344287,SCMS  796,01 00 24.6294,-33 44 28.870,14,14,0.0652,0.0312,90,A,O,2020yCat.1350....0G,,18.88,17.783,,16.47,15.78,15.28,14.9,RGB*,,01 00 24.6294,-33 44 28.870,0.02,-0.149,0.1018,121.23,18.88,17.783,,16.47,15.78,15.28,14.9,RGB*,,01 00 24.6294,-33 44 28.870,0.02,-0.149,0.1018,121.23,,18.88,17.783,,16.47,15.78,15.28,14.9,RGB*,,01 00 24.6294,-33 44 28.870,0.02,-0.149,0.1018,121.23,1
True,2MASS J01002504-3342275,SCMS  778,01 00 25.0460,-33 42 28.220,14,14,0.0897,0.0392,90,A,O,2020yCat.1350....0G,,19.27,18.149,,16.96,16.18,15.72,15.59,RGB*,,01 00 25.0460,-33 42 28.220,0.129,-0.224,0.0244,124.59,19.27,18.149,,16.96,16.18,15.72,15.59,RGB*,,01 00 25.0460,-33 42 28.220,0.129,-0.224,0.0244,124.59,,19.27,18.149,,16.96,16.18,15.72,15.59,RGB*,,01 00 25.0460,-33 42 28.220,0.129,-0.224,0.0244,124.59,1
True,2MASS J01002531-3350506,GB07 Scl92,01 00 25.3042,-33 50 50.659,14,14,0.0373,0.0194,90,A,O,2020yCat.1350....0G,,,17.109,,15.651,14.42,13.657,13.58,RGB*,,01 00 25.3042,-33 50 50.659,0.117,-0.237,,113.817001,,17.109,,15.651,14.42,13.657,13.58,RGB*,,01 00 25.3042,-33 50 50.659,0.117,-0.237,,113.817001,,,17.109,,15.651,14.42,13.657,13.58,RGB*,,01 00 25.3042,-33 50 50.659,0.117,-0.237,,113.817001,1
True,2MASS J01002579-3330255,GB07 Scl02,01 00 25.7874,-33 30 25.441,14,14,0.0754,0.0314,90,A,O,2020yCat.1350....0G,,,17.692,,16.44,15.68,15.1,14.94,RGB*,,01 00 25.7874,-33 30 25.441,0.124,-0.119,0.0023,178.229004,,17.692,,16.44,15.68,15.1,14.94,RGB*,,01 00 25.7874,-33 30 25.441,0.124,-0.119,0.0023,178.229004,,,17.692,,16.44,15.68,15.1,14.94,RGB*,,01 00 25.7874,-33 30 25.441,0.124,-0.119,0.0023,178.229004,1
True,2MASS J01002629-3344456,SCMS  483,01 00 26.2903,-33 44 45.685,14,14,0.0809,0.0388,90,A,O,2020yCat.1350....0G,,19.16,18.039,,16.83,16.04,15.37,15.31,RGB*,,01 00 26.2903,-33 44 45.685,0.093,-0.162,,124.56,19.16,18.039,,16.83,16.04,15.37,15.31,RGB*,,01 00 26.2903,-33 44 45.685,0.093,-0.162,,124.56,,19.16,18.039,,16.83,16.04,15.37,15.31,RGB*,,01 00 26.2903,-33 44 45.685,0.093,-0.162,,124.56,1
True,2MASS J01003385-3344543,SCMS   65,01 00 33.8625,-33 44 54.401,14,14,0.0637,0.0311,90,A,O,2020yCat.1350....0G,,18.92,17.796,,16.544,15.83,15.03,14.89,RGB*,,01 00 33.8625,-33 44 54.401,0.085,-0.188,,112.71,18.92,17.796,,16.544,15.83,15.03,14.89,RGB*,,01 00 33.8625,-33 44 54.401,0.085,-0.188,,112.71,,18.92,17.796,,16.544,15.83,15.03,14.89,RGB*,,01 00 33.8625,-33 44 54.401,0.085,-0.188,,112.71,1
True,2MASS J01003404-3339046,SCMS   10,01 00 34.0454,-33 39 04.630,14,14,0.0467,0.022,90,A,O,2020yCat.1350....0G,,19.05,17.2,,15.499,14.51,13.7,13.55,RGB*,,01 00 34.0454,-33 39 04.630,0.184,-0.209,,112.88,19.05,17.2,,15.499,14.51,13.7,13.55,RGB*,,01 00 34.0454,-33 39 04.630,0.184,-0.209,,112.88,,19.05,17.2,,15.499,14.51,13.7,13.55,RGB*,,01 00 34.0454,-33 39 04.630,0.184,-0.209,,112.88,1
True,2MASS J01003432-3349528,GB07 Scl90,01 00 34.3299,-33 49 52.786,14,14,0.06,0.0309,90,A,O,2020yCat.1350....0G,,,17.869,,16.495,15.73,14.99,14.9,RGB*,,01 00 34.3299,-33 49 52.786,0.012,-0.147,0.0657,112.499001,,17.869,,16.495,15.73,14.99,14.9,RGB*,,01 00 34.3299,-33 49 52.786,0.012,-0.147,0.0657,112.499001,,,17.869,,16.495,15.73,14.99,14.9,RGB*,,01 00 34.3299,-33 49 52.786,0.012,-0.147,0.0657,112.499001,1
True,2MASS J01003813-3348168,GB07 Scl84,01 00 38.1285,-33 48 16.894,14,14,0.0412,0.0213,90,A,O,2020yCat.1350....0G,,,17.212,,15.73,14.85,14.14,13.92,RGB*,,01 00 38.1285,-33 48 16.894,0.083,-0.216,0.0444,107.017998,,17.212,,15.73,14.85,14.14,13.92,RGB*,,01 00 38.1285,-33 48 16.894,0.083,-0.216,0.0444,107.017998,,,17.212,,15.73,14.85,14.14,13.92,RGB*,,01 00 38.1285,-33 48 16.894,0.083,-0.216,0.0444,107.017998,1
True,2MASS J01004250-3344235,FBMC Sculptor  6,01 00 42.5023,-33 44 23.514,14,14,0.0436,0.0212,90,A,O,2020yCat.1350....0G,,18.7,17.208,,15.701,14.7,14.02,13.85,RGB*,M?,01 00 42.5023,-33 44 23.514,0.213,-0.221,0.0427,91.09,18.7,17.208,,15.701,14.7,14.02,13.85,RGB*,M?,01 00 42.5023,-33 44 23.514,0.213,-0.221,0.0427,91.09,,18.7,17.208,,15.701,14.7,14.02,13.85,RGB*,M?,01 00 42.5023,-33 44 23.514,0.213,-0.221,0.0427,91.09,1
True,2MASS J01004427-3349188,GB07 Scl87,01 00 44.2792,-33 49 18.837,14,14,0.0526,0.0249,90,A,O,2020yCat.1350....0G,,,17.478,,16.006,15.12,14.5,14.32,RGB*,,01 00 44.2792,-33 49 18.837,0.19,-0.118,0.087,111.621002,,17.478,,16.006,15.12,14.5,14.32,RGB*,,01 00 44.2792,-33 49 18.837,0.19,-0.118,0.087,111.621002,,,17.478,,16.006,15.12,14.5,14.32,RGB*,,01 00 44.2792,-33 49 18.837,0.19,-0.118,0.087,111.621002,1
True,2MASS J01004653-3346472,GB07 Scl78,01 00 46.5260,-33 46 47.124,14,14,0.0727,0.0326,90,A,O,2020yCat.1350....0G,,,17.848,,16.66,15.91,15.31,15.22,RGB*,,01 00 46.5260,-33 46 47.124,-0.019,-0.009,0.0026,105.75,,17.848,,16.66,15.91,15.31,15.22,RGB*,,01 00 46.5260,-33 46 47.124,-0.019,-0.009,0.0026,105.75,,,17.848,,16.66,15.91,15.31,15.22,RGB*,,01 00 46.5260,-33 46 47.124,-0.019,-0.009,0.0026,105.75,1
True,2MASS J01005025-3336383,GB07 Scl15,01 00 50.2478,-33 36 38.329,14,14,0.0587,0.0248,90,A,O,2020yCat.1350....0G,,,17.335,,16.121,15.17,14.51,14.52,RGB*,,01 00 50.2478,-33 36 38.329,0.109,-0.145,0.0795,105.07,,17.335,,16.121,15.17,14.51,14.52,RGB*,,01 00 50.2478,-33 36 38.329,0.109,-0.145,0.0795,105.07,,,17.335,,16.121,15.17,14.51,14.52,RGB*,,01 00 50.2478,-33 36 38.329,0.109,-0.145,0.0795,105.07,1
True,2MASS J01005087-3345053,GB07 Scl70,01 00 50.8765,-33 45 05.308,14,14,0.0407,0.02,90,A,O,2020yCat.1350....0G,,,17.213,,15.714,14.53,13.7,13.67,RGB*,,01 00 50.8765,-33 45 05.308,0.051,-0.19,0.0272,103.59,,17.213,,15.714,14.53,13.7,13.67,RGB*,,01 00 50.8765,-33 45 05.308,0.051,-0.19,0.0272,103.59,,,17.213,,15.714,14.53,13.7,13.67,RGB*,,01 00 50.8765,-33 45 05.308,0.051,-0.19,0.0272,103.59,1
True,2MASS J01005418-3340146,GB07 Scl33,01 00 54.1879,-33 40 14.631,14,14,0.0476,0.0215,90,A,O,2020yCat.1350....0G,,,17.149,,15.835,14.77,14.05,13.86,RGB*,,01 00 54.1879,-33 40 14.631,0.018,-0.182,,95.77,,17.149,,15.835,14.77,14.05,13.86,RGB*,,01 00 54.1879,-33 40 14.631,0.018,-0.182,,95.77,,,17.149,,15.835,14.77,14.05,13.86,RGB*,,01 00 54.1879,-33 40 14.631,0.018,-0.182,,95.77,1
True,2MASS J02381393-3446553,[WMO2009] For-1401,02 38 13.9378,-34 46 55.578,14,14,0.0656,0.0841,90,A,O,2020yCat.1350....0G,,20.057,18.705,,17.36,16.331,15.925,15.48,RGB*,,02 38 13.9378,-34 46 55.578,0.276,-0.238,,65.0,20.057,18.705,,17.36,16.331,15.925,15.48,RGB*,,02 38 13.9378,-34 46 55.578,0.276,-0.238,,65.0,,20.057,18.705,,17.36,16.331,15.925,15.48,RGB*,,02 38 13.9378,-34 46 55.578,0.276,-0.238,,65.0,1
True,2MASS J02382132-3436180,FBW J023821.3-343618,02 38 21.3337,-34 36 18.281,14,14,0.0459,0.0574,90,A,O,2020yCat.1350....0G,,20.142,18.335,,16.393,15.402,14.635,14.186,AGB*,,02 38 21.3337,-34 36 18.281,0.459,-0.423,,83.3397,20.142,18.335,,16.393,15.402,14.635,14.186,AGB*,,02 38 21.3337,-34 36 18.281,0.459,-0.423,,83.3397,,20.142,18.335,,16.393,15.402,14.635,14.186,AGB*,,02 38 21.3337,-34 36 18.281,0.459,-0.423,,83.3397,1
True,2MASS J02383087-3447446,[MOW91] 103,02 38 30.8864,-34 47 44.436,14,14,0.0628,0.0812,90,A,O,2020yCat.1350....0G,,19.847,18.697,,17.383,16.448,15.963,15.83,RGB*,,02 38 30.8864,-34 47 44.436,0.477,-0.464,0.2404,28.6,19.847,18.697,,17.383,16.448,15.963,15.83,RGB*,,02 38 30.8864,-34 47 44.436,0.477,-0.464,0.2404,28.6,,19.847,18.697,,17.383,16.448,15.963,15.83,RGB*,,02 38 30.8864,-34 47 44.436,0.477,-0.464,0.2404,28.6,1
True,2MASS J02383502-3442406,[WMO2009] For-2122,02 38 35.0324,-34 42 40.665,14,14,0.0521,0.0678,90,A,O,2020yCat.1350....0G,,20.039,18.42,,16.93,15.861,15.152,14.794,RGB*,,02 38 35.0324,-34 42 40.665,0.442,-0.35,,49.3309,20.039,18.42,,16.93,15.861,15.152,14.794,RGB*,,02 38 35.0324,-34 42 40.665,0.442,-0.35,,49.3309,,20.039,18.42,,16.93,15.861,15.152,14.794,RGB*,,02 38 35.0324,-34 42 40.665,0.442,-0.35,,49.3309,1
True,2MASS J02383503-3441380,[WMO2009] For-1095,02 38 35.0341,-34 41 38.125,14,14,0.0633,0.079,90,A,O,2020yCat.1350....0G,,20.254,18.56,,17.09,15.969,15.324,15.397,RGB*,,02 38 35.0341,-34 41 38.125,0.353,-0.428,0.1907,43.5,20.254,18.56,,17.09,15.969,15.324,15.397,RGB*,,02 38 35.0341,-34 41 38.125,0.353,-0.428,0.1907,43.5,,20.254,18.56,,17.09,15.969,15.324,15.397,RGB*,,02 38 35.0341,-34 41 38.125,0.353,-0.428,0.1907,43.5,1
True,2MASS J02384018-3439121,[WMO2009] For-1097,02 38 40.1836,-34 39 12.095,14,14,0.0512,0.0646,90,A,O,2020yCat.1350....0G,,20.056,18.3,,16.67,15.53,14.75,14.44,AGB*,,02 38 40.1836,-34 39 12.095,0.397,-0.332,0.0544,40.3906,20.056,18.3,,16.67,15.53,14.75,14.44,AGB*,,02 38 40.1836,-34 39 12.095,0.397,-0.332,0.0544,40.3906,,20.056,18.3,,16.67,15.53,14.75,14.44,AGB*,,02 38 40.1836,-34 39 12.095,0.397,-0.332,0.0544,40.3906,1
True,2MASS J02384113-3444205,[WMF2009] F 31013,02 38 41.1151,-34 44 20.558,14,14,0.0424,0.0557,90,A,O,2020yCat.1350....0G,,19.672,18.157,,16.653,15.54,14.82,14.57,AGB*,,02 38 41.1151,-34 44 20.558,0.387,-0.396,,49.9221,19.672,18.157,,16.653,15.54,14.82,14.57,AGB*,,02 38 41.1151,-34 44 20.558,0.387,-0.396,,49.9221,,19.672,18.157,,16.653,15.54,14.82,14.57,AGB*,,02 38 41.1151,-34 44 20.558,0.387,-0.396,,49.9221,1
True,2MASS J02385365-3433048,GB07 Fnx20,02 38 53.6508,-34 33 04.826,14,14,0.0479,0.0639,90,A,O,2020yCat.1350....0G,,,18.457,,16.71,15.608,14.785,14.582,RGB*,,02 38 53.6508,-34 33 04.826,0.371,-0.187,,38.532,,18.457,,16.71,15.608,14.785,14.582,RGB*,,02 38 53.6508,-34 33 04.826,0.371,-0.187,,38.532,,,18.457,,16.71,15.608,14.785,14.582,RGB*,,02 38 53.6508,-34 33 04.826,0.371,-0.187,,38.532,1
True,2MASS J02385555-3425365,GB07 Fnx06,02 38 55.5567,-34 25 36.681,14,14,0.0471,0.0608,90,A,O,2020yCat.1350....0G,,,18.188,,,15.823,15.21,14.964,RGB*,,02 38 55.5567,-34 25 36.681,0.354,-0.215,,88.97,,18.188,,,15.823,15.21,14.964,RGB*,,02 38 55.5567,-34 25 36.681,0.354,-0.215,,88.97,,,18.188,,,15.823,15.21,14.964,RGB*,,02 38 55.5567,-34 25 36.681,0.354,-0.215,,88.97,1
True,2MASS J02385721-3435400,GB07 Fnx28,02 38 57.2199,-34 35 40.175,14,14,0.0561,0.0749,90,A,O,2020yCat.1350....0G,,,18.577,,,15.974,15.302,15.129,RGB*,,02 38 57.2199,-34 35 40.175,0.33,-0.411,0.0432,50.7,,18.577,,,15.974,15.302,15.129,RGB*,,02 38 57.2199,-34 35 40.175,0.33,-0.411,0.0432,50.7,,,18.577,,,15.974,15.302,15.129,RGB*,,02 38 57.2199,-34 35 40.175,0.33,-0.411,0.0432,50.7,1
True,2MASS J02390031-3430302,GB07 Fnx13,02 39 00.3186,-34 30 30.293,14,14,0.0597,0.0759,90,A,O,2020yCat.1350....0G,,,18.566,,17.01,15.961,14.949,15.058,RGB*,,02 39 00.3186,-34 30 30.293,0.407,-0.472,,41.41,,18.566,,17.01,15.961,14.949,15.058,RGB*,,02 39 00.3186,-34 30 30.293,0.407,-0.472,,41.41,,,18.566,,17.01,15.961,14.949,15.058,RGB*,,02 39 00.3186,-34 30 30.293,0.407,-0.472,,41.41,1
True,2MASS J02390157-3436488,GB07 Fnx30,02 39 01.5753,-34 36 49.014,14,14,0.0571,0.0738,90,A,O,2020yCat.1350....0G,,,18.529,,16.99,15.826,15.157,15.047,RGB*,,02 39 01.5753,-34 36 49.014,0.245,-0.34,0.1538,45.4652,,18.529,,16.99,15.826,15.157,15.047,RGB*,,02 39 01.5753,-34 36 49.014,0.245,-0.34,0.1538,45.4652,,,18.529,,16.99,15.826,15.157,15.047,RGB*,,02 39 01.5753,-34 36 49.014,0.245,-0.34,0.1538,45.4652,1
True,2MASS J02390434-3425190,GB07 Fnx05,02 39 04.3406,-34 25 19.173,14,14,0.053,0.0687,90,A,O,2020yCat.1350....0G,,,18.39,,16.96,15.858,15.281,15.092,RGB*,,02 39 04.3406,-34 25 19.173,0.319,-0.142,,52.79,,18.39,,16.96,15.858,15.281,15.092,RGB*,,02 39 04.3406,-34 25 19.173,0.319,-0.142,,52.79,,,18.39,,16.96,15.858,15.281,15.092,RGB*,,02 39 04.3406,-34 25 19.173,0.319,-0.142,,52.79,1
True,2MASS J02390819-3436537,GB07 Fnx31,02 39 08.1870,-34 36 53.680,14,14,0.0481,0.0633,90,A,O,2020yCat.1350....0G,,,18.274,,,15.827,15.146,14.857,RGB*,,02 39 08.1870,-34 36 53.680,0.467,-0.265,,59.21,,18.274,,,15.827,15.146,14.857,RGB*,,02 39 08.1870,-34 36 53.680,0.467,-0.265,,59.21,,,18.274,,,15.827,15.146,14.857,RGB*,,02 39 08.1870,-34 36 53.680,0.467,-0.265,,59.21,1
True,2MASS J02390853-3430556,GB07 Fnx16,02 39 08.5373,-34 30 55.662,14,14,0.1148,0.1459,90,A,O,2020yCat.1350....0G,,,18.398,,16.92,15.891,15.055,14.954,RGB*,,02 39 08.5373,-34 30 55.662,1.637,-2.798,0.7644,58.23,,18.398,,16.92,15.891,15.055,14.954,RGB*,,02 39 08.5373,-34 30 55.662,1.637,-2.798,0.7644,58.23,,,18.398,,16.92,15.891,15.055,14.954,RGB*,,02 39 08.5373,-34 30 55.662,1.637,-2.798,0.7644,58.23,1
