Name,Species,Ion,l_logepsX,logepsX,e_[X/Fe]
CS 22956-050,38.1,Sr II,,-0.78,
CS 22956-050,39.1,Y II,,-1.58,
CS 22956-050,40.1,Zr II,,-0.84,
CS 22956-050,56.1,Ba II,,-1.98,
CS 22956-050,57.1,La II,<,-2.4,
CS 22956-050,58.1,Ce II,<,-1.5,
CS 22956-050,59.1,Pr II,<,-2.25,
CS 22956-050,60.1,Nd II,<,-2.0,
CS 22956-050,62.1,Sm II,<,-2.29,
CS 22956-050,63.1,Eu II,<,-2.8,
CS 22956-050,64.1,Gd II,<,-2.0,
CS 22956-050,66.1,Dy II,<,-2.5,
CS 22956-050,67.1,Ho II,<,-2.2,
CS 22956-050,68.1,Er II,<,-2.2,
CS 22966-057,38.1,Sr II,,0.25,
CS 22966-057,39.1,Y II,,-0.64,
CS 22966-057,40.1,Zr II,,-0.06,
CS 22966-057,56.1,Ba II,,-0.73,
CS 22966-057,57.1,La II,,-1.2,
CS 22966-057,58.1,Ce II,<,-0.7,
CS 22966-057,59.1,Pr II,<,-1.15,
CS 22966-057,60.1,Nd II,,-0.65,
CS 22966-057,62.1,Sm II,<,-1.29,
CS 22966-057,63.1,Eu II,,-1.7,
CS 22966-057,64.1,Gd II,<,-1.2,
CS 22966-057,66.1,Dy II,,-1.0,
CS 22966-057,67.1,Ho II,<,-1.9,
CS 22966-057,68.1,Er II,,-1.05,
CS 22968-014,38.1,Sr II,,-2.39,
CS 22968-014,39.1,Y II,<,-2.7,
CS 22968-014,40.1,Zr II,<,-1.4,
CS 22968-014,56.1,Ba II,,-3.2,
CS 22968-014,57.1,La II,,-2.5,
CS 22968-014,58.1,Ce II,<,-1.5,
CS 22968-014,59.1,Pr II,<,-2.45,
CS 22968-014,60.1,Nd II,<,-2.2,
CS 22968-014,62.1,Sm II,<,-2.39,
CS 22968-014,63.1,Eu II,<,-3.0,
CS 22968-014,64.1,Gd II,<,-2.3,
CS 22968-014,66.1,Dy II,<,-2.7,
CS 22968-014,67.1,Ho II,<,-3.2,
CS 22968-014,68.1,Er II,<,-2.2,
CS 29491-053,38.1,Sr II,,-0.31,
CS 29491-053,39.1,Y II,,-1.11,
CS 29491-053,40.1,Zr II,,-0.42,
CS 29491-053,56.1,Ba II,,-1.8,
CS 29491-053,57.1,La II,<,-2.8,
CS 29491-053,58.1,Ce II,<,-1.8,
CS 29491-053,59.1,Pr II,<,-2.45,
CS 29491-053,60.1,Nd II,,-2.0,
CS 29491-053,62.1,Sm II,<,-2.49,
CS 29491-053,63.1,Eu II,,-2.95,
CS 29491-053,64.1,Gd II,<,-2.3,
CS 29491-053,66.1,Dy II,<,-2.7,
CS 29491-053,67.1,Ho II,<,-3.1,
CS 29491-053,68.1,Er II,<,-2.5,
CS 29495-041,38.1,Sr II,,0.0,
CS 29495-041,39.1,Y II,,-0.99,
CS 29495-041,40.1,Zr II,,-0.26,
CS 29495-041,56.1,Ba II,,-1.34,
CS 29495-041,57.1,La II,,-2.1,
CS 29495-041,58.1,Ce II,<,-1.4,
CS 29495-041,59.1,Pr II,,-2.25,
CS 29495-041,60.1,Nd II,,-1.04,
CS 29495-041,62.1,Sm II,<,-2.19,
CS 29495-041,63.1,Eu II,,-2.4,
CS 29495-041,64.1,Gd II,,-1.95,
CS 29495-041,66.1,Dy II,<,-2.3,
CS 29495-041,67.1,Ho II,<,-3.0,
CS 29495-041,68.1,Er II,,-1.85,
CS 29502-042,38.1,Sr II,,-2.2,
CS 29502-042,39.1,Y II,<,-2.7,
CS 29502-042,40.1,Zr II,<,-1.3,
CS 29502-042,56.1,Ba II,,-2.75,
CS 29502-042,57.1,La II,<,-2.6,
CS 29502-042,58.1,Ce II,<,-1.1,
CS 29502-042,59.1,Pr II,<,-2.25,
CS 29502-042,60.1,Nd II,<,-2.0,
CS 29502-042,62.1,Sm II,<,-2.39,
CS 29502-042,63.1,Eu II,<,-2.9,
CS 29502-042,64.1,Gd II,<,-2.0,
CS 29502-042,66.1,Dy II,<,-1.5,
CS 29502-042,68.1,Er II,<,-1.8,
CS 29502-042,69.1,Tm II,,-1.36,
CS 29516-024,38.1,Sr II,,-0.68,
CS 29516-024,39.1,Y II,,-1.56,
CS 29516-024,40.1,Zr II,,-0.77,
CS 29516-024,56.1,Ba II,,-1.83,
CS 29516-024,57.1,La II,,-2.5,
CS 29516-024,58.1,Ce II,<,-1.8,
CS 29516-024,59.1,Pr II,<,-2.25,
CS 29516-024,60.1,Nd II,,-2.0,
CS 29516-024,62.1,Sm II,<,-2.59,
CS 29516-024,63.1,Eu II,,-2.8,
CS 29516-024,64.1,Gd II,<,-2.3,
CS 29516-024,66.1,Dy II,,-2.51,
CS 29516-024,67.1,Ho II,<,-3.2,
CS 29516-024,68.1,Er II,,-2.5,
CS 29518-051,38.1,Sr II,,0.37,
CS 29518-051,39.1,Y II,,-0.6,
CS 29518-051,40.1,Zr II,,0.07,
CS 29518-051,56.1,Ba II,,-1.1,
CS 29518-051,57.1,La II,,-2.1,
CS 29518-051,58.1,Ce II,<,-1.0,
CS 29518-051,59.1,Pr II,,-1.65,
CS 29518-051,60.1,Nd II,,-1.27,
CS 29518-051,62.1,Sm II,<,-1.89,
CS 29518-051,63.1,Eu II,<,-2.4,
CS 29518-051,64.1,Gd II,<,-1.7,
CS 29518-051,66.1,Dy II,<,-1.38,
CS 29518-051,67.1,Ho II,<,-3.0,
CS 29518-051,68.1,Er II,<,-2.2,
CS 29518-051,69.1,Tm II,,-0.78,
CS 30325-094,38.1,Sr II,,-2.57,
CS 30325-094,39.1,Y II,<,-2.6,
CS 30325-094,40.1,Zr II,<,-2.24,
CS 30325-094,56.1,Ba II,,-3.05,
CS 30325-094,57.1,La II,<,-2.4,
CS 30325-094,58.1,Ce II,,-1.3,
CS 30325-094,59.1,Pr II,<,-1.95,
CS 30325-094,60.1,Nd II,,-1.8,
CS 30325-094,62.1,Sm II,<,-1.8,
CS 30325-094,63.1,Eu II,<,-2.9,
CS 30325-094,64.1,Gd II,<,-2.0,
CS 30325-094,66.1,Dy II,<,-2.5,
CS 30325-094,67.1,Ho II,<,-2.7,
CS 30325-094,68.1,Er II,<,-2.3,
HD 186478,38.1,Sr II,,0.62,
HD 186478,39.1,Y II,,-0.54,
HD 186478,40.1,Zr II,,0.22,
HD 186478,56.1,Ba II,,-0.5,
HD 186478,57.1,La II,,-1.37,
HD 186478,58.1,Ce II,,-1.0,
HD 186478,59.1,Pr II,,-1.63,
HD 186478,60.1,Nd II,,-0.77,
HD 186478,62.1,Sm II,,-1.17,
HD 186478,63.1,Eu II,,-1.6,
HD 186478,64.1,Gd II,,-1.06,
HD 186478,66.1,Dy II,,-1.12,
HD 186478,67.1,Ho II,<,-1.9,
HD 186478,68.1,Er II,,-1.19,
HD 186478,69.1,Tm II,,-1.84,
HD 186478,70.1,Yb II,,-0.99,
HD 2796,38.1,Sr II,,0.75,
HD 2796,39.1,Y II,,-0.48,
HD 2796,40.1,Zr II,,0.21,
HD 2796,56.1,Ba II,,-0.48,
HD 2796,57.1,La II,,-1.4,
HD 2796,58.1,Ce II,,-0.83,
HD 2796,59.1,Pr II,,-1.5,
HD 2796,60.1,Nd II,,-1.1,
HD 2796,62.1,Sm II,,-1.4,
HD 2796,63.1,Eu II,,-1.85,
HD 2796,64.1,Gd II,,-1.4,
HD 2796,66.1,Dy II,,-1.32,
HD 2796,67.1,Ho II,,-2.2,
HD 2796,68.1,Er II,,-1.43,
HD 2796,69.1,Tm II,<,-1.21,
HD 2796,70.1,Yb II,,-1.52,
