Type           , Name       , Loc, Sci_key, RA_hms     , DEC_dms     , RA_deg            , DEC_deg            , logg, Teff, l_A(C), A(C), e_A(C), l_[Fe/H], [Fe/H], e_[Fe/H], l_[C/Fe], [C/Fe], e_[C/Fe], [C/Fe]c, l_[C/Fe]f, [C/Fe]f, e_[C/Fe]f, [Ba/H], Slit, Reference      , Ref
RGB            , 11_1_6192  , DW ,        , 00:59:06.14, -33:44:11.39,                   ,                    , 1.37, 4552,       ,     ,       ,         , -2.02 ,     0.22,         , -0.89 ,     0.26,    0.57,          , -0.32  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_6267  , DW ,        , 00:59:04.05, -33:40:31.48,                   ,                    , 1.08, 4503,       ,     ,       ,         , -2.57 ,     0.18,         , -0.74 ,     0.37,    0.75,          , 0.01   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
CEMP-s         , 11_1_6440  , DW , S      , 00:59:00.13, -33:38:50.96,                   ,                    , 1.3 , 4579,       ,     ,       , >       , -3.04 ,         ,         ,       ,         ,        ,          ,        ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_6443  , DW ,        , 00:59:00.28, -33:43:14.64,                   ,                    , 1.03, 4484,       ,     ,       ,         , -2.45 ,     0.17,         , -0.72 ,     0.34,    0.77,          , 0.05   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_1_6533  , DW ,        , 00:58:57.88, -33:41:50.34,                   ,                    , 1.43, 4635,       ,     ,       ,         , -2.98 ,     0.22,         , 0.09  ,     0.44,    0.48,          , 0.57   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_2_425   , DW ,        , 00:59:50.64, -33:58:07.10,                   ,                    , 1.6 , 4715,       ,     ,       ,         , -3.15 ,     0.22,         , 0.39  ,     0.37,    0.33,          , 0.72   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_2_661   , DW ,        , 00:59:25.63, -33:58:21.42,                   ,                    , 1.18, 4524,       ,     ,       ,         , -3.10 ,     0.16,         , -0.05 ,     0.31,    0.68,          , 0.63   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 11_2_956   , DW ,        , 00:58:39.65, -33:55:34.76,                   ,                    , 1.02, 4477,       ,     ,       ,         , -2.16 ,     0.18,         , -0.86 ,     0.24,    0.75,          , -0.11  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 6_5_1035   , DW ,        , 01:00:19.33, -33:37:11.74,                   ,                    , 1.27, 4564,       ,     ,       ,         , -3.03 ,     0.2 ,         , -0.30 ,     0.35,    0.62,          , 0.32   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 6_5_1598   , DW ,        , 00:59:59.09, -33:36:44.90,                   ,                    , 1.09, 4492,       ,     ,       ,         , -2.92 ,     0.16,         , 0.18  ,     0.34,    0.67,          , 0.85   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
Blueward_of_RGB, 6_5_163    , DW ,        , 01:01:19.89, -33:35:57.44,                   ,                    , 2.41, 5055,       ,     ,       ,         , -2.95 ,     0.45,         , 0.84  ,     0.48,    0.01,          , 0.85   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 6_5_239    , DW ,        , 01:01:10.27, -33:38:37.81,                   ,                    , 1.09, 4505,       ,     ,       ,         , -2.44 ,     0.23,         , -0.43 ,     0.32,    0.72,          , 0.29   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 6_5_420    , DW ,        , 01:00:51.64, -33:36:56.74,                   ,                    , 2.5 , 4565,       ,     ,       ,         , -0.61 ,     0.46,         , -0.40 ,     0.40,    0.03,          , -0.37  ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
CEMP-s         , 6_5_505    , DW , S      , 01:00:45.76, -33:38:34.83,                   ,                    , 1.57, 4706,       ,     ,       , >       , -3.33 ,         ,         ,       ,         ,        ,          ,        ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
RGB            , 6_5_678    , DW ,        , 01:00:34.10, -33:35:08.73,                   ,                    , 1.38, 4615,       ,     ,       ,         , -2.74 ,     0.24,         , 0.09  ,     0.43,    0.53,          , 0.62   ,          ,       ,     , Chiti+2018_M2FS, CHI18_M2FS
