Species,lambda,chi,loggf,EW33,loge33,EW41,loge41,EW94,loge94,EW117,loge117,EW119,loge119,EW127,loge127,EW130,loge130
Fe I,6024.049,4.548,-0.120,,,50.8,5.87,,,,,,,,,20.3,5.28
Fe I,6055.992,4.733,-0.460,12.5,5.55,,,,,,,,,18.1,5.71,,
Fe I,6065.482,2.608,-1.530,,,88.6,5.59,44.4,4.70,74.1,5.38,,,,,72.5,5.33
Fe I,6137.691,2.588,-1.403,58.9,4.92,78.9,5.27,,,75.2,5.24,,,,,,
Fe I,6173.334,2.223,-2.880,,,,,,,37.6,5.63,,,55.0,5.81,,
Fe I,6180.203,2.727,-2.586,,,,,,,34.5,5.88,,,,,,
Fe I,6191.558,2.433,-1.417,96.3,5.36,,,51.0,4.46,88.0,5.30,,,,,94.8,5.36
Fe I,6213.429,2.223,-2.482,50.9,5.42,78.2,5.89,19.9,4.67,70.8,5.79,,,76.1,5.73,52.9,5.51
Fe I,6219.279,2.198,-2.433,59.1,5.47,96.1,6.11,25.7,4.73,63.5,5.58,,,87.2,5.83,,
Fe I,6230.722,2.559,-1.281,,,,,64.2,4.69,,,,,,,,
Fe I,6240.645,2.223,-3.233,,,,,,,14.2,5.43,,,33.9,5.82,,
Fe I,6246.317,3.602,-0.733,,,67.0,5.61,,,37.6,5.12,,,50.5,5.27,32.6,5.06
Fe I,6252.554,2.404,-1.687,,,,,58.4,4.81,96.2,5.69,,,,,78.6,5.32
Fe I,6254.256,2.279,-2.443,,,64.8,5.72,,,62.9,5.68,,,66.4,5.62,54.6,5.57
Fe I,6265.131,2.176,-2.550,40.5,5.27,,,,,58.1,5.58,,,76.5,5.75,37.0,5.27
Fe I,6270.222,2.858,-2.464,,,,,,,,,,,36.5,5.87,,
Fe I,6301.500,3.654,-0.718,,,61.9,5.58,,,,,,,49.2,5.29,32.9,5.11
Fe I,6302.494,3.686,-0.973,26.9,5.24,42.2,5.57,,,28.9,5.29,,,31.1,5.27,,
Fe I,6322.685,2.588,-2.426,14.6,5.06,,,,,,,,,,,,
Fe I,6335.328,2.198,-2.177,71.6,5.40,,,36.8,4.68,81.3,5.63,,,86.1,5.55,,
Fe I,6336.823,3.686,-0.856,,,57.3,5.68,,,,,,,,,44.0,5.47
Fe I,6344.148,2.433,-2.923,,,,,,,,,,,30.5,5.70,,
Fe I,6393.600,2.433,-1.432,98.2,5.38,,,60.8,4.62,,,,,,,,
Fe I,6400.000,3.602,-0.290,64.7,5.09,,,29.5,4.38,,,,,,,,
Fe I,6408.018,3.686,-1.018,27.8,5.30,,,,,,,,,38.0,5.44,,
Fe I,6411.647,3.654,-0.595,51.5,5.25,,,,,53.0,5.31,,,77.8,5.61,,
Fe I,6419.942,4.733,-0.240,,,,,,,21.7,5.61,,,,,,
Fe I,6421.349,2.279,-2.027,78.6,5.46,,,44.5,4.76,95.5,5.85,,,,,,
Fe I,6430.844,2.176,-2.006,93.7,5.55,,,56.7,4.80,,,,,,,95.5,5.62
Fe I,6481.869,2.279,-2.984,,,49.2,6.01,,,,,,,,,,
Fe I,6494.980,2.404,-1.273,,,,,81.4,4.76,,,,,,,,
Fe I,6546.238,2.758,-1.536,56.2,5.19,,,,,68.6,5.43,,,93.1,5.71,,
Fe I,6592.913,2.727,-1.473,,,93.3,5.71,,,,,,,87.4,5.50,53.6,5.09
Fe I,6593.870,2.433,-2.422,38.3,5.39,,,,,,,,,67.6,5.78,36.1,5.41
Fe I,6609.110,2.559,-2.692,,,38.8,5.88,,,,,,,,,,
Fe I,6663.437,2.424,-2.479,48.5,5.60,66.9,5.93,,,,,,,60.6,5.71,38.2,5.49
Fe I,6677.985,2.692,-1.418,84.0,5.42,,,41.6,4.60,,,,,,,86.0,5.49
Fe I,6750.150,2.424,-2.621,27.1,5.36,48.2,5.79,,,,,,,40.5,5.54,,
Fe II,5234.625,3.221,-2.180,,,,,,,70.6,5.47,,,74.8,5.49,74.1,5.43
Fe II,5325.553,3.221,-3.160,20.1,5.44,,,,,19.7,5.44,,,31.2,5.70,,
Fe II,5534.847,3.245,-2.750,32.2,5.32,56.6,5.72,,,41.4,5.52,,,64.5,5.89,32.6,5.31
Fe II,6432.680,2.891,-3.570,26.3,5.57,,,,,27.7,5.61,,,37.5,5.79,,
Fe II,6516.080,2.891,-3.310,42.7,5.61,60.0,5.87,,,,,,,,,44.1,5.62
Ni I,4904.407,3.542,-0.170,,,,,,,28.6,4.10,,,43.4,4.32,,
Ni I,4980.166,3.606,0.070,,,,,,,39.2,4.15,,,,,,
Ni I,5017.568,3.539,-0.020,,,49.8,4.35,,,,,,,,,,
Ni I,5035.357,3.635,0.290,,,,,,,,,,,38.7,3.88,39.5,3.97
Ni I,5080.528,3.655,0.330,,,,,,,37.3,3.90,,,27.9,3.65,,
Ni I,5084.089,3.679,0.030,,,58.4,4.59,,,,,,,,,,
Ni I,5115.389,3.834,-0.110,,,42.8,4.66,,,,,,,24.7,4.23,,
Ni I,5137.070,1.676,-1.990,,,,,,,,,,,83.1,4.54,47.6,4.08
Ni I,5476.900,1.826,-0.890,98.9,3.95,,,81.1,3.50,98.3,4.06,,,,,95.8,3.92
Ni I,5578.711,1.676,-2.640,,,,,,,15.9,4.00,,,37.4,4.40,,
Ni I,5754.655,1.935,-2.330,,,,,,,21.7,4.15,,,35.7,4.36,,
Ni I,6108.107,1.676,-2.450,,,54.5,4.58,12.2,3.45,34.8,4.22,,,31.1,4.06,25.0,4.07
Ni I,6314.653,1.935,-1.770,,,,,,,,,,,25.3,3.56,,
Ni I,6643.629,1.676,-2.300,38.2,4.07,55.3,4.40,12.1,3.26,51.2,4.31,,,67.2,4.45,44.8,4.25
Ni I,6767.768,1.826,-2.170,,,82.8,4.86,14.1,3.38,42.6,4.21,,,51.5,4.26,,
Zn I,4810.528,4.078,-0.137,,,74.8,3.13,25.7,2.06,45.0,2.64,,,,,,
YI I,4883.684,1.084,0.070,,,,,20.2,-1.09,41.9,-0.26,,,,,,
YI I,5087.416,1.084,-0.170,25.3,-0.39,,,,,22.1,-0.45,,,,,,
Ba II,5853.668,0.604,-1.000,47.0,-0.36,71.4,0.02,,,29.7,-0.66,,,37.6,-0.54,29.6,-0.66
Ba II,6141.713,0.704,-0.076,92.5,-0.43,118.4,0.00,43.8,-1.62,89.5,-0.37,,,87.4,-0.55,86.7,-0.56
