Name,Ion,lambda,l_logepsX,logepsX,e_logepsX
CS 22169-008,Fe I,4903.31,,4.62,0.23
CS 22169-008,Fe I,4918.99,,4.65,0.21
CS 22169-008,Fe I,4920.5,,4.5,0.22
CS 22169-008,Fe I,4938.81,,4.74,0.23
CS 22169-008,Fe I,5006.12,,4.83,0.21
CS 22169-008,Fe I,5191.45,,4.71,0.2
CS 22169-008,Fe I,5192.34,,4.61,0.2
CS 22169-008,Fe I,5194.94,,4.51,0.21
CS 22169-008,Fe I,5216.27,,4.51,0.21
CS 22169-008,Fe I,5232.94,,4.59,0.2
CS 22169-008,Fe I,5266.56,,4.64,0.2
CS 22169-008,Fe I,5371.49,,4.74,0.24
CS 22169-008,Fe I,5383.37,,4.6,0.21
CS 22169-008,Fe I,5397.13,,4.71,0.21
CS 22169-008,Fe I,5405.77,,4.8,0.22
CS 22169-008,Fe I,5429.7,,4.71,0.22
CS 22169-008,Fe I,5434.52,,4.58,0.2
CS 22169-008,Fe I,5497.52,,4.53,0.22
CS 22169-008,Fe I,5506.78,,4.66,0.21
CS 22169-008,Fe I,5586.76,,4.57,0.2
CS 22169-008,Fe I,6065.48,,4.83,0.21
CS 22169-008,Fe I,6230.72,,4.82,0.21
CS 22169-008,Fe I,6494.98,,4.6,0.21
CS 22169-008,Fe II,4178.86,,4.77,0.15
CS 22169-008,Fe II,4233.17,,4.88,0.15
CS 22169-008,Fe II,4491.41,,4.95,0.16
CS 22169-008,Fe II,4515.34,,5.01,0.15
CS 22169-008,Fe II,4555.89,,4.91,0.15
CS 22169-008,Fe II,4583.84,,4.9,0.14
CS 22169-008,Fe II,5197.58,,4.97,0.15
CS 22169-008,Fe II,5276.0,,4.91,0.15
CS 22169-008,Co I,3502.28,,2.27,0.39
CS 22169-008,Co I,3518.34,,2.27,0.3
CS 22169-008,Co I,3529.03,,2.25,0.29
CS 22169-008,Co I,3845.47,,2.19,0.24
CS 22169-008,Co I,4121.32,,2.11,0.24
CS 22169-008,Ni I,3452.89,,3.04,0.4
CS 22169-008,Ni I,3472.54,,3.37,0.44
CS 22169-008,Ni I,3492.96,,3.32,0.44
CS 22169-008,Ni I,3500.85,,3.28,0.35
CS 22169-008,Ni I,3519.77,,3.31,0.3
CS 22169-008,Ni I,3524.54,,3.23,0.44
CS 22169-008,Ni I,3597.7,,3.17,0.34
CS 22169-008,Ni I,3783.53,,3.24,0.27
CS 22169-008,Ni I,3807.14,,3.29,0.3
CS 22169-008,Ni I,5476.91,,3.33,0.24
CS 22169-008,Zn I,4722.16,<,2.55,
CS 22169-008,Zn I,4810.54,<,2.25,
CS 22169-008,Rb I,7800.28,<,2.57,
CS 22169-008,Sr II,4077.71,,0.31,0.3
CS 22169-008,Sr II,4215.52,,0.25,0.28
CS 22169-008,Y II,3600.73,,-0.66,0.29
CS 22169-008,Y II,3774.33,,-0.89,0.24
CS 22169-008,Zr II,4149.2,<,0.36,
CS 22169-008,Nb II,3818.86,<,1.27,
CS 22169-008,Mo I,3864.1,<,0.84,
CS 22169-008,Tc I,4262.27,<,1.23,
CS 22169-008,Ba II,4554.03,,-1.2,0.17
CS 22169-008,Ce II,3999.24,<,0.43,
CS 22169-008,Ce II,4073.47,<,0.27,
CS 22169-008,Ce II,4083.22,<,-0.08,
CS 22169-008,Ce II,4418.78,<,0.02,
CS 22169-008,Ce II,4562.36,<,0.16,
CS 22169-008,Pr II,4062.8,<,0.04,
CS 22169-008,Pr II,4143.13,<,-0.34,
CS 22169-008,Pr II,4179.4,<,-0.58,
CS 22169-008,Pr II,4222.95,<,-0.02,
CS 22169-008,Pr II,4408.81,<,-0.18,
CS 22169-008,Nd II,4109.45,<,-0.3,
CS 22169-008,Nd II,4446.38,<,0.39,
CS 22169-008,Nd II,4462.98,<,0.17,
CS 22169-008,Nd II,4706.54,<,0.55,
CS 22169-008,Nd II,4825.48,<,0.42,
CS 22169-008,Sm II,4424.34,<,-0.12,
CS 22169-008,Sm II,4467.34,<,-0.12,
CS 22169-008,Eu II,3819.67,<,-1.18,
CS 22169-008,Gd II,4049.85,<,0.25,
CS 22169-008,Gd II,4130.37,<,0.11,
CS 22169-008,Gd II,4251.73,<,0.29,
CS 22169-008,Tb II,3848.73,<,-0.47,
CS 22169-008,Tb II,4002.57,<,0.33,
CS 22169-008,Tb II,4752.53,<,0.2,
CS 22169-008,Dy II,3757.37,<,-0.03,
CS 22169-008,Dy II,3944.68,<,-0.55,
CS 22169-008,Dy II,4449.7,<,0.4,
CS 22169-008,Ho II,3810.71,<,-0.73,
CS 22169-008,Er II,3830.48,<,-0.23,
CS 22169-008,Er II,3896.23,<,-0.51,
CS 22169-008,Tm II,3848.02,<,-0.77,
CS 22169-008,Tm II,3996.51,<,0.23,
CS 22169-008,Yb II,3694.2,<,-1.23,
CS 22169-008,Hf II,3918.09,<,0.31,
CS 22169-008,Hf II,4093.15,<,0.39,
CS 22169-008,Pb I,4057.81,<,1.45,
CS 22169-008,Th II,3539.59,<,0.27,
CS 22169-008,Th II,4019.13,<,-0.44,
CS 22169-008,Th II,4094.75,<,0.23,
CS 22169-035,Li I,6707.8,<,-0.09,
CS 22169-035,[O I],6300.3,<,6.23,
CS 22169-035,O I,7771.94,<,6.79,
CS 22169-035,O I,7774.17,<,7.0,
CS 22169-035,O I,7775.39,<,7.2,
CS 22169-035,Mg I,4057.51,,4.58,0.17
CS 22169-035,Mg I,4167.27,,4.59,0.18
CS 22169-035,Mg I,4702.99,,4.55,0.15
CS 22169-035,Mg I,5172.68,,4.57,0.41
CS 22169-035,Mg I,5183.6,,4.66,0.37
CS 22169-035,Mg I,5528.4,,4.64,0.17
CS 22169-035,Al I,3961.52,,2.48,0.44
CS 22169-035,Si I,4102.94,,5.23,0.42
CS 22169-035,K I,7698.96,,2.17,0.21
CS 22169-035,Ca I,4318.65,,3.24,0.18
CS 22169-035,Ca I,4425.44,,3.24,0.19
CS 22169-035,Ca I,4435.69,,3.15,0.18
CS 22169-035,Ca I,4454.78,,3.15,0.21
CS 22169-035,Ca I,4455.89,,3.07,0.19
CS 22169-035,Ca I,5588.76,,3.28,0.18
CS 22169-035,Ca I,5857.45,,3.32,0.22
CS 22169-035,Ca I,6102.72,,3.42,0.19
CS 22169-035,Ca I,6122.22,,3.24,0.18
CS 22169-035,Ca I,6162.17,,3.26,0.18
CS 22169-035,Ca I,6439.07,,3.28,0.18
CS 22169-035,Sc II,4246.84,,-0.26,0.31
CS 22169-035,Sc II,4400.4,,-0.34,0.15
CS 22169-035,Sc II,4415.56,,-0.37,0.15
CS 22169-035,Sc II,4670.42,,-0.45,0.17
CS 22169-035,Sc II,5526.79,,-0.35,0.16
CS 22169-035,Ti I,3989.76,,1.4,0.21
CS 22169-035,Ti I,3998.64,,1.27,0.19
CS 22169-035,Ti I,4512.73,,1.55,0.19
CS 22169-035,Ti I,4533.24,,1.37,0.15
CS 22169-035,Ti I,4534.78,,1.4,0.15
