Species, N  , ID                      , l_logepsX, logepsX, e_logepsX, l_[X/H], [X/H], l_[X/Fe], [X/Fe]
Cr I   ,  14, SMSS J141547.72-414034.0,          , 3.27   ,      0.11,        , -2.37,         , -0.11
Cr I   ,  10, SMSS J143511.34-420326.5,          , 2.25   ,      0.1 ,        , -3.39,         , -0.24
Cr I   ,   4, SMSS J151101.05-182103.0,          , 2.63   ,      0.05,        , -3.01,         , -0.3
Cr I   ,   3, SMSS J151450.18-182946.0,          , 2.55   ,      0.1 ,        , -3.09,         , -0.36
Cr I   ,  20, SMSS J155430.57-263904.8,          , 2.88   ,      0.11,        , -2.76,         , -0.14
Cr I   ,  15, SMSS J155628.74-165533.4,          , 2.68   ,      0.1 ,        , -2.96,         , -0.17
Cr I   ,  14, SMSS J160447.75-293146.7,          , 2.75   ,      0.09,        , -2.89,         , -0.23
Cr I   ,  13, SMSS J164921.94-041943.9,          , 3.23   ,      0.09,        , -2.41,         , -0.18
Cr I   ,  18, SMSS J165023.82-252948.7,          , 2.91   ,      0.12,        , -2.73,         , -0.26
Cr I   ,  16, SMSS J165219.76-253133.7,          , 3.27   ,      0.11,        , -2.37,         , -0.17
Cr I   ,   6, SMSS J173823.36-145701.0,          , 1.65   ,      0.09,        , -3.99,         , -0.42
Cr I   ,  11, SMSS J174048.48-143635.6,          , 2.79   ,      0.12,        , -2.85,         , -0.35
Cr I   ,  17, SMSS J174916.38-455427.5,          , 3.01   ,      0.11,        , -2.63,         , -0.11
Cr I   ,  12, SMSS J174922.26-455103.8,          , 2.67   ,      0.1 ,        , -2.97,         , -0.2
Cr I   ,   7, SMSS J175021.86-414627.2,          , 2.59   ,      0.11,        , -3.05,         , -0.29
Cr I   ,  18, SMSS J175046.30-425506.9,          , 3.29   ,      0.09,        , -2.35,         , -0.19
Cr I   ,  11, SMSS J175738.37-454823.5,          , 2.97   ,      0.1 ,        , -2.67,         , -0.2
Cr I   ,  12, SMSS J183246.49-343434.2,          , 2.34   ,      0.09,        , -3.3 ,         , -0.29
Cr I   ,  10, SMSS J183753.10-380725.9,          , 2.28   ,      0.13,        , -3.36,         , -0.37
Cr I   ,   4, SMSS J184226.25-272602.7,          , 1.06   ,      0.1 ,        , -4.58,         , -0.69
Cr I   ,   6, SMSS J184825.29-305929.7,          , 1.55   ,      0.12,        , -4.09,         , -0.44
Cr I   ,  15, SMSS J185628.44-231809.8,          , 2.4    ,      0.13,        , -3.24,         , -0.25
Cr I   ,   7, SMSS J190549.33-214945.0,          , 2.24   ,      0.1 ,        , -3.4 ,         , -0.29
Cr I   ,  18, SMSS J190911.03-213207.5,          , 3.02   ,      0.14,        , -2.62,         , -0.22
Cr I   ,   8, SMSS J190931.13-214053.9,          , 2.12   ,      0.12,        , -3.52,         , -0.19
Cr I   ,   7, SMSS J191802.51-851523.0,          , 2.84   ,      0.4 ,        , -2.8 ,         , -0.17
Cr I   ,   5, SMSS J193528.46-462129.6,          , 1.69   ,      0.1 ,        , -3.95,         , -0.56
Cr I   ,  16, SMSS J193617.38-790231.4,          , 4.18   ,      0.08,        , -1.46,         , -0.17
Cr I   ,  14, SMSS J194432.13-720537.1,          , 3.09   ,      0.09,        , -2.54,         , -0.11
Cr I   ,   8, SMSS J195614.75-320145.9,          , 3.05   ,      0.09,        , -2.59,         , -0.28
Cr I   ,  14, SMSS J195931.70-643529.3,          , 2.84   ,      0.07,        , -2.8 ,         , -0.22
Cr I   ,   6, SMSS J200228.85-533114.4,          , 2.11   ,      0.13,        , -3.53,         , -0.31
Cr I   ,   3, SMSS J200654.42-321157.7,          , 1.83   ,      0.11,        , -3.81,         , -0.56
Cr I   ,   6, SMSS J202057.49-522417.2,          , 2.15   ,      0.07,        , -3.49,         , -0.37
Cr I   ,   5, SMSS J202123.89-515742.8,          , 2.56   ,      0.17,        , -3.08,         , -0.47
Cr I   ,  11, SMSS J205313.80-651830.6,          , 2.69   ,      0.12,        , -2.95,         , -0.34
Cr I   ,  14, SMSS J210021.85-653627.9,          , 3.56   ,      0.1 ,        , -2.08,         , -0.18
Cr I   ,   8, SMSS J211340.44-520017.5,          , 3.04   ,      0.11,        , -2.6 ,         , -0.2
Cr I   ,   5, SMSS J215805.81-651327.2,          , 1.77   ,      0.09,        , -3.87,         , -0.46
Cr I   ,  13, SMSS J221448.33-453949.9,          , 2.83   ,      0.07,        , -2.81,         , -0.25
Cr I   ,   8, SMSS J224838.41-550635.1,          , 2.42   ,      0.15,        , -3.22,         , -0.35
Cr I   ,   9, SMSS J224843.95-543610.1,          , 2.94   ,      0.06,        , -2.7 ,         , -0.32
Cr I   ,   4, SMSS J225851.25-265434.9,          , 1.63   ,      0.15,        , -4.01,         , -0.53
Cr I   ,   8, SMSS J230013.16-263511.0,          , 1.99   ,      0.2 ,        , -3.65,         , -0.3
Cr I   ,  13, SMSS J230113.95-291458.2,          , 3.02   ,      0.15,        , -2.62,         , -0.1
Cr I   ,   5, 2MASS J23203653-3637223 ,          , 2.95   ,      0.17,        , -2.69,         , -0.06
Cr I   ,   2, 2MASS J23261426-3719492 ,          , 2.91   ,      0.03,        , -2.73,         , -0.19
Cr II  ,   2, SMSS J000113.96-363337.9,          , 3.5    ,      0.05,        , -2.14,         , 0.18
Cr II  ,   2, SMSS J001039.86-525851.4,          , 3.5    ,      0.0 ,        , -2.14,         , 0.18
Cr II  ,   1, SMSS J001952.15-525803.0,          , 3.23   ,          ,        , -2.41,         , 0.15
Cr II  ,   0, SMSS J002148.06-471132.1,          ,        ,          ,        ,      ,         , 
Cr II  ,   2, SMSS J003055.81-482011.3,          , 3.38   ,      0.15,        , -2.26,         , 0.27
Cr II  ,   0, SMSS J003327.36-491037.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J004037.56-515025.2,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J005953.98-594329.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J010332.63-534654.3,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J010651.91-524410.5,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J010839.58-285701.5,          ,        ,          ,        ,      ,         , 
Cr II  ,   3, SMSS J012147.80-495328.2,          , 4.09   ,      0.11,        , -1.55,         , 0.04
Cr II  ,   1, SMSS J014624.60-352457.7,          , 3.1    ,          ,        , -2.54,         , 0.27
Cr II  ,   0, SMSS J015350.94-775525.6,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J015941.53-781408.7,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, 2MASS J02031860-7930291 ,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J020748.93-465616.4,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J021323.26-495936.5,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J022410.38-534659.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J022423.27-573705.1,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J022452.58-731051.8,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J022545.31-774119.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   1, SMSS J022756.48-684256.6,          , 3.45   ,          ,        , -2.19,         , 0.03
Cr II  ,   0, SMSS J023139.43-523957.4,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J023147.96-575341.7,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J024643.28-352502.4,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J024858.41-684306.4,          ,        ,          ,        ,      ,         , 
Cr II  ,   3, 2MASS J03084611-4747083 ,          , 4.14   ,      0.05,        , -1.5 ,         , 0.06
Cr II  ,   0, SMSS J031556.09-473442.1,          ,        ,          ,        ,      ,         , 
Cr II  ,   1, SMSS J032132.29-363123.6,          , 2.49   ,          ,        , -3.15,         , 0.25
Cr II  ,   0, SMSS J033005.90-681352.5,          ,        ,          ,        ,      ,         , 
Cr II  ,   2, SMSS J034249.53-284216.0,          , 3.38   ,      0.02,        , -2.26,         , 0.06
Cr II  ,   0, SMSS J040148.04-743537.3,          ,        ,          ,        ,      ,         , 
Cr II  ,   2, SMSS J041957.56-493818.3,          , 2.79   ,      0.09,        , -2.85,         , 0.12
Cr II  ,   0, SMSS J051008.62-372019.8,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J055746.51-575057.4,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J061725.30-600740.6,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J062609.83-590503.2,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J063447.15-622355.0,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J064349.43-653038.6,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J065014.40-614328.0,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J070257.95-600422.4,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J080050.54-724620.6,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J085924.06-120104.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J090247.43-122755.0,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J091210.40-064427.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J093209.41-003435.8,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, 2MASS J09380777-0600392 ,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J093829.27-070520.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   2, SMSS J094029.05-060935.0,          , 2.73   ,      0.02,        , -2.91,         , 0.26
Cr II  ,   1, SMSS J094755.04-102724.7,          , 2.81   ,          ,        , -2.83,         , 0.16
Cr II  ,   0, SMSS J095120.49-401431.3,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J100251.13-000152.1,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, 2MASS J10242264-2904203 ,          ,        ,          ,        ,      ,         , 
Cr II  ,   1, 2MASS J10275895-3006391 ,          , 4.28   ,          ,        , -1.36,         , 1.6
Cr II  ,   0, 2MASS J10283035-2951115 ,          ,        ,          ,        ,      ,         , 
Cr II  ,   2, 2MASS J10294248-0103238 ,          , 3.43   ,      0.03,        , -2.21,         , 0.18
Cr II  ,   2, SMSS J105320.99-435300.1,          , 4.03   ,      0.02,        , -1.61,         , 0.24
Cr II  ,   2, SMSS J105438.86-435819.9,          , 3.75   ,      0.03,        , -1.88,         , 0.09
Cr II  ,   0, SMSS J110850.60-080034.7,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J121353.63-441911.2,          ,        ,          ,        ,      ,         , 
Cr II  ,   3, SMSS J121716.48-442510.2,          , 3.66   ,      0.05,        , -1.98,         , 0.12
Cr II  ,   0, SMSS J122455.61-151134.0,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J123158.00-162317.6,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J123246.06-054559.1,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J125115.37-331448.1,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J125125.64-340343.4,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J125451.18-334440.3,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J125804.65-335045.1,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J130537.01-294438.3,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J133013.61-434632.4,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J133532.32-210632.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J135217.78-151405.7,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J135625.09-161538.7,          ,        ,          ,        ,      ,         , 
Cr II  ,   2, SMSS J135819.95-150937.4,          , 3.34   ,      0.01,        , -2.29,         , 0.29
Cr II  ,   0, SMSS J141547.72-414034.0,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J143511.34-420326.5,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J151101.05-182103.0,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J151450.18-182946.0,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J155430.57-263904.8,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J155628.74-165533.4,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J160447.75-293146.7,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J164921.94-041943.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J165023.82-252948.7,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J165219.76-253133.7,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J173823.36-145701.0,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J174048.48-143635.6,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J174916.38-455427.5,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J174922.26-455103.8,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J175021.86-414627.2,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J175046.30-425506.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J175738.37-454823.5,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J183246.49-343434.2,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J183753.10-380725.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J184226.25-272602.7,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J184825.29-305929.7,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J185628.44-231809.8,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J190549.33-214945.0,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J190911.03-213207.5,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J190931.13-214053.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J191802.51-851523.0,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J193528.46-462129.6,          ,        ,          ,        ,      ,         , 
Cr II  ,   1, SMSS J193617.38-790231.4,          , 4.16   ,          ,        , -1.48,         , -0.19
Cr II  ,   2, SMSS J194432.13-720537.1,          , 3.42   ,      0.04,        , -2.22,         , 0.21
Cr II  ,   0, SMSS J195614.75-320145.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   1, SMSS J195931.70-643529.3,          , 3.28   ,          ,        , -2.36,         , 0.22
Cr II  ,   0, SMSS J200228.85-533114.4,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J200654.42-321157.7,          ,        ,          ,        ,      ,         , 
Cr II  ,   1, SMSS J202057.49-522417.2,          , 2.8    ,          ,        , -2.84,         , 0.28
Cr II  ,   0, SMSS J202123.89-515742.8,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J205313.80-651830.6,          ,        ,          ,        ,      ,         , 
Cr II  ,   3, SMSS J210021.85-653627.9,          , 3.8    ,      0.11,        , -1.84,         , 0.06
Cr II  ,   0, SMSS J211340.44-520017.5,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J215805.81-651327.2,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J221448.33-453949.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   0, SMSS J224838.41-550635.1,          ,        ,          ,        ,      ,         , 
Cr II  ,   2, SMSS J224843.95-543610.1,          , 3.41   ,      0.05,        , -2.23,         , 0.14
Cr II  ,   0, SMSS J225851.25-265434.9,          ,        ,          ,        ,      ,         , 
Cr II  ,   1, SMSS J230013.16-263511.0,          , 2.58   ,          ,        , -3.06,         , 0.29
Cr II  ,   1, SMSS J230113.95-291458.2,          , 3.6    ,          ,        , -2.04,         , 0.49
Cr II  ,   0, 2MASS J23203653-3637223 ,          ,        ,          ,        ,      ,         , 
Cr II  ,   1, 2MASS J23261426-3719492 ,          , 3.3    ,          ,        , -2.34,         , 0.21
Mn     ,   3, SMSS J000113.96-363337.9,          , 3.05   ,      0.1 ,        , -2.38,         , -0.06
Mn     ,   3, SMSS J001039.86-525851.4,          , 2.98   ,      0.17,        , -2.45,         , -0.13
Mn     ,   3, SMSS J001952.15-525803.0,          , 2.43   ,      0.2 ,        , -3.0 ,         , -0.44
Mn     ,   3, SMSS J002148.06-471132.1,          , 1.91   ,      0.24,        , -3.52,         , -0.35
Mn     ,   3, SMSS J003055.81-482011.3,          , 2.49   ,      0.43,        , -2.94,         , -0.41
Mn     ,   3, SMSS J003327.36-491037.9,          , 1.82   ,      0.12,        , -3.61,         , -0.25
Mn     ,   3, SMSS J004037.56-515025.2,          , 0.91   ,      0.13,        , -4.52,         , -0.69
Mn     ,   1, SMSS J005953.98-594329.9, <        , 1.01   ,          , <      , -4.42, <       , -0.48
Mn     ,   3, SMSS J010332.63-534654.3,          , 2.17   ,      0.02,        , -3.26,         , -0.23
Mn     ,   3, SMSS J010651.91-524410.5,          , 1.12   ,      0.03,        , -4.31,         , -0.52
Mn     ,   3, SMSS J010839.58-285701.5,          , 2.23   ,      0.3 ,        , -3.2 ,         , -0.18
Mn     ,   3, SMSS J012147.80-495328.2,          , 3.76   ,      0.16,        , -1.67,         , -0.08
Mn     ,   3, SMSS J014624.60-352457.7,          , 2.45   ,      0.03,        , -2.98,         , -0.17
Mn     ,   3, SMSS J015350.94-775525.6,          , 2.28   ,      0.15,        , -3.15,         , -0.49
Mn     ,   3, SMSS J015941.53-781408.7,          , 2.15   ,      0.19,        , -3.28,         , -0.17
Mn     ,   3, 2MASS J02031860-7930291 ,          , 1.94   ,      0.1 ,        , -3.49,         , -0.46
Mn     ,   3, SMSS J020748.93-465616.4,          , 2.45   ,      0.04,        , -2.98,         , -0.27
Mn     ,   3, SMSS J021323.26-495936.5,          , 2.38   ,      0.03,        , -3.05,         , -0.18
Mn     ,   3, SMSS J022410.38-534659.9,          , 1.44   ,      0.09,        , -3.99,         , -0.59
Mn     ,   3, SMSS J022423.27-573705.1,          , 0.89   ,      0.15,        , -4.54,         , -0.57
Mn     ,   3, SMSS J022452.58-731051.8,          , 2.72   ,      0.42,        , -2.71,         , -0.16
Mn     ,   3, SMSS J022545.31-774119.9,          , 2.47   ,      0.3 ,        , -2.96,         , -0.33
Mn     ,   3, SMSS J022756.48-684256.6,          , 3.03   ,      0.43,        , -2.4 ,         , -0.18
Mn     ,   3, SMSS J023139.43-523957.4,          , 2.22   ,      0.1 ,        , -3.21,         , -0.27
Mn     ,   3, SMSS J023147.96-575341.7,          , 1.61   ,      0.06,        , -3.82,         , -0.4
Mn     ,   3, SMSS J024643.28-352502.4,          , 1.63   ,      0.12,        , -3.8 ,         , -0.43
Mn     ,   3, SMSS J024858.41-684306.4,          , 1.43   ,      0.01,        , -4.0 ,         , -0.29
Mn     ,   2, 2MASS J03084611-4747083 ,          , 3.67   ,      0.19,        , -1.75,         , -0.19
Mn     ,   3, SMSS J031556.09-473442.1,          , 2.25   ,      0.17,        , -3.18,         , 0.08
Mn     ,   1, SMSS J032132.29-363123.6,          , 1.54   ,          ,        , -3.89,         , -0.49
Mn     ,   3, SMSS J033005.90-681352.5,          , 1.6    ,      0.11,        , -3.83,         , -0.39
Mn     ,   3, SMSS J034249.53-284216.0,          , 2.54   ,      0.08,        , -2.89,         , -0.56
Mn     ,   3, SMSS J040148.04-743537.3,          , 1.93   ,      0.16,        , -3.5 ,         , -0.41
Mn     ,   0, SMSS J041957.56-493818.3,          ,        ,          ,        ,      ,         , 
Mn     ,   3, SMSS J051008.62-372019.8,          , 1.9    ,      0.07,        , -3.53,         , -0.33
Mn     ,   6, SMSS J055746.51-575057.4,          , 2.66   ,      0.15,        , -2.77,         , -0.27
Mn     ,   7, SMSS J061725.30-600740.6,          , 2.24   ,      0.11,        , -3.19,         , -0.47
Mn     ,   7, SMSS J062609.83-590503.2,          , 2.65   ,      0.13,        , -2.78,         , -0.01
Mn     ,   4, SMSS J063447.15-622355.0,          , 1.48   ,      0.1 ,        , -3.95,         , -0.54
Mn     ,   7, SMSS J064349.43-653038.6,          , 2.61   ,      0.08,        , -2.82,         , -0.34
Mn     ,   6, SMSS J065014.40-614328.0,          , 1.73   ,      0.1 ,        , -3.7 ,         , -0.52
Mn     ,   7, SMSS J070257.95-600422.4,          , 2.38   ,      0.17,        , -3.05,         , -0.43
Mn     ,   4, SMSS J080050.54-724620.6,          , 2.88   ,      0.19,        , -2.55,         , -0.47
Mn     ,   3, SMSS J085924.06-120104.9,          , 1.0    ,      0.12,        , -4.43,         , -0.8
Mn     ,   7, SMSS J090247.43-122755.0,          , 2.72   ,      0.09,        , -2.71,         , -0.31
Mn     ,   3, SMSS J091210.40-064427.9,          , 2.58   ,      0.09,        , -2.85,         , -0.21
Mn     ,   1, SMSS J093209.41-003435.8,          , 1.79   ,          ,        , -3.64,         , -0.53
Mn     ,   4, 2MASS J09380777-0600392 ,          , 2.69   ,      0.17,        , -2.74,         , -0.06
Mn     ,   2, SMSS J093829.27-070520.9,          , 3.79   ,      0.34,        , -1.64,         , 0.71
Mn     ,   3, SMSS J094029.05-060935.0,          , 1.82   ,      0.08,        , -3.61,         , -0.43
Mn     ,   3, SMSS J094755.04-102724.7,          , 2.15   ,      0.08,        , -3.28,         , -0.29
Mn     ,   6, SMSS J095120.49-401431.3,          , 3.45   ,      0.31,        , -1.98,         , -0.5
Mn     ,   3, SMSS J100251.13-000152.1,          , 2.19   ,      0.29,        , -3.24,         , -0.62
Mn     ,   2, 2MASS J10242264-2904203 ,          , 1.81   ,      0.18,        , -3.61,         , -0.48
Mn     ,   0, 2MASS J10275895-3006391 ,          ,        ,          ,        ,      ,         , 
Mn     ,   0, 2MASS J10283035-2951115 ,          ,        ,          ,        ,      ,         , 
Mn     ,   3, 2MASS J10294248-0103238 ,          , 2.37   ,      0.05,        , -3.06,         , -0.67
Mn     ,   5, SMSS J105320.99-435300.1,          , 2.84   ,      0.29,        , -2.59,         , -0.73
Mn     ,   5, SMSS J105438.86-435819.9,          , 2.98   ,      0.15,        , -2.45,         , -0.47
Mn     ,   2, SMSS J110850.60-080034.7,          , 1.97   ,      0.18,        , -3.46,         , -0.56
Mn     ,   7, SMSS J121353.63-441911.2,          , 2.39   ,      0.09,        , -3.04,         , -0.45
Mn     ,   7, SMSS J121716.48-442510.2,          , 2.62   ,      0.18,        , -2.81,         , -0.71
Mn     ,   1, SMSS J122455.61-151134.0,          , 2.94   ,          ,        , -2.49,         , 0.13
Mn     ,   2, SMSS J123158.00-162317.6,          , 2.59   ,      0.05,        , -2.84,         , -0.21
Mn     ,   7, SMSS J123246.06-054559.1,          , 2.02   ,      0.16,        , -3.41,         , -0.38
Mn     ,   1, SMSS J125115.37-331448.1,          , 2.09   ,          ,        , -3.34,         , -0.7
Mn     ,   2, SMSS J125125.64-340343.4,          , 2.51   ,      0.18,        , -2.92,         , -0.4
Mn     ,   3, SMSS J125451.18-334440.3,          , 2.44   ,      0.28,        , -2.99,         , -0.18
Mn     ,   3, SMSS J125804.65-335045.1,          , 1.54   ,      0.03,        , -3.89,         , -0.45
Mn     ,   7, SMSS J130537.01-294438.3,          , 2.54   ,      0.14,        , -2.89,         , -0.54
Mn     ,   7, SMSS J133013.61-434632.4,          , 2.29   ,      0.1 ,        , -3.14,         , -0.6
Mn     ,   7, SMSS J133532.32-210632.9,          , 2.2    ,      0.15,        , -3.23,         , -0.5
Mn     ,   3, SMSS J135217.78-151405.7,          , 2.62   ,      0.15,        , -2.81,         , -0.25
Mn     ,   2, SMSS J135625.09-161538.7,          , 2.42   ,      0.48,        , -3.01,         , -0.25
Mn     ,   3, SMSS J135819.95-150937.4,          , 2.59   ,      0.14,        , -2.84,         , -0.26
Mn     ,   7, SMSS J141547.72-414034.0,          , 2.94   ,      0.09,        , -2.49,         , -0.23
Mn     ,   7, SMSS J143511.34-420326.5,          , 1.85   ,      0.04,        , -3.58,         , -0.43
Mn     ,   3, SMSS J151101.05-182103.0,          , 2.27   ,      0.42,        , -3.16,         , -0.45
Mn     ,   3, SMSS J151450.18-182946.0,          , 2.32   ,      0.26,        , -3.11,         , -0.38
Mn     ,   7, SMSS J155430.57-263904.8,          , 2.46   ,      0.06,        , -2.97,         , -0.36
Mn     ,   6, SMSS J155628.74-165533.4,          , 2.16   ,      0.15,        , -3.27,         , -0.48
Mn     ,   7, SMSS J160447.75-293146.7,          , 2.26   ,      0.15,        , -3.17,         , -0.51
Mn     ,   7, SMSS J164921.94-041943.9,          , 2.86   ,      0.17,        , -2.57,         , -0.33
Mn     ,   7, SMSS J165023.82-252948.7,          , 2.6    ,      0.15,        , -2.83,         , -0.35
Mn     ,   7, SMSS J165219.76-253133.7,          , 2.77   ,      0.12,        , -2.66,         , -0.46
Mn     ,   3, SMSS J173823.36-145701.0,          , 1.23   ,      0.07,        , -4.2 ,         , -0.62
Mn     ,   7, SMSS J174048.48-143635.6,          , 2.37   ,      0.17,        , -3.06,         , -0.56
Mn     ,   7, SMSS J174916.38-455427.5,          , 2.35   ,      0.11,        , -3.08,         , -0.57
Mn     ,   7, SMSS J174922.26-455103.8,          , 2.33   ,      0.2 ,        , -3.1 ,         , -0.33
Mn     ,   7, SMSS J175021.86-414627.2,          , 2.24   ,      0.13,        , -3.19,         , -0.43
Mn     ,   6, SMSS J175046.30-425506.9,          , 2.63   ,      0.11,        , -2.8 ,         , -0.63
Mn     ,   7, SMSS J175738.37-454823.5,          , 2.34   ,      0.14,        , -3.09,         , -0.63
Mn     ,   7, SMSS J183246.49-343434.2,          , 1.81   ,      0.14,        , -3.62,         , -0.62
Mn     ,   7, SMSS J183753.10-380725.9,          , 1.97   ,      0.18,        , -3.46,         , -0.47
Mn     ,   1, SMSS J184226.25-272602.7, <        , 0.45   ,          , <      , -4.98, <       , -1.09
Mn     ,   3, SMSS J184825.29-305929.7,          , 1.21   ,      0.06,        , -4.22,         , -0.57
Mn     ,   7, SMSS J185628.44-231809.8,          , 1.94   ,      0.12,        , -3.49,         , -0.5
Mn     ,   6, SMSS J190549.33-214945.0,          , 1.75   ,      0.11,        , -3.67,         , -0.56
Mn     ,   7, SMSS J190911.03-213207.5,          , 2.45   ,      0.16,        , -2.98,         , -0.58
Mn     ,   4, SMSS J190931.13-214053.9,          , 1.59   ,      0.18,        , -3.84,         , -0.51
Mn     ,   2, SMSS J191802.51-851523.0,          , 2.25   ,      0.03,        , -3.17,         , -0.54
Mn     ,   3, SMSS J193528.46-462129.6,          , 1.42   ,      0.1 ,        , -4.01,         , -0.62
Mn     ,   2, SMSS J193617.38-790231.4,          , 3.62   ,      0.22,        , -1.81,         , -0.5
Mn     ,   3, SMSS J194432.13-720537.1,          , 2.64   ,      0.16,        , -2.79,         , -0.36
Mn     ,   7, SMSS J195614.75-320145.9,          , 2.51   ,      0.18,        , -2.92,         , -0.6
Mn     ,   3, SMSS J195931.70-643529.3,          , 2.46   ,      0.12,        , -2.97,         , -0.39
Mn     ,   3, SMSS J200228.85-533114.4,          , 1.82   ,      0.16,        , -3.61,         , -0.39
Mn     ,   2, SMSS J200654.42-321157.7,          , 1.99   ,      0.0 ,        , -3.44,         , -0.19
Mn     ,   3, SMSS J202057.49-522417.2,          , 1.82   ,      0.1 ,        , -3.61,         , -0.49
Mn     ,   3, SMSS J202123.89-515742.8,          , 2.37   ,      0.29,        , -3.06,         , -0.45
Mn     ,   3, SMSS J205313.80-651830.6,          , 2.45   ,      0.28,        , -2.98,         , -0.36
