Species, N  , ID                      , l_logepsX, logepsX, e_logepsX, l_[X/H], [X/H], l_[X/Fe], [X/Fe]
Na     ,   0, SMSS J125115.37-331448.1,          ,        ,          ,        ,      ,         , 
Na     ,   2, SMSS J125125.64-340343.4,          , 4.12   ,      0.14,        , -2.12,         , 0.39
Na     ,   2, SMSS J125451.18-334440.3,          , 3.83   ,      0.04,        , -2.41,         , 0.4
Na     ,   2, SMSS J125804.65-335045.1,          , 3.33   ,      0.03,        , -2.91,         , 0.53
Na     ,   2, SMSS J130537.01-294438.3,          , 4.1    ,      0.04,        , -2.14,         , 0.21
Na     ,   2, SMSS J133013.61-434632.4,          , 4.25   ,      0.05,        , -1.99,         , 0.55
Na     ,   2, SMSS J133532.32-210632.9,          , 4.13   ,      0.04,        , -2.11,         , 0.62
Na     ,   2, SMSS J135217.78-151405.7,          , 4.01   ,      0.04,        , -2.23,         , 0.33
Na     ,   1, SMSS J135625.09-161538.7,          , 3.75   ,          ,        , -2.49,         , 0.27
Na     ,   2, SMSS J135819.95-150937.4,          , 4.08   ,      0.04,        , -2.17,         , 0.42
Na     ,   2, SMSS J141547.72-414034.0,          , 4.21   ,      0.04,        , -2.03,         , 0.23
Na     ,   2, SMSS J143511.34-420326.5,          , 3.51   ,      0.01,        , -2.73,         , 0.42
Na     ,   0, SMSS J151101.05-182103.0,          ,        ,          ,        ,      ,         , 
Na     ,   0, SMSS J151450.18-182946.0,          ,        ,          ,        ,      ,         , 
Na     ,   1, SMSS J155430.57-263904.8,          , 4.1    ,          ,        , -2.14,         , 0.47
Na     ,   2, SMSS J155628.74-165533.4,          , 3.84   ,      0.01,        , -2.4 ,         , 0.39
Na     ,   2, SMSS J160447.75-293146.7,          , 3.96   ,      0.06,        , -2.28,         , 0.38
Na     ,   2, SMSS J164921.94-041943.9,          , 4.49   ,      0.03,        , -1.75,         , 0.49
Na     ,   1, SMSS J165023.82-252948.7,          , 4.35   ,          ,        , -1.89,         , 0.59
Na     ,   4, SMSS J165219.76-253133.7,          , 4.36   ,      0.05,        , -1.88,         , 0.32
Na     ,   2, SMSS J173823.36-145701.0,          , 3.29   ,      0.01,        , -2.96,         , 0.62
Na     ,   1, SMSS J174048.48-143635.6,          , 3.93   ,          ,        , -2.31,         , 0.19
Na     ,   2, SMSS J174916.38-455427.5,          , 4.03   ,      0.01,        , -2.21,         , 0.3
Na     ,   2, SMSS J174922.26-455103.8,          , 3.99   ,      0.01,        , -2.25,         , 0.51
Na     ,   2, SMSS J175021.86-414627.2,          , 3.84   ,      0.01,        , -2.4 ,         , 0.36
Na     ,   2, SMSS J175046.30-425506.9,          , 4.22   ,      0.02,        , -2.02,         , 0.15
Na     ,   2, SMSS J175738.37-454823.5,          , 4.05   ,      0.03,        , -2.19,         , 0.27
Na     ,   2, SMSS J183246.49-343434.2,          , 3.72   ,      0.02,        , -2.52,         , 0.48
Na     ,   2, SMSS J183753.10-380725.9,          , 3.54   ,      0.01,        , -2.71,         , 0.29
Na     ,   1, SMSS J184226.25-272602.7,          , 2.56   ,          ,        , -3.68,         , 0.21
Na     ,   2, SMSS J184825.29-305929.7,          , 3.0    ,      0.03,        , -3.25,         , 0.4
Na     ,   2, SMSS J185628.44-231809.8,          , 3.97   ,      0.03,        , -2.27,         , 0.72
Na     ,   2, SMSS J190549.33-214945.0,          , 3.58   ,      0.04,        , -2.66,         , 0.46
Na     ,   0, SMSS J190911.03-213207.5,          ,        ,          ,        ,      ,         , 
Na     ,   2, SMSS J190931.13-214053.9,          , 2.88   ,      0.0 ,        , -3.37,         , -0.03
Na     ,   2, SMSS J191802.51-851523.0,          , 4.23   ,      0.03,        , -2.01,         , 0.62
Na     ,   2, SMSS J193528.46-462129.6,          , 3.76   ,      0.07,        , -2.48,         , 0.91
Na     ,   3, SMSS J193617.38-790231.4,          , 4.85   ,      0.09,        , -1.39,         , -0.1
Na     ,   2, SMSS J194432.13-720537.1,          , 4.16   ,      0.0 ,        , -2.08,         , 0.35
Na     ,   2, SMSS J195614.75-320145.9,          , 5.03   ,      0.06,        , -1.21,         , 1.1
Na     ,   2, SMSS J195931.70-643529.3,          , 4.13   ,      0.02,        , -2.11,         , 0.47
